Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31),C4H5(34)
2.903403234968399e-15,0.11224537200005258,0.0,0.0,0.0,0.0,0.9999999999995318,9.213385128352129e-13,7.526737055774221e-15,6.800060349418094e-22,7.526735850731782e-15,5.366474204406567e-22,7.991656241387413e-22,1.2240235868487739e-42,2.651972844554914e-38,3.711889039821198e-45,6.614956498192484e-55,7.214502909887612e-68,2.606390015317963e-72,1.732929187765952e-68,1.2401353262055342e-74,6.648759716902818e-75,1.3730926271797225e-82,3.392832170427259e-80,1.497896855109589e-84,1.6875140858938752e-65,1.8167824625266894e-90
5.807436685529368e-15,0.11224537200010512,0.0,0.0,0.0,0.0,0.9999999999990635,1.8428770109630776e-12,1.5055109758028994e-14,2.7204669314547696e-21,1.5055104937075205e-14,2.1469393560439383e-21,3.1971827863626326e-21,1.9590051208275902e-41,2.121996631215442e-37,5.940272746508981e-44,2.1166860310148395e-53,4.6192083939040904e-66,3.307985427912769e-70,1.1094003657254842e-66,1.5880374549897857e-72,8.513993747542372e-73,3.5165436609172716e-80,4.344046306525444e-78,3.8360576428536285e-82,1.0803566901166308e-63,4.6534502028152013e-88
1.1615503586651305e-14,0.11224537200021029,0.0,0.0,0.0,0.0,0.9999999999981269,3.685954003135718e-12,3.011186081950821e-14,1.0882753362358826e-20,3.011184153412882e-14,8.588458205537729e-21,1.2789771225523908e-20,3.1348574441065404e-40,1.6977831817414814e-36,9.50553706971949e-43,6.770620871368104e-52,2.9568169006684287e-64,4.161172822947802e-68,7.100955433193586e-65,2.0330491935389837e-70,1.0899862615668656e-70,9.0036697949225e-78,5.559822526396085e-76,9.821182380587526e-80,6.915445905847308e-62,1.1916150599459082e-85
2.323163738889518e-14,0.11224537200042052,0.0,0.0,0.0,0.0,0.9999999999962538,7.372107971148635e-12,6.022538557033156e-14,4.3532784706345384e-20,6.022530842571678e-14,3.435524549885067e-20,5.116116054706601e-20,5.0161162073253446e-39,1.3583305272514843e-35,1.5210060951329126e-41,2.16448460045578e-50,1.8924226576683836e-62,5.147054085537877e-66,4.544546241541029e-63,2.6023858379375618e-68,1.395228132483856e-68,2.304861802541065e-75,7.112836147443682e-74,2.513852810302534e-77,4.426322006204179e-60,3.051029797872192e-83
4.646390499338293e-14,0.112245372000841,0.0,0.0,0.0,0.0,0.9999999999925074,1.4744415841845014e-11,1.204525255833278e-13,1.7413468076835948e-19,1.2045221699892519e-13,1.3742389591209538e-19,2.046487568380927e-19,8.026012953902244e-38,1.086753419538019e-34,2.4338086217023344e-40,6.912318178213996e-49,1.2110576903240531e-60,6.171855462622445e-64,2.9080805038261272e-61,3.3307966292727545e-66,1.785756663708255e-66,5.89921094332829e-73,9.093595335202046e-72,6.432661098588624e-75,2.8330682444703957e-58,7.811649818260828e-81
9.292844020235843e-14,0.11224537200168207,0.0,0.0,0.0,0.0,0.9999999999850147,2.948903132191995e-11,2.4090716765383707e-13,6.965458019511684e-19,2.409059333063483e-13,5.497021196380904e-19,8.186029630146628e-19,1.2841647386547578e-36,8.695141816662312e-34,3.8945816472002256e-39,2.2029302696175e-47,7.749562626945333e-59,7.0130102787366215e-62,1.8605121466393566e-59,4.2627417568578016e-64,2.2854140734859696e-64,1.5095600232599173e-70,1.161211766660959e-69,1.6453230205701506e-72,1.8133402785667412e-56,2.0001216431920665e-78
1.858575106203094e-13,0.1122453720033641,0.0,0.0,0.0,0.0,0.9999999999700291,5.897826123679854e-11,4.818178999658731e-13,2.7861973250528425e-18,4.818129625722312e-13,2.1988272154082174e-18,3.2744253738035833e-18,2.0546161171586666e-35,6.957772783676681e-33,6.23277293525333e-38,6.992279826507343e-46,6.552070795751881e-57,9.671035778128321e-60,1.1898830605238748e-57,7.161528877729592e-62,3.8571841306766077e-62,5.087959420684551e-68,1.951162807823702e-67,5.523486140297119e-70,1.1607293106854612e-54,1.0582949766043805e-75
3.717156514562114e-13,0.11224537200672823,0.0,0.0,0.0,0.0,0.9999999999400581,1.179567168854706e-10,9.636451572176182e-13,1.1144817210207838e-17,9.636254077642308e-13,8.795391653595881e-18,1.3097709742158014e-17,3.287189151815405e-34,5.568823623873826e-32,9.976956979506292e-37,2.2018567207743928e-44,4.20963575911687e-55,9.105242813089386e-58,7.604155690869914e-56,9.218545058014372e-60,4.965603827440601e-60,1.3098192282206803e-65,2.489796122689469e-65,1.4193235164647595e-67,7.4310084807321095e-53,2.7180850172528695e-73
7.434319331280153e-13,0.11224537201345644,0.0,0.0,0.0,0.0,0.9999999998801159,2.3591361145847397e-10,1.9273228417806386e-12,4.457932206438305e-17,1.92724384523785e-12,3.5182094737383013e-17,5.239070509938889e-17,5.258837719431773e-33,4.459207693028148e-31,1.5977519928857313e-35,6.828386651849383e-43,2.6967287045891563e-53,7.589393084850405e-56,4.8525024477636315e-54,1.1810722082369418e-57,6.362252689265549e-58,3.3494354170118504e-63,3.1350818422731296e-63,3.616948822941221e-65,4.758805230423727e-51,6.970423006398768e-71
1e-12,0.1122453720269129,0.0,0.0,0.0,0.0,0.9999999998387423,3.1733044823743085e-10,2.5925097645479838e-12,9.073403081260297e-17,2.5923489835757285e-12,7.160883004675584e-17,1.0663230076829765e-16,3.247477906440085e-32,1.5254595266337294e-30,9.884690267919936e-35,7.550374440366576e-42,6.148213427898471e-52,2.0276525591454316e-54,1.0973799830677685e-52,5.307356173498747e-56,2.8593313572005055e-56,2.976320967753095e-61,1.3627216409549658e-61,3.1933806373797754e-63,1.0835549323156314e-49,6.22550589523533e-69
