Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31)
7.107225323329366e-16,0.11224537200001286,0.0,0.0,0.0,0.0,0.9999999999998854,2.255339642308889e-13,1.8424657829871316e-15,4.076052395936108e-23,1.8424657107551743e-15,3.2167403128289555e-23,4.7903119409028603e-23,4.3988078758284794e-45,3.8931276613223556e-40,1.3346424546272784e-47,5.826955140252778e-58,1.554254969160431e-71,1.384731598225708e-76,3.736078567837691e-72,6.544214560959481e-79,3.5085123261830065e-79,1.7748382220666074e-87,1.7905667809086289e-84,1.9362179578302223e-89,3.638089050680545e-69
1.4220625473177698e-15,0.11224537200002578,0.0,0.0,0.0,0.0,0.9999999999997707,4.512638744828716e-13,3.686532431265289e-15,1.63148320804304e-22,3.68653214214923e-15,1.2875344657057982e-22,1.9173731536389824e-22,7.0462814840848e-44,3.11687486832377e-39,2.137170522318418e-46,1.8660768798883697e-56,9.964682405697912e-70,1.7716815294112663e-74,2.3941113479478903e-70,8.391328651487031e-77,4.49883702697578e-77,4.5516333405352895e-85,2.2958997780119024e-82,4.9654313383322e-87,2.331334956465605e-67
2.8447425772874364e-15,0.1122453720000515,0.0,0.0,0.0,0.0,0.9999999999995414,9.027236947418516e-13,7.374666067239942e-15,6.52805793552139e-22,7.374664910399193e-15,5.151815225057422e-22,7.671989996366303e-22,1.1280601605586305e-42,2.4944560615030023e-38,3.4208764529001034e-45,5.973203830135736e-55,6.382933354986896e-68,2.2597866063056448e-72,1.5331855629324523e-68,1.0750250691030744e-74,5.763551137414574e-75,1.1662324228884618e-82,2.941122509889597e-80,1.2722352750774939e-84,1.4930043160385236e-65
5.690102637226769e-15,0.112245372000103,0.0,0.0,0.0,0.0,0.9999999999990825,1.8056433342798696e-12,1.4750934696862387e-14,2.6116482542606047e-21,1.4750930068746723e-14,2.0610617728621792e-21,3.0692954786163394e-21,1.8054191927166872e-41,1.9959580628984085e-37,5.47455380687745e-44,1.9113448237219474e-53,4.0867835785519954e-66,2.8685930516607173e-70,9.815273702621317e-67,1.3766084817547214e-72,7.380453118580662e-73,2.9867689162504067e-80,3.7657075965406433e-78,3.2581511619959286e-82,9.558302692915401e-64
1.1380822757105434e-14,0.11224537200020603,0.0,0.0,0.0,0.0,0.9999999999981648,3.6114826094361385e-12,2.950347738679823e-14,1.0447443228376727e-20,2.95034588728338e-14,8.244919805789445e-21,1.227818040617143e-20,2.8890848552810873e-40,1.5969408175569935e-36,8.7602979825282e-43,6.1138616988424115e-52,2.616006738295013e-64,3.6097053471727186e-68,6.28248278852963e-65,1.7623734024637395e-70,9.448678333445623e-71,7.647259063545943e-78,4.8196540538068203e-76,8.341631716077945e-80,6.118341551050418e-62
2.2762262996862765e-14,0.11224537200041204,0.0,0.0,0.0,0.0,0.9999999999963295,7.223161144069607e-12,5.900858448942077e-14,4.1791473322189806e-20,5.900851043058893e-14,3.2981035106655645e-20,4.9114714362541924e-20,4.62285344805686e-39,1.2776497090750897e-35,1.4017576232589298e-41,1.9545672968532423e-50,1.6742994561532224e-62,4.4678740127212785e-66,4.0207388704024136e-63,2.2559127739895264e-68,1.2094720418671141e-68,1.957637566100027e-75,6.165995489754784e-74,2.1351541189854206e-77,3.9161233568670033e-60
4.552514347637743e-14,0.11224537200082405,0.0,0.0,0.0,0.0,0.9999999999926588,1.4446518150620268e-11,1.1801888558556567e-13,1.6716929357041174e-19,1.1801858934452613e-13,1.3192693549758073e-19,1.9646280846347384e-19,7.396775942799738e-38,1.0222022777279602e-34,2.2429929247218873e-40,6.242201986250632e-49,1.0714714070017088e-60,5.363848494202292e-64,2.5729029685717733e-61,2.8873504975094074e-66,1.5480095813556106e-66,5.0105252552235136e-73,7.883272618569093e-72,5.463663756297262e-75,2.506513537146032e-58
9.105090443540676e-14,0.11224537200164807,0.0,0.0,0.0,0.0,0.9999999999853174,2.8893231912856488e-11,2.360398353406258e-13,6.686839701354185e-19,2.3603865036693265e-13,5.277139982279798e-19,7.858588596853566e-19,1.1834869925669357e-36,8.178647269161832e-34,3.589230122444949e-39,1.989530305371563e-47,6.856355942646872e-59,6.107015204372236e-62,1.6460869540060686e-59,3.695224943324985e-64,1.981146877756191e-64,1.2821607386233785e-70,1.0067050086533942e-69,1.3974979139526212e-72,1.6043223955330786e-56
1.821024263534654e-13,0.11224537200329614,0.0,0.0,0.0,0.0,0.9999999999706346,5.77866584338685e-11,4.720831250951963e-13,2.6747494341491174e-18,4.720783851964689e-13,2.1108738337949603e-18,3.143448480380176e-18,1.893536675818597e-35,6.544447838555868e-33,5.74407130118662e-38,6.315956630823227e-46,5.796872396682071e-57,8.44597847811858e-60,1.0527635668325813e-57,6.208071359633533e-62,3.3436526395508632e-62,4.321548635698108e-68,1.6916944191498767e-67,4.691640861145755e-70,1.0269325711791565e-54
3.642054701895827e-13,0.11224537200659226,0.0,0.0,0.0,0.0,0.9999999999412691,1.155735074620508e-10,9.441752655290912e-13,1.0699024538586685e-17,9.441563060471903e-13,8.443573643493759e-18,1.2573802324668781e-17,3.0294814004773452e-34,5.237959718740594e-32,9.194596397233824e-37,1.9895139279738745e-44,3.724376325635825e-55,7.979452077410807e-58,6.728067708279055e-56,7.991117765045719e-60,4.304441107131966e-60,1.112526459306831e-65,2.1590489932716736e-65,1.2056223251722379e-67,6.574398357452612e-53
7.284115578618173e-13,0.1122453720131846,0.0,0.0,0.0,0.0,0.9999999998825381,2.3114718946304826e-10,1.8883817896715316e-12,4.2796149316105226e-17,1.8883059529372628e-12,3.377479219657912e-17,5.02950846724306e-17,4.84657004549916e-33,4.1941914301690085e-31,1.4724347473606574e-35,6.173594158081073e-43,2.3857862559995766e-53,6.672906219105912e-56,4.293688168729263e-54,1.0237819921180443e-57,5.5149416714275805e-58,2.844947260616192e-63,2.7194527340978904e-63,3.072588317350178e-65,4.2101809389186565e-51
1e-12,0.11224537202636915,0.0,0.0,0.0,0.0,0.9999999998387422,3.173304483056843e-10,2.5925096700132323e-12,9.066580640120937e-17,2.592349009886553e-12,7.155496899344718e-17,1.0655212913231858e-16,3.1944964351653875e-32,1.5163602100623607e-30,9.722874426353681e-35,7.332996330776566e-42,5.856913294158912e-52,1.9253840094623178e-54,1.0457130500137856e-52,4.961757886830611e-56,2.67312807876339e-56,2.728969043258548e-61,1.2756129405295955e-61,2.9287101842459593e-63,1.032274119804054e-49
1.4568237332062864e-12,0.11224537202636915,0.0,0.0,0.0,0.0,0.9999999997650757,4.6229448924357213e-10,3.776883807660316e-12,1.711846800497268e-16,3.7765804708479895e-12,1.3510289198185458e-16,2.0117895812028511e-16,7.752565826253504e-32,3.361463445714902e-30,2.3600477703864373e-34,1.8628993694290755e-41,1.530719990240691e-51,5.051723573363139e-54,2.7324267745695937e-52,1.3135448757060493e-55,7.076683607253735e-56,7.271362019003738e-61,3.375507750582383e-61,7.803247542192706e-63,2.697787599685751e-49
