Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.456594586785524e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999999,1.4142135623728548e-16,2.402970479813514e-29,2.402970479813514e-29
1.2478464842999466e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999998,3.9597979746432136e-16,1.4513941698071238e-28,1.4513941698071238e-28
2.8522205355427353e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999996,9.050966799180816e-16,6.9878381552941185e-28,6.9878381552941185e-28
6.0609686380283125e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.999999999999999,1.923330444824356e-15,3.051772509359465e-27,3.051772509359465e-27
1.2478464842999467e-17,0.11224537200000022,0.0,0.0,0.0,0.0,0.999999999999998,3.95979797463192e-15,1.2740549483937974e-26,1.2740549483937974e-26
2.5313457252941776e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.999999999999996,8.032733034227107e-15,5.204930178067089e-26,5.204930178067089e-26
5.09834420728264e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.9999999999999919,1.6178603153337728e-14,2.1039159976365886e-25,2.1039159976365886e-25
1.0232341171259563e-16,0.11224537200000183,0.0,0.0,0.0,0.0,0.9999999999999838,3.247034339123994e-14,8.459753692814705e-25,8.459753692814705e-25
2.050033509921341e-16,0.11224537200000365,0.0,0.0,0.0,0.0,0.9999999999999675,6.505382386576823e-14,3.3927396024744156e-24,3.3927396024744156e-24
4.1036322955121105e-16,0.1122453720000073,0.0,0.0,0.0,0.0,0.9999999999999349,1.3022078480972027e-13,1.3588654845089428e-23,1.3588654845089428e-23
8.210829866693649e-16,0.11224537200001464,0.0,0.0,0.0,0.0,0.9999999999998698,2.6055470667720635e-13,5.439003243203459e-23,5.439003243203459e-23
1.6425225009056727e-15,0.11224537200002928,0.0,0.0,0.0,0.0,0.9999999999997394,5.212225503305063e-13,2.1763097598717474e-22,2.1763097598717474e-22
3.2854015293782883e-15,0.11224537200005852,0.0,0.0,0.0,0.0,0.9999999999994788,1.0425582373104177e-12,8.70665616417569e-22,8.70665616417569e-22
6.5711595863235194e-15,0.11224537200011704,0.0,0.0,0.0,0.0,0.9999999999989574,2.0852296099634856e-12,3.482945908919726e-21,3.482945908919726e-21
1.3142675700213982e-14,0.11224537200023406,0.0,0.0,0.0,0.0,0.9999999999979147,4.170572350042603e-12,1.393235052737684e-20,1.393235052737684e-20
2.6285707927994907e-14,0.11224537200046814,0.0,0.0,0.0,0.0,0.9999999999958293,8.341257809292763e-12,5.573053579320077e-20,5.573053579320077e-20
5.2571772383556756e-14,0.11224537200093627,0.0,0.0,0.0,0.0,0.9999999999916587,1.6682628644160788e-11,2.229244096012758e-19,2.229244096012758e-19
1.0514390129468046e-13,0.11224537200187257,0.0,0.0,0.0,0.0,0.9999999999833173,3.336536997936767e-11,8.917021636094413e-19,8.917021636094413e-19
2.1028815911692786e-13,0.11224537200374514,0.0,0.0,0.0,0.0,0.9999999999666346,6.673085131166472e-11,3.5668176434842854e-18,3.5668176434842854e-18
4.205766747614226e-13,0.11224537200749024,0.0,0.0,0.0,0.0,0.999999999933269,1.334618086237919e-10,1.4267288060991635e-17,1.4267288060991635e-17
8.411537060504122e-13,0.1122453720149805,0.0,0.0,0.0,0.0,0.9999999998665381,2.6692370183817837e-10,5.706918328962585e-17,5.706918328962585e-17
1e-12,0.11224537202996095,0.0,0.0,0.0,0.0,0.9999999998413346,3.173304495720492e-10,8.940058472197063e-17,8.940058472197063e-17
