Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31),C4H5(34),C4H5(183)
7.397434653059718e-16,0.11224537200001342,0.0,0.0,0.0,0.0,0.9999999999998808,2.347431925303931e-13,1.917699190213132e-15,4.415723428903992e-23,1.9176991119618455e-15,3.4848020093054613e-23,5.1895046010931404e-23,5.1624897467943346e-45,4.389770706222838e-40,1.5663513242553732e-47,7.117800664564356e-58,1.9760980211979792e-71,1.832288048329645e-76,4.750094150148259e-72,8.660137788602816e-79,4.642910146190466e-79,2.4445955994102584e-87,2.3695025963239463e-84,2.6668732406798765e-89,4.625510434985722e-69,3.232805537798281e-95,3.693299563459572e-102
1.4801296269328003e-15,0.1122453720000268,0.0,0.0,0.0,0.0,0.9999999999997614,4.696903321422364e-13,3.8370646186577556e-15,1.7674401420251784e-22,3.837064305448693e-15,1.394829007509497e-22,2.0771542485333215e-22,8.269594075391916e-44,3.5144922481889215e-39,2.508207424217998e-46,2.279463067643431e-56,1.2669211359960931e-69,2.3440925473807895e-74,3.0439005604218674e-70,1.1104471776371078e-76,5.953432512378174e-77,6.269246581183478e-85,3.0382176840479557e-82,6.839192331700279e-87,2.9640876134328574e-67,8.293476681566044e-93,1.888393032190809e-99
2.960901950186457e-15,0.11224537200005365,0.0,0.0,0.0,0.0,0.9999999999995226,9.39584611100522e-13,7.675795843250197e-15,7.0720627633098475e-22,7.67579459000606e-15,5.581133184447031e-22,8.311322486121768e-22,1.3239038851706626e-42,2.812672351958637e-38,4.0147797447767464e-45,7.296391448941887e-55,8.115330978631676e-68,2.9893650477581257e-72,1.949308754271703e-68,1.4226090693083827e-74,7.6270594656544145e-75,1.6063229172780974e-82,3.89204337132399e-80,1.7523251174142268e-84,1.8982240269868339e-65,2.1253778611786805e-90,9.612060830140464e-97
5.92244659669377e-15,0.1122453720001072,0.0,0.0,0.0,0.0,0.999999999999045,1.8793731679554897e-12,1.5353259763247632e-14,2.8292856086449724e-21,1.5353254749455716e-14,2.2328169397788575e-21,3.3250700938794813e-21,2.1188598542941188e-41,2.250581911951186e-37,6.425000792942206e-44,2.3347230073855184e-53,5.195976723401216e-66,3.7933890105746315e-70,1.24792337613116e-66,1.8217008159866056e-72,9.766740283035004e-73,4.1138524230912425e-80,4.983200454186182e-78,4.4876329951389995e-82,1.2152545812842078e-63,5.44387528453951e-88,4.85699927025972e-94
1.1845535889708398e-14,0.1122453720002144,0.0,0.0,0.0,0.0,0.9999999999980899,3.758950277419011e-12,3.0708193486490886e-14,1.131806349630923e-20,3.070817342969652e-14,8.931996609711722e-21,1.3301362043040654e-20,3.3906615414487557e-40,1.8006631883119216e-36,1.0281194624487591e-42,7.467977329739819e-52,3.326011439095016e-64,4.770150065086479e-68,7.987594324311182e-65,2.332189651864597e-70,1.2503655597416734e-70,1.0532989039140659e-77,6.377817786759055e-76,1.1489334584919134e-79,7.77893913177091e-62,1.394019485293309e-85,2.4215644188405652e-91
2.369171447573765e-14,0.11224537200042888,0.0,0.0,0.0,0.0,0.9999999999961796,7.518104479360396e-12,6.141808446595637e-14,4.5274096090247377e-20,6.141800423555867e-14,3.572945592645301e-20,5.3207606716903564e-20,5.425430425475903e-39,1.4406416631297838e-35,1.6451220261944608e-41,2.3873723607927554e-50,2.128711913513229e-62,5.896510498747801e-66,5.111977512432338e-63,2.98529397884694e-68,1.6005183216252066e-68,2.696347329004721e-75,8.159219838327164e-74,2.9408227260774593e-77,4.979014102623419e-60,3.5692659381415896e-83,1.1776306781079607e-88
4.7384071647796156e-14,0.11224537200085768,0.0,0.0,0.0,0.0,0.999999999992359,1.5036412815300532e-11,1.2283796055668621e-13,1.811000679642784e-19,1.2283763962892127e-13,1.4292085660987454e-19,2.128347050952173e-19,8.680932844910484e-38,1.1526090487213132e-34,2.632413273286665e-40,7.623804855025826e-49,1.3622689397677273e-60,7.062293501079168e-64,3.27117082180016e-61,3.82087464604157e-66,2.0485047599969022e-66,6.901174231289201e-73,1.0431125105294994e-71,7.525161986750006e-75,3.186821374412689e-58,9.138494366066251e-81,5.47872310852737e-86
9.476878599191317e-14,0.11224537200171533,0.0,0.0,0.0,0.0,0.9999999999847179,3.0073029215410275e-11,2.4567808926440717e-13,7.244076337506889e-19,2.456768055431292e-13,5.716902433143362e-19,8.51347065404017e-19,1.3889516962137339e-36,9.222075623090156e-34,4.2123982877159546e-39,2.4294826700490847e-47,8.717156621016343e-59,8.009285228450748e-62,2.092792131110268e-59,4.8899370925699476e-64,2.621677255401286e-64,1.765943413574818e-70,1.3319487321765417e-69,1.9247300317908856e-72,2.0397674665788532e-56,2.3398488553553423e-78,2.3717018155561606e-83
1.895382146801472e-13,0.11224537200343075,0.0,0.0,0.0,0.0,0.9999999999694356,6.014626092854764e-11,4.913598527774169e-13,2.8976452158267302e-18,4.91354717888912e-13,2.2867806151505397e-18,3.405402259707518e-18,2.2222699598475305e-35,7.379454363247542e-33,6.741427297132744e-38,7.710148746885055e-46,7.37016627306742e-57,1.1014102217660331e-59,1.338417755545495e-57,8.21525306081209e-62,4.424719439843775e-62,5.9520489583136945e-68,2.2378594270575188e-67,6.461312051189442e-70,1.3056706363126226e-54,1.238056371054924e-75,1.9155133328517098e-80
3.790770720566153e-13,0.1122453720068615,0.0,0.0,0.0,0.0,0.999999999938871,1.202927200064938e-10,9.827294041338933e-13,1.1590609880790291e-17,9.82708864709431e-13,9.147209808728945e-18,1.3621617099494264e-17,3.5554147238942485e-34,5.906381140767908e-32,1.0791268958249135e-36,2.4271593069750334e-44,4.73531954605465e-55,1.0335212643428428e-57,8.553145793832437e-56,1.057507207829616e-59,5.69630794365673e-60,1.532255289257932e-65,2.8551851445380884e-65,1.6602401246931273e-67,8.358976564062255e-53,3.179815070439651e-73,6.686342491957321e-78
