Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69)
6.957582767866795e-16,0.1122453720000126,0.0,0.0,0.0,0.0,0.9999999999998878,2.2078534895421278e-13,1.803672683872947e-15,3.9062168794509905e-23,1.803672614650655e-15,3.082709464754773e-23,4.5907156107396674e-23,4.0398773930222253e-45,3.652359516167186e-40,1.2257392932257244e-47,5.2388231425398505e-58,1.3679559068661176e-71,1.1931468804945206e-76,3.2882576261271984e-72,5.638526960533063e-79,3.022951212281627e-79,1.497011852935205e-87,1.5427621211039144e-84,1.6331300618104518e-89
1.3921210351344247e-15,0.1122453720000252,0.0,0.0,0.0,0.0,0.9999999999997755,4.4176251828976095e-13,3.608912524502828e-15,1.5635047410510313e-22,3.608912247433272e-15,1.2338871949353052e-22,1.8374826061373303e-22,6.471324555109845e-44,2.9241135019153666e-39,1.9627832018895236e-46,1.6777303917357815e-56,8.770277737424786e-70,1.5266310972589126e-74,2.1071440830382938e-70,7.230010251824315e-77,3.876220223219134e-77,3.839138891299252e-85,1.978161447403591e-82,4.188163829361969e-87
2.7848465518299152e-15,0.11224537200005043,0.0,0.0,0.0,0.0,0.9999999999995509,8.837168567260796e-13,7.2193925310385e-15,6.25605552161963e-22,7.219391422399447e-15,4.937156246413862e-22,7.352323751052528e-22,1.0360136064494608e-42,2.3401876592753307e-38,3.1417419808477783e-45,5.370331913185686e-55,5.6178520170835195e-68,1.947403266056719e-72,1.3494124531150755e-68,9.262471264721852e-75,4.96590528867731e-75,9.83675465969826e-83,2.5340935714953613e-80,1.073085717954275e-84
5.570297585220896e-15,0.11224537200010082,0.0,0.0,0.0,0.0,0.9999999999991017,1.7676255326596057e-12,1.444035384521328e-14,2.5028295770623977e-21,1.444034940993574e-14,1.975184190244994e-21,2.9414081706358683e-21,1.6581020704390802e-41,1.8725187421535414e-37,5.02784396391437e-44,1.7184430506078304e-53,3.5969285906191946e-66,2.47250059537231e-70,8.638784032400227e-67,1.1860934667728126e-72,6.359039136540174e-73,2.5192350597814597e-80,3.244573131032153e-78,2.7481396920979154e-82
1.1141199652002858e-14,0.11224537200020165,0.0,0.0,0.0,0.0,0.9999999999982033,3.5354428807702146e-12,2.888228167797506e-14,1.0012133094362288e-20,2.888226393542563e-14,7.901381410558167e-21,1.1766589584945362e-20,2.6533437765011443e-40,1.4981781278718555e-36,8.045477330482455e-43,5.496880790608782e-52,2.3024456406811823e-64,3.112384176390434e-68,5.5294499208935385e-65,1.518471880081822e-70,8.141039951660093e-71,6.4502050522266105e-78,4.152691689543133e-76,7.035901370305586e-80
2.2283003785566783e-14,0.11224537200040331,0.0,0.0,0.0,0.0,0.9999999999964067,7.071077561965658e-12,5.776615816113539e-14,4.005016193777545e-20,5.776608718808664e-14,3.160682475059835e-20,4.7068268163028433e-20,4.245642152562758e-39,1.198632835887658e-35,1.2873766001937325e-41,1.7573592017164583e-50,1.4736157364027502e-62,3.854918406747589e-66,3.5388106739191805e-63,1.9437111139640255e-68,1.0420900296764451e-68,1.651205753906258e-75,5.312789457287142e-74,1.8009437843827407e-77
4.456661205269463e-14,0.11224537200080666,0.0,0.0,0.0,0.0,0.9999999999928133,1.4142346864253448e-11,1.1553399439790592e-13,1.602039063703937e-19,1.1553371050023035e-13,1.2642997537217435e-19,1.8827685996893741e-19,6.793221827258495e-38,9.589825257593429e-35,2.059966149131999e-40,5.612625681267126e-49,9.430451548927091e-61,4.633640865185327e-64,2.2645220000826413e-61,2.4877671260672616e-66,1.3337788843333467e-66,4.226239875973533e-73,6.792610434065154e-72,4.608492647891822e-75
8.913382858695033e-14,0.11224537200161337,0.0,0.0,0.0,0.0,0.9999999999856265,2.8284885228416634e-11,2.3106999995246856e-13,6.408221383031046e-19,2.310688643525777e-13,5.057258791307542e-19,7.531147553967086e-19,1.0869184629598474e-36,7.672807202888841e-34,3.2963436071656547e-39,1.7890204037257943e-47,6.034561433944928e-59,5.286438741350706e-62,1.4488027390822256e-59,3.1838427757936216e-64,1.7069756486852345e-64,1.0814743314239719e-70,8.67466537099076e-70,1.1787806110367714e-72
1.7826826165546173e-13,0.11224537200322673,0.0,0.0,0.0,0.0,0.9999999999712529,5.656996099509343e-11,4.621433433794597e-13,2.5633015431128764e-18,4.621388009756993e-13,2.0229204706847673e-18,3.0124715792821676e-18,1.7390316518579173e-35,6.1396517067476746e-33,5.275322054820301e-38,5.680360872532868e-46,5.102055074535993e-57,7.332949214205253e-60,9.26603139328063e-58,5.348925854343574e-62,2.8809177481032963e-62,3.645163162184084e-68,1.4578434718005243e-67,3.957476911786831e-70
3.565371277924845e-13,0.11224537200645349,0.0,0.0,0.0,0.0,0.9999999999425057,1.1314010868184872e-10,9.242953594551384e-13,1.0253231865905404e-17,9.242771899451438e-13,8.091755781414575e-18,1.2049894845785531e-17,2.7822915211671076e-34,4.9139271688694233e-32,8.444186123074789e-37,1.789882008911541e-44,3.277923264311718e-55,6.952916630498673e-58,5.92197177829247e-56,6.885120643449278e-60,3.7086883684567683e-60,9.38407093314832e-66,1.8609014691943103e-65,1.0170066345568743e-67
7.1307486006653e-13,0.11224537201290698,0.0,0.0,0.0,0.0,0.9999999998850112,2.2628038866896579e-10,1.848620708095161e-12,4.101297655934638e-17,1.8485480311727722e-12,3.236749083992831e-17,4.819946375436703e-17,4.4511270269629435e-33,3.9346535144445643e-31,1.352238002803566e-35,5.557552712583049e-43,2.0997215366635836e-53,5.8344989637781235e-56,3.779483099125184e-54,8.820579525868653e-58,4.751486634210162e-58,2.3997106821232772e-63,2.3446570227678784e-63,2.5920882937355105e-65
