Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9)
9.403760349029482e-12,0.11224537217021256,0.0,0.0,0.0,0.0,0.9999999984835661,2.9840947741765773e-09,2.437933070890532e-11,5.563737571437973e-15,2.438254886519997e-11,4.390946933043365e-15
1e-11,0.11224537223829786,0.0,0.0,0.0,0.0,0.9999999983874173,3.173299124536394e-09,2.5925160209601863e-11,6.2629015765543185e-15,2.5928782794979424e-11,4.94274347705623e-15
1.3165264648074611e-11,0.11224537223829786,0.0,0.0,0.0,0.0,0.9999999978769897,4.177729823563941e-09,3.413167661104854e-11,1.0698865232532428e-14,3.4137865230810196e-11,8.443742497089647e-15
1.692676894711974e-11,0.11224537230638328,0.0,0.0,0.0,0.0,0.9999999972704114,5.37136316010369e-09,4.388438326869356e-11,1.754610369569554e-14,4.3894532938881346e-11,1.3847886941741342e-14
2.4449777545209997e-11,0.11224537244255461,0.0,0.0,0.0,0.0,0.99999999605725,7.758624695356056e-09,6.339087842792066e-11,3.637617928656131e-14,6.341192206977901e-11,2.8709910572452626e-14
3.9495794741390514e-11,0.11224537271489905,0.0,0.0,0.0,0.0,0.9999999936309063,1.2533127214671836e-08,1.0240819435125377e-10,9.457848782943499e-14,1.0246291671479007e-10,7.465042568285946e-14
6.958782913375153e-11,0.11224537325959527,0.0,0.0,0.0,0.0,0.9999999887781369,2.208205004889453e-08,1.8046011444304535e-10,2.9315043550212014e-13,1.806297843373232e-10,2.314101648899689e-13
9.999999999999999e-11,0.11224537434901682,0.0,0.0,0.0,0.0,0.9999999838736296,3.1732448487528097e-08,2.593657783025356e-10,6.051440560714606e-13,2.597161619723043e-10,4.777638629200172e-13
1.297718979184736e-10,0.11224537434901682,0.0,0.0,0.0,0.0,0.9999999790722696,4.117956689736113e-08,3.366329958063514e-10,1.0189584028519786e-12,3.372231388565138e-10,8.045507265071825e-13
1.8995596670319564e-10,0.11224537543847726,0.0,0.0,0.0,0.0,0.9999999693659641,6.027664531589707e-08,4.928977863722621e-10,2.1829785108467854e-12,4.941627906957166e-10,1.7239914171505623e-12
2.501400354879177e-10,0.11224537652797652,0.0,0.0,0.0,0.0,0.9999999596592206,7.937328529977475e-08,6.492542828969991e-10,3.785201636541796e-12,6.514489328643325e-10,2.989925801937603e-12
