Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6)
1.9931627616883266e-08,0.1122457327650573,0.0,0.0,0.0,0.0,0.9999967619501473,6.30084162005974e-06,7.564167532608039e-08,2.3974734877165598e-08,5.166694044891479e-08
2.4235415678318322e-08,0.11224581066095708,0.0,0.0,0.0,0.0,0.9999960565184418,7.655037457550428e-06,9.8248970440829e-08,3.542771835778998e-08,6.282125208303903e-08
2.8108824933609873e-08,0.11224588076569993,0.0,0.0,0.0,0.0,0.9999954197445103,8.871888419587687e-06,1.2049390001200116e-07,4.763476008622904e-08,7.285913992577217e-08
3.1982234188901427e-08,0.11224595086872165,0.0,0.0,0.0,0.0,0.9999947811891692,1.0086914164264659e-05,1.4453447649793882e-07,6.163854494373212e-08,8.289593155420669e-08
3.585564344419298e-08,0.1122460209697953,0.0,0.0,0.0,0.0,0.999994140856997,1.1300113499185977e-05,1.7036799467879194e-07,7.743651798217647e-08,9.293147669661549e-08
4.360246195477608e-08,0.11224616116519359,0.0,0.0,0.0,0.0,0.999992854880443,1.3721028266732348e-05,2.2740302470583798e-07,1.144047982604607e-07,1.1299822644537729e-07
5.134928046535919e-08,0.1122463013500968,0.0,0.0,0.0,0.0,0.9999915618513504,1.613462356690984e-05,2.915773065819378e-07,1.5851911951404664e-07,1.3305818706789108e-07
5.9096098975942296e-08,0.11224644152272165,0.0,0.0,0.0,0.0,0.9999902618061168,1.8540890550599436e-05,3.628691242937681e-07,2.097589676027538e-07,1.531101566910143e-07
6.68429174865254e-08,0.1122465816813013,0.0,0.0,0.0,0.0,0.999988954781035,2.0939820673696718e-05,4.412567302989053e-07,2.6810379644230936e-07,1.73152933856596e-07
7.458973599710851e-08,0.11224672182408314,0.0,0.0,0.0,0.0,0.9999876408122915,2.3331405695745675e-05,5.267183464995428e-07,3.335330287976624e-07,1.931853177018806e-07
8.233655450769162e-08,0.11224686194933059,0.0,0.0,0.0,0.0,0.9999863199359673,2.571563767866118e-05,6.192321651775533e-07,4.0602605704318945e-07,2.1320610813436378e-07
9.783019152885783e-08,0.11224714214035192,0.0,0.0,0.0,0.0,0.9999836576043627,3.0462012279702104e-05,8.253290363047312e-07,5.72120923054589e-07,2.532081132501425e-07
9.999999999999998e-08,0.11224742224077797,0.0,0.0,0.0,0.0,0.9999832825798928,3.112436525888088e-05,8.564268417548409e-07,5.976212728524581e-07,2.5880556890238294e-07
