Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32)
1.231542291747599e-15,0.11224537200002228,0.0,0.0,0.0,0.0,0.9999999999998014,3.9080597913129644e-13,3.192630711113938e-15,1.223612406081001e-22,3.1926304942768917e-15,9.656508424765125e-23,1.4380298680509796e-22,3.9635335963889456e-44,2.0244686465985028e-39,1.202157863866869e-46,9.090547339046157e-57,4.2038571727465265e-70,6.476748755507889e-75,1.0100172825058504e-70
2.463619339158137e-15,0.11224537200004459,0.0,0.0,0.0,0.0,0.9999999999996027,7.817816523203663e-13,6.386648053674652e-15,4.896043452030953e-22,6.386647186044076e-15,3.863861364349705e-22,5.753992519857235e-22,6.345339240735212e-43,1.620195192409016e-38,1.9242412278882046e-45,2.9098806453235034e-55,2.6928085943445994e-68,8.265967429279673e-73,6.468146541582955e-69
4.9277734339792126e-15,0.11224537200008922,0.0,0.0,0.0,0.0,0.9999999999992053,1.5637329979635497e-12,1.2774683757050979e-14,1.9587361910074407e-21,1.2774680285964104e-14,1.5457962860836793e-21,2.3019716270316816e-21,1.0155485640126493e-41,1.2964103161902685e-37,3.079430828679998e-44,9.311541025701949e-54,1.7241225531553334e-66,1.0505064388207592e-70,4.140844132537272e-67
9.856081623621364e-15,0.11224537200017841,0.0,0.0,0.0,0.0,0.9999999999984106,3.127635686310091e-12,2.5550759236822173e-14,7.835582423778678e-21,2.555074535134786e-14,6.183689505805449e-21,9.208635449197568e-21,1.6251110891711739e-40,1.0372395277570558e-36,4.927649411832821e-43,2.9787047358207093e-52,1.1036409320328638e-64,1.3249039508706161e-68,2.6504551176570513e-65
1.9712698002905664e-14,0.11224537200035682,0.0,0.0,0.0,0.0,0.9999999999968211,6.255441051243873e-12,5.11029264884303e-14,3.1343605011612343e-20,5.110287094429852e-14,2.4735773541567947e-20,3.683603692851088e-20,2.6003578105576837e-39,8.29851493236051e-36,7.884828375778373e-42,9.524036390622684e-51,7.063602914503968e-63,1.6469782383197638e-66,1.6962910493685184e-63
3.942593076147427e-14,0.11224537200071362,0.0,0.0,0.0,0.0,0.9999999999936422,1.2511051734074227e-11,1.022073261598422e-13,1.2537697033757246e-19,1.0220710397899932e-13,9.894517931529215e-20,1.473471156006212e-19,4.1606952552969416e-38,6.639297178175128e-35,1.2616648778469226e-40,3.0424611308618397e-49,4.520430142061479e-61,1.9928915316819643e-64,1.0854969708373634e-61
7.885239627861147e-14,0.11224537200142727,0.0,0.0,0.0,0.0,0.9999999999872844,2.502227291158611e-11,2.0441638617491036e-13,5.015129788796881e-19,2.0441549744413437e-13,3.9578532020614297e-19,5.8939421878839505e-19,6.657142452735341e-37,5.312025026257229e-34,2.0188822874213444e-39,9.702195601488618e-48,2.8926616776915443e-59,2.2993400534814474e-62,6.945113922670434e-60
1.5770532731288587e-13,0.1122453720028545,0.0,0.0,0.0,0.0,0.9999999999745688,5.004471451401456e-11,4.0883554888971703e-13,2.0060620858368928e-18,4.0883199396162144e-13,1.583153947625791e-18,2.357586952473629e-18,1.0651233787880484e-35,4.250484037311585e-33,3.2308492048598466e-38,3.0833138262992502e-46,2.4456612291069122e-57,3.24300335847549e-60,4.442204652844154e-58
3.1541118938143467e-13,0.11224537200570911,0.0,0.0,0.0,0.0,0.9999999999491375,1.0008959470849018e-10,8.176780450235561e-13,8.024268485740703e-18,8.176638253797304e-13,6.332668810931428e-18,9.430356480863027e-18,1.7041120799902491e-34,3.4017393967989963e-32,5.171349586428092e-37,9.732466236540633e-45,1.5711744918382641e-55,3.1388717319878903e-58,2.8394977174953965e-56
6.308229135185324e-13,0.11224537201141817,0.0,0.0,0.0,0.0,0.9999999998982749,2.001793430559161e-10,1.6353797198325014e-12,3.2097112641485614e-17,1.6353228420226096e-12,2.5331002775522473e-17,3.772135140070136e-17,2.726287762583928e-33,2.7235428683471655e-31,8.280490626632923e-36,3.031999936681896e-43,1.0062811550983518e-53,2.687593213091303e-56,1.8127897297842734e-54
1e-12,0.11224537202283634,0.0,0.0,0.0,0.0,0.9999999998387421,3.173304505226572e-10,2.5925065988660572e-12,8.844977292037365e-17,2.592349865015735e-12,6.980584506770655e-17,1.0394788376869039e-16,2.6653341459422715e-32,1.3900960255344659e-30,8.108880115606535e-35,5.5190022323388474e-42,3.818733970198999e-52,1.2239066545497764e-54,6.831647051045354e-53
1.2616463617927278e-12,0.11224537202283634,0.0,0.0,0.0,0.0,0.9999999997965495,4.0035879158466515e-10,3.270849797410503e-12,1.2838851527255585e-16,3.270622292727866e-12,1.0132643803830918e-16,1.5088452172035942e-16,4.3611128866717227e-32,2.182271569639769e-30,1.326901335677329e-34,9.215590481043848e-42,6.453861948783596e-52,2.0722765695410706e-54,1.154495314702392e-52
1.892469810066923e-12,0.11224537203425451,0.0,0.0,0.0,0.0,0.9999999996948241,6.005381919473056e-10,4.9063866007437676e-12,2.7282562127916506e-16,4.905903163045192e-12,2.1532219096977656e-16,3.2062822961793097e-16,1.6625067087797343e-31,6.246488180865593e-30,4.887976689213954e-34,4.122354315935743e-41,3.20584462414301e-51,1.0688803719262272e-53,6.427323954511973e-52
2.5232932583411186e-12,0.11224537204567274,0.0,0.0,0.0,0.0,0.9999999995930986,8.007175441438316e-10,6.5419901276275725e-12,4.654084197172573e-16,6.54116545516703e-12,3.673198118537773e-16,5.469518322672067e-16,4.47272609263899e-31,1.3190906531447155e-29,1.2408011955118086e-33,1.2066285256253495e-40,1.357242306121462e-50,4.564303632888201e-53,2.421144427111272e-51
3.784940154889509e-12,0.11224537206850911,0.0,0.0,0.0,0.0,0.9999999993896473,1.2010761354939296e-09,9.813353770644502e-12,9.635689756085723e-16,9.811646444323378e-12,7.605079199195662e-16,1.1323865926783542e-15,1.808842852113037e-30,3.6121275647962574e-29,4.347622874267899e-33,5.124580935960693e-40,1.2256105539841377e-49,4.2284853507996586e-52,1.7578966495537585e-50
5.0465870514379e-12,0.11224537209134557,0.0,0.0,0.0,0.0,0.9999999991861956,1.6014345497199695e-09,1.30849627616411e-11,1.6387783241959357e-15,1.3082059133038847e-11,1.2934553277188158e-15,1.9258804667486944e-15,4.899090395349532e-30,7.575399194190707e-29,1.0882201182138165e-32,1.4592436577673242e-39,4.841968127997517e-49,1.7038182021954218e-51,6.45467634071974e-50
7.56988084453468e-12,0.11224537213701838,0.0,0.0,0.0,0.0,0.999999998779291,2.402150796558309e-09,1.9628986289402987e-11,3.5705629177069435e-15,1.962266032642459e-11,2.8183349945572195e-15,4.196035024905707e-15,2.455651472371942e-29,2.40645234553644e-28,5.068000146116438e-32,9.253177620964694e-39,5.847112153462593e-48,2.165582614992775e-50,7.631757122041582e-49
1e-11,0.11224537218269133,0.0,0.0,0.0,0.0,0.99999999838741,3.173299232035803e-09,2.593237021806246e-11,6.155447517288423e-15,2.592146533319464e-11,4.858904230429715e-15,7.23362290569545e-15,7.131188396731472e-29,5.3617161743884595e-28,1.4299200196670955e-31,3.069372172532152e-38,2.69362444314165e-47,1.0121189193785567e-49,3.3730910019126157e-48
1.0093174637631462e-11,0.11224537218269133,0.0,0.0,0.0,0.0,0.9999999983723847,3.202866276711449e-09,2.6174071597616224e-11,6.268705294933157e-15,2.6162966091585747e-11,4.94831480686515e-15,7.366715174636278e-15,7.364799731671052e-29,5.50172978632054e-28,1.4758576969709477e-31,3.1787944841443955e-38,2.805585821446166e-47,1.0544073864736938e-49,3.510993272259753e-48
1.5139762223825025e-11,0.1122453722740374,0.0,0.0,0.0,0.0,0.9999999975585672,4.804294926364099e-09,3.9267441507408046e-11,1.3974651393420303e-14,3.924268797270101e-11,1.1032445973982766e-14,1.64218876307967e-14,3.8065729175621584e-28,1.8582749741514027e-27,7.581606599846747e-31,2.1533429297602124e-37,3.5320438765812554e-46,1.3619918068031748e-48,4.382892913269739e-47
2.5232937396212148e-11,0.11224537245673034,0.0,0.0,0.0,0.0,0.9999999959309117,8.007142980687817e-09,6.546697709387947e-11,3.8627519447406035e-14,6.539857687231325e-11,3.0502537060681996e-14,4.538888812011265e-14,3.1039970694779303e-27,8.947008496388168e-27,6.420643633499901e-30,2.4535509512670443e-36,8.91928695610234e-45,3.507416401927808e-47,1.0970194512691962e-45
4.5419287740986395e-11,0.11224537282211952,0.0,0.0,0.0,0.0,0.9999999926755206,1.4412802099366943e-08,1.1791720740407754e-10,1.249069091112201e-13,1.1769616887856352e-10,9.868442041103921e-14,1.4675022861257297e-13,3.42370295392785e-26,5.601214728141496e-26,7.634349044222245e-29,3.6708529441632575e-35,3.589495196899575e-43,1.4271476870495893e-45,4.127116971723336e-44
6.560563808576065e-11,0.11224537318751307,0.0,0.0,0.0,0.0,0.9999999894200224,2.0818411897434985e-08,1.7043560161844096e-10,2.604847823168514e-13,1.6997489502208975e-10,2.058901681218869e-13,3.0600107513944796e-13,1.3546486571704149e-25,1.6861037723056595e-25,3.0471446977504816e-28,1.5697486747642426e-34,2.5161952086588693e-42,1.0022934394894693e-44,2.5678598374916896e-43
8.57919884305349e-11,0.11224537355291099,0.0,0.0,0.0,0.0,0.9999999861644169,2.7223972373431098e-08,2.23022093101698e-10,4.453620762470098e-13,2.2223482283379932e-10,3.52168997665026e-13,5.231230934917811e-13,3.7173042735587925e-25,3.794752105469784e-25,8.423545739605807e-28,4.526979213885498e-34,1.1136968961665541e-41,4.4416221444183494e-44,1.0319906187384272e-42
