Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11)
4.811614289760752e-16,0.11224537200000874,0.0,0.0,0.0,0.0,0.9999999999999224,1.5268721558904477e-13,1.2473552193305988e-15,1.8681906815603755e-23,1.2473551862242854e-15,1.474339297527708e-23,2.1955596447731807e-23
9.627408956836673e-16,0.11224537200001743,0.0,0.0,0.0,0.0,0.9999999999998448,3.055070872793299e-13,2.4957942048464284e-15,7.477631370915078e-23,2.495794072334899e-15,5.901199534257624e-23,8.787960329085194e-23
1.9258998290988515e-15,0.11224537200003486,0.0,0.0,0.0,0.0,0.9999999999996895,6.111468305476153e-13,4.9926723314448306e-15,2.992026554355099e-22,4.9926718012261324e-15,2.3612485646057e-22,3.516328781605732e-22
3.8522176959292195e-15,0.11224537200006975,0.0,0.0,0.0,0.0,0.9999999999993788,1.222426316635046e-12,9.986429206908554e-15,1.1970054503290998e-21,9.986427085688692e-15,9.44653248379825e-22,1.4067604543211377e-21
7.704853429589956e-15,0.11224537200013948,0.0,0.0,0.0,0.0,0.9999999999987575,2.4449852870133474e-12,1.9973945446903163e-14,4.788411483350259e-21,1.9973936961334677e-14,3.7789210641488196e-21,5.627499565824453e-21
1.541012489691143e-14,0.11224537200027895,0.0,0.0,0.0,0.0,0.999999999997515,4.89010322058371e-12,3.994898788315703e-14,1.915442530209244e-20,3.994895393951411e-14,1.5116303648986933e-20,2.2510912453543065e-20
3.0820667831554374e-14,0.11224537200055787,0.0,0.0,0.0,0.0,0.9999999999950299,9.780339058979475e-12,7.989911258069118e-14,7.661925978848777e-20,7.989897680345483e-14,6.046647923647088e-20,9.004546751172127e-20
6.164175370084027e-14,0.11224537200111576,0.0,0.0,0.0,0.0,0.9999999999900597,1.956081062079117e-11,1.59799521275608e-13,3.0648015486181447e-19,1.5979897816191945e-13,2.418686529192353e-19,3.6018541975061817e-19
1.2328392543941206e-13,0.11224537200223149,0.0,0.0,0.0,0.0,0.9999999999801195,3.91217532844952e-11,3.196009758627779e-13,1.2259268390497496e-18,3.195988034032275e-13,9.67481737003804e-19,1.4407480926581051e-18
2.4656826891655566e-13,0.11224537200446301,0.0,0.0,0.0,0.0,0.9999999999602389,7.824363677222581e-11,6.392064338100026e-13,4.903719700703834e-18,6.391977439997293e-13,3.869954425477192e-18,5.762999711818798e-18
4.931369558708428e-13,0.11224537200892601,0.0,0.0,0.0,0.0,0.9999999999204778,1.5648739638897715e-10,1.2784275446643123e-12,1.961490273402943e-17,1.2783927857792335e-12,1.5479978469869858e-17,2.3051969642309687e-17
9.862743297794171e-13,0.11224537201785201,0.0,0.0,0.0,0.0,0.9999999998409554,3.1297488618763966e-10,2.5569105451589745e-12,7.845965273598446e-17,2.5567715127318556e-12,6.192108189913725e-17,9.220746909059845e-17
1e-12,0.11224537202677802,0.0,0.0,0.0,0.0,0.9999999998387422,3.1733045805919793e-10,2.5924961581698746e-12,8.091642353470711e-17,2.592352772414997e-12,6.386003448048056e-17,9.509470015177593e-17
1.4794117036879915e-12,0.11224537202677802,0.0,0.0,0.0,0.0,0.9999999997614332,4.694623465514592e-10,3.8354343233863225e-12,1.6672678144497583e-16,3.8351388841255824e-12,1.3158398132265937e-16,1.959402209704451e-16
2.46568645150514e-12,0.11224537204463,0.0,0.0,0.0,0.0,0.9999999996023882,7.824371495397208e-10,6.392644982345739e-12,4.609505112529032e-16,6.3918282130572225e-12,3.638028890531778e-16,5.417122776853756e-16
3.353333724540574e-12,0.11224537206069683,0.0,0.0,0.0,0.0,0.9999999994592474,1.0641143771244208e-09,8.694266316424453e-12,8.208162430140105e-16,8.69281193178631e-12,6.47839147624476e-16,9.646233451895679e-16
4.2409809975760075e-12,0.11224537207676365,0.0,0.0,0.0,0.0,0.9999999993161065,1.3457915040426922e-09,1.0996027088344552e-11,1.281305633254319e-15,1.0993756835620368e-11,1.0113080598807268e-15,1.5057816053445012e-15
5.128628270611442e-12,0.11224537209283049,0.0,0.0,0.0,0.0,0.9999999991729653,1.6274685358708334e-09,1.3297919568081257e-11,1.836844704371104e-15,1.3294665080642098e-11,1.4498137546062627e-15,2.1586351219993936e-15
6.903922816682309e-12,0.11224537212496422,0.0,0.0,0.0,0.0,0.9999999988866826,2.1908223826757224e-09,1.790200486747319e-11,3.1646818150054274e-15,1.789639798817828e-11,2.497957343848584e-15,3.7190560837974676e-15
8.679217362753177e-12,0.11224537215709794,0.0,0.0,0.0,0.0,0.999999998600399,2.7541758779885614e-09,2.2506576961960277e-11,4.843860989710569e-15,2.2497995440145252e-11,3.8235030185519355e-15,5.6923334312107785e-15
1e-11,0.1122453721892317,0.0,0.0,0.0,0.0,0.9999999983874096,3.1732990508805543e-09,2.593262111532923e-11,6.336526141452599e-15,2.5921395513297795e-11,5.001869654764301e-15,7.446407599757115e-15
1.0454511908824045e-11,0.1122453721892317,0.0,0.0,0.0,0.0,0.9999999983141148,3.3175289979683265e-09,2.7111668828183437e-11,6.898212755037616e-15,2.7099448290230845e-11,5.44529556291521e-15,8.106458161694778e-15
1.400510100096578e-11,0.11224537225349934,0.0,0.0,0.0,0.0,0.9999999977415438,4.444234090778216e-09,3.632344089783068e-11,1.2153573392216719e-14,3.63019123017833e-11,9.594502123116749e-15,1.4282013450702088e-14
1.7555690093107516e-11,0.11224537231776713,0.0,0.0,0.0,0.0,0.9999999971689693,5.57093765882276e-09,4.553732389381699e-11,1.8933042767953115e-14,4.550378948425057e-11,1.4947618819768736e-14,2.2248302219003277e-14
2.4656868277390986e-11,0.11224537244630309,0.0,0.0,0.0,0.0,0.9999999960238104,7.824340217568147e-09,6.397142485152898e-11,3.7067338651670124e-14,6.390578420487388e-11,2.926940962290158e-14,4.3556063624608385e-14
3.885922464595793e-11,0.11224537270337663,0.0,0.0,0.0,0.0,0.9999999937334533,1.2331127024973592e-08,1.0086495456811876e-10,9.163797003931548e-14,1.0070274773387645e-10,7.238490396060413e-14,1.076693360620945e-13
6.726393738309181e-11,0.11224537321753014,0.0,0.0,0.0,0.0,0.9999999891525793,2.134462739631021e-08,1.7475322426504967e-10,2.7398972164073246e-13,1.7426867435048582e-10,2.1657968791799613e-13,3.218597843795614e-13
9.566865012022569e-11,0.11224537373169241,0.0,0.0,0.0,0.0,0.9999999845714934,3.03580301091686e-08,2.4877630492978335e-10,5.539549279808195e-13,2.477974024826115e-10,4.381557102022336e-13,6.506294697977367e-13
9.999999999999999e-11,0.11224537424586337,0.0,0.0,0.0,0.0,0.9999999838729186,3.17324484097095e-08,2.600756927324338e-10,6.052231958863999e-13,2.5900632679195945e-10,4.787544500501822e-13,7.108258223441314e-13
1.2407336285735958e-10,0.11224537424586337,0.0,0.0,0.0,0.0,0.9999999799901953,3.93713351626752e-08,3.229340069547931e-10,9.315330050049723e-13,3.212891210380649e-10,7.372473845265256e-13,1.093923840388105e-12
1.5247807559449347e-10,0.112245374760043,0.0,0.0,0.0,0.0,0.9999999754086851,4.8384542556184325e-08,3.97226134434963e-10,1.4067230918025895e-12,3.947440249415617e-10,1.1139932727414714e-12,1.6516864735407573e-12
2.0928750106876123e-10,0.11224537578842855,0.0,0.0,0.0,0.0,0.9999999662450288,6.641066436119994e-08,5.462129414701263e-10,2.6499357190660574e-12,5.415441090650671e-10,2.100960095454384e-12,3.1104084384509057e-12
2.66096926543029e-10,0.11224537681684905,0.0,0.0,0.0,0.0,0.9999999570805249,8.443639551985643e-08,6.95735162022933e-10,4.283585086449809e-12,6.881992101851271e-10,3.400163483644531e-12,5.0263468593225005e-12
3.229063520172968e-10,0.11224537784530478,0.0,0.0,0.0,0.0,0.9999999479151741,1.0246173602766525e-07,8.457911570239152e-10,6.307662962911858e-12,8.347109581337311e-10,5.012766044739671e-12,7.399034008375858e-12
3.797157774915646e-10,0.11224537887379579,0.0,0.0,0.0,0.0,0.9999999387489765,1.2048668588027106e-07,9.96379311032943e-10,8.722161092327281e-12,9.810809590983467e-10,6.939916507123872e-12,1.0228011928258512e-11
4.621080007151628e-10,0.11224538036550663,0.0,0.0,0.0,0.0,0.9999999254534929,1.4662805669500647e-07,1.2157237599542354e-09,1.2917688428104745e-11,1.1931165333845221e-09,1.029607867459566e-11,1.5140847745400106e-11
5.44500223938761e-10,0.11224538185729235,0.0,0.0,0.0,0.0,0.9999999121562305,1.727686057653786e-07,1.4361796139626325e-09,1.7934403068019726e-11,1.4048618676241432e-09,1.4319565901781033e-11,2.101123753701615e-11
6.268924471623592e-10,0.11224538334915338,0.0,0.0,0.0,0.0,0.9999998988571913,1.9890833307850522e-07,1.6577421959957698e-09,2.377228067181074e-11,1.6163216116104594e-09,1.9013732422756143e-11,2.7837884279506026e-11
7.092846703859575e-10,0.11224538484108997,0.0,0.0,0.0,0.0,0.9999998855563762,2.2504723862141773e-07,1.8804068435134403e-09,3.043129684494158e-11,1.8275004005534695e-09,2.4381932351723754e-11,3.561950540923846e-11
8.740691168331539e-10,0.11224538782519154,0.0,0.0,0.0,0.0,0.9999998589494239,2.773225843449029e-07,2.329023926093782e-09,4.621264729092727e-11,2.2490334129077546e-09,3.7153746619314125e-11,5.404267956686449e-11
9.999999999999999e-10,0.11224539047145643,0.0,0.0,0.0,0.0,0.9999998386111908,3.1727001528422205e-07,2.6748007508820563e-09,6.048700456765963e-11,2.5704529697215877e-09,4.875715739249445e-11,7.068754568889897e-11
1.020183784479857e-09,0.11224539047145643,0.0,0.0,0.0,0.0,0.9999998353510617,3.236724785711965e-07,2.730456020591686e-09,6.295319481376139e-11,2.6219120590976793e-09,5.076628303804133e-11,7.35616663781642e-11
1.1662984521265599e-09,0.11224539311796472,0.0,0.0,0.0,0.0,0.9999998117471339,3.7001978816866856e-07,3.1352856198002596e-09,8.227582417537234e-11,2.993975150106297e-09,6.654834588248708e-11,9.606566864178225e-11
1.3124131197732628e-09,0.1122453957647184,0.0,0.0,0.0,0.0,0.999999788137647,4.163645130653598e-07,3.5434879248593932e-09,1.0418039915347348e-10,3.365247332360737e-09,8.451815267689153e-11,1.2154824934948296e-10
1.4585277874199658e-09,0.11224539841171947,0.0,0.0,0.0,0.0,0.9999997645226076,4.627066531893787e-07,3.955038494065164e-09,1.2866678350178445e-10,3.735752895151766e-09,1.0469377671227086e-10,1.5000318441807706e-10
1.6046424550666687e-09,0.11224540105896996,0.0,0.0,0.0,0.0,0.9999997409020218,5.090462084688878e-07,4.3699131993786435e-09,1.557348409544566e-10,4.105515814121937e-09,1.2709316477641477e-10,1.814244369275393e-10
1.7507571227133717e-09,0.11224540370647193,0.0,0.0,0.0,0.0,0.999999717275896,5.553831788321026e-07,4.7880882176544525e-09,1.8538443522504668e-10,4.474559760033448e-09,1.5173414075152666e-10,2.1580615194950502e-10
2.0429864580067778e-09,0.11224540900223785,0.0,0.0,0.0,0.0,0.9999996700070469,6.480493645227923e-07,5.634245452203114e-09,2.524276889648034e-10,5.210583864090434e-09,2.0781152621722168e-10,2.934284757911603e-10
2.3352157933001837e-09,0.11224541429903291,0.0,0.0,0.0,0.0,0.9999996227161057,7.407052096882837e-07,6.493325796024726e-09,3.297954540085246e-10,5.944008390161566e-09,2.730660305076632e-10,3.8282700643498156e-10
2.6274451285935896e-09,0.11224541959687251,0.0,0.0,0.0,0.0,0.9999995754031143,8.333507137562859e-07,7.365149724847788e-09,4.17486639332722e-10,6.675011643822535e-09,3.47635783651278e-10,4.839615044975442e-10
2.9196744638869954e-09,0.11224542489577184,0.0,0.0,0.0,0.0,0.9999995280681124,9.259858761553539e-07,8.249542459482946e-09,5.155001536338109e-10,7.403767185691696e-09,4.316570014536753e-10,5.967945615323944e-10
3.2119037991804013e-09,0.11224543019574593,0.0,0.0,0.0,0.0,0.9999994807111365,1.0186106963148529e-06,9.146333822073996e-09,6.238349053580188e-10,8.130443975151858e-09,5.252640433210274e-10,7.212915141030863e-10
