Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14)
5.230776206562881e-16,0.11224537200000949,0.0,0.0,0.0,0.0,0.9999999999999156,1.659885032847694e-13,1.3560180889998707e-15,2.2078617145520042e-23,1.3560180498742272e-15,1.742400990688762e-23,2.5947523063386723e-23,1.2906225336072139e-45,1.5520175143208496e-40
1.0466096962392976e-15,0.11224537200001894,0.0,0.0,0.0,0.0,0.9999999999998312,3.321212189521575e-13,2.713214360967698e-15,8.837200710926558e-23,2.7132142043631634e-15,6.974144925750834e-23,1.0385771289038635e-22,2.067398829327405e-44,1.242559364575729e-39
2.0936738474053166e-15,0.1122453720000379,0.0,0.0,0.0,0.0,0.9999999999996624,6.643866501542333e-13,5.427607088754957e-15,3.5360313822956975e-22,5.4276064621328634e-15,2.7905665027522226e-22,4.155661280172592e-22,3.3097607070554265e-43,9.944277878706158e-39
4.187802149737355e-15,0.11224537200007581,0.0,0.0,0.0,0.0,0.9999999999993247,1.3289175120275829e-12,1.0856393279735821e-14,1.4146428048352002e-21,1.085639077283966e-14,1.116408398298811e-21,1.6625350766347295e-21,5.297152817894564e-42,7.956975707382489e-38
8.37605875440143e-15,0.11224537200015162,0.0,0.0,0.0,0.0,0.9999999999986493,2.6579792336510752e-12,2.171396860332228e-14,5.6590317522567136e-21,2.1713958574923472e-14,4.465997732076702e-21,6.650681259102561e-21,8.476664038018529e-41,6.366253027047771e-37
1.6752571963729582e-14,0.11224537200030325,0.0,0.0,0.0,0.0,0.9999999999972985,5.316102668405231e-12,4.342913101698894e-14,2.2637048077942022e-20,4.34290909017771e-14,1.7864723380778286e-20,2.660380525919608e-20,1.3563608655954054e-39,5.0933530747413856e-36
3.350559838238588e-14,0.11224537200060647,0.0,0.0,0.0,0.0,0.999999999994597,1.0632349503942225e-11,8.685950291025596e-14,9.055003424469203e-20,8.685934244626948e-14,7.14603916445228e-20,1.0641736775386261e-19,2.1702436409854318e-38,4.0749533729142735e-35
6.701165121969849e-14,0.11224537200121293,0.0,0.0,0.0,0.0,0.9999999999891939,2.126484303913095e-11,1.7372043496019435e-13,3.622038189757918e-19,1.737197930987234e-13,2.858448283710345e-19,4.2567365435250225e-19,3.4724126153774385e-37,3.260280103368544e-34
1.340237568943237e-13,0.1122453720024259,0.0,0.0,0.0,0.0,0.9999999999783876,4.252982956596733e-11,3.4744305211104487e-13,1.4488226247170448e-18,3.474404846601367e-13,1.1433879612828825e-18,1.7027021030477778e-18,5.5557817040128923e-36,2.6086855088727802e-33
2.680479682435741e-13,0.11224537200485178,0.0,0.0,0.0,0.0,0.9999999999567751,8.505980044547586e-11,6.948912985954938e-13,5.795305074824997e-18,6.948810288300169e-13,4.573586134139359e-18,6.810816335071088e-18,8.888878545197275e-35,2.0876681241235488e-32
5.36096390942075e-13,0.11224537200970357,0.0,0.0,0.0,0.0,0.9999999999135503,1.7011973350783577e-10,1.389799840126203e-12,2.3181248477616318e-17,1.3897587615262426e-12,1.8294549059893065e-17,2.7243224801248586e-17,1.4220918004106139e-33,1.6712786334000928e-31
1e-12,0.11224537201940715,0.0,0.0,0.0,0.0,0.9999999998387421,3.173304556146273e-10,2.592499544770948e-12,8.335995928593665e-17,2.5923518293326745e-12,6.57886100539964e-17,9.79663495477039e-17,1.9877257058449886e-32,1.1810610914010038e-30
1.0721932363390766e-12,0.11224537201940715,0.0,0.0,0.0,0.0,0.9999999998271004,3.4023956484592606e-10,2.7796651160815047e-12,9.272504247808646e-17,2.7795008056904857e-12,7.317969282011839e-17,1.0897236709050193e-16,2.274927202262746e-32,1.338850597100474e-30
1.6082900817360783e-12,0.11224537202911078,0.0,0.0,0.0,0.0,0.9999999997406505,5.103593613973834e-10,4.169578583577385e-12,1.9704073695631244e-16,4.169229429972293e-12,1.5550900605372965e-16,2.315654401211174e-16,8.672417351473537e-32,3.831752386202633e-30
