Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.1687625138757047e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999999,1.3228756555322953e-16,0.0
1.1672535038851973e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999998,3.704051835490427e-16,0.0
2.668008008880451e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999996,8.466404195406688e-16,0.0
5.669517018870958e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.9999999999999991,1.7991108915239203e-15,0.0
1.1672535038851973e-17,0.1122453720000002,0.0,0.0,0.0,0.0,0.9999999999999981,3.704051835490422e-15,0.0
2.3678571078814002e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.9999999999999962,7.513933723423419e-15,0.0
4.7690643158738064e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.9999999999999925,1.513369749928938e-14,0.0
9.571478731858618e-17,0.1122453720000017,0.0,0.0,0.0,0.0,0.9999999999999848,3.037322505102119e-14,0.0
1.9176307563828242e-16,0.11224537200000342,0.0,0.0,0.0,0.0,0.9999999999999696,6.085228015448434e-14,0.0
3.838596522776749e-16,0.11224537200000682,0.0,0.0,0.0,0.0,0.999999999999939,1.2181039036140877e-13,0.0
7.680528055564598e-16,0.11224537200001368,0.0,0.0,0.0,0.0,0.9999999999998781,2.4372661077525024e-13,0.0
1.5364391121140296e-15,0.11224537200002736,0.0,0.0,0.0,0.0,0.9999999999997562,4.875590516029034e-13,0.0
3.0732117252291694e-15,0.11224537200005474,0.0,0.0,0.0,0.0,0.9999999999995124,9.75223933258091e-13,0.0
6.146756951459449e-15,0.11224537200010949,0.0,0.0,0.0,0.0,0.9999999999990248,1.9505536965679906e-12,0.0
1.2293847403920008e-14,0.11224537200021896,0.0,0.0,0.0,0.0,0.9999999999980494,3.901213223185888e-12,0.0
2.4588028308841128e-14,0.11224537200043791,0.0,0.0,0.0,0.0,0.9999999999960988,7.80253227641407e-12,0.0
4.9176390118683364e-14,0.11224537200087581,0.0,0.0,0.0,0.0,0.9999999999921975,1.5605170382839992e-11,0.0
9.835311373836784e-14,0.11224537200175162,0.0,0.0,0.0,0.0,0.9999999999843948,3.121044659557007e-11,0.0
1.967065609777368e-13,0.11224537200350325,0.0,0.0,0.0,0.0,0.9999999999687895,6.242099902054306e-11,0.0
3.934134554564747e-13,0.11224537200700646,0.0,0.0,0.0,0.0,0.9999999999375789,1.2484210386854012e-10,0.0
