Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41)
9.442237394107727e-11,0.11224537370913298,0.0,0.0,0.0,0.0,0.9999999847724965,2.996256314365437e-08,2.45525440611395e-10,5.39435556933687e-13,2.4457209471138587e-10,4.2663545694364506e-13,6.335906284826798e-13,5.384706027161015e-25,5.096871204282105e-25,1.2239910573428384e-27,6.67462713055698e-34,1.9660198433459827e-41,7.845693113778802e-44,1.7622563637382088e-42,4.4482333448565157e-44,2.4139024189870914e-44
9.999999999999999e-11,0.112245374094303,0.0,0.0,0.0,0.0,0.9999999838729192,3.173244859835233e-08,2.60075473367225e-10,6.050349438860413e-13,2.590063579311713e-10,4.785761883610358e-13,7.106164344464943e-13,6.753765151875377e-25,6.101379706086177e-25,1.54287812845179e-27,8.490969202364868e-34,2.83950499042584e-41,1.1335467599797001e-43,2.476560094605234e-42,6.715369115995141e-44,3.644974102765064e-44
1.1570065551961456e-10,0.112245374094303,0.0,0.0,0.0,0.0,0.999999981340623,3.671454111694844e-08,3.0106074560687005e-10,8.099023020323534e-13,2.996302076862611e-10,6.408326691633896e-13,9.511504784543078e-13,1.1709268222707758e-24,9.55622293717887e-25,2.7042355646679002e-27,1.5158269597603085e-33,6.372358844726227e-41,2.545278437708741e-43,5.319596502657097e-42,1.6102467358917445e-43,8.7427494669418795e-44
1.5825721867668915e-10,0.11224537486465765,0.0,0.0,0.0,0.0,0.9999999744765186,5.0218332652689926e-08,4.123577065229675e-10,1.5151661992609201e-12,4.0968441111422865e-10,1.1999263201937186e-12,1.7789909249404555e-12,3.906176818140585e-24,2.551674639794831e-24,9.362128235168166e-27,5.443179681650252e-33,4.240836973717605e-40,1.696524895251825e-42,3.1481647036506864e-41,1.3303611543731303e-42,7.22930855944595e-43
2.0081378183376374e-10,0.11224537563503183,0.0,0.0,0.0,0.0,0.999999967611938,6.372190497259378e-08,5.239559102845557e-10,2.439534384561761e-12,5.196564729726008e-10,1.9336800290862637e-12,2.8636314928008178e-12,9.799160437101758e-24,5.4670258369408816e-24,2.437117020249181e-26,1.4489252755027465e-32,1.703472436567048e-39,6.8190613310412e-42,1.155976499768557e-40,6.112414915100452e-42,3.323211955285452e-42
2.433703449908383e-10,0.1122453764054257,0.0,0.0,0.0,0.0,0.9999999607468821,7.722525807486412e-08,6.358546643157348e-10,3.583003306429451e-12,6.295470818621742e-10,2.842583838831256e-12,4.204873412432976e-12,2.070851812129261e-23,1.0239129351561479e-23,5.359801935323419e-26,3.2368225804628276e-32,5.349332063695828e-39,2.1426911050612037e-41,3.3548020551618114e-40,2.156848874805149e-41,1.1731715154270715e-41
3.2848347130498747e-10,0.11224537794627265,0.0,0.0,0.0,0.0,0.999999947015344,1.0423130661909522e-07,8.605511510270032e-10,6.527229957855225e-12,8.490865978473811e-10,5.187740211093774e-12,7.656401822088171e-12,6.841893010347861e-23,2.809780286341295e-23,1.9766547367614902e-25,1.222107100945676e-31,4.0135726451657407e-38,1.6098684434705739e-40,2.1035522610761256e-39,2.4891459194248397e-40,1.355838349692055e-40
4.1359659761913664e-10,0.11224537948719884,0.0,0.0,0.0,0.0,0.999999933281906,1.312364782710079e-07,1.0864418579027049e-09,1.0347819109860477e-11,1.0683082375068932e-09,8.239169530094029e-12,1.213207017333361e-11,1.7012224779420382e-22,6.189280490222957e-23,5.409782871980384e-25,3.3899779988971097e-31,1.7274015075837683e-37,6.932312935059627e-40,8.09445960141998e-39,1.3169604170909007e-39,7.178359936557221e-40
4.987097239332858e-10,0.11224538102820465,0.0,0.0,0.0,0.0,0.9999999195465689,1.582407730163177e-07,1.313521551324819e-09,1.504474390057991e-11,1.2872172043506282e-09,1.2000605013771398e-11,1.7630406551111894e-11,3.5489942714237437e-22,1.1854046984438405e-22,1.2306024117199961e-24,7.779731104214348e-31,5.6005266065563636e-37,2.248294587637357e-39,2.3974716233595126e-38,4.959655706819411e-39,2.704779008226605e-39
5.83822850247435e-10,0.11224538256929059,0.0,0.0,0.0,0.0,0.9999999058093347,1.8524419084076264e-07,1.5417850431834047e-09,2.06179774793745e-11,1.5058186563999358e-09,1.6475760366477206e-11,2.4149965019496642e-11,6.578848580075158e-22,2.0618385560615806e-22,2.4720951786067008e-24,1.5727595806983598e-30,1.520840509546026e-36,6.106727589007869e-39,6.03935098656912e-38,1.5239160763780502e-38,8.314483700363365e-39
6.689359765615842e-10,0.11224538411045698,0.0,0.0,0.0,0.0,0.9999998920702048,2.1224673173008238e-07,1.7712271825139753e-09,2.7067492967868816e-11,1.724117714506353e-09,2.166833549915443e-11,3.168932302066151e-11,1.1199203351696795e-21,3.341889756451499e-22,4.538867579065815e-24,2.9015694554959353e-30,3.6356480241662256e-36,1.4601118797995955e-38,1.3517314890064803e-37,4.0608917674054536e-38,2.216507101940767e-38
8.391622291898825e-10,0.11224538719303292,0.0,0.0,0.0,0.0,0.9999998645862636,2.662491826463149e-07,2.2336269783425274e-09,4.2595262085030127e-11,2.159828953630938e-09,3.4220476082196365e-11,4.982185739934173e-11,2.708940879474883e-21,7.544519238023116e-22,1.2632067164439558e-23,8.130949858633638e-30,1.5997383775110086e-35,6.426546972666528e-38,5.2816139908260875e-37,2.2045711249336744e-37,1.2042936740838768e-37
9.999999999999999e-10,0.11224539027593573,0.0,0.0,0.0,0.0,0.9999998386111913,3.1727001547313115e-07,2.6748005281418914e-09,6.048681715826933e-11,2.5704530051469002e-09,4.875693228917638e-11,7.068728521508917e-11,5.3525966466035745e-21,1.4285216287555745e-21,2.816173185712114e-23,1.8208031631716853e-29,5.059566174695642e-35,2.0329260308107736e-37,1.523485788088751e-36,8.167063893984912e-37,4.464329219351372e-37
1.0093884818181808e-09,0.11224539027593573,0.0,0.0,0.0,0.0,0.9999998370947564,3.2024812565100607e-07,2.700680492285785e-09,6.162783595316254e-11,2.5943911271595247e-09,4.96863301768946e-11,7.201709477127006e-11,5.5502104149939746e-21,1.4782741877281035e-21,2.939615683695954e-23,1.9010279188639308e-29,5.374549910360052e-35,2.159503735526724e-37,1.6110979966318614e-36,8.738627576561949e-37,4.776899996596188e-37
1.1796147344464792e-09,0.11224539335916861,0.0,0.0,0.0,0.0,0.9999998095956942,3.74243560630249e-07,3.17234790173824e-09,8.416499919962915e-11,3.0278438166135224e-09,6.809495108820044e-11,9.826449406494602e-11,1.0144841294716676e-20,2.6237565172156654e-21,6.038206388181577e-23,3.918146773689241e-29,1.5007708433639852e-34,6.03094517419537e-37,4.156758770334063e-36,2.7997922484635735e-36,1.5313989059756237e-36
1.3498409870747775e-09,0.1122453964427348,0.0,0.0,0.0,0.0,0.9999997820890877,4.282354874702536e-07,3.648589999437258e-09,1.1020653642806671e-10,3.4602259882266198e-09,8.947514288262934e-11,1.2855388029769155e-10,1.7058350111281364e-20,4.3278872695762615e-21,1.1310106394056792e-22,7.358014383283836e-29,3.664643636099136e-34,1.4728141438162223e-36,9.497850907472321e-36,7.705123845389406e-36,4.2167897538131914e-36
1.6902934923313742e-09,0.11224540261087994,0.0,0.0,0.0,0.0,0.9999997270532822,5.36208816277944e-07,4.614644417940179e-09,1.7280187105861494e-10,4.321931655614777e-09,1.412642488149567e-10,2.0121969450446157e-10,4.037897393165686e-20,1.005410295918598e-20,3.2597647276873903e-22,2.1285700189938367e-28,1.6791413403786398e-33,6.749547878129718e-36,3.8702191442270486e-35,4.487639150755581e-35,2.459191170640684e-35
2.030745997587971e-09,0.11224540878039622,0.0,0.0,0.0,0.0,0.999999671987417,6.441681111659483e-07,5.598542002780448e-09,2.494121159067454e-10,5.179807946726079e-09,2.0527927114549925e-10,2.8994024133217956e-10,8.111699437633058e-20,2.0129348052134514e-20,7.785002505942999e-22,5.096152752321216e-28,5.7720732417257375e-33,2.320402391190759e-35,1.2227855901785205e-34,1.8404221275095114e-34,1.0096106138731725e-34
2.3711985028445676e-09,0.11224541495130844,0.0,0.0,0.0,0.0,0.999999616891564,7.521133712277976e-07,6.5999902533963975e-09,3.400355463748791e-10,6.034145434824822e-09,2.8174210606477917e-10,3.9464674236647805e-10,1.455992131617764e-19,3.6326230169453015e-20,1.6306540312586824e-21,1.0693581271265311e-27,1.635399712181028e-32,6.574851880113456e-35,3.245740429199153e-34,6.010710581588249e-34,3.3004743436324058e-34
2.7116510081011643e-09,0.11224542112364091,0.0,0.0,0.0,0.0,0.9999995617657901,8.600445955586125e-07,7.618705620764373e-09,4.4467043726712416e-10,6.885225741883673e-09,3.7087104074381907e-10,5.152757618886339e-10,2.407495042989846e-19,6.071583559371597e-20,3.1015477620226878e-21,2.036700674324195e-27,4.036209862276268e-32,1.6227771229159872e-34,7.600611221658002e-34,1.6753918746766087e-33,9.207854366347517e-34
3.052103513357761e-09,0.11224542729741761,0.0,0.0,0.0,0.0,0.9999995066101567,9.679617832550493e-07,8.654413227813695e-09,5.633150628771768e-10,7.73332181813708e-09,4.728808643733912e-10,6.51769038301563e-10,3.739955820518109e-19,9.56657794321118e-20,5.478789545777556e-21,3.601584371075242e-27,8.972801761580887e-32,3.6077088149001988e-34,1.6167859514032455e-33,4.1491522682943915e-33,2.282348631159733e-33
3.3925560186143577e-09,0.11224543347266207,0.0,0.0,0.0,0.0,0.9999994514247196,1.0758649334152432e-06,9.70684660511681e-09,6.959676970593698e-10,8.57869820635007e-09,5.879829736386414e-10,8.040733252795411e-10,5.532016730530468e-19,1.4383825172829897e-19,9.127516028990617e-21,6.005266281145248e-27,1.836598083315497e-31,7.384692146470952e-34,3.186721172938468e-33,9.364862595997455e-33,5.1558405967026565e-33
4.073461029127551e-09,0.11224544582764684,0.0,0.0,0.0,0.0,0.9999993409646374,1.2916291175265342e-06,1.1860865369235043e-08,1.0032900846293116e-09,1.0262309513772679e-08,8.582932624211395e-10,1.1559261494027479e-09,1.0828615595534185e-18,2.919612814958805e-19,2.2139363621181402e-20,1.458495426093297e-26,6.3716944876262615e-31,2.5621001577424022e-33,1.0392966621072348e-32,3.877735380960159e-32,2.138792136641301e-32
4.754366039640744e-09,0.11224545818877649,0.0,0.0,0.0,0.0,0.9999992303858998,1.5073371407051397e-06,1.4078788771330612e-08,1.366623783967242e-09,1.1938017394029456e-08,1.1834290660714936e-09,1.5705028655302298e-09,1.8995818213709215e-18,5.322005726279139e-19,4.6947548140510023e-20,3.0956833182231145e-26,1.826210609732107e-30,7.343591698521731e-33,2.8398248189485035e-32,1.291187897614478e-31,7.134238403661347e-32
5.435271050153937e-09,0.11224547055622718,0.0,0.0,0.0,0.0,0.9999991196887925,1.722988995784043e-06,1.6358762474645753e-08,1.785954975199929e-09,1.3607660771318274e-08,1.5649695841008763e-09,2.047542952767044e-09,3.0776534405613412e-18,8.962599854981796e-19,9.017351427972959e-20,5.950141777712787e-26,4.546732234157314e-30,1.8283925827156158e-32,6.808335566423028e-32,3.6594900471062607e-31,2.025481945567441e-31
6.116176060667131e-09,0.11224548293016964,0.0,0.0,0.0,0.0,0.9999990088735343,1.9385846756150666e-06,1.869904379530124e-08,2.2612698360294513e-09,1.5272966914821827e-08,2.0044489311628845e-09,2.5868524605346484e-09,4.695171045558898e-18,1.4203677714286678e-18,1.6052908789147543e-19,1.0598397407798544e-25,1.0164388737946175e-29,4.087530682511103e-32,1.475983389895312e-31,9.172458261946298e-31,5.08549998066731e-31
6.797081071180324e-09,0.11224549531077016,0.0,0.0,0.0,0.0,0.9999988979402822,2.154124173067511e-06,2.1097994978403965e-08,2.792554543116699e-09,1.6935558161285557e-08,2.5033588367076033e-09,3.188299984298065e-09,6.83360465718863e-18,2.145212119419059e-18,2.6909226895342764e-19,1.7773743664901204e-25,2.0871734711292114e-29,8.393557875366069e-32,2.9544733936305134e-31,2.0872407569028868e-30,1.1591963181658254e-30
7.477986081693517e-09,0.11224550769819049,0.0,0.0,0.0,0.0,0.9999987868891338,2.3696074810268917e-06,2.3554076841113416e-08,3.379795273361459e-09,1.8596958270725346e-08,3.0631511974354416e-09,3.8518128610591924e-09,9.577470190938175e-18,3.1158767187791213e-18,4.2957998158231114e-19,2.8384330783968655e-25,4.0007460664745944e-29,1.6089217614454276e-31,5.542443034398591e-31,4.39244276201984e-30,2.4435805434758252e-30
