Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.867615201636818e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999998,2.1793040336471794e-16,1.7803495818223643e-18,5.706293233308099e-29,1.7803495817212433e-18,4.503294171157113e-29,6.706225081116519e-29,1.0773394853071653e-56,9.210287398855424e-49,5.7163207183969575e-59,4.668908895196918e-72,1.298726763039052e-88,2.2216883191890467e-96,2.939094204270852e-89,1.0464946612270229e-98
1.922932256458309e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,6.102051294210254e-16,4.984978829358879e-18,3.4466011129172596e-28,4.984978828748105e-18,2.7199896794955726e-28,4.050559948945982e-28,3.387327714832047e-55,1.0934453233137144e-47,1.2787180831331997e-57,1.9266381384212722e-70,1.0021557505369301e-86,3.1080438347286835e-94,3.343007566732835e-87,1.4762725864147106e-96
4.395273729047563e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999992,1.3947545815329003e-15,1.1394237325456941e-17,1.6593900722447433e-27,1.1394237322516328e-17,1.309557945147502e-27,1.9501702535160907e-27,7.556941788709604e-54,1.0735511091360553e-46,2.52653146506033e-56,7.62158721360661e-69,1.0921983376827547e-84,6.7571990295006e-92,3.026411985353734e-85,3.195699979684194e-94
9.339956674226072e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.9999999999999984,2.963853485753691e-15,2.4212754321753202e-17,7.246992406288343e-27,2.421275430891076e-17,5.719183599178004e-27,8.516905852267848e-27,1.4153315603077945e-52,9.495438102151517e-46,4.495827803945768e-55,2.7200891472178546e-67,8.934860197293616e-83,1.1072167040026505e-89,2.293750871416655e-83,5.228055950029841e-92
1.9229322564583092e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.9999999999999969,6.102051294183435e-15,4.9849788330746233e-17,3.025476672288301e-26,4.984978827713159e-17,2.3876465711751238e-26,3.5556405373328595e-26,2.444633293959116e-51,7.981488065573406e-45,7.582870897096412e-54,9.190558395475874e-66,6.430483268982647e-81,1.5950405544349237e-87,1.5949320126131337e-81,7.526517499559907e-90
3.900805434529713e-17,0.11224537200000068,0.0,0.0,0.0,0.0,0.9999999999999937,1.2378446910995571e-14,1.0112385641433443e-16,1.2360059394976e-25,1.0112385619530109e-16,9.754315320273688e-26,1.4525951768985617e-25,4.061794752677932e-50,6.543706461404815e-44,1.2454888815295825e-52,3.0216492214005986e-64,4.3587902614166326e-79,2.1631482352067705e-85,1.0635057472824124e-79,1.0204614211285523e-87
7.85655179067252e-17,0.11224537200000143,0.0,0.0,0.0,0.0,0.9999999999999873,2.4931238144430447e-14,2.0367199284391922e-16,4.996133627755264e-25,2.0367199195855151e-16,3.942850216303866e-25,5.871621952619527e-25,6.621750500224079e-49,5.299263674326635e-43,2.0189913422236627e-51,9.80061242921034e-63,2.87002233174104e-77,2.8489045325445144e-83,6.946719582984833e-78,1.3439238048199737e-85
1.5768044502958135e-16,0.11224537200000288,0.0,0.0,0.0,0.0,0.9999999999999746,5.003682061054259e-14,4.0876826675272247e-16,2.0089233578932032e-24,4.0876826319269783e-16,1.5854027353269755e-24,2.3609533608936456e-24,1.0694144452479666e-47,4.265309275477339e-42,3.25152393787671e-50,3.157375684985557e-61,1.8629548518194057e-75,3.6979951207307773e-81,4.491352995699017e-76,1.744765063045349e-83
3.1591029927529364e-16,0.11224537200000574,0.0,0.0,0.0,0.0,0.999999999999949,1.0024798553973644e-13,8.189608187688638e-16,8.056681177817898e-24,8.189608044915729e-16,6.3581740945539106e-24,9.46847892395773e-24,1.7190523930971411e-46,3.422643429665416e-41,5.219418025158499e-49,1.0137528871994125e-59,1.200721836029614e-73,4.764826583085775e-79,2.889098692793435e-74,2.249131655185608e-81
6.323700077667183e-16,0.11224537200001143,0.0,0.0,0.0,0.0,0.999999999999898,2.006703153860025e-13,1.6393459395952842e-15,3.226874813502276e-23,1.639345882411652e-15,2.5465860736091603e-23,3.7923302896094215e-23,2.7568918164809217e-45,2.7422819099968114e-40,8.364684629320503e-48,3.249380678204906e-58,7.71169103110881e-72,6.11462446983806e-77,1.853716659282344e-72,2.8890567053571834e-79
1.2652894247495674e-15,0.11224537200002291,0.0,0.0,0.0,0.0,0.9999999999997959,4.015149750300479e-13,3.2801162484246767e-15,1.2915908730763915e-22,3.2801160195411295e-15,1.0192981127749261e-22,1.5179204157484474e-22,4.4161592949663506e-44,2.19549643179757e-39,1.3394414331515509e-46,1.0406183307623835e-56,4.944143798716405e-70,7.825197996826208e-75,1.187878363451015e-70,3.7044995178011714e-77
2.531128258715266e-15,0.11224537200004585,0.0,0.0,0.0,0.0,0.9999999999995918,8.032042941241919e-13,6.56165713478965e-15,5.168045865959768e-22,6.5616562189573784e-15,4.07852033921519e-22,6.073658766738116e-22,7.069961149215981e-43,1.7570699701377555e-38,2.1439851755818367e-45,3.3310052312061785e-55,3.167003056180837e-68,9.985889929326302e-73,7.607166062157934e-69,4.745893021151978e-75
5.0628059266466626e-15,0.11224537200009163,0.0,0.0,0.0,0.0,0.9999999999991835,1.6065829315366927e-12,1.3124739982344203e-14,2.067554868227299e-21,1.3124736318419195e-14,1.6316738656778302e-21,2.4298589362660754e-21,1.1315216495816183e-41,1.4059318477855212e-37,3.431095348301422e-44,1.0659064748506481e-53,2.027733386585776e-66,1.26882708858194e-70,4.8700305796152454e-67,6.077302232149845e-73
1.0126161262509455e-14,0.1122453720001833,0.0,0.0,0.0,0.0,0.9999999999983671,3.2133402032585446e-12,2.6250909976750596e-14,8.270892557966343e-21,2.6250895319861228e-14,6.5272278768501616e-21,9.720226280455955e-21,1.810694593585151e-40,1.1248665339122906e-36,5.4903784002295705e-43,3.409728499786444e-52,1.2979859530087386e-64,1.5996075192613946e-68,3.1171864279091017e-65,7.780370040736094e-71
2.0252871934235042e-14,0.11224537200036655,0.0,0.0,0.0,0.0,0.9999999999967341,6.426854734289654e-12,5.25032671627434e-14,3.308491639741255e-20,5.250320853282799e-14,2.610998370412367e-20,3.8882483208286465e-20,2.897311709932181e-39,8.999587646497672e-36,8.78526780476561e-42,1.0901920557732083e-50,8.307446169093883e-63,1.986931432827599e-66,1.9949946154077225e-63,9.959279493607886e-69
4.0506293277686215e-14,0.11224537200073319,0.0,0.0,0.0,0.0,0.999999999993468,1.2853883746701486e-11,1.050080503233761e-13,1.323423575486774e-19,1.0500781579916486e-13,1.0444213789265171e-19,1.5553306473726567e-19,4.635834645836357e-38,7.200206079144523e-35,1.4057475709111491e-40,3.482461379668299e-49,5.316423313381965e-61,2.4008557645730528e-64,1.2766388132642458e-61,1.2747053136527847e-66
8.101313596458857e-14,0.11224537200146638,0.0,0.0,0.0,0.0,0.999999999986936,2.570794157292361e-11,2.1001789179864604e-13,5.293748108006971e-19,2.1001695369403264e-13,4.1777342691888587e-19,6.221383282139095e-19,7.4173661337700635e-37,5.760817340267756e-34,2.2494454335164103e-39,1.1104272983814012e-47,3.402010910485006e-59,2.763398602445071e-62,8.167985288235704e-60,1.63137910790669e-64
1.6202682133839326e-13,0.11224537200293278,0.0,0.0,0.0,0.0,0.9999999999738719,5.141605643096169e-11,4.2003867536053325e-13,2.1175099775826972e-18,4.2003492293718946e-13,1.671107211660161e-18,2.488563894665877e-18,1.1867560627314496e-35,4.6096158077220756e-33,3.5998418829827325e-38,3.528226011605029e-46,2.8762923413566434e-57,3.883526615527742e-60,5.2242833080516284e-58,2.7407427810024055e-62
3.240541920860026e-13,0.1122453720058655,0.0,0.0,0.0,0.0,0.9999999999477437,1.0283228296941315e-10,8.400846448923304e-13,8.470061164098519e-18,8.400696352743499e-13,6.684485880411707e-18,9.954264288486305e-18,1.8987117893389576e-34,3.689198927284403e-32,5.762025504814391e-37,1.1132743335158645e-44,1.8478370123860557e-55,3.741901724478201e-58,3.3392938001427866e-56,3.5277013107008905e-60
6.481089335812214e-13,0.11224537201173107,0.0,0.0,0.0,0.0,0.9999999998954874,2.0566472333581711e-10,1.680194193289095e-12,3.3880285443656796e-17,1.6801341556493372e-12,2.673829779153321e-17,3.981697494845115e-17,3.0376049137805007e-33,2.953756050945838e-31,9.226488014537803e-36,3.465796457329677e-43,1.1834980719135687e-53,3.1895438941092247e-56,2.1317223098387623e-54,4.5187839053430395e-58
1e-12,0.11224537202346212,0.0,0.0,0.0,0.0,0.9999999998387421,3.1733044990594017e-10,2.592507453212894e-12,8.90662287559351e-17,2.5923496271204324e-12,7.02924049614844e-17,1.0467233681394369e-16,2.777073040539874e-32,1.4200743350611614e-30,8.44950414745109e-35,5.870488038386011e-42,4.175500388928884e-52,1.345094472888103e-54,7.467578688777823e-53,3.1675346010560144e-56
1.296218416571659e-12,0.11224537202346212,0.0,0.0,0.0,0.0,0.9999999997909745,4.113295532266277e-10,3.3604837250240803e-12,1.3552120958662795e-16,3.3602435815800775e-12,1.0695582126350962e-16,1.59266938471478e-16,4.859083062719942e-32,2.3668345932894073e-30,1.4785536474290148e-34,1.052045944576262e-41,7.590769589553699e-52,2.4505324211657734e-54,1.357426623832076e-52,5.795895199239974e-56
1.9443278995620968e-12,0.11224537203519322,0.0,0.0,0.0,0.0,0.9999999996864616,6.169943322754344e-10,5.040843689309419e-12,2.879825974448563e-16,5.04033339506937e-12,2.2728492568840994e-16,3.384407469897754e-16,1.8523335764552698e-31,6.774971646432605e-30,5.4467510639110674e-34,4.703684868071535e-41,3.7706480615693265e-51,1.2629964853979228e-53,7.556729702171195e-52,3.4410706638591364e-55
2.5924373825525345e-12,0.11224537204692425,0.0,0.0,0.0,0.0,0.9999999995819485,8.226590604822311e-10,6.7212740837541486e-12,4.912644371497283e-16,6.720403598494862e-12,3.8772729231235216e-16,5.773377033800383e-16,4.983415600518875e-31,1.4307373117425474e-29,1.3826783203090553e-33,1.3761813396496823e-40,1.5963863462405355e-50,5.392150104910955e-53,2.846510861144345e-51,1.5534668440735992e-54
3.888656348533409e-12,0.11224537207038644,0.0,0.0,0.0,0.0,0.9999999993729222,1.2339883975727042e-09,1.0082300160499286e-11,1.0171005693373527e-15,1.0080497989101169e-11,8.027606111141929e-16,1.195296025502907e-15,2.0153669998533462e-30,3.9181291686290127e-29,4.845001481205972e-33,5.8405235257129905e-40,1.4416452566783731e-49,4.992931936732293e-52,2.066709247825078e-50,1.60801214131854e-53
5.184875314514285e-12,0.11224537209384862,0.0,0.0,0.0,0.0,0.9999999991638954,1.6453175476988901e-09,1.344358521419991e-11,1.7298215309698245e-15,1.3440520286256996e-11,1.3653186671709808e-15,2.03287187314256e-15,5.4584253975694975e-30,8.217669047643865e-29,1.2127717736986509e-32,1.66222913294543e-39,5.695621888985064e-49,2.0109850158680575e-51,7.588284384109384e-50,7.20377239893718e-53
7.777313246476036e-12,0.112245372140773,0.0,0.0,0.0,0.0,0.9999999987458404,2.4679752340256275e-09,2.016700561245619e-11,3.76892741888555e-15,2.0160328249269097e-11,2.9749240329102715e-15,4.429141917010178e-15,2.7359807639516464e-29,2.610902903147693e-28,5.648920709966939e-32,1.0520710132472598e-38,6.87895710994512e-48,2.553161906219335e-50,8.970275611823376e-49,1.4799314629161154e-51
1e-11,0.1122453721876975,0.0,0.0,0.0,0.0,0.9999999983874099,3.1732992261810406e-09,2.5932378319832658e-11,6.161299752055672e-15,2.5921463083614632e-11,4.8635296196381176e-15,7.240497852623208e-15,7.224862067184111e-29,5.394893025413336e-28,1.4522038085818084e-31,3.1430117038849173e-38,2.8070547368321277e-47,1.0559257315012674e-49,3.518498126660187e-48,7.226912914584864e-51
1.0369751178437787e-11,0.1122453721876975,0.0,0.0,0.0,0.0,0.9999999983277837,3.29063211107351e-09,2.6891546766468112e-11,6.616966460859929e-15,2.68798243838064e-11,5.223255009614248e-15,7.775963110042137e-15,8.20546331416523e-29,5.96997644670538e-28,1.6452169666275902e-31,3.610095065101023e-38,3.3009339622151603e-47,1.2427539209236196e-49,4.126321632969085e-48,8.589551539212057e-51
1.5554627042361285e-11,0.11224537228154666,0.0,0.0,0.0,0.0,0.9999999974916651,4.9359434261458446e-09,4.034400604783248e-11,1.47510201170326e-14,4.0317877636936773e-11,1.1645472553924981e-14,1.7334167943268236e-14,4.240966178822893e-28,2.0170521505840697e-27,8.454081841322872e-31,2.4391785019154327e-37,4.156666508685587e-46,1.604622396974658e-48,5.149065749645337e-47,1.7864812377770858e-49
2.5924378770208286e-11,0.11224537246924589,0.0,0.0,0.0,0.0,0.9999999958194067,8.226556297697868e-09,6.72624308843979e-11,4.0773488998928123e-14,6.719023215514231e-11,3.2197653212099515e-14,4.7910273340452086e-14,3.458005045280381e-27,9.717476650091252e-27,7.163852139567477e-30,2.7693859105277062e-36,1.0500818549665264e-44,4.131796745695788e-47,1.2876711025095178e-45,8.670626844451622e-48
4.666388222590229e-11,0.11224537284464779,0.0,0.0,0.0,0.0,0.999999992474805,1.4807742995828565e-08,1.211532793058358e-10,1.3184615941362128e-13,1.20919969847886e-10,1.0417005974278851e-13,1.5490170901099754e-13,3.8136956776256744e-26,6.090602501184171e-26,8.52766768547181e-29,4.1310017635386216e-35,4.228476451848016e-43,1.6817158273980092e-45,4.837784053230035e-44,6.906098210202822e-46
6.740338568159629e-11,0.11224537322005432,0.0,0.0,0.0,0.0,0.9999999891300901,2.1388877633301406e-08,1.7511607368608393e-10,2.749560939206491e-13,1.7462979837631834e-10,2.1733772577976067e-13,3.229973337026372e-13,1.5088513381584685e-25,1.8349702578347194e-25,3.4059807580048908e-28,1.7652278409471985e-34,2.96477842616925e-42,1.1812839985414425e-44,3.0090247432279657e-43,5.68009664264877e-45
