Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26)
1.738496552860266e-14,0.11224537200031469,0.0,0.0,0.0,0.0,0.9999999999971966,5.516780457470727e-12,4.506854039446574e-14,2.4378359465331997e-20,4.5068497193469655e-14,1.923893332134991e-20,2.865025163104791e-20,1.5730572274511133e-39,5.6922130256933453e-36,4.769807555396281e-42
3.477040266737076e-14,0.11224537200062938,0.0,0.0,0.0,0.0,0.999999999994393,1.103371052247013e-11,9.013837096544867e-14,9.751542146851555e-20,9.013819815808885e-14,7.695734844596982e-20,1.1460331762713103e-19,2.516967854039435e-38,4.5540767191859607e-35,7.632207640992285e-41
6.954127694490697e-14,0.11224537200125875,0.0,0.0,0.0,0.0,0.999999999988786,2.206757050613096e-11,1.8027823485259235e-13,3.9006565099855104e-19,1.8027754361724376e-13,3.0783292087634773e-19,4.584177696710201e-19,4.027173233470175e-37,3.643621751086861e-34,1.2212716203752107e-39
1.3908302549997936e-13,0.11224537200251747,0.0,0.0,0.0,0.0,0.9999999999775718,4.4135289888100704e-11,3.6055877360463666e-13,1.5602705172768578e-18,3.605560086581579e-13,1.23134111165777e-18,1.8336790923834077e-18,6.443380509923471e-36,2.9154221197269968e-33,1.95437620134746e-38
2.781665226101242e-13,0.11224537200503497,0.0,0.0,0.0,0.0,0.9999999999551435,8.827072631063253e-11,7.211230949961184e-13,6.241097759694894e-18,7.211120352539079e-13,4.925402294351121e-18,7.33472451982767e-18,1.0308959115047596e-34,2.3331564908100613e-32,3.1280652558398194e-37
5.563335168304138e-13,0.11224537201006986,0.0,0.0,0.0,0.0,0.999999999910287,1.765415897900654e-10,1.442264713139586e-12,2.4964421331884288e-17,1.4422204746891267e-12,1.9701836801905542e-17,2.933885136583141e-17,1.6492783423699306e-33,1.867826955930425e-31,5.008283208540135e-36
1e-12,0.11224537202013976,0.0,0.0,0.0,0.0,0.9999999998387423,3.173304542835112e-10,2.592501388829292e-12,8.469051169932245e-17,2.5923513158174796e-12,6.683876478608649e-17,9.953001484290669e-17,2.1374302593576374e-32,1.2311322369637978e-30,6.500460983717968e-35
1.112667505270993e-12,0.11224537202013976,0.0,0.0,0.0,0.0,0.9999999998205737,3.53083279286407e-10,2.884599849356056e-12,9.985773720893346e-17,2.8844229000386146e-12,7.880901785585949e-17,1.1735480797249652e-16,2.638340145071e-32,1.4963410411460446e-30,8.024046087190543e-35
1.6690014937115724e-12,0.11224537203020968,0.0,0.0,0.0,0.0,0.9999999997308604,5.296249313202206e-10,4.326986883989647e-12,2.1219771431174817e-16,4.326610873371146e-12,1.6747157439101028e-16,2.493780264860173e-16,1.005777797059009e-31,4.2825658955942024e-30,2.95556855656902e-34
2.7816694705927307e-12,0.11224537205034946,0.0,0.0,0.0,0.0,0.9999999995514334,8.827080855377272e-10,7.21196853482732e-12,5.866642524863769e-16,7.210929023999956e-12,4.630266964037923e-16,6.894499838434745e-16,8.268181585145485e-31,1.9738631625390852e-29,2.2803720832005662e-33
3.755763437800008e-12,0.11224537206798105,0.0,0.0,0.0,0.0,0.9999999993943524,1.1918174068865997e-09,9.737806890557766e-12,1.0287880676441466e-15,9.73598403350295e-12,8.119933537266093e-16,1.2090278473132137e-15,2.3325369993283044e-30,4.3442857517005107e-29,6.07532226272044e-33
4.729857405007286e-12,0.1122453720856126,0.0,0.0,0.0,0.0,0.9999999992372711,1.5009266052195312e-09,1.2263815636726542e-11,1.5938755281781948e-15,1.2260991615340375e-11,1.25803129424238e-15,1.8731042232368454e-15,5.27414686368076e-30,8.147504001871988e-29,1.3567652077192426e-32
5.703951372214563e-12,0.11224537210324416,0.0,0.0,0.0,0.0,0.9999999990801894,1.8100356892456122e-09,1.4789982702443822e-11,2.2732211794991002e-15,1.4785955135003976e-11,1.7942736907763078e-15,2.6714468209500613e-15,1.0333854160309835e-29,1.354757564102234e-28,2.5894853761978376e-32
7.652139306629117e-12,0.11224537213850735,0.0,0.0,0.0,0.0,0.9999999987660257,2.4282535981242485e-09,1.9842675777028616e-11,3.8909754465995015e-15,1.9835782292276435e-11,3.0712990902785817e-15,4.5725537430693685e-15,2.8477627238571477e-29,2.874326870000786e-28,6.624355637303283e-32
9.600327241043672e-12,0.11224537217377054,0.0,0.0,0.0,0.0,0.999999998451861,3.04647108328335e-09,2.4895955652788125e-11,5.932268257689333e-15,2.488544618384384e-11,4.682746627890064e-15,6.971346971188663e-15,6.329667978686827e-29,5.216444486571229e-28,1.3970329988170661e-31
1e-11,0.1122453722090338,0.0,0.0,0.0,0.0,0.9999999983874098,3.17329898052022e-09,2.5932718541208368e-11,6.406856506729286e-15,2.592136841728023e-11,5.0574125152613826e-15,7.529046225959947e-15,7.369468234510815e-29,5.829049027761575e-28,1.610310827399476e-31
1.1548515175458227e-11,0.1122453722090338,0.0,0.0,0.0,0.0,0.9999999981376955,3.6646881167413435e-09,2.994986102561135e-11,8.42506880518145e-15,2.9934936082772616e-11,6.6507394537893925e-15,9.900676470560256e-15,1.2444532939050042e-28,8.62730329114266e-28,2.6378181218459657e-31
1.5444891044287337e-11,0.11224537227956045,0.0,0.0,0.0,0.0,0.9999999975093612,4.901120803349563e-09,4.005958281461989e-11,1.4790384093729827e-14,4.0033384541130504e-11,1.1676500298131551e-14,1.738044499595831e-14,3.932950239407031e-28,1.994929273102937e-27,7.979390958206261e-31
1.9341266913116447e-11,0.11224537235008723,0.0,0.0,0.0,0.0,0.9999999968810229,6.13755165422718e-09,5.0171845843293546e-11,2.2990637983457357e-14,5.0131126684479823e-11,1.8151836899248507e-14,2.7016097314370335e-14,9.436925757152917e-28,3.848873537546762e-27,1.8795175810451838e-30
2.7134018650774667e-11,0.11224537249114132,0.0,0.0,0.0,0.0,0.9999999956243344,8.61040784382283e-09,7.0403999811163e-11,4.4900906813305027e-14,7.032449277821353e-11,3.545703732487249e-14,5.276010039296072e-14,3.737679434845861e-27,1.0726472285125482e-26,7.454191611047909e-30
4.27195221260911e-11,0.11224537277325139,0.0,0.0,0.0,0.0,0.9999999931109094,1.3556098173227858e-08,1.108988037429097e-10,1.1076150509458606e-13,1.1070276884590404e-10,8.749850664176317e-14,1.3013520259737183e-13,2.4360422859254618e-26,4.405574864828984e-26,5.102289653956356e-29
7.389052907672398e-11,0.11224537333747932,0.0,0.0,0.0,0.0,0.9999999880838678,2.3447390627870375e-08,1.9201026347515947e-10,3.3064690554262753e-13,1.9142563249470174e-10,2.614070189889288e-13,3.883990564470798e-13,2.3146456462878815e-25,2.5111670651698937e-25,5.372588424542539e-28
9.999999999999999e-11,0.11224537390171783,0.0,0.0,0.0,0.0,0.9999999838729188,3.17324483359464e-08,2.6007577613767283e-10,6.052967880323843e-13,2.590063169672611e-10,4.788258147610113e-13,7.109070059523528e-13,7.387877437182695e-25,6.403038269089945e-25,1.7624638385987135e-27
1.0506153602735686e-10,0.11224537390171783,0.0,0.0,0.0,0.0,0.9999999830565709,3.333856547623241e-08,2.7328401274461514e-10,6.680839233411555e-13,2.7210375701862996e-10,5.285433912928475e-13,7.846292926168013e-13,8.723555946915926e-25,7.385111801232181e-25,2.0862661186461614e-27
1.3623254297798974e-10,0.11224537446596672,0.0,0.0,0.0,0.0,0.9999999780290185,4.322962271704608e-08,3.547198013296384e-10,1.1230719000629013e-12,3.5273739182807755e-10,8.890852676838798e-13,1.3187540684375862e-12,2.326780127784116e-24,1.6502036465705467e-24,5.701694702411986e-27
1.6740354992862262e-10,0.11224537503022615,0.0,0.0,0.0,0.0,0.9999999730012106,5.3120562349420304e-08,4.3631737064576927e-10,1.6956097357691536e-12,4.333267942496933e-10,1.3432156885497568e-12,1.9906990187129906e-12,5.103053164147987e-24,3.15462251490877e-24,1.2831238540899481e-26
2.2974556382988835e-10,0.11224537615877665,0.0,0.0,0.0,0.0,0.9999999629448293,7.290208878617227e-08,5.999968956180407e-10,3.193330280404358e-12,5.943738524942638e-10,2.532918822430525e-12,3.747775244147005e-12,1.7190393107875193e-23,8.684295331131277e-24,4.574161294289458e-26
2.920875777311541e-10,0.11224537728736934,0.0,0.0,0.0,0.0,0.9999999528874275,9.268314478067765e-08,7.64320523966955e-10,5.1612354008492185e-12,7.552469840261514e-10,4.099114916575248e-12,6.05526718662444e-12,4.3338849082048315e-23,1.904952317833148e-23,1.216593394491606e-25
