Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88)
1e-11,0.11224537227132796,0.0,0.0,0.0,0.0,0.9999999983874099,3.1732992259210776e-09,2.593237868593799e-11,6.161559677756731e-15,2.5921462977438953e-11,4.863730595720089e-15,7.240805006360058e-15,7.286986805921704e-29,5.3768728488092215e-28,1.4559673943565579e-31,3.1970407090455567e-38,3.2987760963390754e-47,1.2483444785947875e-49,4.102714768348067e-48,1.014565265913545e-50,5.489282685799258e-51,2.078506208283137e-55
1.4990077803113267e-11,0.11224537227132796,0.0,0.0,0.0,0.0,0.9999999975827053,4.756795759684215e-09,3.887902636533221e-11,1.3703541139440608e-14,3.8854753009670333e-11,1.0818399587863475e-14,1.610330684908353e-14,3.7292618371607627e-28,1.8151482350159313e-27,7.45863646764406e-31,2.136436746232138e-37,3.5244561895165084e-46,1.3613519607294002e-48,4.425871853252548e-47,1.5502088119870202e-49,8.387031137074697e-50,4.139590854238671e-54
2.0441015396100684e-11,0.11224537236999335,0.0,0.0,0.0,0.0,0.9999999967036746,6.486533036458492e-09,5.3026134648847123e-11,2.5386256643557903e-14,5.298117423845885e-11,2.004385017123155e-14,2.983092704359177e-14,1.2297650326682126e-27,4.5530390964513994e-27,2.451045981896603e-30,8.090085156446132e-37,1.9293124192641368e-45,7.505988495499137e-48,2.3013013193396986e-46,1.0207640796976221e-48,5.524821015604727e-49,3.206852378807467e-53
3.134289058207552e-11,0.11224537256732493,0.0,0.0,0.0,0.0,0.9999999949455894,9.945996800342937e-09,8.133528049404231e-11,5.953664295200985e-14,8.122987228693611e-11,4.701970384122458e-14,6.995548591835857e-14,7.015576014604855e-27,1.6942626722162227e-26,1.4357633631836046e-29,5.852680957741973e-36,2.9266907172797054e-44,1.1537427909417227e-46,3.38548386615005e-45,2.609777933868347e-47,1.4130869607250968e-47,1.368073382145472e-51
5.3146640954025184e-11,0.11224537296199194,0.0,0.0,0.0,0.0,0.9999999914293254,1.686488117005356e-08,1.3801324130907534e-10,1.709762802442562e-13,1.3771073775049664e-10,1.3510373767390714e-13,2.008673768413199e-13,6.134389047628289e-26,8.888056623568942e-26,1.3527654599394628e-28,6.691816798254324e-35,8.511297856204721e-43,3.387348236151282e-45,9.194734891252366e-44,1.470327764072819e-45,7.966736278278517e-46,1.4298069036954406e-49
7.495039132597485e-11,0.11224537335666405,0.0,0.0,0.0,0.0,0.9999999879129364,2.3783707996244583e-08,1.947706979302805e-10,3.399333719163711e-13,1.9416962432671954e-10,2.6874067150381276e-13,3.9931078732670505e-13,2.255296121908783e-25,2.523765792932067e-25,5.071154332281488e-28,2.672570407755204e-34,5.470673979839178e-42,2.1811301022040661e-44,5.318621754959554e-43,1.1185640394829226e-44,6.065302251886512e-45,1.2463447311335216e-48
9.675414169792452e-11,0.11224537375134137,0.0,0.0,0.0,0.0,0.9999999843964225,3.07024772790081e-08,2.5160756372747773e-10,5.664071664283929e-13,2.506066178418841e-10,4.479910096767731e-13,6.652603692607723e-13,5.934381363308857e-25,5.506785750257511e-25,1.3544564604664975e-27,7.4180305364771254e-34,2.285365043686467e-41,9.121792983946745e-44,2.0333614970541315e-42,5.297236559476865e-44,2.8741543638242404e-44,6.540428370867255e-48
9.999999999999999e-11,0.11224537414602379,0.0,0.0,0.0,0.0,0.999999983872919,3.173244859320102e-08,2.600754788474417e-10,6.050400806533732e-13,2.590063575867031e-10,4.785814135459927e-13,7.106220035901718e-13,6.763444057976993e-25,6.108372631151601e-25,1.5483530504655011e-27,8.52490027421581e-34,2.833879334853045e-41,1.1313510263162641e-43,2.4794880956606796e-42,6.749622353905155e-44,3.6626488210937705e-44,8.530111883999936e-48
1.185578920698742e-10,0.11224537414602379,0.0,0.0,0.0,0.0,0.9999999808797835,3.7621189018214445e-08,3.085237496528417e-10,8.503971119488679e-13,3.070218067379007e-10,6.729173869251977e-13,9.986902884240813e-13,1.2903779793341643e-24,1.0331766221472367e-24,2.99412808902811e-27,1.6846076466913474e-33,7.411863389744455e-41,2.960970491500733e-43,6.13797245150838e-42,1.9185638248775744e-43,1.0414823860637086e-43,2.5885624903081715e-47
1.6216539281377354e-10,0.11224537493540399,0.0,0.0,0.0,0.0,0.9999999738461307,5.145843986513967e-08,4.225937531437618e-10,1.5909237453549965e-12,4.197870975057828e-10,1.26003035787203e-12,1.867896304192426e-12,4.304138985549807e-24,2.7621663087375002e-24,1.0376631740885507e-26,6.050818772894485e-33,4.93901753619272e-40,1.9760807629456478e-42,3.632964616960201e-41,1.586944582090726e-42,8.621657809844849e-43,2.5323342872182107e-46
