Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42)
2.7236336580836216e-15,0.1122453720000493,0.0,0.0,0.0,0.0,0.9999999999995608,8.642921361864264e-13,7.060705166545445e-15,5.984053107712708e-22,7.0607041061080875e-15,4.722497268491063e-22,7.032657505439788e-22,9.478839246736324e-43,2.1892375342094584e-38,2.87448562043183e-45,4.80552231465509e-55,4.916488596604241e-68,1.6671321133269345e-72,1.180944430962063e-68,7.927915941371136e-75,4.2504077529035406e-75,8.23439616555365e-83,2.169011720115063e-80
5.447858510796739e-15,0.11224537200009863,0.0,0.0,0.0,0.0,0.9999999999991215,1.7287718752855837e-12,1.412294459597198e-14,2.394010899860059e-21,1.4122940353532571e-14,1.8893066082045276e-21,2.81352086241618e-21,1.517053754482492e-41,1.7517345966705853e-37,4.600143207272977e-44,1.5377189672912272e-53,3.1478697400629913e-66,2.117050944112025e-70,7.560274772675269e-67,1.0151992127818883e-72,5.442818542090875e-73,2.1088667384979202e-80,2.777180459736684e-78
1.0896308216222974e-14,0.11224537200019723,0.0,0.0,0.0,0.0,0.9999999999982429,3.457731349890778e-12,2.8247428432958547e-14,9.576822960314795e-21,2.8247411461824107e-14,7.557843019941086e-21,1.1254998761805372e-20,2.427634209327664e-40,1.4015398590861976e-36,7.361075080467674e-43,4.9188418130442286e-52,2.014998292708215e-64,2.6659109869545444e-68,4.839130349461391e-65,1.2996890882829489e-70,6.9680715678666125e-71,5.399517961250231e-78,3.5546001073207043e-76
2.179320762707544e-14,0.11224537200039446,0.0,0.0,0.0,0.0,0.9999999999964856,6.915650284728687e-12,5.649641601945431e-14,3.830885055309669e-20,5.649634813218873e-14,3.023261443145636e-20,4.502182194820289e-20,3.884482325838392e-39,1.1213157065087196e-35,1.177863015339863e-41,1.5725935267431434e-50,1.2896449219084615e-62,3.304209241562453e-66,3.0970169124097916e-63,1.6636618019013272e-68,8.919459960803239e-69,1.382243620413794e-75,4.547917575932139e-74
4.358700644878037e-14,0.11224537200078893,0.0,0.0,0.0,0.0,0.9999999999929712,1.3831488096914583e-11,1.1299447084244541e-13,1.532385191682604e-19,1.1299419928813463e-13,1.2093301554209695e-19,1.800909113519025e-19,6.215350623263841e-38,8.97122803367586e-35,1.8847282610195646e-40,5.022740938339968e-49,8.253139959686983e-61,3.976676083575594e-64,1.981821363752458e-61,2.1293344891927425e-66,1.1416105556720971e-66,3.537863039703444e-73,5.815459727004101e-72
8.717460409219025e-14,0.1122453720015779,0.0,0.0,0.0,0.0,0.9999999999859424,2.7663163491326696e-11,2.2599089908769844e-13,6.129603064538695e-19,2.2598981286161654e-13,4.837377623961813e-19,7.203706501280738e-19,9.944591549486257e-37,7.1778507384461234e-34,3.01592199283856e-39,1.6011325202728368e-47,5.281203958836515e-59,4.546483778306683e-62,1.2679456639080186e-59,2.725124462596492e-64,1.46103954767445e-64,9.053341134967439e-71,7.42870881259719e-70
1.7434979937901e-13,0.11224537200315583,0.0,0.0,0.0,0.0,0.9999999999718847,5.532651336031221e-11,4.5198502996946815e-13,2.451853651941267e-18,4.5198068506072844e-13,1.934967126475783e-18,2.881494670344409e-18,1.5911010616450375e-35,5.743567685822807e-33,4.826524848876226e-38,5.084656141208138e-46,4.4651028590750885e-57,6.326022866514836e-60,8.109456130423362e-58,4.578260583585499e-62,2.4658384095125873e-62,3.0515411824995602e-68,1.2490917384440013e-67
3.487001899526495e-13,0.11224537200631163,0.0,0.0,0.0,0.0,0.9999999999437694,1.1065320941892832e-10,9.039783892515055e-13,9.807439192141174e-18,9.03961009713846e-13,7.739938070543512e-18,1.1525987304187063e-17,2.545619566252753e-34,4.596872612754453e-32,7.725725045741465e-37,1.6027062727452936e-44,2.8686586772020145e-55,6.020740610445565e-58,5.182957454357498e-56,5.893042655429846e-60,3.1742995647921806e-60,7.856118803130541e-66,1.5960408441665832e-65
6.974009710999284e-13,0.11224537201262325,0.0,0.0,0.0,0.0,0.9999999998875386,2.2130658681874065e-10,1.8079854975171308e-12,3.922980379392397e-17,1.807915980410053e-12,3.0960190692912165e-17,4.610384233462858e-17,4.072508831329306e-33,3.680711256832198e-31,1.2371614036064817e-35,4.979522208225795e-43,1.8374961384910828e-53,5.070552760302628e-56,3.308035977552247e-54,7.549365839075611e-58,4.066696762872037e-58,2.0090948460321872e-63,2.0148830587375808e-63
1e-12,0.11224537202524654,0.0,0.0,0.0,0.0,0.9999999998387421,3.1733044867696744e-10,2.592509155700163e-12,9.029468060549925e-17,2.5923491530764275e-12,7.126202285542437e-17,1.0611599442027756e-16,3.0571332553961756e-32,1.4882284041528e-30,9.303627352490247e-35,6.816416019741151e-42,5.21866838152254e-52,1.7032669935193056e-54,9.32369124143172e-53,4.244925240793425e-56,2.286914639613034e-56,2.2397016534267657e-61,1.1012718673341312e-61
