Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4)
9.324298038743204e-11,0.11224537366060545,0.0,0.0,0.0,0.0,0.9999999852055774,2.9588844917939353e-08
9.999999999999999e-11,0.11224537449090818,0.0,0.0,0.0,0.0,0.9999999841334731,3.173305354170168e-08
1.3986447073552903e-10,0.11224537449090818,0.0,0.0,0.0,0.0,0.9999999778083662,4.438326722079995e-08
2.3310745143172303e-10,0.11224537615151353,0.0,0.0,0.0,0.0,0.9999999630139441,7.39721112805693e-08
3.26350432127917e-10,0.11224537781211896,0.0,0.0,0.0,0.0,0.9999999482195225,1.0356095474028582e-07
4.19593412824111e-10,0.11224537947272432,0.0,0.0,0.0,0.0,0.9999999334251012,1.3314979754584855e-07
6.060793742164989e-10,0.11224538279393484,0.0,0.0,0.0,0.0,0.9999999038362593,1.9232748140972773e-07
9.79051297001275e-10,0.1122453894363554,0.0,0.0,0.0,0.0,0.9999998446585805,3.106828387475882e-07
9.999999999999999e-10,0.11224539541453314,0.0,0.0,0.0,0.0,0.9999998413347498,3.1733050014617143e-07
1.3147260275075733e-09,0.11224539541453314,0.0,0.0,0.0,0.0,0.9999997913986766,4.172026468011612e-07
1.6504007580138716e-09,0.11224540139271015,0.0,0.0,0.0,0.0,0.9999997381387804,5.237224391850112e-07
1.98607548852017e-09,0.11224540737088601,0.0,0.0,0.0,0.0,0.9999996848788933,6.302422134686353e-07
2.6574249495327667e-09,0.11224541932723374,0.0,0.0,0.0,0.0,0.9999995783591527,8.432816945607056e-07
3.2616394644441035e-09,0.11224543008794191,0.0,0.0,0.0,0.0,0.9999994824914297,1.0350171402266238e-06
3.865853979355441e-09,0.11224544084864554,0.0,0.0,0.0,0.0,0.9999993866237563,1.2267524871700048e-06
4.470068494266778e-09,0.11224545160934177,0.0,0.0,0.0,0.0,0.9999992907561392,1.418487721352843e-06
5.074283009178115e-09,0.112245462370031,0.0,0.0,0.0,0.0,0.9999991948885859,1.610222828154819e-06
6.282712039000789e-09,0.1122454838913841,0.0,0.0,0.0,0.0,0.9999990031536963,1.9936926071854948e-06
7.491141068823463e-09,0.11224550541270077,0.0,0.0,0.0,0.0,0.9999988114191463,2.3771617074776084e-06
8.699570098646137e-09,0.11224552693397122,0.0,0.0,0.0,0.0,0.9999986196849971,2.760630005751389e-06
9.999999999999999e-09,0.11224556997635113,0.0,0.0,0.0,0.0,0.9999984133541402,3.1732917195763368e-06
1.1116428158291485e-08,0.11224556997635113,0.0,0.0,0.0,0.0,0.999998236218139,3.5275637219061172e-06
1.3533286217936832e-08,0.11224561301847132,0.0,0.0,0.0,0.0,0.9999978527535962,4.29449280739948e-06
1.836700233722753e-08,0.11224569910172126,0.0,0.0,0.0,0.0,0.9999970858333361,5.828333327660832e-06
2.3200718456518224e-08,0.11224578518329875,0.0,0.0,0.0,0.0,0.9999963189279851,7.3621440298452946e-06
2.803443457580892e-08,0.11224587126277744,0.0,0.0,0.0,0.0,0.9999955520413096,8.895917380796184e-06
3.770186681439031e-08,0.11224604341375831,0.0,0.0,0.0,0.0,0.9999940183390517,1.1963321896289799e-05
5.7036731291553095e-08,0.1122463876719646,0.0,0.0,0.0,0.0,0.9999909513243486,1.809735130283905e-05
7.637159576871587e-08,0.11224673184928838,0.0,0.0,0.0,0.0,0.9999878850301476,2.422993970432062e-05
9.570646024587865e-08,0.11224707591871766,0.0,0.0,0.0,0.0,0.9999848196971562,3.0360605687120254e-05
9.999999999999998e-08,0.1122474198532721,0.0,0.0,0.0,0.0,0.9999841391575951,3.1721684809554864e-05
1.1504132472304143e-07,0.1122474198532721,0.0,0.0,0.0,0.0,0.9999817555657795,3.64888684406554e-05
1.3437618920020421e-07,0.11224776362601215,0.0,0.0,0.0,0.0,0.999978692876042,4.2614247915431865e-05
1.53711053677367e-07,0.11224810721008989,0.0,0.0,0.0,0.0,0.999975631867568,4.8736264863681574e-05
1.7968056287212646e-07,0.11224856834897402,0.0,0.0,0.0,0.0,0.9999715235567682,5.695288646313137e-05
2.0565007206688595e-07,0.11224902903417797,0.0,0.0,0.0,0.0,0.9999674192875819,6.516142483572637e-05
2.3161958126164543e-07,0.11224948920117021,0.0,0.0,0.0,0.0,0.9999633196351337,7.336072973205437e-05
2.575890904564049e-07,0.11224994878570997,0.0,0.0,0.0,0.0,0.9999592251720043,8.154965599084787e-05
2.835585996511644e-07,0.11225040772381266,0.0,0.0,0.0,0.0,0.9999551364678378,8.972706432369709e-05
