Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30)
5.61875496643686e-16,0.1122453720000102,0.0,0.0,0.0,0.0,0.9999999999999094,1.783002541808901e-13,1.4565970869371858e-15,2.547532747539341e-23,1.4565970417922123e-15,2.0104626844491448e-23,2.993944967655568e-23,1.7182844151310615e-45,1.9236165692859883e-40,5.213445208091721e-48,1.799481793476877e-58
1.1242391561862804e-15,0.11224537200002034,0.0,0.0,0.0,0.0,0.9999999999998187,3.5675541730657687e-13,2.914459750278632e-15,1.0196770050903673e-22,2.9144595695810925e-15,8.047090322042324e-23,1.1983582247001804e-22,2.7524539886944926e-44,1.5400650650060135e-39,8.348316328611219e-47,5.76289959193173e-57
2.2489664752714697e-15,0.11224537200004071,0.0,0.0,0.0,0.0,0.9999999999996373,7.136657434048344e-13,5.830185289097991e-15,4.0800362102087943e-22,5.830184566072502e-15,3.219884444738828e-22,4.794993777146629e-22,4.40648591144236e-43,1.232523579898318e-38,1.3362779355112766e-45,1.8447194649240466e-55
4.4984211134418475e-15,0.11224537200008146,0.0,0.0,0.0,0.0,0.9999999999992746,1.4274863949888859e-12,1.1661637215282474e-14,1.6322801593192956e-21,1.1661634322710021e-14,1.2881635512904453e-21,1.9183096976738218e-21,7.052421632048523e-42,9.862116814866287e-38,2.1384914064654408e-44,5.903165803558137e-54
8.997330389782605e-15,0.11224537200016287,0.0,0.0,0.0,0.0,0.999999999998549,2.8551276957071342e-12,2.332454446183371e-14,6.529652020987106e-21,2.3324532890604654e-14,5.1530744245880904e-21,7.673862942183719e-21,1.1285497030898201e-40,7.890531464552781e-37,3.4219716385476166e-43,1.8884582922288042e-52
1.7995148942464116e-14,0.11224537200032572,0.0,0.0,0.0,0.0,0.9999999999970981,5.710410287344213e-12,4.665037253165886e-14,2.611967085238305e-20,4.665032624487866e-14,2.0613143309246917e-20,3.0696697983269757e-20,1.8058051091338683e-39,6.31286705246937e-36,5.475552476305652e-42,6.038568364184568e-51
3.599078604782714e-14,0.11224537200065146,0.0,0.0,0.0,0.0,0.9999999999941962,1.1420975431420698e-11,9.330208297814866e-14,1.0448080868962758e-19,9.330189782741652e-14,8.245430562602841e-20,1.227892673433566e-19,2.889375142025659e-38,5.05064105304726e-35,8.761488738118778e-41,1.9293179627009232e-49
7.198206025855318e-14,0.11224537200130287,0.0,0.0,0.0,0.0,0.9999999999883923,2.2842105562782982e-11,1.866057210980767e-13,4.179274829996183e-19,1.8660498048885904e-13,3.2982101641058137e-19,4.91161883733192e-19,4.623026590340611e-37,4.040924856135526e-34,1.4019782557174066e-39,6.154315691867349e-48
1.4396460868000527e-13,0.11224537200260584,0.0,0.0,0.0,0.0,0.9999999999767846,4.5684365198344776e-11,3.7321386624245013e-13,1.6717184096631306e-18,3.732109038004697e-13,1.3192942862640366e-18,1.9646560716683934e-18,7.396725326352168e-36,3.233341567505923e-33,2.2435706157230985e-38,1.9569815544098228e-46
2.8792970552290945e-13,0.11224537200521169,0.0,0.0,0.0,0.0,0.9999999999535691,9.136888196081731e-11,7.464336321230554e-13,6.6868904431764664e-18,7.464217824046603e-13,5.277218648412487e-18,7.858632624181828e-18,1.1834224281613017e-34,2.587612927815016e-32,3.590976060923385e-37,6.184433194183452e-45
5.758598992087178e-13,0.11224537201042331,0.0,0.0,0.0,0.0,0.9999999999071382,1.8273790545115799e-10,1.4928870660420139e-12,2.6747594175045616e-17,1.4928396677454535e-12,2.1109126094684997e-17,3.143447728724142e-17,1.8932914194697076e-33,2.0715846050446136e-31,5.7495761417208674e-36,1.9309986817702047e-43
1e-12,0.11224537202084664,0.0,0.0,0.0,0.0,0.9999999998387422,3.173304531244508e-10,2.5925029945240747e-12,8.584908128196102e-17,2.592350868684209e-12,6.77531846999327e-17,1.0089156399179591e-16,2.2805939459682923e-32,1.2769697452915568e-30,6.936530729228507e-35,4.391703556880113e-42
1.1517202865803347e-12,0.11224537202084664,0.0,0.0,0.0,0.0,0.9999999998142761,3.6547591229342054e-10,2.98584954083354e-12,1.0699043185092724e-16,2.9856599526248634e-12,8.443835529723164e-17,1.2573724370986601e-16,3.028665856145016e-32,1.6596547930198014e-30,9.212146013700451e-35,5.893597279494085e-42
1.7275806739519514e-12,0.11224537203127,0.0,0.0,0.0,0.0,0.999999999721414,5.482138789972599e-10,4.478867620901365e-12,2.273546914135394e-16,4.4784647533700665e-12,1.7943417819981683e-16,2.6719059814173746e-16,1.1545726404166217e-31,4.7501278847871315e-30,3.3932798129721125e-34,2.640619265136411e-41
2.303441061323568e-12,0.1122453720416933,0.0,0.0,0.0,0.0,0.9999999996285517,7.309518055626716e-10,5.9719413045682665e-12,3.8784036453745875e-16,5.971254071648947e-12,3.06097774156905e-16,4.55794051548278e-16,3.106227788953342e-31,1.0029988510224559e-29,8.613094080994276e-34,7.740142517065099e-41
3.4551618360668016e-12,0.11224537206254,0.0,0.0,0.0,0.0,0.999999999442827,1.0964275644910384e-09,8.958219164942297e-12,8.029741865725251e-16,8.95679637697925e-12,6.337509488645305e-16,9.43657837101234e-16,1.2562226039087704e-30,2.745946721768022e-29,3.0174171779096816e-33,3.294815326028814e-40
4.606882610810035e-12,0.11224537208338667,0.0,0.0,0.0,0.0,0.9999999992571021,1.4619031758160326e-09,1.1944701485649899e-11,1.3656486874868637e-15,1.1942281761612147e-11,1.0778676161408551e-15,1.6049052912735405e-15,3.402401828851733e-30,5.757675281086078e-29,7.551543045989259e-33,9.398231800923767e-40
6.910324160296502e-12,0.11224537212508008,0.0,0.0,0.0,0.0,0.9999999988856509,2.1928539137879534e-09,1.7918337433923534e-11,2.9754693625683267e-15,1.7913065692226672e-11,2.3485751628572665e-15,3.4967113300039054e-15,1.7055118153733248e-29,1.828078927683648e-28,3.515149145686504e-32,5.995871049828645e-39
