Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41)
8.191e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.0349875081712492e-28,2.790292124445781e-28,1.224145084812116e-28,1.9649854382653043e-30,6.258668778513624e-32,2.7457765284813136e-32
1e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.926092110901896e-28,3.4062363249264022e-28,1.4943695028198274e-28,2.3989416945744666e-30,1.0404183149924226e-31,4.5644789492972846e-32
1.6383e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.070326870011744e-28,5.579576198706283e-28,2.4478479219150287e-28,3.930142791324816e-30,2.5031501133735085e-31,1.0981713638113393e-31
3.2767e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6141005593692734e-27,1.1154392972092657e-27,4.893607808122282e-28,7.860459195990954e-30,1.0009080376413261e-30,4.3911411414710965e-31
6.5535e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.2282363041054714e-27,2.2289041186054753e-27,9.778553276449692e-28,1.5721098787706415e-29,4.000622842144128e-30,1.7551362251755806e-30
9.999999999999999e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.9259654435809675e-27,3.39688960616324e-27,1.4902689485045331e-27,2.3988841994952587e-29,1.0299495911996354e-29,4.518551006244291e-30
1.31071e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.456507793577867e-27,4.4498557191447376e-27,1.9522217590000365e-27,3.1442405006481554e-29,1.5978076650524674e-29,7.009833776085752e-30
2.62143e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2913050772522659e-26,8.867974788910935e-27,3.8905201446705736e-27,6.288512483593509e-29,6.371704386496335e-29,2.795367024024829e-29
5.24287e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5826136730412243e-26,1.7610089793973363e-26,7.725823598713766e-27,1.2577098813053606e-28,2.533178298664439e-28,1.1113451972813216e-28
9.999999999999999e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925952776848873e-26,3.314000557561331e-26,1.453904203577294e-26,2.3989152758159902e-28,9.3179534480087e-28,4.087932847200087e-28
1.0485750000000002e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.165230864619141e-26,3.4725763499178916e-26,1.5234738990828094e-26,2.5154436280753445e-28,1.0010746062209699e-27,4.391871871558902e-28
2.0971510000000003e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0330465247774974e-25,6.7543754155892e-26,2.9632507687047594e-26,5.030973482179973e-28,3.9099407482839176e-27,1.715352538308224e-27
4.194303e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.066093401408664e-25,1.27974639957843e-25,5.614448696830578e-26,1.0062256389583188e-27,1.4932753638971117e-26,6.551233936788161e-27
8.388607e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.1321871546709973e-25,2.3107561738853005e-25,1.0137650340555918e-25,2.0125535909879237e-27,5.473912593329651e-26,2.4014915148726018e-26
9.999999999999999e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951510175664e-25,2.6053565413134116e-25,1.1430108250113934e-25,2.399205101361877e-27,8.018207350631059e-26,3.5177135777413453e-26
