Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34),S(42),S(52)
1e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.927358784111179e-29,3.408058453050833e-29,1.4951688992834373e-29,2.3995468527311235e-31,9.442489459700244e-34,4.142568787037023e-34,1.1479769332525304e-39,5.036355541861272e-40,1.1266712870344985e-36
1.023e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.0406556656081653e-29,3.486420285795597e-29,1.5295474690245926e-29,2.4547205330035135e-31,9.771830309463463e-34,4.287055802918411e-34,1.1949547758402401e-39,5.242454733411078e-40,1.1659681520682888e-36
2.047e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0084829867908784e-28,6.975078638601953e-29,3.060076813247811e-29,4.911131293634345e-31,3.91068558778614e-33,1.7156793365663313e-33,9.565276926001566e-39,4.196437581621832e-39,4.6663023834886814e-36
4.095e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.017317827251002e-28,1.3951808506279865e-28,6.120878046548854e-29,9.8238830662302e-31,1.5646051235055844e-32,6.864169005626181e-33,7.654201861260975e-38,3.3580188630127945e-38,1.866994925267116e-35
8.191e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.0349875081712492e-28,2.790292130438656e-28,1.2241450874412836e-28,1.9649107685740177e-30,6.258607552070752e-32,2.7457496674768844e-32,6.1237196705825876e-37,2.686572230228707e-37,7.468836141605215e-35
1e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.926092110901896e-28,3.406236340179836e-28,1.4943695095117461e-28,2.3988175723470303e-30,1.0404027312216184e-31,4.5644105808412803e-32,1.5588407221509023e-36,6.838879668891004e-37,1.2416975371111246e-34
1.6383e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.070326870011744e-28,5.579576246635308e-28,2.4478479429422386e-28,3.9298441773681114e-30,2.5031011463132864e-31,1.0981498811910891e-31,4.898426163696697e-36,2.149016677833347e-36,2.9876330098550155e-34
3.2767e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6141005593692734e-27,1.1154393355257519e-27,4.893607976222671e-28,7.859265375516807e-30,1.0008688910100746e-30,4.390969399036591e-31,3.9174135053182254e-35,1.7186309795429555e-35,1.1950148237258077e-33
6.5535e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.2282363041054714e-27,2.2289044246927446e-27,9.778554619302188e-28,1.571632881678105e-29,4.0003101185893335e-30,1.754999028428589e-30,3.1316299877749445e-34,1.3738953789065378e-34,4.77951870810328e-33
9.999999999999999e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.9259654435809675e-27,3.396891035271051e-27,1.4902695754763764e-27,2.3976569061610172e-29,1.0298035779741113e-29,4.5179104232355406e-30,1.4640277534098956e-33,6.422920242898677e-34,1.231756895149448e-32
1.31071e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.456507793577867e-27,4.449858160681717e-27,1.952222830140316e-27,3.142336797781751e-29,1.5975582102609152e-29,7.008739378640933e-30,2.5015591270116174e-33,1.0974733721764188e-33,1.9113296765578568e-32
2.62143e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2913050772522659e-26,8.867994207078838e-27,3.890528663723105e-27,6.280931888005438e-29,6.369720287967091e-29,2.7944965687619014e-29,1.9952530398781317e-32,8.753489199535068e-33,7.641427336875588e-32
5.24287e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5826136730412243e-26,1.7610243335265027e-26,7.725890959668419e-27,1.2547047780468647e-28,2.5316092620552e-28,1.1106568362168859e-28,1.5866832483304906e-31,6.961029190162535e-32,3.0534784689920455e-31
9.999999999999999e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925952776848873e-26,3.3141108786889126e-26,1.4539526031730664e-26,2.387923479236448e-28,9.306677031168681e-28,4.082985705579314e-28,1.1528557120989649e-30,5.0577594768757645e-31,1.1343282704898659e-30
1.0485750000000002e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.165230864619141e-26,3.4726963681148156e-26,1.523526552933831e-26,2.5036363111546095e-28,9.998478425885012e-28,4.386489866342802e-28,1.2543720724600276e-30,5.503127728947975e-31,1.2189753666926534e-30
