Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33)
0.0,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,0.0,0.0,0.0,0.0,0.0
1e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951369434198e-32,3.407179258467592e-32,1.4947832441873442e-32,2.398872684191511e-34,1.3993734459086082e-39
3.0000000000000002e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6185268785283784e-31,1.1195017103740869e-31,4.911430659472008e-32,7.882010248266092e-34,9.195882480329926e-39
7e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.5889074263020574e-31,2.4823730619176593e-31,1.0890563636216088e-31,1.747750098662584e-33,4.997761636830138e-38
1.5e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,7.5296685218494155e-31,5.208114869403614e-31,2.284882958969077e-31,3.666848246740204e-33,2.2110093213446127e-37
3.1e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.541119071294413e-30,1.0659594901973123e-30,4.676536149658623e-31,7.505044544518121e-33,9.215867202131011e-37
6.300000000000001e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.1174235095133565e-30,2.156254063752137e-30,9.459842531016148e-31,1.518143714656466e-32,3.7555130392417546e-36
1.2700000000000001e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.270032385951243e-30,4.3368374790405454e-30,1.9026455293644935e-30,3.053422237662051e-32,1.5155169582312898e-35
2.55e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2575250138827016e-29,8.697981382452939e-30,3.815968081855736e-30,6.123979294058282e-32,6.088157775737101e-35
5.11e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5185685644578562e-29,1.7420177481584317e-29,7.64261318670011e-30,1.2265093448390609e-31,2.4404181022417304e-34
1e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.927358784111179e-29,3.408058452938593e-29,1.4952103249722476e-29,2.399558119094435e-31,9.442500939218578e-34
1.023e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.0406556656081653e-29,3.4864202856787647e-29,1.5295903395836003e-29,2.45473219232117e-31,9.771842258749187e-34
2.047e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0084829867908784e-28,6.975078637666765e-29,3.0602483811892986e-29,4.911177953745551e-31,3.910695152643549e-33
4.095e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.017317827251002e-28,1.3951808498796743e-28,6.121564463512082e-29,9.824069742415674e-31,1.5646127770360577e-32
8.191e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.0349875081712492e-28,2.7902921244523443e-28,1.2244196624581646e-28,1.9649854382887004e-30,6.258668778525403e-32
1e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.926092110901896e-28,3.406236324943111e-28,1.4948259506974474e-28,2.3989416946340236e-30,1.0404183149975015e-31
1.6383e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.070326870011744e-28,5.579576198758785e-28,2.4489460932244473e-28,3.930142791511966e-30,2.503150113392352e-31
3.2767e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6141005593692734e-27,1.1154392972512388e-27,4.897998948828753e-28,7.860459197487678e-30,1.0009080376714547e-30
6.5535e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.2282363041054714e-27,2.228904118940786e-27,9.79610463522387e-28,1.5721098799671862e-29,4.0006228426255264e-30
9.999999999999999e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.9259654435809675e-27,3.3968896077288925e-27,1.4947874978849149e-27,2.3988842050894317e-29,1.029949591626404e-29
1.31071e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.456507793577867e-27,4.449855721819573e-27,1.9592315899980183e-27,3.144240510206893e-29,1.597807665820579e-29
2.62143e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2913050772522659e-26,8.867974810187662e-27,3.918473792749357e-27,6.28851255984537e-29,6.371704398718346e-29
