Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34),S(42)
0.0,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951369434198e-32,3.407179258467592e-32,1.4947831827946275e-32,2.398872684191512e-34,1.3993734429836278e-39,6.139271609566377e-40,2.924980285789774e-48,1.2832349018146137e-48
3.0000000000000002e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6185268785283784e-31,1.119501710374087e-31,4.91143025603417e-32,7.882010248266097e-34,9.195882452751543e-39,4.0343784105775236e-39,2.7578385191026293e-47,1.2099071773147539e-47
7e-15,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.5889074263020574e-31,2.4823730619176637e-31,1.0890561443619395e-31,1.7477500986625976e-33,4.997761592286879e-38,2.1925966945240742e-38,4.454326528652331e-46,1.9541831763497873e-46
1.5e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,7.5296685218494155e-31,5.2081148694036545e-31,2.2848819889644963e-31,3.666848246740329e-33,2.2110092799185617e-37,9.700045808893639e-38,4.1426064632650064e-45,1.8174266759916222e-45
3.1e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.541119071294413e-30,1.0659594901973465e-30,4.67653210651274e-31,7.505044544519185e-33,9.215866852496062e-37,4.043145881375862e-37,3.496351877389523e-44,1.5339046146353436e-44
6.300000000000001e-14,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.1174235095133565e-30,2.156254063752417e-30,9.459826054990417e-31,1.518143714657337e-32,3.755512753085048e-36,1.6476025709913725e-36,2.8615709849220033e-43,1.2554162432171202e-43
1.2700000000000001e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.270032385951243e-30,4.336837479042808e-30,1.902638880553993e-30,3.053422237669094e-32,1.5155167268806106e-35,6.648810481435681e-36,2.31351313095613e-42,1.0149746341435885e-42
2.55e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2575250138827016e-29,8.697981382471125e-30,3.815941372157072e-30,6.123979294114917e-32,6.088155915531133e-35,2.670969851126427e-35,1.8602161620291275e-41,8.161061172371677e-42
5.11e-13,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5185685644578562e-29,1.742017748173018e-29,7.642506121780039e-30,1.2265093448844813e-31,2.4404166103865906e-34,1.0706491885153273e-34,1.4918714953991826e-40,6.545075128240847e-41
1e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.927358784111179e-29,3.408058453050833e-29,1.495168899283438e-29,2.399558119443943e-31,9.442489459700248e-34,4.1425687870370245e-34,1.1479769332525304e-39,5.036355541861273e-40
1.023e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.0406556656081653e-29,3.486420285795597e-29,1.5295474690245931e-29,2.4547321926849813e-31,9.771830309463466e-34,4.287055802918413e-34,1.1949547758402401e-39,5.242454733411079e-40
2.047e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0084829867908784e-28,6.975078638601956e-29,3.060076813247813e-29,4.911177956657758e-31,3.910685587786141e-33,1.7156793365663324e-33,9.565276926001566e-39,4.1964375816218346e-39
4.095e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.017317827251002e-28,1.395180850627989e-28,6.120878046548867e-29,9.824069765719356e-31,1.5646051235055866e-32,6.864169005626192e-33,7.654201861260983e-38,3.3580188630128007e-38
8.191e-12,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.0349875081712492e-28,2.790292130438674e-28,1.2241450874412928e-28,1.9649854569327348e-30,6.258607552070784e-32,2.745749667476901e-32,6.123719670582616e-37,2.6865722302287213e-37
1e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.926092110901896e-28,3.4062363401798817e-28,1.4943695095117692e-28,2.3989417420938708e-30,1.0404027312216324e-31,4.564410580841348e-32,1.5588407221509257e-36,6.838879668891114e-37
1.6383e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.070326870011744e-28,5.579576246635453e-28,2.4478479429423103e-28,3.9301429406475066e-30,2.503101146313339e-31,1.0981498811911148e-31,4.8984261636967903e-36,2.149016677833392e-36
3.2767e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6141005593692734e-27,1.1154393355258669e-27,4.8936079762232445e-28,7.860460390167825e-30,1.0008688910101572e-30,4.390969399037003e-31,3.917413505318518e-35,1.7186309795431012e-35
6.5535e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.2282363041054714e-27,2.2289044246936654e-27,9.778554619306773e-28,1.572110833410763e-29,4.0003101185906556e-30,1.7549990284292473e-30,3.1316299877758793e-34,1.3738953789070033e-34
9.999999999999999e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.9259654435809675e-27,3.396891035275357e-27,1.490269575478519e-27,2.3988886624095743e-29,1.0298035779752847e-29,4.51791042324138e-30,1.4640277534115105e-33,6.422920242906715e-34
1.31071e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.456507793577867e-27,4.449858160689074e-27,1.9522228301439767e-27,3.1442481263533454e-29,1.5975582102630276e-29,7.008739378651442e-30,2.501559127014604e-33,1.0974733721779053e-33
2.62143e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2913050772522659e-26,8.867994207137503e-27,3.89052866375229e-27,6.288573306506809e-29,6.369720288000775e-29,2.794496568778659e-29,1.9952530398876586e-32,8.753489199582468e-33
5.24287e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5826136730412243e-26,1.761024333573124e-26,7.725890959900357e-27,1.2577582494541382e-28,2.531609262108735e-28,1.1106568362435188e-28,1.5866832483607768e-31,6.961029190313206e-32
9.999999999999999e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925952776848873e-26,3.3141108790272334e-26,1.4539526033413767e-26,2.3992667101223473e-28,9.306677031940589e-28,4.082985705963327e-28,1.1528557121860407e-30,5.057759477308958e-31
1.0485750000000002e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.165230864619141e-26,3.472696368482922e-26,1.523526553116959e-26,2.515826008432376e-28,9.998478426730271e-28,4.386489866763307e-28,1.2543720725556855e-30,5.503127729423863e-31
2.0971510000000003e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0330465247774974e-25,6.755292717143786e-26,2.963653203340572e-26,5.0339619275985265e-28,3.900560016511202e-27,1.7112370636351006e-27,9.803389324762186e-30,4.300901180172407e-30
4.194303e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.066093401408664e-25,1.2804180352785915e-25,5.617395268421972e-26,1.008510686008836e-27,1.4864001813561916e-26,6.521071429216755e-27,7.495947327325517e-29,3.2885900213777476e-29
8.388607e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.1321871546709973e-25,2.315301989902982e-25,1.0157593551681759e-25,2.029343003265941e-27,5.427287459958459e-26,2.3810363357133368e-26,5.5076780778383475e-28,2.4163049715348374e-28
9.999999999999999e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951510175664e-25,2.6142005142602493e-25,1.1468908154009466e-25,2.43492903603766e-27,7.927284574256469e-26,3.477824327284433e-26,1.1719144135920287e-27,5.1413727044642245e-28
1.6777215e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.264374661195664e-25,3.8713113263042052e-25,1.6984050017362724e-25,4.140747383945954e-27,1.8441800861082355e-25,8.090707732074892e-26,3.784339870375312e-27,1.6602493558051818e-27
3.3554431e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6528749674244997e-24,5.790837149811839e-25,2.5405309288680727e-25,8.769158019262074e-27,5.63675646469936e-25,2.4729335506731e-25,2.3551236135205722e-26,1.0332297061272563e-26
6.7108863e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.305749970034366e-24,7.680004855329614e-25,3.369338339856554e-25,2.0060150204925468e-26,1.5157653977042215e-24,6.6499010260660225e-25,1.298605207951977e-25,5.697185105898062e-26
9.999999999999998e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951383508345e-24,8.548960802395333e-25,3.7505633492506616e-25,3.551922819292902e-26,2.544268825941441e-24,1.1162109142093737e-24,3.783379515407517e-25,1.6598283222490992e-25
