Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234)
3.3015643994420435e-13,0.1122453720000049,0.0,0.0,0.0,0.0,0.32999999999980095,0.6699999999998445,1.9908011093975474e-13,1.5549374283766728e-13,9.175276033332676e-19,4.358728531673991e-14,2.886711027937202e-27,6.135122211989931e-23,4.0235262213152404e-25,9.049923997910277e-29,1.2395450813228354e-30,6.103030061141762e-23,1.2624451270886235e-22,7.490856109249395e-35,5.33655249139681e-40,2.957753570016829e-48,1.2616787013790863e-46,6.657301710728306e-28,8.193747081758422e-26,6.045696810262984e-43,3.8662784878490233e-48,7.413479228012352e-55,2.333818802917662e-49,2.048465730431376e-67,1.8970048898197134e-75,7.2364612730336745e-62,1.1137698146927058e-66
6.605997230160752e-13,0.1122453720000098,0.0,0.0,0.0,0.0,0.3299999999996017,0.6699999999996888,3.9833135009536185e-13,3.111340419888343e-13,3.670623662859006e-18,8.720097747947961e-14,1.1583949261361362e-26,2.471949993033637e-22,3.2313525445798612e-24,7.290357083458376e-28,9.926328462644497e-30,2.446153837008612e-22,5.05322110231514e-22,1.2035779987747809e-33,1.7151501256327842e-38,9.615642815465832e-47,8.211439766319212e-45,5.324592374921885e-27,6.5558145497066465e-25,9.683479474153661e-42,1.238579834697666e-46,2.597439061999238e-53,8.17350088192562e-48,2.6257797020746637e-65,4.903000394841273e-73,4.636480944052915e-60,1.4272223940887085e-64
1e-12,0.11224537200001958,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.029806704751848e-13,4.710107847341358e-13,9.32055175282635e-18,1.319792031221678e-13,2.9450820449364613e-26,6.348939575161086e-22,1.4864646700095664e-23,3.3878328643441854e-27,4.563015928697375e-29,6.230232748143654e-22,1.2842510486981255e-21,1.0489421220847385e-32,2.906392255313823e-37,1.638573041430649e-45,2.7601206224872994e-43,2.4430676172142278e-26,3.00991670047172e-24,8.431903161461894e-41,2.0967776384937548e-45,4.5995311470600584e-52,1.4480045886167018e-46,1.7396881327077453e-63,6.558501722233101e-71,1.5472233658971655e-58,9.456082736300935e-63
1.321486289159817e-12,0.11224537200001958,0.0,0.0,0.0,0.0,0.3299999999992032,0.6699999999993775,7.968283336905687e-13,6.224490251648591e-13,1.467226929355612e-17,1.743939758057818e-13,4.6374654949946567e-26,1.0021296607234036e-21,2.5883920467330976e-23,5.9062952501337786e-27,7.944949550704159e-29,9.814583055218817e-22,2.022067105220339e-21,1.9285145566485893e-32,5.496919121976186e-37,3.099578900786611e-45,5.296778197479114e-43,4.252831602950696e-26,5.23998707118668e-24,1.5501522229029325e-40,3.965564029419916e-45,8.710258775821913e-52,2.7421606839042348e-46,3.3626813878958157e-63,1.2724395061210076e-70,2.9688646566962797e-58,1.827787195922273e-62
2.6432594214473007e-12,0.11224537200003913,0.0,0.0,0.0,0.0,0.3299999999984062,0.6699999999987548,1.5938004004088213e-12,1.2452164220965389e-12,5.857890200965497e-17,3.486425373758504e-13,1.8529257292490404e-25,4.113113586949109e-21,2.0692854596266447e-22,4.8405100344299983e-26,6.357351618202087e-28,3.9478406199106206e-21,8.090548226127937e-21,3.0838217557657977e-31,1.7580969826991767e-35,9.942251053769708e-44,3.399023311451622e-41,3.3894301932862944e-25,4.18216426277189e-23,2.4807711265561758e-39,1.2692630678468336e-43,2.851268605352675e-50,8.980131838046485e-45,4.303482161575161e-61,3.341295965731794e-68,1.9003916355835317e-56,2.3399658451652162e-60
3.965032553734784e-12,0.11224537200005867,0.0,0.0,0.0,0.0,0.32999999999760915,0.6699999999981318,2.3907506447669328e-12,1.868121140778958e-12,1.2431068372491678e-16,5.227537726913287e-13,3.9329947399897933e-25,8.893096132385036e-21,5.912486218591039e-22,1.4029314360711968e-25,1.8874379294032907e-27,8.420875563394397e-21,1.7194651903240504e-20,1.1343935190452346e-30,8.023094428506833e-35,4.539710372522476e-43,1.8678039662240306e-40,9.67019201330802e-25,1.1941552129569172e-22,9.385622085934338e-39,5.921296665617617e-43,1.30709606019288e-49,4.1171198690804766e-44,2.8422644937777163e-60,2.0452899626732672e-67,1.0627282997524851e-55,1.5323202911269677e-59
5.286805686022268e-12,0.11224537200007823,0.0,0.0,0.0,0.0,0.3299999999968121,0.6699999999975087,3.1876791445980783e-12,2.491163072469404e-12,2.1178970112010024e-16,6.967277904940033e-13,6.701487182983129e-25,1.5409720015653596e-20,1.246155636774937e-21,2.9951429655832333e-25,4.112705152947392e-27,1.441447017973133e-20,2.933500902384157e-20,2.8753242151750142e-30,2.3902829561790547e-34,1.3529670503943642e-42,6.4215233263542725e-40,2.035592782038705e-24,2.515562569642182e-22,2.443101571750996e-38,1.8030659785689895e-42,3.905193589291988e-49,1.2301435345726752e-43,1.2462324009007297e-59,1.2467988651222228e-66,3.72005654112682e-55,6.077073261764945e-59
7.930351950597234e-12,0.11224537200011721,0.0,0.0,0.0,0.0,0.32999999999521806,0.669999999996262,4.781485351540652e-12,3.7375686293923495e-12,4.375465653348225e-16,1.0443541219820544e-12,1.384654332094137e-24,3.2727647725295757e-20,3.398947765498201e-21,8.343727778101067e-25,1.1937893741075154e-26,3.001326846370518e-20,6.074357924164721e-20,1.0043952029026606e-29,1.0453056678605828e-33,5.919094815795361e-42,3.452365213770209e-39,5.541034209810684e-24,6.855883336083539e-22,8.965760585854791e-38,8.214824784323985e-42,1.7133644926105388e-48,5.397536360329919e-43,1.2040326189685573e-58,2.2913646669545796e-65,2.0703424925948674e-54,4.072503389889436e-58
1e-11,0.1122453720001561,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952855,6.0292303246165145e-12,4.7137384619605215e-12,6.696586440581703e-16,1.3161612974836627e-12,2.1193088480597925e-24,5.113281741839456e-20,6.1668412104179686e-21,1.5369936872367003e-24,2.2491489196465943e-26,4.6208334006590526e-20,9.312977691568153e-20,2.1142308339451528e-29,2.5082281861688024e-33,1.420574071786348e-41,9.309054275486088e-39,1.0038863550255763e-23,1.24320881280067e-21,1.948831283517308e-37,2.0247203677640875e-41,4.1177816888207084e-48,1.2972552588664054e-42,3.986836068010411e-58,9.08952886984348e-65,5.708684887664931e-54,1.2425502266003319e-57
1.0573898215172202e-11,0.1122453720001561,0.0,0.0,0.0,0.0,0.329999999993624,0.6699999999950147,6.3752122386499595e-12,4.984477865395461e-12,7.426325621338353e-16,1.391476757816815e-12,2.3502816725088994e-24,5.699026091512255e-20,7.102711071285217e-21,1.775976274145963e-24,2.610648086415788e-26,5.13185260640615e-20,1.0332276953451314e-19,2.507302960634344e-29,3.043236290776948e-33,1.7236385529124308e-41,1.1501769904830983e-38,1.155878202542828e-23,1.431709191016205e-21,2.3248469785204042e-37,2.4674349200814705e-41,4.997389153354316e-48,1.5743740658627353e-42,5.0598588584927894e-58,1.176809351826476e-64,7.076639835400631e-54,1.5618968793211357e-57
1.321744447974717e-11,0.11224537200019497,0.0,0.0,0.0,0.0,0.32999999999202995,0.6699999999937669,7.968854654273355e-12,6.23192603263022e-12,1.132199479151282e-15,1.7380604446571944e-12,3.583339071219981e-24,8.914037836050076e-20,1.2913158232279478e-20,3.2888573761921838e-24,4.8978237650571446e-26,7.882971210923435e-20,1.578746862741012e-19,5.314202051057865e-29,7.38302026681978e-33,4.182341560681587e-41,3.147509734718162e-38,2.0977661265186077e-23,2.601239958136877e-21,5.0830921378793355e-37,6.156542022433058e-41,1.2140915160205083e-47,3.824995115462432e-42,1.728833137896465e-57,4.9911229905386996e-64,1.9844882690401042e-53,4.86523850758057e-57
1.8504537008897106e-11,0.11224537200027243,0.0,0.0,0.0,0.0,0.3299999999888419,0.6699999999912692,1.1155884208710487e-11,8.728468113078932e-12,2.1666354732818295e-15,2.4295820179178834e-12,6.857630098032738e-24,1.8059166545928225e-19,3.3969453515310644e-20,9.08292816915742e-24,1.3400364929518778e-25,1.534752018562871e-19,3.036771743965858e-19,1.9404227450610203e-28,3.8072475986149154e-32,2.157485142182113e-40,2.3447375895068573e-37,5.492368425639331e-23,6.831191269093335e-21,1.9549661800930793e-36,3.377461264946965e-40,6.27859673294405e-47,1.9782110524477986e-41,2.3432334190748945e-56,1.1008507440299804e-62,1.5848025544638742e-52,5.7981533101916205e-56
2.9078722067196974e-11,0.11224537200042661,0.0,0.0,0.0,0.0,0.32999999998246576,0.6699999999862667,1.7528947647641713e-11,1.3728067189372821e-11,5.231258433438771e-15,3.806110032427954e-12,1.6558329100366035e-23,4.881168967875937e-19,1.3024484724934673e-19,3.861381511414509e-23,5.321013353703859e-25,3.8421009179497193e-19,7.413401494600401e-19,1.2204722233344756e-27,4.082246041479184e-31,2.3141290272930272e-39,4.4518191482409706e-36,2.0834857379992206e-22,2.6092724061307995e-20,1.2900783242738135e-35,3.8422273901112946e-39,6.751336199748459e-46,2.127311870067337e-40,7.841674745741865e-55,6.484942771180332e-61,3.2192025697133e-51,2.1702494970156136e-54
3.965290712549684e-11,0.11224537200057964,0.0,0.0,0.0,0.0,0.32999999997608964,0.6699999999812539,2.3900707987872952e-11,1.8736322665160417e-11,9.59906187934865e-15,5.173981358155883e-12,3.038433393950745e-23,9.842053585024217e-19,3.210424313369188e-19,1.0269379599997819e-22,1.3319913320020641e-24,7.2820916515177e-19,1.3741325950525433e-18,3.9537198182561935e-27,1.6961119372897347e-30,9.615908716033833e-39,2.3120879423684127e-35,5.091865144857772e-22,6.412201248444256e-20,4.2528507009087956e-35,1.6252777739430475e-38,2.80758290577341e-45,8.84675404301918e-40,5.0318294913656304e-54,5.337048627041334e-60,1.7005995578874328e-50,1.3954894263149358e-53
6.080127724209658e-11,0.11224537200088246,0.0,0.0,0.0,0.0,0.3299999999633374,0.6699999999711993,3.664050543296466e-11,2.8778515258220444e-11,2.2057959252923357e-14,7.884041499296087e-12,6.982267108697628e-23,2.7026496677907318e-18,1.1471781769410289e-18,4.317658609100297e-22,4.867360898696225e-24,1.7889817077746658e-18,3.2265495297162865e-18,2.2290362712097796e-26,1.5378849091446303e-29,8.72013381765189e-38,3.438555249441621e-34,1.7828201608578107e-21,2.274752246768e-19,2.4587125497058577e-34,1.5154967914380833e-37,2.5487142222826227e-44,8.03130219499413e-39,1.3048157866068017e-52,2.8282544965288216e-58,2.605800767372586e-49,3.58158260347212e-52
7.983481034703634e-11,0.11224537200115124,0.0,0.0,0.0,0.0,0.32999999995186036,0.6699999999621169,4.8102217502568665e-11,3.7845548040220383e-11,3.737651792391793e-14,1.0294035187026837e-11,1.1831357358512404e-22,5.197961976178826e-18,2.518863567134538e-18,1.0497359875896614e-21,1.0829514471438802e-23,3.1935086636051046e-18,5.563974860996355e-18,6.176320624536522e-26,5.236013392047137e-29,2.9690635704745554e-37,1.400348063496305e-33,3.858224717807365e-21,4.968985221218041e-19,6.893269112473942e-34,5.214251302051583e-37,8.680745064446806e-44,2.7354322857200926e-38,6.75576488036457e-52,2.043819219077648e-57,1.0707830475738379e-48,1.7130124602450412e-51
9.886834345197611e-11,0.1122453720014165,0.0,0.0,0.0,0.0,0.3299999999403833,0.6699999999530036,5.956024941553222e-11,4.693977327978137e-11,5.637494242426529e-14,1.267683547784889e-11,1.7845333988266406e-22,8.77405357630457e-18,4.669033381044627e-18,2.135176195573167e-21,2.0319429730176707e-23,5.0616763171952584e-18,8.538303690986628e-18,1.383775857757696e-25,1.398539022547131e-28,7.93061799447178e-37,4.403966262388213e-33,7.049200578007303e-21,9.163188153082686e-19,1.560879129148548e-33,1.4062161314510862e-36,2.319224989956241e-43,7.308273261594947e-38,2.4552725631204696e-51,9.130141420608676e-57,3.3967002718106835e-48,6.323933040513625e-51
9.999999999999999e-11,0.11224537200167843,0.0,0.0,0.0,0.0,0.3299999999397009,0.6699999999524608,6.024138706692978e-11,4.748132614823847e-11,5.761487059325698e-14,1.281765988840918e-11,1.8237835502916927e-22,9.025526905728631e-18,4.8262600976312936e-18,2.2196452028395834e-21,2.101956429231373e-23,5.188344701491476e-18,8.735258080093463e-18,1.4462418043231762e-25,1.4777681413004402e-28,8.379913160803866e-37,4.7047568837966914e-33,7.279877584076076e-21,9.468619279073936e-19,1.6324629663450543e-33,1.4868595693503497e-36,2.4506480501401196e-43,7.722412683423953e-38,2.6611152613092962e-51,1.0160230541483979e-56,3.6309658741611e-48,6.83507765341401e-51
1.1790187655691586e-10,0.11224537200167843,0.0,0.0,0.0,0.0,0.3299999999289063,0.66999999994386,7.101477689217738e-11,5.6060897121368236e-11,7.88773319749409e-14,1.503273622738407e-11,2.496851441843039e-22,1.358376539368306e-17,7.752237458343991e-18,3.8535055366573944e-21,3.4124338378428626e-23,7.424985789907186e-18,1.2151228463075957e-17,2.686953954100186e-25,3.1373747972178946e-28,1.7791330443003582e-36,1.1287751217504477e-32,1.154050763598854e-20,1.513735674625132e-18,3.0599781512533234e-33,3.181209985381702e-36,5.20370998854261e-43,1.639785469245546e-37,7.410955257587973e-51,3.5545120702094403e-56,8.769913043630413e-48,1.8459681399599101e-50
