Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144)
4.150849297858452e-13,0.11224537200000616,0.0,0.0,0.0,0.0,0.3299999999997497,0.6699999999998045,2.502906076654291e-13,1.954943564916605e-13,1.4500947761397207e-18,5.479770077407444e-14,4.5679947023021574e-27,9.714013751258179e-23,8.006500460757639e-25,1.801310794161959e-28,2.463275260526685e-30,9.650129787585978e-23,1.9954930746940056e-22,1.874259140147046e-34,1.6787998684283903e-39,9.348233479755264e-48,5.015307077747519e-46,1.3226310721390819e-27,1.6280328913279585e-25,1.5104749627378105e-42,1.2144440721166061e-47,2.414416218475373e-54,7.597959037660199e-49,1.0170098740009087e-66,1.1861229456962225e-74,2.857762640087454e-61,5.529839815289327e-66,1.3221171268639795e-73,1.0910059971655251e-84,2.3122267749789696e-86,7.133277828391942e-87,7.583513163515238e-86,2.6254241758627053e-87,1.338698895435546e-94,4.398051799168277e-84,2.789558683715738e-79,1.703003561094598e-80,9.013524822358725e-29,1.4843811092901626e-85,1.7447378336970082e-79,1.191249007577222e-71,3.697021946972235e-81,7.043508132614837e-72,1.1817015045445004e-92,3.308113762267959e-91
8.305304893977423e-13,0.11224537200001232,0.0,0.0,0.0,0.0,0.3299999999994992,0.6699999999996089,5.00795771661336e-13,3.911766758969931e-13,5.8004276930817986e-18,1.0962489421665731e-13,1.8316796407208633e-26,3.9205220015393184e-22,6.4247216051040814e-24,1.4533618141981365e-27,1.972596698829281e-29,3.8692242842142955e-22,7.987471891228307e-22,3.0087455018388456e-33,5.390674286846425e-38,3.029309278261918e-46,3.2530855336778284e-44,1.0575863828683932e-26,1.3023759601859343e-24,2.4193403248016915e-41,3.890512167720618e-46,8.314882912389577e-53,2.616824995191576e-47,1.3035594423657862e-64,3.070677879798352e-72,1.8309863665807817e-59,7.086070708335567e-64,3.2707013235145335e-71,5.592803791692558e-82,6.626489616613997e-84,4.0237779398416713e-84,4.284261050690655e-83,2.1572736583718607e-84,1.92480441685349e-91,1.1418009002399078e-81,1.4829853247033158e-76,4.612588634190771e-78,3.6077695344703527e-28,7.892398011449679e-83,3.2105371295147196e-77,3.0539038978781347e-69,1.8917063988067827e-78,1.8055168955117045e-69,1.6223202651137356e-89,2.269214762821571e-88
1e-12,0.11224537200002459,0.0,0.0,0.0,0.0,0.329999999999397,0.669999999999529,6.029806459530818e-13,4.710109419170013e-13,9.345076460790436e-18,1.3197904593411365e-13,2.952845506863258e-26,6.373231459420003e-22,1.560467146232291e-23,3.5658273928387846e-27,4.790489593814934e-29,6.248613771115629e-22,1.2877483993931345e-21,1.2221927123868581e-32,3.95068768804618e-37,2.229226194057626e-45,4.530766055197396e-43,2.5638811365760636e-26,3.159232283144005e-24,9.825106177567257e-41,2.850274628248935e-45,6.295076455979499e-52,1.9820217583038344e-46,3.5083044221518475e-63,1.6550267137413643e-70,2.5370198753616776e-58,1.907296865224877e-62,1.6236599230740895e-69,5.8854149620684174e-80,3.731936917793734e-82,4.37071215669374e-82,4.657172547551585e-81,3.883584782186514e-82,5.546998935922857e-89,6.081051696879895e-80,1.5828034695924926e-74,2.5741031581436308e-76,5.816279892022908e-28,8.424224870979911e-81,1.1135768405880226e-75,1.619611606731431e-67,1.9834536186362805e-76,9.57365420595019e-68,4.069561399927742e-87,2.853455011246486e-86
1.6614216086215366e-12,0.11224537200002459,0.0,0.0,0.0,0.0,0.32999999999899815,0.6699999999992173,1.0017974224378054e-12,7.825956539187009e-13,2.3179466384997612e-17,2.192249401116879e-13,7.328637518536078e-26,1.59458975357395e-21,5.143304660808695e-23,1.181055752875923e-26,1.5788428071957793e-28,1.553511974124903e-21,3.196268498173392e-21,4.8180002339341013e-32,1.7265881388279068e-36,9.747353255043386e-45,2.094422270568587e-42,8.442790537534914e-26,1.0406346479351742e-23,3.8729028458354145e-40,1.2456169766618052e-44,2.761888426026152e-51,8.696324265441564e-46,1.669208071420201e-62,7.994575936892116e-70,1.172412596151682e-57,9.07471331395414e-62,7.832981169870505e-69,2.863728699561596e-79,1.8038667825362572e-81,2.127209647382567e-81,2.2666415147146062e-80,1.895661007529385e-81,2.7121227089943195e-88,2.9369121643027643e-79,7.702438959857052e-74,1.244053156601268e-75,1.4435862660383573e-27,4.099505321674498e-80,5.334445811979629e-75,7.821594076876774e-67,9.650832391098033e-76,4.623394167751192e-67,1.988931246430649e-86,1.390162361825231e-85
3.3232038470691254e-12,0.11224537200004918,0.0,0.0,0.0,0.0,0.3299999999979961,0.6699999999984343,2.0037661706272025e-12,1.5656507504533147e-12,9.249537724259133e-17,4.3820788429228926e-13,2.92620688435609e-25,6.585654480205164e-21,4.1091834909711298e-22,9.736097851924571e-26,1.2633398193468273e-27,6.257462085352993e-21,1.2789068551447136e-20,7.6993428478993454e-31,5.518646545716606e-35,3.122715291702684e-43,1.3422944370858414e-40,6.72190787222158e-25,8.300161653790215e-23,6.197869571183802e-39,3.986803011217824e-43,8.993157520672438e-50,2.83270561602949e-44,2.13574443629507e-60,2.1120647948333532e-67,7.504471282306789e-56,1.1617260757348518e-59,1.7748766950713262e-66,1.4647072976456422e-76,4.7688914164435243e-79,1.063976203133726e-78,1.1341482955655311e-77,1.7153565223055475e-78,3.517038865171502e-85,7.511549621290005e-77,3.937507363653562e-71,3.41612642221871e-73,5.775353632042261e-27,2.0957530176397262e-77,8.285510862876112e-73,2.001808775961228e-64,4.9003215513206176e-73,1.1828432531777637e-64,2.251647110355102e-83,7.859001086316666e-83
4.984986085516714e-12,0.11224537200007374,0.0,0.0,0.0,0.0,0.3299999999969941,0.6699999999976508,3.0057005202536408e-12,2.3489227713414973e-12,1.9621416159295595e-16,6.5697389699921e-13,6.208596210949008e-25,1.4297241374082288e-20,1.17373895010839e-21,2.830881560186593e-25,3.750718605540808e-27,1.335984228766809e-20,2.7180880012399973e-20,2.8314948748019445e-30,2.517889785142599e-34,1.425381171683601e-42,7.373882674895833e-40,1.9166693894879e-24,2.3691033962833315e-22,2.3448534835375465e-38,1.8598904628364014e-42,4.118029953720166e-49,1.2972197575874195e-43,1.4104786211075696e-59,1.2916524582690118e-66,4.196572532829798e-55,7.607463248125384e-59,1.295048196832378e-65,1.2496155008911973e-75,3.6127258375324793e-78,8.995231605178376e-78,9.588916763804619e-77,1.5619495732076e-77,3.35381301431795e-84,4.565277745016631e-76,2.6221547455046274e-70,1.9838772659972796e-72,1.2273355611610342e-26,1.3956590799167587e-76,5.615503493958914e-72,1.5170920443117652e-63,4.1887413697201964e-72,8.963439202249115e-64,1.369555371535846e-82,3.9901145717237854e-82
6.646768323964303e-12,0.11224537200009825,0.0,0.0,0.0,0.0,0.32999999999599205,0.6699999999968672,4.0076006254235774e-12,3.1324115006607517e-12,3.341815543027355e-16,8.75523194153141e-13,1.0575148364654513e-24,2.486328232107875e-20,2.473202671884428e-21,6.060726484965459e-25,8.172729232496882e-27,2.2888189390663868e-20,4.637295551049511e-20,7.175355684028459e-30,7.5000283491822775e-34,4.246957414170796e-42,2.5345535625233685e-39,4.032487880199106e-24,4.988975179617327e-22,6.103672133843497e-38,5.6634320522976115e-42,1.2294050150459338e-48,3.872947406625401e-43,6.184130069039053e-59,7.906687519735329e-66,1.468986752435955e-54,3.0170405459964625e-58,5.591450594747615e-65,6.78345503450854e-75,1.8270876662332067e-77,4.871739320293611e-77,5.193405551618892e-76,9.254689173651859e-77,2.042226333431832e-83,2.6898232979839044e-75,1.753435281732179e-69,1.3274321986897586e-71,2.093767839663266e-26,9.332774207798894e-76,2.5538906194248992e-71,7.291151215692907e-63,2.1935362879655213e-71,4.3075033323587067e-63,1.2780798391704233e-81,3.985196543667965e-81
9.97033280085948e-12,0.11224537200014718,0.0,0.0,0.0,0.0,0.329999999993988,0.6699999999952992,6.011320941460038e-12,4.699896891760666e-12,6.900198978756535e-16,1.3121138392794508e-12,2.1837653767573103e-24,5.310771438785609e-20,6.742946856575805e-21,1.6959821025910313e-24,2.3722616312494219e-26,4.772342320817043e-20,9.602691296961236e-20,2.5055737710708848e-29,3.278865113381172e-33,1.8572787017688433e-41,1.3621487631482392e-38,1.0967071241797843e-23,1.3589238725589347e-21,2.2399130531457782e-37,2.5802491945899885e-41,5.388676657216414e-48,1.697678729563798e-42,5.9742051521991534e-58,1.466386662395161e-64,8.17528927308145e-54,2.0218156067184706e-57,4.24531189088727e-64,9.666878045208574e-74,2.3898509675579847e-76,6.992524032943732e-76,7.454455425833112e-75,1.5334062902959766e-75,3.5153293883015436e-82,4.539235060683726e-74,3.826843770706476e-68,2.6037279648239876e-70,4.3350946818247944e-26,2.0368701486430903e-74,2.6251857223955662e-70,7.976777695072463e-62,2.6966884214722373e-70,4.7120164658700585e-62,4.7323670902338945e-80,1.2894725987463096e-79
1e-11,0.11224537200019608,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952854,6.029206228297361e-12,4.7138923479638484e-12,6.937576265004408e-16,1.3160074064066769e-12,2.1955958044809483e-24,5.3412071540592614e-20,6.794896698153814e-21,1.7094836953858662e-24,2.391818000441093e-26,4.7986304498596483e-20,9.65496750609753e-20,2.530357291036209e-29,3.31826149575927e-33,1.8795993633825537e-41,1.3813491789652717e-38,1.1051298148173129e-23,1.3693811840548376e-21,2.263188581380899e-37,2.6124370247508734e-41,5.4535409662575846e-48,1.718114842067991e-42,6.084037019721849e-58,1.499944370368728e-64,8.293970135169786e-54,2.0552363948406653e-57,4.321334011462471e-64,9.882323013821866e-74,2.435180055266056e-76,7.145439207622077e-76,7.617479330526856e-75,1.5713803809469085e-75,3.6060580167886663e-82,4.638994966088958e-74,3.918969528746853e-68,2.6593285384770813e-70,4.358689164732945e-26,2.0859050472940318e-74,2.675401171190966e-70,8.143936803675796e-62,2.7593179963261686e-70,4.810748924555748e-62,4.8655206361818286e-80,1.3215660519410245e-79
1.3293897277754657e-11,0.11224537200019608,0.0,0.0,0.0,0.0,0.3299999999919839,0.6699999999937306,8.014916598601055e-12,6.268177406477312e-12,1.1705310969961493e-15,1.747909334584798e-12,3.70467626095637e-24,9.295292994508553e-20,1.4085473970439577e-20,3.623713674503958e-24,5.187753005820196e-26,8.17067933743681e-20,1.6334354003333473e-19,6.252954714703085e-29,9.543670360423077e-33,5.406887919559809e-41,4.536990320570743e-38,2.285981601905624e-23,2.8364145003423594e-21,5.808095829613034e-37,7.750065273466395e-41,1.5707691562950543e-47,4.9488149104154e-42,2.5104006179059562e-57,7.555916213198492e-64,2.7943610174945453e-53,7.754035673619927e-57,1.7506922231137608e-63,4.868216380026405e-73,1.0288184343176847e-75,3.456079913538285e-75,3.684545844178799e-74,8.551108245403513e-75,2.041129920825231e-81,2.2498644290503705e-73,2.0698709688117026e-67,1.2523919430008087e-69,7.37315333543881e-26,1.1017104001225651e-73,1.1448877486964844e-69,3.7979085542165914e-61,1.417160201766103e-69,2.2432437764671253e-61,2.97792513922958e-79,7.189091551244395e-79
