Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189)
3.193286794078042e-13,0.11224537200000474,0.0,0.0,0.0,0.0,0.32999999999980745,0.6699999999998497,1.9255113889760843e-13,1.503940119782875e-13,8.583466721418452e-19,4.2157984973217936e-14,2.6999554537740956e-27,5.738057994404919e-23,3.6396751435536647e-25,8.186741079827362e-29,1.1215455200229673e-30,5.709029238542202e-23,1.180995900391634e-22,6.553872314478412e-35,4.515873051878638e-40,2.5009640327646214e-48,1.0317775592313404e-46,6.023748912728206e-28,7.413888626824416e-26,5.2907736391750746e-43,3.272533485961364e-48,6.2379961330458154e-55,1.96393558532142e-49,1.62202590171292e-67,1.452517256081116e-75
6.389347946795596e-13,0.11224537200000949,0.0,0.0,0.0,0.0,0.3299999999996147,0.6699999999996992,3.8526785184660105e-13,3.009294102203405e-13,3.4339243967883268e-18,8.434187438052056e-14,1.0835833578676125e-26,2.3114695849075267e-22,2.9234712513965428e-24,6.593679051646819e-28,8.981385606555667e-30,2.288131936416944e-22,4.727197600845135e-22,1.053180863292541e-33,1.4516000876780726e-38,8.134926353222808e-47,6.718890124536487e-45,4.818026020603331e-27,5.931973536290722e-25,8.474312260096625e-42,1.0483714292849894e-46,2.191692964789851e-53,6.896623311957758e-48,2.079167061771949e-65,3.753391071747558e-73
1e-12,0.11224537200001894,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029807431806169e-13,4.710103289784743e-13,9.247836705409392e-18,1.319796588927563e-13,2.922063605601941e-26,6.296727065106079e-22,1.450102923958017e-23,3.303144947156114e-27,4.451383040330155e-29,6.180924687015824e-22,1.2741901064437282e-21,9.991351093086133e-33,2.6912902742122717e-37,1.5170434411567037e-45,2.478091598720282e-43,2.3835028557979958e-26,2.9364374565648486e-24,8.031566745725889e-41,1.941613539320162e-45,4.25332741977274e-52,1.3389858405360173e-46,1.5130943196102517e-63,5.516320245523611e-71
1.2781470252230702e-12,0.11224537200001894,0.0,0.0,0.0,0.0,0.3299999999992293,0.6699999999993981,7.706961369237699e-13,6.020323740348426e-13,1.3726591206595869e-17,1.6867748481186292e-13,4.338339126763956e-26,9.36677506898795e-22,2.3419815282402907e-23,5.3397818447224255e-27,7.188629297649961e-29,9.179742372669221e-22,1.891603774001296e-21,1.6876881528366074e-32,4.652704857307553e-37,2.6230322175660132e-45,4.335333458427557e-43,3.848479986379301e-26,4.741555353307501e-24,1.3565874383691303e-40,3.3565764965037005e-45,7.361046094237102e-52,2.317347007916706e-46,2.662691501596821e-63,9.736910040396498e-71
2.5565714863100917e-12,0.11224537200003785,0.0,0.0,0.0,0.0,0.3299999999984584,0.6699999999987958,1.5415322147407364e-12,1.2043668724334755e-12,5.480695131631597e-17,3.37220130692581e-13,1.7335689711359943e-25,3.841384986219181e-21,1.8724584677582754e-22,4.3729241834467634e-26,5.752169328305972e-28,3.6918324017209554e-21,7.568518302858317e-21,2.698966236345497e-31,1.48822300831689e-35,8.415253100944245e-44,2.782595745689918e-41,3.067567523358227e-25,3.784667652345571e-23,2.1710057545903016e-39,1.0743456880914154e-43,2.4116739920814055e-50,7.595493944702013e-45,3.4077144415001707e-61,2.554810865271097e-68
3.834995947397113e-12,0.11224537200005678,0.0,0.0,0.0,0.0,0.32999999999768753,0.6699999999981932,2.3123478709212386e-12,1.806829843125263e-12,1.163115642061071e-16,5.056343000669512e-13,3.6798475446884515e-25,8.301182070058896e-21,5.350320224846426e-22,1.2668835634559895e-25,1.707766076234621e-27,7.873858606016356e-21,1.6085150696673527e-20,9.928576380023537e-31,6.791721274136069e-35,3.8426570372268625e-43,1.5291358299156972e-40,8.752556315710727e-25,1.0807074319407162e-22,8.213679136325574e-39,5.011982574613867e-43,1.10577373457242e-49,3.482941053663521e-44,2.2506602400846795e-60,1.5640500825907725e-67
5.113420408484134e-12,0.11224537200007566,0.0,0.0,0.0,0.0,0.32999999999691665,0.6699999999975905,3.083143175922042e-12,2.409421187709153e-12,1.9816990056099884e-16,6.739200913351846e-13,6.270436980237085e-25,1.4377300715289582e-20,1.127708611066952e-21,2.7037007858291387e-25,3.721204774132852e-27,1.3476641811073269e-20,2.744207184852016e-20,2.5166491322235375e-30,2.0234758950577793e-34,1.145266603948842e-42,5.257355542611608e-40,1.8425533127693646e-24,2.2766760686151232e-22,2.1380436779867986e-38,1.5261761646532477e-42,3.3040995850818704e-49,1.0407847580811678e-43,9.868393118840785e-60,9.529223215994697e-67
7.670269330658178e-12,0.11224537200011336,0.0,0.0,0.0,0.0,0.3299999999953749,0.6699999999963848,4.624686240558003e-12,3.6149048575932557e-12,4.09437684919423e-16,1.0101906832626984e-12,1.295687840379796e-24,3.051206540988334e-20,3.0760458218180086e-21,7.527406994090073e-25,1.0801505707501795e-26,2.8055521590710806e-20,5.682366715807309e-20,8.791451906808764e-30,8.84931207101095e-34,5.010695940654677e-42,2.8266222197640812e-39,5.016130126707772e-24,6.205270843676444e-22,7.846263886659268e-38,6.953315843941733e-42,1.4498571271923185e-48,4.567373436242365e-43,9.534306210329423e-59,1.749190922280986e-65
1e-11,0.11224537200015104,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952857,6.0292333805382756e-12,4.713718870416959e-12,6.666023984708336e-16,1.3161808896740462e-12,2.1096340962522102e-24,5.08291433018973e-20,6.0736715617438315e-21,1.5112077606501025e-24,2.225035918472666e-26,4.597902034820499e-20,9.269378539032617e-20,2.0500137417089578e-29,2.3853317825847377e-33,1.350932822924231e-41,8.65833553212439e-39,9.888789374725607e-24,1.2244970824375722e-21,1.8960499394553937e-37,1.9303542176153416e-41,3.915147915646988e-48,1.2334113597158703e-42,3.64656007178674e-58,8.111735148318062e-65
1.022711825283222e-11,0.11224537200015104,0.0,0.0,0.0,0.0,0.3299999999938331,0.6699999999951786,6.166155048418689e-12,4.820859787729265e-12,6.949709998757616e-16,1.3459899994350332e-12,2.199424535301025e-24,5.30962344453911e-20,6.4282518554450135e-21,1.6014173819471933e-24,2.362138866249162e-26,4.7962989240160594e-20,9.665475307605387e-20,2.1947188789441485e-29,2.5764099726637463e-33,1.4591682728309748e-41,9.417380337701072e-39,1.0464857757255336e-23,1.295924823752308e-21,2.034561100043147e-37,2.088525736092254e-41,4.2292037877127254e-48,1.33235337628267e-42,4.0067517819453414e-58,8.979676832210055e-65
