Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26)
4.1929909802844715e-13,0.11224537200000621,0.0,0.0,0.0,0.0,0.32999999999974716,0.6699999999998025,2.528316793508171e-13,1.974792144810051e-13,1.4796788880633596e-18,5.5353944044148306e-14,4.661303910824872e-27,9.913097446983232e-23,8.2530677486089265e-25,1.8568800485402325e-28,2.539064795215712e-30,9.847243587295389e-23,2.036218197470022e-22,1.9516011064791986e-34,1.7658272230918737e-39,9.834636245327232e-48,5.329909587955327e-46,1.3633083520038481e-27,1.6781104442746483e-25,1.5727558095860885e-42,1.2773568755613407e-47,2.5430643770005675e-54,8.002730652138964e-49,1.0915233660581422e-66,1.2860601369733655e-74,3.0363215670515318e-61,5.935005474281834e-66,1.4328701365468223e-73,1.1948357636326981e-84,2.51215548599762e-86,7.827366071570579e-87,8.321664858309512e-86,2.89327654110585e-87,3.031624470870648e-94,4.769224702925472e-84,3.0572147443992e-79,1.848014569566688e-80,9.19747458251391e-29,1.6268110426385445e-85,1.883955295762566e-79,1.2915092723332544e-71,4.0487876495707815e-81,7.6363106615965e-72,5.640289120091899e-87,1.563257080938713e-85,2.0121885641184852e-29
8.389624871933221e-13,0.11224537200001244,0.0,0.0,0.0,0.0,0.3299999999994941,0.6699999999996049,5.05880063642975e-13,3.951484859638881e-13,5.9187265307994764e-18,1.1073749439000376e-13,1.8690367664154443e-26,4.0012031815536767e-22,6.622350376794109e-24,1.4983133503684617e-27,2.0332889161944263e-29,3.948325886285811e-22,8.150487719092716e-22,3.132789508912438e-33,5.669912033856222e-38,3.1865219266579106e-46,3.45668230976164e-44,1.0900984390338428e-26,1.3424255793477959e-24,2.519095604036479e-41,4.0920546817368905e-46,8.751911955379656e-53,2.754383238987472e-47,1.3990648328014087e-64,3.329668546170531e-72,1.9453894568444289e-59,7.605256958796156e-64,3.5434804522525914e-71,6.125042071662963e-82,7.19272066477279e-84,4.410587260436263e-84,4.696182684369029e-83,2.3802366965399616e-84,4.998464698634016e-91,1.2379976351398896e-81,1.624620920399801e-76,5.00429402966814e-78,3.681397704097082e-28,8.646190318471006e-83,3.461188081426076e-77,3.310927131293776e-69,2.0716531842791867e-78,1.9574694615576048e-69,5.9607571082280525e-84,8.255494276093816e-83,1.610935993532097e-28
1e-12,0.11224537200002485,0.0,0.0,0.0,0.0,0.329999999999397,0.669999999999529,6.029806699227599e-13,4.710107918805097e-13,9.32110357263891e-18,1.3197919597551671e-13,2.945184888269233e-26,6.356438222257897e-22,1.552325197261489e-23,3.547313109660082e-27,4.765622259173996e-29,6.232467889059959e-22,1.2844380284182656e-21,1.2156636120916535e-32,3.9424317249413625e-37,2.2246048622118035e-45,4.548983706429237e-43,2.550578992597889e-26,3.14284062584038e-24,9.772902775382842e-41,2.8444021318213906e-45,6.2827841771651426e-52,1.9781573312525865e-46,3.5503180448000103e-63,1.6904223593449192e-70,2.5472119067800526e-58,1.9301495043577015e-62,1.6558534318134198e-69,6.066833414765185e-80,3.8127741840509827e-82,4.5056584108680293e-82,4.800998207790639e-81,4.035210469380358e-82,1.4916001139515454e-88,6.2091826802569724e-80,1.6316930608116776e-74,2.630329827407456e-76,5.8013297622034e-28,8.684438031538571e-81,1.1299602330284028e-75,1.6537436923796582e-67,2.044447226723046e-76,9.775377314504615e-68,1.1883659440978338e-81,8.262739601045337e-81,3.7649578464999036e-28
1.6782892655230722e-12,0.11224537200002485,0.0,0.0,0.0,0.0,0.329999999998988,0.6699999999992095,1.011967978329756e-12,7.905424765436008e-13,2.365190007166517e-17,2.2144914565236247e-13,7.477915842966214e-26,1.6276677414049629e-21,5.301380868017021e-23,1.2177690700347962e-26,1.62741977710094e-28,1.5853263531079036e-21,3.2615034245046868e-21,5.0165036672886e-32,1.815977172404695e-36,1.025246876681686e-44,2.225332921522676e-42,8.702116387347124e-26,1.072618054607481e-23,4.0325905319610505e-40,1.3101439312796417e-44,2.9059541019894517e-51,9.150001982608368e-46,1.7914955903878905e-62,8.670228099185317e-70,1.245665963100844e-57,9.7395972918635e-62,8.481049259722831e-69,3.136232144780026e-79,1.95692044996578e-81,2.3297697244107947e-81,2.4824977645262145e-80,2.0931243002910124e-81,7.753159443967054e-88,3.184078762176776e-79,8.435947792340883e-74,1.3498486364314714e-75,1.4730473870247043e-27,4.489907405915248e-80,5.743562469962784e-75,8.479848442683352e-67,1.056839163397859e-75,5.012473649971688e-67,6.168651169917553e-81,4.2717639872460525e-80,1.283768801418537e-27
3.3569428221825724e-12,0.11224537200004968,0.0,0.0,0.0,0.0,0.3299999999979758,0.6699999999984184,2.0241085523807445e-12,1.581552025153621e-12,9.437812757567876e-17,4.4265087346291413e-13,2.9857154517850665e-25,6.724318642115301e-21,4.235351650604582e-22,1.0041625976059213e-25,1.3022090023230438e-27,6.386041815733109e-21,1.3050109568314909e-20,8.016320905892452e-31,5.804186379782901e-35,3.2843636727749685e-43,1.4261157034508134e-40,6.928026084923418e-25,8.554987067756906e-23,6.45341557503505e-39,4.193329122412398e-43,9.460248723697616e-50,2.979844450807582e-44,2.2921925174303655e-60,2.2912446218025294e-67,7.973345311408829e-56,1.2468412941403787e-59,1.9197712730059084e-66,1.6040609349062192e-76,5.1719490646944584e-79,1.1643422945679114e-78,1.24113855161677e-77,1.8942651113469572e-78,1.0813716004546794e-84,8.143096517661314e-77,4.311549251235669e-71,3.7082465693615864e-73,5.893219417773562e-27,2.2948390358048907e-77,8.915357851046618e-73,2.170263827551e-64,5.3657539100947237e-73,1.2823715393815766e-64,6.286627214637379e-78,2.1768397225827606e-77,1.0164224315958085e-26
5.0355963788420726e-12,0.11224537200007449,0.0,0.0,0.0,0.0,0.3299999999969636,0.6699999999976272,3.036214030650821e-12,2.372782918433261e-12,2.0020452956029246e-16,6.636312493383702e-13,6.334731895551424e-25,1.460117855536273e-20,1.2097596415929255e-21,2.9201739750130625e-25,3.866116038177737e-27,1.3634991453313626e-20,2.7735705063190714e-20,2.9480299188561835e-30,2.6481403156071115e-34,1.499144257925264e-42,7.834251287381965e-40,1.9753842365604678e-24,2.441792623835122e-22,2.4415338994080866e-38,1.95623674345247e-42,4.3317141171146205e-49,1.3645371339517926e-43,1.5137959487295203e-59,1.4011681227900935e-66,4.45876910832166e-55,8.164829294144108e-59,1.4004323908212217e-65,1.36850063324604e-75,3.9179044057273156e-78,9.842273982966257e-78,1.0491899475877442e-76,1.7251202295666917e-77,8.150490341705033e-84,4.9490395844063164e-76,2.8711160744645217e-70,2.1538556129665672e-72,1.2523836771135941e-26,1.5281708499648158e-76,6.04215520638423e-72,1.644754812027301e-63,4.58649593702452e-72,9.71762683499006e-64,3.759799767670903e-77,1.0852965639801056e-76,2.8882868817246236e-26
6.714249935501573e-12,0.11224537200009926,0.0,0.0,0.0,0.0,0.3299999999959514,0.6699999999968355,4.048284571959031e-12,3.1642349338255367e-12,3.40972123450162e-16,8.843904958338531e-13,1.07898083377857e-24,2.539627512456984e-20,2.5490702242754004e-21,6.252750992670833e-25,8.424175395328536e-27,2.3360554227372467e-20,4.731958102321415e-20,7.47059109085665e-30,7.887934558274723e-34,4.4666839125325375e-42,2.6927632511554802e-39,4.155909179941228e-24,5.141961446900032e-22,6.355329862533704e-38,5.956808194374137e-42,1.2931581780031921e-48,4.07379900393922e-43,6.637103869969553e-59,8.578815422936524e-66,1.5607664582232056e-54,3.238084762035981e-58,6.045164415827225e-65,7.428795097877128e-75,1.9813885136106257e-77,5.3299393811731995e-77,5.681876987146093e-76,1.0219601210578428e-76,6.316198538385969e-83,2.9158983067581427e-75,1.9198910390473694e-69,1.4411533223760627e-71,2.136498830445447e-26,1.0218749016154971e-75,2.7478806910332844e-71,7.90468735830329e-63,2.401790024702347e-71,4.669927983020639e-63,3.512359741921057e-76,1.0871023635284853e-75,6.057490101737218e-26
1e-11,0.11224537200014871,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952855,6.029204835825429e-12,4.7139012455963e-12,6.951502514329243e-16,1.31599850848081e-12,2.1999505063139896e-24,5.354473737393033e-20,6.83191171311457e-21,1.7197501261744668e-24,2.4014717618641722e-26,4.808929906375462e-20,9.674745174027807e-20,2.555636636705462e-29,3.369300557072777e-33,1.9085227858519775e-41,1.4109772179569607e-38,1.1111195417396329e-23,1.3768481509211289e-21,2.283390524404878e-37,2.6504316370538974e-41,5.537726308216545e-48,1.7446394060633563e-42,6.223582290683606e-58,1.5406984535009056e-64,8.466113579554818e-54,2.1116567362631065e-57,4.4607724408304384e-64,1.0256646708486041e-73,2.5117373819492732e-76,7.410559649990035e-76,7.900128096168854e-75,1.638980401916905e-75,1.8651459033927256e-81,4.764310250468887e-74,4.053657688750091e-68,2.7360500208811762e-70,4.3676078754854147e-26,2.157594346020681e-74,2.7406554622729814e-70,8.388652364549642e-62,2.862505790133653e-70,4.955268855790927e-62,1.229528824157209e-74,3.3070245546564304e-74,1.6111514376281586e-25
1.0071557048820572e-11,0.11224537200014871,0.0,0.0,0.0,0.0,0.329999999993927,0.6699999999952517,6.072344149512126e-12,4.747657235166128e-12,7.040217978514583e-16,1.3253907012071848e-12,2.2280294291379042e-24,5.426112156111337e-20,6.949651110303578e-21,1.750097784742673e-24,2.4452464892915733e-26,4.871167586172895e-20,9.798729713258041e-20,2.6086227790392454e-29,3.448399063696715e-33,1.9533343019334924e-41,1.4471518215537085e-38,1.1302244324608702e-23,1.4005560040949815e-21,2.3322643855617606e-37,2.7139093593134086e-41,5.667886473872442e-48,1.785647034339428e-42,6.41178109036412e-58,1.591742132308918e-64,8.686059608007249e-54,2.1699427943995902e-57,4.588158797190795e-64,1.0586484986756442e-73,2.5916149481054638e-76,7.64910374660344e-76,8.154432270410221e-75,1.6926333530882337e-75,1.929343129446179e-81,4.920611817449579e-74,4.189924509906851e-68,2.827137359597591e-70,4.4235692684189464e-26,2.2301235621065294e-74,2.8244944773651948e-70,8.647984963600233e-62,2.9526345748821556e-70,5.108456460441113e-62,1.2722275415870224e-74,3.420960961489102e-74,1.6387183929066687e-25
1.3428864162139573e-11,0.11224537200019807,0.0,0.0,0.0,0.0,0.32999999999190255,0.6699999999936671,8.096276560319113e-12,6.331890835819643e-12,1.1942524260847102e-15,1.7655795805281827e-12,3.779668084910718e-24,9.499497244073761e-20,1.451700568292054e-20,3.740026506293672e-24,5.34735671752481e-26,8.340410184120485e-20,1.6667844311847065e-19,6.510035383266274e-29,1.0037014063142092e-32,5.686449851570294e-41,4.820061112717172e-38,2.3557540461939312e-23,2.923238838248794e-21,6.0475597002054664e-37,8.151525002747123e-41,1.6521145277447854e-47,5.2051104319554795e-42,2.694264463713352e-57,8.203135006808575e-64,2.9689433955932294e-53,8.322126338980938e-57,1.8916520765732243e-63,5.331302997249455e-73,1.1156271395424541e-75,3.779864572568713e-75,4.029744176382031e-74,9.438107419006678e-75,1.2241459726275444e-80,2.4388542714141812e-73,2.266153298196814e-67,1.3600841296631503e-69,7.523633395629646e-26,1.2061839979389645e-73,1.231818341420707e-69,4.117475505288598e-61,1.5516320800124857e-69,2.4319686458168873e-61,7.900099147850119e-74,1.880522486561317e-73,3.399633339152782e-25
