Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075)
4.3574840481184414e-13,0.11224537200000646,0.0,0.0,0.0,0.0,0.3299999999997373,0.6699999999997948,2.6275032836228477e-13,2.052267962919726e-13,1.5980124817602928e-18,5.752512953791956e-14,5.034998060314916e-27,1.0709679947895904e-22,9.264747431234147e-25,2.0847471208729137e-28,2.8497661998403903e-30,1.0635749719069411e-22,2.1991189174384337e-22,2.2768148730819855e-34,2.140918334065704e-39,1.193179538313431e-47,6.720535593514235e-46,1.530059121473615e-27,1.8833994133711014e-25,1.8344610337402427e-42,1.5483577987551105e-47,3.099062566788196e-54,9.752097450892119e-49,1.4289360568241693e-66,1.7514676807537123e-74,3.82488511476927e-61,7.769688980779076e-66,1.9466262171066605e-73,1.6893083573801446e-84,3.4449343129683935e-86,1.11471895090315e-86,1.1852482025258583e-85,4.1899551635221e-87,4.576084275258459e-94,6.4941498432105515e-84,4.334262195023535e-79,2.5230142854798784e-80,9.933273704195248e-29,2.306380684483366e-85,2.5233988846432967e-79,1.7570727277499593e-71,5.723926959141388e-81,1.0389010884564618e-71,8.306686067041488e-87,2.2153625752353693e-85,2.2586455980623226e-29,1.2665060550777534e-66,1.9296061314699823e-60,2.1367209631375722e-51,1.6847244639293503e-70
8.718753920779123e-13,0.11224537200001292,0.0,0.0,0.0,0.0,0.3299999999994743,0.6699999999995894,5.257257427139973e-13,4.1065185923369816e-13,6.391899069598783e-18,1.150802732028365e-13,2.0186410557517606e-26,4.324125923571311e-22,7.43318130942168e-24,1.682688235204557e-27,2.282098338970582e-29,4.264773006328134e-22,8.802552862144826e-22,3.6543424438471706e-33,6.873344557622624e-38,3.864183252188004e-46,4.356382933539876e-44,1.223371450209787e-26,1.5066014386971043e-24,2.938268814491169e-41,4.960211467068286e-46,1.0638052450085494e-52,3.348071760009282e-47,1.8315307456063143e-64,4.536003384352509e-72,2.450623271069104e-59,9.956249458257175e-64,4.807624980266468e-71,8.659715313310481e-82,9.82889377710337e-84,6.256006855171759e-84,6.661476257216383e-83,3.4626773475615484e-84,7.530844364810964e-91,1.6849137651177335e-81,2.2997804360611973e-76,6.826966083478661e-78,3.9759104477216246e-28,1.2239437146696438e-82,4.607940241498945e-77,4.5044214773601605e-69,2.9285218363498426e-78,2.6630615312487423e-69,8.766875797111238e-84,1.1683544901159035e-82,1.807854577721718e-28,2.4454242210582496e-64,2.4789751938001976e-58,1.3724799122139027e-49,2.2114178004439334e-68
1e-12,0.11224537200002585,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995291,6.029807862508692e-13,4.710100634587033e-13,9.204759934937926e-18,1.3197992442117155e-13,2.908356424006712e-26,6.274409432761647e-22,1.5081076213873078e-23,3.445590689300623e-27,4.629903961267423e-29,6.153971172932231e-22,1.268364115829838e-21,1.171214993521817e-32,3.819684856579787e-37,2.1554044448683332e-45,4.490028997421437e-43,2.478051410936399e-26,3.053433132608667e-24,9.415744982367786e-41,2.7559032212337365e-45,6.0886799567217706e-52,1.9170565009414426e-46,3.601136601408119e-63,1.7746814910439485e-70,2.5140068878989837e-58,1.957823252774901e-62,1.7271946863168023e-69,6.586860632731027e-80,4.003746433485866e-82,4.892203170113437e-82,5.213018643756574e-81,4.5144530936324736e-82,1.7139886158760522e-88,6.5072013002479356e-80,1.7720682953231333e-74,2.764445593445298e-76,5.7287394593276855e-28,9.431587326442312e-81,1.1571185288376978e-75,1.733005315238081e-67,2.2190764184918032e-76,1.0243760099334173e-67,1.3389761065436801e-81,8.972175159145388e-81,3.657944658478784e-28,6.328041754312613e-63,4.8769472031008094e-57,1.4085728268542497e-48,4.396209700744206e-67
1.7441293666100486e-12,0.11224537200002585,0.0,0.0,0.0,0.0,0.32999999999894836,0.6699999999991785,1.0516670109102457e-12,8.2156186617708e-13,2.554145284688687e-17,2.301306775120807e-13,8.075695814776844e-26,1.7601376640234673e-21,5.949895411762707e-23,1.3684275574561114e-26,1.826562264932499e-28,1.712616346226076e-21,3.522444594523378e-21,5.851074141630035e-32,2.201192721784792e-36,1.2429422388066623e-44,2.8037349340770357e-42,9.765052866906211e-26,1.2037209998819304e-23,4.703599854805904e-40,1.5880974540505335e-44,3.5272432376832853e-51,1.11065338939426e-45,2.3452295236471012e-62,1.1818332757428641e-69,1.5691711829031176e-57,1.2750335506399397e-61,1.147927400105957e-68,4.4339459640199e-79,2.6686084040138107e-81,3.294207836897564e-81,3.510259506887249e-80,3.053264254376906e-81,1.162485087142054e-87,4.332152040078251e-79,1.193041912038656e-73,1.842344913336439e-75,1.5908919233811736e-27,6.349804629620537e-80,7.609874598356059e-75,1.1536441555330553e-66,1.4937069981060373e-75,6.819138316553299e-67,9.064640741835346e-81,6.040271950567517e-80,1.4403002788158772e-27,4.166013430284549e-62,3.17618045698313e-56,8.792245331595748e-48,2.86444060290679e-66
3.4886373156743214e-12,0.11224537200005165,0.0,0.0,0.0,0.0,0.3299999999978964,0.6699999999983564,2.1035114850893738e-12,1.6436211540292182e-12,1.0190768230997056e-16,4.599922043203755e-13,3.2239915390308755e-25,7.280231160350697e-21,4.752914693177023e-22,1.1296552148073388e-25,1.4615539510613225e-27,6.900618941345918e-21,1.409428533736312e-20,9.348879864018134e-31,7.034595925362531e-35,3.980948205473378e-43,1.7964133515062061e-40,7.7727321178967105e-25,9.599428880038175e-23,7.527220068725953e-39,5.082950128020094e-43,1.1473708407149063e-49,3.6141116198213035e-44,3.000593697545917e-60,3.126564594450864e-67,1.0044001429545012e-55,1.6322597282952048e-59,2.588257086330726e-66,2.2676624933349988e-76,7.044892868491264e-79,1.6412084750648466e-78,1.7494821854716898e-77,2.764189886422842e-78,1.6103980085795414e-84,1.1076017386548035e-76,6.092524165492817e-71,5.069815946358089e-73,6.3646829845786846e-27,3.2427742680980897e-77,1.1785282697985935e-72,2.9524672894561413e-64,7.581221857422694e-73,1.7445108413033786e-64,9.230280871997827e-78,3.0754851872585455e-77,1.1398273895623034e-26,6.368127992022036e-60,4.060490804541629e-54,5.619990925141168e-46,3.682043304270695e-64
5.233145264738594e-12,0.11224537200007745,0.0,0.0,0.0,0.0,0.3299999999968445,0.669999999997534,3.1553180760242253e-12,2.4659194658338777e-12,2.1616188030497641e-16,6.896146993291973e-13,6.83975341978979e-25,1.5820505131849242e-20,1.3575153410919322e-21,3.287113440807646e-25,4.3391896095883046e-27,1.4736323736887902e-20,2.9955038697524037e-20,3.4379183054893765e-30,3.209380831759592e-34,1.816995785854085e-42,9.86795388233166e-40,2.215984250239221e-24,2.7397025890883313e-22,2.847784633402404e-38,2.371252543786538e-42,5.252735592098983e-49,1.654690532318671e-43,1.981616598455657e-59,1.9121596058555612e-66,5.616688065089616e-55,1.0688689035116458e-58,1.8863153809098427e-65,1.9346260151968232e-75,5.335891274677891e-78,1.3865195796802662e-77,1.4780534808723393e-76,2.518746733923949e-77,1.2118645185589061e-83,6.731168841828436e-76,4.056386973561063e-70,2.946461686843768e-72,1.352576275238259e-26,2.1590417203882114e-76,7.986211021784839e-72,2.2375408042814297e-63,6.479709170855121e-72,1.321951728798382e-63,5.520405614948904e-77,1.5333711769401145e-76,3.238124316050447e-26,4.247669865617851e-59,2.65145636437635e-53,3.132295230226087e-45,2.419468526560615e-63
6.977653213802867e-12,0.11224537200010315,0.0,0.0,0.0,0.0,0.32999999999579255,0.6699999999967112,4.207086961841634e-12,3.288456551839428e-12,3.681257365899622e-16,9.18998412288096e-13,1.1649210830556306e-24,2.753576785053872e-20,2.860262938451888e-21,7.042193848522899e-25,9.454981980279092e-27,2.5251560075335926e-20,5.1106153535311e-20,8.71165583317302e-30,9.559349926177129e-34,5.41347348107464e-42,3.391642875223707e-39,4.66161762915996e-24,5.768926568996215e-22,7.412793554020498e-38,7.22053763903247e-42,1.5679275850925317e-48,4.9394534924147535e-43,8.688157008249884e-59,1.171339978565972e-65,1.9660856874334645e-54,4.239013928958654e-58,8.135854238176993e-65,1.0501850593545406e-74,2.698304451929473e-77,7.505508461016577e-77,8.001192834476644e-76,1.4910597109662805e-76,9.392220376043487e-83,3.965721813342554e-75,2.7123367283943093e-69,1.9714195381308707e-71,2.3074231016687478e-26,1.4436610871244055e-75,3.631811596066502e-71,1.0753553203228093e-62,3.3929795806512477e-71,6.352749623417983e-63,5.155418567095915e-76,1.535355802718681e-75,6.789629632013437e-26,1.9183111644460568e-58,1.1112493412681317e-52,1.1802966122968665e-44,1.1482071565861064e-62
1e-11,0.11224537200015451,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952854,6.029199189940958e-12,4.713937350862526e-12,7.007967508633774e-16,1.3159624020236056e-12,2.2178244448113733e-24,5.408829229772959e-20,6.987872368184155e-21,1.763084652428254e-24,2.4439078150474046e-26,4.850837917671179e-20,9.755023298337256e-20,2.665259868467431e-29,3.5969289439918634e-33,2.0375208794313936e-41,1.546774964929105e-38,1.1362327649349423e-23,1.4081672767225284e-21,2.373274805223492e-37,2.822814815132011e-41,5.913253046500355e-48,1.8629584566234993e-42,6.909105416623178e-58,1.756845340463644e-64,9.264861750829439e-54,2.3797295593986316e-57,5.133585443954502e-64,1.2161789176758157e-73,2.8747751116188265e-76,8.746851082100535e-76,9.324791041150032e-75,1.9963030875814315e-75,2.2942778967226205e-81,5.4141373128999725e-74,4.762357003158392e-68,3.1203263032849317e-70,4.403807670183401e-26,2.534808077698789e-74,3.065468488510295e-70,9.640780408017928e-62,3.4047171106914865e-70,5.694702942026314e-62,1.490352583674964e-74,3.863186282994938e-74,1.6468044749408637e-25,1.6463933390229774e-57,7.724500780467074e-52,7.137420109865757e-44,1.3215507790462212e-61
1.0466669111931412e-11,0.11224537200015451,0.0,0.0,0.0,0.0,0.32999999999368873,0.6699999999950652,6.3105367911494704e-12,4.934090338563716e-12,7.600058677027168e-16,1.3772062050652548e-12,2.4052250823963214e-24,5.88951793507245e-20,7.797448139895274e-21,1.972724067389033e-24,2.7444482782410563e-26,5.26688871339861e-20,1.0582902598386029e-19,3.0417801339196665e-29,4.178855732869987e-33,2.367211167057213e-41,1.8226292684520742e-38,1.2675390220060382e-23,1.5711562300007498e-21,2.7203231452161476e-37,3.2896549269203783e-41,6.871135855524334e-48,2.1647466561152822e-42,8.393094152334566e-58,2.176148222202094e-64,1.0941727404018426e-53,2.8406886971909587e-57,6.166480336561766e-64,1.496552282413463e-73,3.529007780963788e-76,1.076542247866379e-75,1.1476746983495512e-74,2.4660197000922996e-75,2.8666825766372126e-81,6.691471883858865e-74,5.918213721547347e-68,3.8692167704889775e-70,4.7774685879459584e-26,3.1500236038116394e-74,3.732644066449501e-70,1.1764614696700252e-61,4.170728390435891e-70,6.949199140123854e-62,1.8661043821948474e-74,4.828165696199123e-74,1.836088163341065e-25,2.0061307951511927e-57,9.327358984318193e-52,8.560711258133043e-44,1.626511549660022e-61
1.3955685010059957e-11,0.1122453720002058,0.0,0.0,0.0,0.0,0.3299999999915849,0.6699999999934182,8.413849432888595e-12,6.580600112255306e-12,1.289088754854156e-15,1.834537981994881e-12,4.0798430586198665e-24,1.0320567508217612e-19,1.6286821471566265e-20,4.218790137569634e-24,6.001651975847955e-26,9.020208175356371e-20,1.8001845713334223e-19,7.590602178371875e-29,1.2162568342545164e-32,6.890958183292776e-41,6.070407890368429e-38,2.6415630869942004e-23,3.2789987201656623e-21,7.053781253470765e-37,9.880823852009515e-41,2.0026486454059396e-47,6.309545895996032e-42,3.526779490888675e-57,1.122066540295085e-63,3.739933989521379e-53,1.0894536648391978e-56,2.540185909642527e-63,7.536426328177054e-73,1.5189006709724467e-75,5.315848224278e-75,5.667319599336678e-74,1.3745143308867777e-74,1.8168028348847325e-80,3.3163579419839576e-73,3.2003570753856465e-67,1.862639975414402e-69,8.125555884869562e-26,1.7034252931967055e-73,1.6279564329287664e-69,5.6013180162943826e-61,2.1915700597696547e-69,3.308244360357946e-61,1.1585068018174716e-73,2.653342077834005e-73,3.8078200255419795e-25,7.947035899102633e-57,3.904005913151883e-51,3.1450345199681395e-43,6.867572447941319e-61
