Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186)
6.278220374866264e-13,0.11224537200000932,0.0,0.0,0.0,0.0,0.32999999999962143,0.6699999999997044,3.7856708883865233e-13,2.956950896165692e-13,3.315570248276552e-18,8.28753136624862e-14,1.0461776603993014e-26,2.231268581127506e-22,2.773428457185314e-24,6.254287284147299e-28,8.520861740327846e-30,2.209129044614603e-22,4.564186212442628e-22,9.81745699420405e-34,1.3296029285329577e-38,7.449671500135568e-47,6.045787355549117e-45,4.571131527076726e-27,5.627928013296054e-25,7.899957306197912e-42,9.60318889693889e-47,2.0042347753875597e-53,6.306705522541206e-48,1.8388723110438364e-65
1e-12,0.11224537200001863,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029807865854117e-13,4.710100569613167e-13,9.204426157988692e-18,1.3197993091882213e-13,2.908321703646601e-26,6.2656852110319385e-22,1.4295848936045093e-23,3.255453760062731e-27,4.3883968085426e-29,6.151521742992879e-22,1.2681857761761432e-21,9.722575428661394e-33,2.579561964396711e-37,1.4539279212267043e-45,2.336562752547823e-43,2.3498847774021208e-26,2.8949708864364212e-24,7.815540804312338e-41,1.8610200659187545e-45,4.07371823568246e-52,1.2824286604664838e-46,1.402930867907734e-63
1.255916685497563e-12,0.11224537200001863,0.0,0.0,0.0,0.0,0.3299999999992427,0.6699999999994085,7.572919374116482e-13,5.91559981674737e-13,1.3253716114892345e-17,1.657452049452668e-13,4.1887675641393634e-26,9.039827250149288e-22,2.2218885641242487e-23,5.063909275079405e-27,6.820031638186809e-29,8.862386366694257e-22,1.826372398197023e-21,1.573293713223898e-32,4.261892068752875e-37,2.4024512023610927e-45,3.901656001333661e-43,3.651390748697331e-26,4.498621144232497e-24,1.2646439971289542e-40,3.074659694490361e-45,6.737069794074645e-52,2.1208850223878852e-46,2.3549685281587184e-63
2.5121059815194365e-12,0.11224537200003722,0.0,0.0,0.0,0.0,0.3299999999984852,0.6699999999988167,1.5147218464753758e-12,1.1834139063938393e-12,5.292068895115039e-17,3.313608428410054e-13,1.6738821129408364e-25,3.70576986453594e-21,1.7765238480524868e-22,4.145395744623901e-26,5.45722941819152e-28,3.563879520430599e-21,7.307505657374415e-21,2.5161434116994196e-31,1.3632809564850283e-35,7.708350896825771e-44,2.5045052018060106e-41,2.9106644318284135e-25,3.5909126262842925e-23,2.0238666646910172e-39,9.841130045429857e-44,2.208258881310723e-50,6.954782821838463e-45,3.013919042339414e-61
3.76829527754131e-12,0.11224537200005581,0.0,0.0,0.0,0.0,0.3299999999977278,0.6699999999982247,2.2721320345446064e-12,1.7753918782849447e-12,1.1231118603999537e-16,4.968524294968727e-13,3.5532489497922283e-25,8.00593555761066e-21,5.076306899748627e-22,1.2007092267956366e-25,1.6202016597851576e-27,7.60049620456462e-21,1.5530406712013273e-20,9.256200020190142e-31,6.221625016001527e-35,3.5199540806053132e-43,1.3763465683625599e-40,8.305189231010781e-25,1.0254059796639993e-22,7.657003718422357e-39,4.5910354641030945e-43,1.012603945387309e-49,3.1894527132157453e-44,1.9905793135435855e-60
5.024484573563183e-12,0.11224537200007433,0.0,0.0,0.0,0.0,0.32999999999697033,0.6699999999976324,3.0295225684794597e-12,2.3674938039876037e-12,1.913582784165905e-16,6.622200582725196e-13,6.0548585853863715e-25,1.3862585958517255e-20,1.0699727675212433e-21,2.5619922780143674e-25,3.5304040186298825e-27,1.3008034973287952e-20,2.6495617213331606e-20,2.3462535168337124e-30,1.853649356150234e-34,1.0491082679922249e-42,4.7321305114600185e-40,1.748435981275735e-24,2.160222940479319e-22,1.9931404027184426e-38,1.3979959837190618e-42,3.025897223720497e-49,9.531451724822444e-44,8.728045308920304e-60
7.53686316560693e-12,0.11224537200011138,0.0,0.0,0.0,0.0,0.3299999999954554,0.6699999999964477,4.544257715813556e-12,3.551988278066975e-12,3.9537856174470714e-16,9.92664683598425e-13,1.2511899522751507e-24,2.9408339998527376e-20,2.9186420742717445e-21,7.130710048099178e-25,1.024767739174959e-26,2.70774840976684e-20,5.486374918730184e-20,8.196401971833383e-30,8.10677435040499e-34,4.590119224943594e-42,2.544301146083085e-39,4.760181416711661e-24,5.8880851551395015e-22,7.31449926688051e-38,6.369326682268618e-42,1.3278861634442544e-48,4.18311436960558e-43,8.432598268790147e-59
1e-11,0.1122453720001484,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952856,6.0292349461373e-12,4.7137088242795825e-12,6.650366352177259e-16,1.3161909361432037e-12,2.1046775669320486e-24,5.0671813504880334e-20,6.0243187065142204e-21,1.4975492656410648e-24,2.2119557019802306e-26,4.586108003866067e-20,9.247014686968823e-20,2.0160040952486498e-29,2.321010908742384e-33,1.314484728178655e-41,8.323547353999672e-39,9.809293248037089e-24,1.2145853234916554e-21,1.8677536202844409e-37,1.8806197625565835e-41,3.809103496534533e-48,1.1999999781188942e-42,3.472165200387241e-58
1.0049241757650676e-11,0.1122453720001484,0.0,0.0,0.0,0.0,0.3299999999939404,0.6699999999952624,6.058921140016431e-12,4.736937799984441e-12,6.711304574393897e-16,1.3226542461178633e-12,2.123965309289526e-24,5.1157696104767995e-20,6.09946062130385e-21,1.5166296207924908e-24,2.2410256558971373e-26,4.628696338684429e-20,9.332082443379536e-20,2.046208295255597e-29,2.3602624261193118e-33,1.33671813833065e-41,8.476925446933313e-39,9.931394896403565e-24,1.2297231421154563e-21,1.8966741732546735e-37,1.9131174850641922e-41,3.8736066043042117e-48,1.2203213360933825e-42,3.543777054020575e-58
1.2561620349694423e-11,0.11224537200018535,0.0,0.0,0.0,0.0,0.32999999999242546,0.6699999999940766,7.573508159847626e-12,5.9223742506941325e-12,1.0232953568436923e-15,1.6521568638025095e-12,3.2386311900318957e-24,7.993777790197054e-20,1.1089976408713233e-20,2.806493436201759e-24,4.20438446546825e-26,7.108257686229316e-20,1.4259109243885336e-19,4.3371586485908443e-29,5.7263558948197806e-33,3.243670269292041e-41,2.3198580847546568e-38,1.8026931887940373e-23,2.2344749998008307e-21,4.1469351963545776e-37,4.773462454804463e-41,9.411850409322593e-48,2.9651665614417045e-42,1.2108358769026148e-57
1.7586377533781914e-11,0.11224537200025902,0.0,0.0,0.0,0.0,0.3299999999893956,0.6699999999917033,1.0602451148729815e-11,8.294734316360559e-12,1.9586993252525485e-15,2.309674885757318e-12,6.1994438407778666e-24,1.6160584668685039e-19,2.91788948168997e-20,7.736148194740897e-24,1.1503177434586214e-25,1.3831243321452003e-19,2.742748340410986e-19,1.58394514447739e-28,2.953449186422127e-32,1.6735820886098465e-40,1.728512942645025e-37,4.7217689052963926e-23,5.869579712023562e-21,1.5949292847462324e-36,2.6187248785844894e-40,4.868828546465244e-47,1.5340185392326726e-41,1.6412497584677267e-56
2.76358919019569e-11,0.11224537200040567,0.0,0.0,0.0,0.0,0.32999999998333585,0.6699999999869499,1.6659435100336237e-11,1.3045342836842721e-11,4.731609397755913e-15,3.618822344890433e-12,1.49767343754617e-23,4.351474589025967e-19,1.119242968168398e-19,3.2767912360478924e-23,4.567719993884786e-25,3.458495502732766e-19,6.695427786284769e-19,9.966694011286101e-28,3.1680856913781424e-31,1.7958665525612774e-39,3.283276106185942e-36,1.7928471791688595e-22,2.2433229077533194e-20,1.0525065138591832e-35,2.979127608198504e-39,5.238362577600353e-46,1.6505726121570652e-40,5.493272406999896e-55
3.7685406270131887e-11,0.11224537200055126,0.0,0.0,0.0,0.0,0.3299999999772761,0.6699999999821873,2.2715237380010315e-11,1.7803776969110347e-11,8.686270088479412e-15,4.920143930983219e-12,2.749493630061798e-23,8.749360533075216e-19,2.7597625789486125e-19,8.693438084164599e-23,1.1434303296499058e-24,6.548527587708804e-19,1.2410165516761694e-18,3.2296082127205765e-27,1.3165991986917585e-30,7.464154600680126e-39,1.7055438836046945e-35,4.384861511496763e-22,5.515549240758795e-20,3.46971047208925e-35,1.2601936860675003e-38,2.1790132917236803e-45,6.8660884388356975e-40,3.525116990257624e-54
5.778443500648186e-11,0.11224537200083956,0.0,0.0,0.0,0.0,0.32999999996515655,0.669999999972636,3.4823457611469714e-11,2.734387456040296e-11,1.99799911486277e-14,7.499556991775197e-12,6.3244885896352e-23,2.39188332322627e-18,9.8691978887553e-19,3.638713843852681e-22,4.178388670845904e-24,1.6057267186451522e-18,2.9138148751648612e-18,1.8221548285317274e-26,1.1946437590673728e-29,6.773798442992227e-38,2.5383516442232914e-34,1.5379908284319259e-21,1.9588940803762944e-19,2.0060070901781785e-34,1.1751032562015318e-37,1.9796619849484938e-44,6.238134088681368e-39,9.14339162937006e-53
7.587356086919683e-11,0.11224537200109562,0.0,0.0,0.0,0.0,0.329999999954249,0.6699999999640098,4.5717117838401707e-11,3.595625668344456e-11,3.388227977508272e-14,9.794733560568151e-12,1.0725254100376644e-22,4.5882339416490215e-18,2.1681790897993737e-18,8.825548711993106e-22,9.296708470485307e-24,2.8624985776216813e-18,5.024448360780012e-18,5.051153837560392e-26,4.0688467736193887e-29,2.3072020519477703e-37,1.034045944268672e-33,3.3325623042788682e-21,4.282475177055555e-19,5.624149193420625e-34,4.043137680274624e-37,6.745142860878322e-44,2.1254904947470552e-38,4.734435974652312e-52
9.396268673191181e-11,0.11224537200134846,0.0,0.0,0.0,0.0,0.32999999994334145,0.6699999999553554,5.660741830481571e-11,4.459325877082154e-11,5.1144102975730533e-14,1.2065289316598177e-11,1.6189502968906452e-22,7.729674902013319e-18,4.021177021145885e-18,1.791716049335459e-21,1.7443617091483554e-23,4.531634225160901e-18,7.71000830294692e-18,1.1321960735912184e-25,1.0872042038290527e-28,6.165095727345358e-37,3.253070776259326e-33,6.096332594251967e-21,7.903520617122587e-19,1.2735262186144787e-33,1.0903968908645221e-36,1.8028052182633113e-43,5.68093605342356e-38,1.7208466965398394e-51
9.999999999999999e-11,0.1122453720015983,0.0,0.0,0.0,0.0,0.329999999939701,0.669999999952461,6.024138291842883e-11,4.748131388490211e-11,5.761902703682543e-14,1.2817672152599179e-11,1.823915125319863e-22,9.018047134122232e-18,4.81898989986091e-18,2.2126469158921343e-21,2.0987197148212972e-23,5.186585548186385e-18,8.734611119023983e-18,1.4394425798814804e-25,1.4638981461257446e-28,8.301254832875603e-37,4.6321006073414965e-33,7.270797279703809e-21,9.455257042118195e-19,1.624829805504765e-33,1.4730215854643344e-36,2.427631574335585e-43,7.649882556048726e-38,2.6327065953412152e-51
1.1205181259462679e-10,0.1122453720015983,0.0,0.0,0.0,0.0,0.3299999999324339,0.6699999999466736,6.74945116774749e-11,5.325462788158125e-11,7.16126371839097e-14,1.4311477200788406e-11,2.266885786311867e-22,1.194898681756666e-17,6.680059723793974e-18,3.228771979817344e-21,2.929501916710795e-23,6.640496291430768e-18,1.097195158117961e-17,2.199384695837997e-25,2.439820016596263e-28,1.3835554513626568e-36,8.340471538139217e-33,9.992524340099016e-21,1.306653002247799e-18,2.4966839907840497e-33,2.4667799973612478e-36,4.046485010557151e-43,1.2751203863435065e-37,5.194644074973017e-51
1.3014093845734176e-10,0.1122453720018451,0.0,0.0,0.0,0.0,0.32999999992152634,0.6699999999379647,7.837854994411421e-11,6.19401031478324e-11,9.513573863127821e-14,1.6533558081402494e-11,3.0115156645656294e-22,1.737840270860854e-17,1.0278878413673362e-17,5.3548065934801895e-21,4.5554878030015956e-23,9.216350499095733e-18,1.4811782377200427e-17,3.87268761924526e-25,4.866479018905245e-28,2.759696011486557e-36,1.8669471629773074e-32,1.5173215937097965e-20,2.0010162477984908e-18,4.434442659111896e-33,4.9571905360727945e-36,8.072299727345177e-43,2.5437367551789423e-37,1.3511169347161177e-50
1.6631919018277172e-10,0.11224537200232967,0.0,0.0,0.0,0.0,0.32999999989971124,0.6699999999204664,1.0013797035793931e-10,7.938245046220982e-11,1.5083592230836884e-13,2.0906320519849812e-11,4.774723027131423e-22,3.2310741664386634e-17,2.0748006912445218e-17,1.2342546788368279e-20,9.382313861418123e-23,1.5860501218139223e-17,2.423042113747979e-17,9.757336811681439e-25,1.5093752427166897e-27,8.55961772721043e-36,7.044428439116537e-32,2.984556886197978e-20,4.001399150473454e-18,1.1357562681008288e-32,1.5593739494300075e-35,2.5041923020925078e-42,7.891233138395042e-37,6.784171298410133e-50
