Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250)
1.1073725074514611e-11,0.11224537200016348,0.0,0.0,0.0,0.0,0.32999999999332275,0.6699999999947788,6.6765313950319395e-12,5.220324288255095e-12,8.140777079823521e-16,1.4570209129146904e-12,2.576419071657264e-24,6.287227827488755e-20,8.155203031113551e-21,2.0499634967327216e-24,2.9986126661836126e-26,5.63602569533355e-20,1.1332517926586846e-19,3.015069029555398e-29,3.832660913324628e-33,2.170889432569454e-41,1.517160131222015e-38,1.326488377357781e-23,1.6435574544440235e-21,2.796555278390412e-37,3.1083786500503436e-41,6.296889319180592e-48,1.9837917846488518e-42,6.990525320815902e-58,1.7118102321092244e-64,9.336196391061299e-54,2.1580142378475518e-57,4.29662498307888e-64,8.443661296375174e-74,4.737766150646985e-75
1.3842231443684962e-11,0.11224537200020415,0.0,0.0,0.0,0.0,0.32999999999165336,0.6699999999934718,8.345486151396438e-12,6.52686063650521e-12,1.241000319994293e-15,1.8198661030939335e-12,3.927721686719084e-24,9.843265091834896e-20,1.4825652630536884e-20,3.7989036462794116e-24,5.625672639291712e-26,8.65952860667064e-20,1.731591251641475e-19,6.390069242376799e-29,9.297799660453387e-33,5.267311803417541e-41,4.1515918357462556e-38,2.4070496516290394e-23,2.985863663224482e-21,6.1144324589685404e-37,7.755760068176519e-41,1.52963701427698e-47,4.819173013381316e-42,2.388473773971044e-57,7.266101814614272e-64,2.618125073465891e-53,6.722103565256604e-57,1.4332329154752928e-63,3.494566807376994e-73,1.8993654395637144e-74
1.9379244182025664e-11,0.11224537200028528,0.0,0.0,0.0,0.0,0.3299999999883146,0.6699999999908559,1.1683116235052654e-11,9.14173755383937e-12,2.3743018523606126e-15,2.5437522029034706e-12,7.514964733737813e-24,1.9981171672523154e-19,3.899347057789432e-20,1.051013337864169e-23,1.5391682619830211e-25,1.6868613949986117e-19,3.3308174023115984e-19,2.3328735754552072e-28,4.793877609477724e-32,2.7166908073976447e-40,3.092167147864233e-37,6.299643920870547e-23,7.839278040338972e-21,2.351606458324508e-36,4.254761272327096e-40,7.908128666881467e-47,2.491650642682544e-41,3.237108952430089e-56,1.6064590073379746e-62,2.0907976963661103e-52,8.010980143767437e-56,2.228979978420757e-62,1.1953395736346452e-71,4.800824818360813e-73
3.045326965870707e-11,0.11224537200044658,0.0,0.0,0.0,0.0,0.32999999998163704,0.6699999999856155,1.8357287503320862e-11,1.4378632214222492e-11,5.729889614641679e-15,3.9843833392019875e-12,1.813670543149473e-23,5.419702018182755e-19,1.4944777389841706e-19,4.483411611081207e-23,6.111672764549553e-25,4.227524428256184e-19,8.131460752454837e-19,1.4667369991365319e-27,5.138124355296337e-31,2.9127467871945552e-39,5.8684739511955876e-36,2.387586249340832e-22,2.99260865189854e-20,1.5517982810333913e-35,4.8401816634918707e-39,8.499133493531153e-46,2.6780464960351924e-40,1.0831545635258587e-54,9.496140318254036e-61,4.2469072837188704e-51,2.9984238479119277e-54,1.144799216854834e-60,1.359546120398368e-69,3.390349861085332e-71
4.1527295135388477e-11,0.11224537200060668,0.0,0.0,0.0,0.0,0.3299999999749595,0.6699999999803644,2.503003495625908e-11,1.9625012983158006e-11,1.0509376862134753e-14,5.4155280496215755e-12,3.326589611150023e-23,1.0956256168622574e-18,3.6825876284476974e-19,1.195057861905453e-22,1.52990380674201e-24,8.020081086107311e-19,1.5072697693367939e-18,4.750239496766949e-27,2.1343402402200388e-30,1.2100604476112296e-38,3.0472493613508923e-35,5.830893432299748e-22,7.350867039312096e-20,5.115583274604637e-35,2.047400086805621e-38,3.533489442561751e-45,1.1134142193989085e-39,6.949978133917391e-54,7.825160658499736e-60,2.243472390808218e-50,1.9279906327090697e-53,7.937713811517853e-60,1.2004653249491976e-68,2.6647715219161762e-70
6.367534608875128e-11,0.11224537200092327,0.0,0.0,0.0,0.0,0.32999999996160445,0.6699999999698298,3.837147090472478e-11,3.0145903360881105e-11,2.4127343926111948e-14,8.2496876775755e-12,7.637329256919445e-23,3.0208717165936113e-18,1.314913324767057e-18,5.0451654478374745e-22,5.5904875633055085e-24,1.9737714025188628e-18,3.5393600587182314e-18,2.6762022979653333e-26,1.9338972694854004e-29,1.0965727198174422e-37,4.528754496351253e-34,2.038153928920899e-21,2.6049228748450004e-19,2.957411611805423e-34,1.909059299160404e-37,3.2053048356342866e-44,1.0100320852504461e-38,1.801779385649066e-52,4.1677147608231585e-58,3.437466191229727e-49,4.948023769954078e-52,2.4108446048742115e-58,9.337389929775018e-67,1.3155451139020475e-68
8.36085919467778e-11,0.11224537200120414,0.0,0.0,0.0,0.0,0.3299999999495849,0.6699999999603126,5.0374294332922794e-11,3.964652203511161e-11,4.0852317053097404e-14,1.0768612921398545e-11,1.29316246344407e-22,5.823708814894672e-18,2.8856495043953057e-18,1.2292712341615548e-21,1.2438284020289981e-23,3.527817326216173e-18,6.103668523154632e-18,7.412228452086863e-26,6.582065744814105e-29,3.7323710655259235e-37,1.843814694320624e-33,4.405545350161103e-21,5.685852441850583e-19,8.291301740715662e-34,6.568271320970663e-37,1.0913146138135213e-43,3.438901690525004e-38,9.328098017567998e-52,3.0180665400064215e-57,1.412505612974698e-48,2.3665211726925948e-51,1.1963044131575518e-57,6.48640310460104e-66,8.485357015747504e-68
9.999999999999999e-11,0.11224537200148113,0.0,0.0,0.0,0.0,0.329999999939701,0.669999999952461,6.024140307823899e-11,4.7481318586834024e-11,5.759883915756865e-14,1.2817667448965296e-11,1.8232760643683057e-22,9.043326200994796e-18,4.843964759445396e-18,2.2377938227092133e-21,2.1105058051527043e-23,5.192230812226509e-18,8.736019465140415e-18,1.4642000113163575e-25,1.5157688247976498e-28,8.595420010594948e-37,4.907227789229648e-33,7.301440352784998e-21,9.50088977106569e-19,1.6535335495313297e-33,1.525935101922984e-36,2.513709553807664e-43,7.921133887120709e-38,2.8287028418352215e-51,1.1058346539256448e-56,3.7893791638112337e-48,7.275883773082201e-51,3.792679684883464e-57,2.4198758469919743e-65,2.7752525181248306e-67
1.0354183780480432e-10,0.11224537200148113,0.0,0.0,0.0,0.0,0.32999999993756535,0.6699999999507614,6.237312235063175e-11,4.917689657541926e-11,6.157233971367631e-14,1.325778126890075e-11,1.9490579922045033e-22,9.84748929136959e-18,5.346165667587998e-18,2.5046314562774853e-21,2.3337723223930114e-23,5.597704060833798e-18,9.366909957765582e-18,1.6599676751906578e-25,1.7574324181316564e-28,9.965849165631553e-37,5.796783873791497e-33,8.039727007397357e-21,1.0477196375939838e-18,1.8774142996517435e-33,1.7713548222142302e-36,2.9145626166445922e-43,9.184298259264068e-38,3.389783298198444e-51,1.34954091440505e-56,4.480597088241396e-48,8.736313549160547e-51,4.568425102213381e-57,2.9584834548233846e-65,3.3501243582259645e-67
1.2347508366283084e-10,0.1122453720017545,0.0,0.0,0.0,0.0,0.3299999999255458,0.6699999999411771,7.436815449463608e-11,5.873669033316467e-11,8.608767023508665e-14,1.5717529368951285e-11,2.7250965544283406e-22,1.526577992053147e-17,8.872118509563082e-18,4.526365145458576e-21,3.919286187823998e-23,8.219209398977934e-18,1.3331023138636259e-17,3.221948946023865e-25,3.9411559509298516e-28,2.2349532647252682e-36,1.48533310368509e-32,1.3147146272369649e-20,1.7295348284749652e-18,3.6804667973119525e-33,4.007195907222573e-36,6.537222124843735e-43,2.0600027149475904e-37,1.023079181666468e-50,5.261280728481549e-56,1.1568173924916483e-47,2.550099353511797e-50,1.366767750517553e-56,1.126080956604163e-64,1.1993641430351022e-66
1.4340832952085737e-10,0.11224537200202415,0.0,0.0,0.0,0.0,0.32999999991352624,0.6699999999315601,8.63595884945835e-11,6.832555645614087e-11,1.1420037604689324e-13,1.8148204074570872e-11,3.6150124609265964e-22,2.2250634233187542e-17,1.3638301787611291e-17,7.524171014196696e-21,6.094524101892595e-23,1.1427822317492505e-17,1.799800727655889e-17,5.668643292777439e-25,7.855772431360976e-28,4.454927381947475e-36,3.3228841284963744e-32,1.9917481004766817e-20,2.6446898324796453e-18,6.536810505522431e-33,8.052585709523514e-36,1.3032119566106346e-42,4.106682150435075e-37,2.660554252170093e-50,1.720778838203509e-55,2.6059847348326975e-47,6.388991319300885e-50,3.49173055047716e-56,3.608396228805444e-64,3.591721327466651e-66
1.832748212369104e-10,0.11224537200255282,0.0,0.0,0.0,0.0,0.32999999988948714,0.6699999999122301,1.10332319920217e-10,8.758928218881073e-11,1.8055938112400797e-13,2.292355691725162e-11,5.715630018330923e-22,4.149271739576695e-17,2.747664425836453e-17,1.740179131146069e-20,1.2551622296212889e-22,1.9724615061052258e-17,2.944763956550307e-17,1.4260113014534941e-24,2.4333417167013866e-27,1.379953971797611e-35,1.2523775488816567e-31,3.9004130554016036e-20,5.273406057383598e-18,1.6741265246735432e-32,2.5329691382892e-35,4.037468756683448e-42,1.272293503432327e-36,1.3354373863620935e-49,1.317259965901364e-54,9.951989021594013e-47,2.9345045886156683e-49,1.6529521753823276e-55,2.6993933343362667e-63,2.3596519691235416e-65
2.2314131295296345e-10,0.11224537200306733,0.0,0.0,0.0,0.0,0.32999999986544803,0.6699999998927751,1.3429273184467684e-10,1.0696536977406851e-10,2.5923268745742134e-13,2.7586543811801968e-11,8.2060650983647395e-22,6.880592995823859e-17,4.812404415673657e-17,3.4387672938055285e-20,2.2456330844771946e-22,3.074261689657375e-17,4.373137791595831e-17,2.99326846037402e-24,6.031645109341866e-27,3.420611455005182e-35,3.6125113228356573e-31,6.642788561535269e-20,9.141830339593242e-18,3.5731611650492e-32,6.364595576387397e-35,1.0009094198453951e-41,3.154091617264658e-36,4.661310532839758e-49,6.036760030157053e-54,2.9023751806801165e-46,9.807194130801287e-49,5.6321836455258435e-55,1.200542633570239e-62,9.239085611947794e-65
