Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166)
2.964892355613179e-13,0.11224537200000442,0.0,0.0,0.0,0.0,0.32999999999982127,0.6699999999998605,1.7877930123672713e-13,1.3963697880997746e-13,7.399802103760598e-19,3.9143062154541065e-14,2.3264937827178425e-27,4.94432883924087e-23,2.91167189020935e-25,6.549945417277084e-29,8.976978384451541e-31,4.921109674246147e-23,1.0180978157088342e-22,4.867785370332625e-35,3.114135035646074e-40,1.7215360473924098e-48,6.533086662147716e-47,4.821806263355602e-28,5.9344183357813e-26,3.931910684111271e-43,2.258081228563289e-48
5.932360638555301e-13,0.11224537200000882,0.0,0.0,0.0,0.0,0.32999999999964236,0.6699999999997207,3.577124479857633e-13,2.794045193226062e-13,2.9604890863709216e-18,7.831088814329193e-14,9.33961391867953e-27,1.990828052427395e-22,2.3394563309301306e-24,5.273154104230758e-28,7.188807846288999e-30,1.9721537711235307e-22,4.0751535489820586e-22,7.824938509517366e-34,1.0013623452754556e-38,5.606604464010959e-47,4.256496767323685e-45,3.856931225303083e-27,4.74843369759942e-25,6.297807281992845e-42,7.233876203317394e-47
1e-12,0.1122453720000176,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995291,6.029809481998476e-13,4.71009044415661e-13,9.042790249839246e-18,1.3198094349763494e-13,2.8571547653279933e-26,6.150661219660987e-22,1.358343136455292e-23,3.090274795167364e-27,4.1697222461024646e-29,6.04218830206334e-22,1.245837795721867e-21,8.842044221046478e-33,2.2317464643612365e-37,1.2574873128375384e-45,1.8962380897037686e-43,2.233126518501183e-26,2.750974711496027e-24,7.10785848296022e-41,1.6101352927933235e-45
1.1867297204439546e-12,0.1122453720000176,0.0,0.0,0.0,0.0,0.3299999999992845,0.6699999999994412,7.155743086456901e-13,5.589673323247333e-13,1.183494140924537e-17,1.5661880723629397e-13,3.740019073284518e-26,8.060281063970725e-22,1.8745109006401393e-23,4.26683113877727e-27,5.753871193782293e-29,7.910585036944246e-22,1.6306794719546832e-21,1.2541874647943638e-32,3.2102869566308103e-37,1.8090137329827313e-45,2.7471883168849147e-43,3.081212326791583e-26,3.79585930270312e-24,1.0081695494241086e-40,2.3160786933079124e-45
2.3737170336208036e-12,0.11224537200003516,0.0,0.0,0.0,0.0,0.3299999999985687,0.6699999999988819,1.43128035542692e-12,1.1182038073457572e-12,4.726071187456364e-17,3.1312379277430846e-13,1.4947865690462352e-25,3.299957594844136e-21,1.4989971863816106e-22,3.488671456763451e-26,4.604121038873169e-28,3.1802332664285136e-21,6.524477321185093e-21,2.0061026534977847e-31,1.027051429294674e-35,5.806187117839938e-44,1.763616718610168e-41,2.4566625591779994e-25,3.0303521027249193e-23,1.6134240087123693e-39,7.413145690071515e-44
3.5607043467976523e-12,0.11224537200005275,0.0,0.0,0.0,0.0,0.32999999999785296,0.6699999999983226,2.1469687843012847e-12,1.6775510525489478e-12,1.003066580853764e-16,4.695180044982496e-13,3.173349793618553e-25,7.123142122207353e-21,4.283579841506859e-22,1.0098143704964098e-25,1.3669229403536494e-27,6.781014693677614e-21,1.3866202192350228e-20,7.380320334597691e-31,4.6873959627760525e-35,2.651566157025446e-43,9.692232858462281e-41,7.010590626124595e-25,8.654005202202401e-23,6.104162764639799e-39,3.4583483754758183e-43
4.747691659974501e-12,0.11224537200007027,0.0,0.0,0.0,0.0,0.3299999999971372,0.6699999999977629,2.8626396517189255e-12,2.2370089891557646e-12,1.709162717725881e-16,6.25801521185981e-13,5.407902773624868e-25,1.2324640681982794e-20,9.029340608484995e-22,2.1534019777773374e-25,2.9785152763050147e-27,1.1603488951627861e-20,2.36563111422638e-20,1.8708455731913382e-30,1.396602989897262e-34,7.903375721873247e-43,3.3324617870516945e-40,1.476052058809976e-24,1.8232651774716733e-22,1.5889335937591775e-38,1.0530876512363586e-42
7.121666286328198e-12,0.11224537200010529,0.0,0.0,0.0,0.0,0.32999999999570573,0.6699999999966436,4.2939403452922296e-12,3.3561844041619302e-12,3.5318177004998255e-16,9.38109004241407e-13,1.1176356159309786e-24,2.611402602019023e-20,2.463215525528399e-21,5.987798897004085e-25,8.64573304128532e-27,2.4146838582613698e-20,4.898415308907169e-20,6.536102030865559e-30,6.108320622128053e-34,3.458241337188458e-42,1.7918372888168944e-39,4.0193274590249455e-24,4.970215074304353e-22,5.831141896130366e-38,4.7979209339885667e-42
9.495640912681896e-12,0.11224537200014027,0.0,0.0,0.0,0.0,0.32999999999427426,0.6699999999955237,5.72517692544278e-12,4.4757662173291235e-12,5.995683406618691e-16,1.2500100757720441e-12,1.8974605393346532e-24,4.5377234443794525e-20,5.1480869397931706e-21,1.272510824146996e-24,1.890706022670935e-26,4.12661137983783e-20,8.331936842578051e-20,1.6318167853192215e-29,1.778505399763762e-33,1.0071597439251499e-41,5.970134847470103e-39,8.387050967387361e-24,1.0381321521083459e-21,1.512037925202038e-37,1.4411260151699208e-41
1e-11,0.11224537200017519,0.0,0.0,0.0,0.0,0.3299999999939702,0.6699999999952857,6.0292392680394854e-12,4.713681243402301e-12,6.6071425161738235e-16,1.3162185179296097e-12,2.090994769736775e-24,5.026691123086238e-20,5.915288828565172e-21,1.4680205559220746e-24,2.1898932743944534e-26,4.554320715157587e-20,9.185736451525917e-20,1.94898613025841e-29,2.20289597455036e-33,1.247558004989361e-41,7.655131145250441e-39,9.633294189109521e-24,1.1926711310226029e-21,1.8207989527240951e-37,1.7990599067354805e-41
