Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813)
4.021775664042834e-13,0.11224537200000595,0.0,0.0,0.0,0.0,0.3299999999997575,0.6699999999998106,2.425076854941061e-13,1.8941504666417914e-13,1.361340681378197e-18,5.3093999706384176e-14,4.2877357648219316e-27,9.116915400221811e-23,7.281381302500476e-25,1.638046284008621e-28,2.2405555640775253e-30,9.058819779689931e-23,1.8733178474161768e-22,1.6514897892862692e-34,1.433254097036472e-39,7.976275418027373e-48,4.145987822991035e-46,1.2030903198174463e-27,1.4808688098239445e-25,1.3311815313077359e-42,1.0370080887995162e-47,2.0522839731218912e-54,6.4585660439409115e-49,8.152613828665366e-67,9.210152525257378e-75,2.364350770974885e-61,4.432810635505021e-66,1.0280249841109792e-73,8.210291777272371e-85,1.783821346121624e-86,5.334908232484323e-87,5.6710814706849284e-86,1.9377426760929254e-87,9.762754679778735e-95,3.4133454046698196e-84,2.094335119368375e-79,1.318805653891501e-80,8.461675591829877e-29,1.1144282224251658e-85,1.372156351125077e-79,9.252110546866324e-72,2.7822659798467593e-81
8.047045485917157e-13,0.11224537200001192,0.0,0.0,0.0,0.0,0.3299999999995148,0.669999999999621,4.852233427415346e-13,3.7901166559109364e-13,5.44551711966832e-18,1.0621712081290248e-13,1.719469991188366e-26,3.6786005372981376e-22,5.843491086804351e-24,1.3213198850644392e-27,1.794242836905815e-29,3.631944570731921e-22,7.49842553646734e-22,2.65143725599216e-33,4.6027593039004475e-38,2.585775801115573e-46,2.690368354354559e-44,9.620380033787539e-27,1.1846786396355712e-24,2.1321657657931324e-41,3.322091941162661e-46,7.083226103523917e-53,2.2291576960324294e-47,1.0449803179300035e-64,2.383765771126317e-72,1.514856040296049e-59,5.680317438811707e-64,2.545822557986193e-71,4.208861216872247e-82,5.127354360556794e-84,3.019511923318082e-84,3.2148258683930504e-83,1.5861914067933232e-84,1.4192238972605198e-91,8.865327402055844e-82,1.1148199927194924e-76,3.574465292715225e-78,3.3868850657024955e-28,5.933007260043746e-83,2.537602886515613e-77,2.3718372350197253e-69,1.4237016049149783e-78
1e-12,0.11224537200002384,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.029805873443129e-13,4.710113086185292e-13,9.40369310764432e-18,1.3197867922058379e-13,2.971401002287198e-26,6.4139924141724765e-22,1.5775060794029226e-23,3.604362636129748e-27,4.842751335111257e-29,6.288013671542268e-22,1.2958379797501678e-21,1.2308912838419408e-32,3.925195945911285e-37,2.214687201662449e-45,4.406712346924799e-43,2.591876300305146e-26,3.1937102296281242e-24,9.89489049787177e-41,2.831841273234714e-45,6.250899741054244e-52,1.968090437665963e-46,3.325278974888407e-63,1.5228671399197982e-70,2.4678072672387634e-58,1.8077124266401038e-62,1.5011231491856528e-69,5.259945634049655e-80,3.4307737445806107e-82,3.9053635822750424e-82,4.1612269787925506e-81,3.3853535598682e-82,4.9547060778474756e-89,5.600369741776022e-80,1.4141990872681348e-74,2.365022216348137e-76,5.852814717855434e-28,7.526837733379746e-81,1.0462042934991916e-75,1.4915470381418328e-67,1.772897593943732e-76
1.60975851296658e-12,0.11224537200002384,0.0,0.0,0.0,0.0,0.32999999999902935,0.6699999999992418,9.706465101410484e-13,7.582559173451698e-13,2.176205315691421e-17,2.1241234745553742e-13,6.88022522814415e-26,1.4954531741618413e-21,4.6783766488054847e-23,1.0732561182947826e-26,1.4360914688263892e-28,1.4580888562216231e-21,3.0005646219051407e-21,4.246183195500923e-32,1.474349438029432e-36,8.322123321835677e-45,1.7325512292497684e-42,7.680616304966938e-26,9.466381231349052e-24,3.413195006617453e-40,1.0636282843870141e-44,2.3556134270832817e-51,7.416937826539298e-46,1.3381317578405245e-62,6.203191138114903e-70,9.69991043567323e-58,7.274464541417262e-62,6.108497478522644e-69,2.1551327310332683e-79,1.3982371348401646e-81,1.6004554538747872e-81,1.705318571177808e-80,1.390570209118751e-81,2.0380156849791883e-88,2.280924999493597e-79,5.7948552495711614e-74,9.637576764424776e-76,1.3552029353599836e-27,3.0842159897663308e-80,4.2334711763114943e-75,6.074454720265456e-67,7.263851177640242e-76
3.219866441716309e-12,0.11224537200004767,0.0,0.0,0.0,0.0,0.32999999999805846,0.669999999998483,1.9414603980364912e-12,1.5169482796510075e-12,8.684623440026179e-17,4.2459893526078106e-13,2.7474353465155497e-25,6.170436290390088e-21,3.738078322395843e-22,8.839659754018263e-26,1.1491162615179927e-27,5.87188207900002e-21,1.200595271310175e-20,6.7861853516219e-31,4.712857950541951e-35,2.6665637728228514e-43,1.1105664907634397e-40,6.116031891152349e-25,7.551186367529087e-23,5.462204076510292e-39,3.40432576262976e-43,7.675444349122424e-50,2.417614546286931e-44,1.7122213976200645e-60,1.6373086199835306e-67,6.20882382034602e-56,9.312661898779402e-60,1.3884712643494079e-66,1.1023188192805115e-76,3.7001062567261557e-79,8.025420926174448e-79,8.554614456463627e-78,1.2577703896795524e-78,2.708932879322555e-85,5.835150636633217e-77,2.9643423122816315e-71,2.6429406229981935e-73,5.421756535851939e-27,1.5777804691805692e-77,6.588887156783569e-73,1.5545318777307372e-64,3.688920532092282e-73
4.829974370466038e-12,0.1122453720000715,0.0,0.0,0.0,0.0,0.32999999999708757,0.6699999999977241,2.9122419798913904e-12,2.2758443041410263e-12,1.8424051672335517e-16,6.365818541978157e-13,5.8296462402374345e-25,1.3387635910691995e-20,1.0677857930599077e-21,2.568997297671991e-25,3.411603837732483e-27,1.2534848350735696e-20,2.5516425465789664e-20,2.4957689980734516e-30,2.1503167738119425e-34,1.2172247713320543e-42,6.101138136715431e-40,1.7440660696152805e-24,2.155446737600007e-22,2.0665297856633108e-38,1.5881594169472357e-42,3.5151551011414175e-49,1.1072959505485309e-43,1.130794178546521e-59,1.0014501200568243e-66,3.472039475476177e-55,6.098324838813256e-59,1.0138633647968396e-65,9.404504081210235e-76,2.803425572278232e-78,6.788158195751441e-78,7.236098247285072e-77,1.1447215120964767e-77,2.591831653545802e-84,3.5465763057998304e-76,1.974358080568257e-70,1.5341292974830329e-72,1.1521912960029539e-26,1.0508640238478197e-76,4.466215040458313e-72,1.1780935061348299e-63,3.153369032072134e-72
6.440082299215767e-12,0.11224537200009523,0.0,0.0,0.0,0.0,0.3299999999961167,0.6699999999969649,3.882991395956713e-12,3.0349437943913424e-12,3.138045047478235e-16,8.483613006888783e-13,9.93021089346308e-25,2.3268942006297123e-20,2.2500352697569397e-21,5.497736649392742e-25,7.433811874263687e-27,2.147204848684796e-20,4.353312240301042e-20,6.324791733298345e-30,6.405317752772053e-34,3.626883302845355e-42,2.0971544565221027e-39,3.669642167824868e-24,4.539279798351218e-22,5.379198944648358e-38,4.836005613620055e-42,1.049525705511721e-48,3.3062483319123873e-43,4.957934483144773e-59,6.126427255175259e-66,1.2153697706053413e-54,2.4185350703153782e-58,4.380305753272246e-65,5.105208313635008e-75,1.4178844234552001e-77,3.677585397031214e-77,3.9203660135923096e-76,6.786510989588361e-77,1.5829105167925735e-83,2.0896895891287246e-75,1.3203064674371733e-69,1.02653028731303e-71,1.965575057008197e-26,7.02741083179285e-76,2.031330037222337e-71,5.66183061936931e-63,1.6513909513183867e-71
9.660298156715225e-12,0.11224537200014265,0.0,0.0,0.0,0.0,0.3299999999941749,0.6699999999954458,5.824415169627034e-12,4.553619688001521e-12,6.479996865396e-16,1.2714432648656186e-12,2.0507643293678988e-24,4.966009211952718e-20,6.134888857389548e-21,1.5374089375080998e-24,2.1577828966152093e-26,4.4761255844022897e-20,9.014587895221503e-20,2.2086812843222453e-29,2.8004075613347534e-33,1.5861969444612783e-41,1.1271345575567656e-38,9.981581727459954e-24,1.2365391471177368e-21,1.9740512708574446e-37,2.2032788782645293e-41,4.6008277735944844e-48,1.449458817294134e-42,4.7897251864207306e-58,1.1346763310463023e-64,6.76386302916406e-54,1.6207416244585452e-57,3.329422994974434e-64,7.275366731038766e-74,1.854753796553476e-76,5.280849097169438e-76,5.629655291369802e-75,1.1258154118888465e-75,2.737472014780328e-82,3.5267817734231744e-74,2.881987674184058e-68,2.0127541499901504e-70,4.0696715211858065e-26,1.5339611327796725e-74,2.088280513629799e-70,6.194099171749344e-62,2.0302873381014995e-70
1e-11,0.11224537200019,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952855,6.029209900970137e-12,4.713868941111442e-12,6.900845389456264e-16,1.3160308140302634e-12,2.183968397767456e-24,5.3073950164896705e-20,6.707750959975838e-21,1.6857932637710233e-24,2.3738429096852608e-26,4.7717742607013054e-20,9.602987123191917e-20,2.475677675323041e-29,3.214321126092626e-33,1.820700202441672e-41,1.3236102356485863e-38,1.0910674115680377e-23,1.3518676573365686e-21,2.2251732234292097e-37,2.541822937354624e-41,5.282169956362948e-48,1.6641209509197172e-42,5.8866316438564894e-58,1.4599100602104125e-64,7.979322274371688e-54,1.9537368390781328e-57,4.072846650656256e-64,9.3067106869352e-74,2.29306771673553e-76,6.72756324765925e-76,7.171997453380818e-75,1.4762720062116674e-75,3.6299808923737365e-82,4.4969979903305095e-74,3.752747264604103e-68,2.549727204753656e-70,4.3352457355842395e-26,1.9974317443216473e-74,2.586495228891402e-70,7.818039151887733e-62,2.622060796542228e-70
1.2880514014214683e-11,0.11224537200019,0.0,0.0,0.0,0.0,0.3299999999922331,0.6699999999939259,7.76572181448198e-12,6.073042168812594e-12,1.0993368942164907e-15,1.693778617242699e-12,3.4793285634122134e-24,8.685303698612481e-20,1.281599169651612e-20,3.283041374080647e-24,4.718729105350134e-26,7.6620262466375e-20,1.5333907837737752e-19,5.51226121305191e-29,8.151324654587588e-33,4.617904833226081e-41,3.7543453756943093e-38,2.0808124409722697e-23,2.5811626125804076e-21,5.118724342595595e-37,6.617801564974538e-41,1.3412249159213899e-47,4.225590678424293e-42,2.0127140533433543e-57,5.843855464411188e-64,2.311931844015809e-53,6.215853093806164e-57,1.3739503801965986e-63,3.663896580340817e-73,7.985753442835715e-76,2.611644494804731e-75,2.784267136537303e-74,6.280075578215412e-75,1.5956978955934577e-81,1.7481298047281908e-73,1.5590312307113515e-67,9.676237306872466e-70,6.921714539148333e-26,8.298100050823052e-74,9.107252502970069e-70,2.9490701431327328e-61,1.0669966748362527e-69
