Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0
2.1358461093314265e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999999,1.287893817837998e-16,1.0058821965821599e-16,5.760285719983666e-25,2.8201162701612357e-17,2.8781458681038587e-34
5.980369106127995e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999997,0.6699999999999997,3.606102671283086e-16,2.816470266884638e-16,3.479210630379907e-24,7.896324391905538e-17,3.4169329744600196e-33
1.3669415099721132e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999994,8.242520303520183e-16,6.43764687330774e-16,1.6750881706391494e-23,1.80487359772126e-16,3.354761243393931e-32
2.9047507086907406e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999983,0.6699999999999986,1.7515355269383305e-15,1.3680001949424807e-15,7.315532724881207e-23,3.8353540515117736e-16,2.967241545222936e-31
5.9803691061279945e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999646,0.6699999999999972,3.606102400667522e-15,2.8164719554728655e-15,3.054076363307681e-22,7.896307506022948e-16,2.494133897519429e-30
1.2131605901002502e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.32999999999999274,0.6699999999999943,7.315235670360126e-15,5.7134184577505244e-15,1.2476779621001099e-21,1.601818460287584e-15,2.0448229456809426e-29
2.4434079490751518e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.3299999999999853,0.6699999999999885,1.4733500298745877e-14,1.150732338708544e-14,5.043217731120513e-21,3.226181954878335e-15,1.6559203289760723e-28
4.9039026670249556e-14,0.11224537200000073,0.0,0.0,0.0,0.0,0.3299999999999705,0.669999999999977,2.957002191202881e-14,2.309518094417003e-14,2.0277784069553736e-20,6.47486124564418e-15,1.3327799557144229e-27
9.824892102924563e-14,0.11224537200000144,0.0,0.0,0.0,0.0,0.3299999999999408,0.6699999999999537,5.924303456871364e-14,4.6271086846369195e-14,8.131678713540995e-20,1.2972029039142262e-14,1.0693936901365952e-26
1.9666870974723776e-13,0.11224537200000291,0.0,0.0,0.0,0.0,0.32999999999988144,0.6699999999999073,1.185889376351368e-13,9.26236617578579e-14,3.256416690192557e-19,2.5965601519033562e-14,8.566908639550211e-26
3.9350828718322206e-13,0.11224537200000585,0.0,0.0,0.0,0.0,0.32999999999976276,0.6699999999998146,2.3728025504067943e-13,1.8533186364900284e-13,1.3030182284397026e-18,5.1949694410590666e-14,6.856728435937943e-25
