Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075),C2H3O(404),S(413),CHO2(133),S(137)
4.5159894927320684e-13,0.11224537200000669,0.0,0.0,0.0,0.0,0.32999999999972773,0.6699999999997873,2.7230792969175303e-13,2.1269238945747197e-13,1.7163416371431188e-18,5.961725599072552e-14,5.408710545100331e-27,1.1506647749869516e-22,1.0314736356246194e-24,2.321313057620021e-28,3.172198843936318e-30,1.1424335057819e-22,2.3620199933315493e-22,2.6270922010654764e-34,2.5601642193144284e-39,1.4277039000641407e-47,8.334419146800232e-46,1.7030948287661523e-27,2.096430836344363e-25,2.1162971761473795e-42,1.8512139267660832e-47,3.722993896794909e-54,1.1714401141496019e-48,1.8349716138048877e-66,2.3317058429721157e-74,4.739368565778765e-61,9.977525397228485e-66,2.587161806366547e-73,2.330005923553944e-84,4.617620615177815e-86,4.652557870643544e-80,4.947421776375234e-79,7.014707121765989e-69,3.8360552013296526e-76,1.9998026781633934e-72,1.2210013767128357e-75,1.324991685034294e-78,1.0669072951932117e-28,6.497347583000809e-82,3.308989907245382e-79,2.3384277857497914e-71,7.894264951608757e-81,1.3826329037708994e-71,7.458695685829314e-78,4.37369118693944e-84,2.514405359361913e-29,1.666180064519628e-66,2.478390429460151e-60,2.6480794625477124e-51,2.1670377017430123e-70,2.411724163707427e-62,9.830543113472068e-68,5.875600339625291e-52,9.086987525613657e-67
9.035902521079021e-13,0.11224537200001339,0.0,0.0,0.0,0.0,0.3299999999994552,0.6699999999995745,5.448490127658473e-13,4.255910101812758e-13,6.865036134513596e-18,1.1926486528329135e-13,2.1682405956254127e-26,4.647356627337951e-22,8.274635202110747e-24,1.8741767622735273e-27,2.54030198422763e-29,4.581283435222644e-22,9.454620853619716e-22,4.216030191509598e-33,8.218289051724739e-38,4.6217278125446104e-46,5.400102957714664e-44,1.3616586502066267e-26,1.6769621296178824e-24,3.3896853087646684e-41,5.930416206518341e-46,1.275034148040101e-52,4.0126639835179415e-47,2.3519468719710524e-64,6.040554039243024e-72,3.0365331709131257e-59,1.2785401387922994e-63,6.381453440943427e-71,1.194388892862347e-81,1.313298197309867e-83,2.3497063462910045e-77,2.5021216210662733e-76,1.8021714249418005e-66,1.7124490516007826e-73,1.0268947847071825e-69,1.2502699038505238e-72,1.3271280364883132e-75,4.270423292616915e-28,6.653970536005813e-79,6.008705951878664e-77,5.994742544930791e-69,4.0385902459097104e-78,3.544129978475671e-69,6.659620315527888e-75,3.8506635077972766e-81,2.0121626708266736e-28,3.196389731298014e-64,3.1836043252343446e-58,1.7007299522916698e-49,2.842119563765708e-68,3.0979550796809743e-60,2.5255339688597966e-65,3.7145316371477953e-50,1.2868530635291221e-64
1e-12,0.11224537200002678,0.0,0.0,0.0,0.0,0.329999999999397,0.669999999999529,6.029809326246642e-13,4.710091465083353e-13,9.058366672159558e-18,1.319808414015646e-13,2.8620157804352666e-26,6.17044405805673e-22,1.4455405712129875e-23,3.300726715801766e-27,4.437811684461119e-29,6.055003570777472e-22,1.2481268980820791e-21,1.0965034145527717e-32,3.540851728399456e-37,1.9979624937862428e-45,4.188039222881215e-43,2.37549272647906e-26,2.926959260592965e-24,8.815242041132559e-41,2.554781497121135e-45,5.6420858172428846e-52,1.7763030383442585e-46,3.421944516776113e-63,1.733447829274316e-70,2.3448995650329823e-58,1.8604420284898615e-62,1.6783482093562015e-69,6.628711572087402e-80,3.913044567889911e-82,1.2649121335673654e-75,1.3478895010918806e-74,5.085734806260505e-65,7.566361089035756e-72,5.696829288655161e-68,1.3686646420784892e-70,1.4454282403302368e-73,5.637350212211561e-28,7.284545972637879e-77,1.1073872658069729e-75,1.6909693398586257e-67,2.2326003277834433e-76,9.995165451670772e-68,5.825982175076162e-73,3.3433995208689915e-79,3.5067954374910415e-28,6.05741241779646e-63,4.634236178653982e-57,1.3137828423427192e-48,4.1782752217278466e-67,4.509523577915362e-59,7.126721597109592e-64,2.6035786931994925e-49,1.9668918956215713e-63
1.8075728577772926e-12,0.11224537200002678,0.0,0.0,0.0,0.0,0.32999999999891005,0.6699999999991485,1.0899209119824297e-12,8.51452565877222e-13,2.7430722674162334e-17,2.3849576751417e-13,8.673399182027849e-26,1.892853228007829e-21,6.622841220964897e-23,1.5250172160076077e-26,2.033223486034927e-28,1.8399568383517755e-21,3.783388042324121e-21,6.749782807417356e-32,2.6316650646291603e-36,1.48624509320546e-44,3.4745625051416685e-42,1.0867838160300465e-25,1.339751620473891e-23,5.426222692792016e-40,1.8987226482135348e-44,4.222254032176353e-51,1.3294249026026056e-45,3.0115642230566687e-62,1.574762763946081e-69,1.9443326870562162e-57,1.6373404513110967e-61,1.5202432675521527e-68,6.115340495044509e-79,3.5590444968182384e-81,1.1663581747080833e-74,1.2428849099494e-73,4.61766307500872e-64,6.951129135575095e-71,5.2555944389470164e-67,1.2728507395483026e-69,1.3441840576552713e-72,1.708736541259609e-27,6.77459212605795e-76,9.880060559066586e-75,1.5353166963185094e-66,2.0595607254232368e-75,9.075058884486477e-67,5.406927592989602e-72,3.1026718384156398e-78,1.6026534168201478e-27,5.411966959923971e-62,4.078601736591744e-56,1.0894028096538911e-47,3.6796759019496e-66,3.968839784621756e-58,6.470794942595438e-63,2.130089957802438e-48,1.7364564651100453e-62
3.6155380691160735e-12,0.11224537200005348,0.0,0.0,0.0,0.0,0.32999999999781987,0.6699999999982964,2.18002384278092e-12,1.7034326556922588e-12,1.094349881450002e-16,4.767005851266981e-13,3.4621990303397287e-25,7.838096118168324e-21,5.289904940648191e-22,1.2602721082043694e-25,1.6269146912457633e-27,7.41559747637674e-21,1.5138479303016807e-20,1.0783667139140628e-30,8.409390713074838e-35,4.759325825986869e-43,2.225799440086731e-40,8.648880040297774e-25,1.0682948994852614e-22,8.683616657966679e-39,6.077137094073496e-43,1.372463496277907e-49,4.322854207872701e-44,3.853017266710445e-60,4.1706809514126266e-67,1.2445277324063624e-55,2.096062424613896e-59,3.414946395109074e-66,3.1274107515176997e-76,9.386026490926589e-79,5.616503331406038e-72,5.98710883506184e-71,1.1805399595046806e-61,2.5102573161864656e-68,2.6803354654338578e-64,1.2847026597130305e-66,1.3551526503838909e-69,6.836147210896268e-27,6.837897499285851e-73,1.5270742455617145e-72,3.9291661135196554e-64,1.0449748653115603e-72,2.3215426775668797e-64,3.9055257479742813e-69,2.23208296822167e-75,1.2677468723800668e-26,8.232992508598734e-60,5.2135932527398853e-54,6.9626848446410995e-46,4.7285606187735705e-64,5.073198891195032e-56,1.6541413779211077e-60,1.0907733176687901e-46,2.2800536660743406e-60
5.423503280454855e-12,0.11224537200008024,0.0,0.0,0.0,0.0,0.3299999999967297,0.669999999997444,3.2700861050607286e-12,2.555669445661866e-12,2.321128249860021e-16,7.146486941562031e-13,7.3445760499753385e-25,1.7045393389109726e-20,1.5108064183716465e-21,3.669324222449203e-25,4.830122640912579e-27,1.5838799511050818e-20,3.217442431785679e-20,3.9653596411350085e-30,3.8364531420237063e-34,2.172149007482763e-42,1.2226056740527463e-39,2.4655030423555578e-24,3.048729789858717e-22,3.2852815672964285e-38,2.8350486307053287e-42,6.282230962180692e-49,1.9788647335923692e-43,2.5445425842716943e-59,2.550303420967545e-66,6.959487809287793e-55,1.372583145429057e-58,2.4866022739276494e-65,2.668076021221666e-75,7.108110017972097e-78,4.703441233056173e-71,5.014004797554932e-70,8.858966769237572e-61,1.9852508252437516e-67,2.274094793330677e-63,1.2147053945402567e-65,1.2811180359734766e-68,1.4527690823646874e-26,6.465355682301597e-72,1.0347282670620276e-71,2.9777182012297554e-63,8.930781610234561e-72,1.7591964302991314e-63,3.4749291123543894e-68,1.9702775740877935e-74,3.600639850439825e-26,5.486973498823457e-59,3.404325827923291e-53,3.880521036308677e-45,3.106965598250611e-63,3.3126352384689835e-55,1.2412623715292153e-59,5.56652043253875e-46,1.484074346862169e-59
7.2314684917936365e-12,0.11224537200010691,0.0,0.0,0.0,0.0,0.3299999999956395,0.6699999999965914,4.3601078969668564e-12,3.4081626578187816e-12,3.952658841792636e-16,9.52340372567641e-13,1.250819225842627e-24,2.9686951409262415e-20,3.1830938368121386e-21,7.865027508865308e-25,1.0524702144278091e-26,2.714496966101791e-20,5.489283561316766e-20,1.0047790876954526e-29,1.1426743185312852e-33,6.471324000438089e-42,4.201968694894149e-39,5.186001856228453e-24,6.41923271931613e-22,8.551588724662414e-38,8.6328019766637e-42,1.87502649336307e-48,5.906504718503319e-43,1.1156157200028042e-58,1.563427178338741e-65,2.43611979869735e-54,5.44350199203991e-58,1.0716609263483622e-64,1.4483136165735168e-74,3.594261997622715e-77,2.3646446752037932e-70,2.520850179542965e-69,4.1039033118563584e-60,9.536263742645815e-67,1.1561815748430708e-62,6.725672301767718e-65,7.0938770828560774e-68,2.4783478523454295e-26,3.5797956457673917e-71,4.705381031160844e-71,1.4310743700853188e-62,4.6761450423734085e-71,8.453893910060685e-63,1.8290681780751372e-67,1.0474281042712051e-73,7.548076263468045e-26,2.476871095010733e-58,1.4267440603304538e-52,1.4621933885434066e-44,1.4744153942515043e-62,1.3883109991577012e-54,5.750001925662104e-59,1.7948696154177965e-45,6.617122617758391e-59
1e-11,0.11224537200016012,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952854,6.029193912619625e-12,4.713971091592116e-12,7.060746484012006e-16,1.31592866018112e-12,2.2345315776373784e-24,5.459490202116102e-20,7.132301279546552e-21,1.8032724196368963e-24,2.482362026128788e-26,4.8899718771148333e-20,9.830038116797736e-20,2.767499025340314e-29,3.812914361671871e-33,2.1599225169679102e-41,1.678717037426218e-38,1.159485643456297e-23,1.4371692275063117e-21,2.4560761768990145e-37,2.9851562138295556e-41,6.269611785337085e-48,1.975082587098278e-42,7.56325639662142e-58,1.9661412890983844e-64,1.0037183804044009e-53,2.6466851475320423e-57,5.816824579963381e-64,1.412847962084528e-73,3.232813351516406e-76,1.7795222019003844e-69,1.8971376133209727e-68,2.778198679155526e-59,6.743076669685703e-66,8.84746698799625e-62,5.782102954342782e-64,6.099748426371742e-67,4.4376343561544886e-26,3.077582285707304e-70,3.378318990506031e-70,1.0891969549317377e-61,3.969051127612401e-70,6.433540738396172e-62,1.4619736910254588e-66,8.647604239525131e-73,1.679807024120623e-25,1.8061200148208733e-57,8.500947875282416e-52,7.625417579679012e-44,1.4292215658981711e-61,8.27190510130235e-54,3.8924226193464674e-58,6.549494517626477e-45,4.747980207491473e-58
1.08473989144712e-11,0.11224537200016012,0.0,0.0,0.0,0.0,0.32999999999345914,0.6699999999948855,6.5400571101614225e-12,5.113750028220208e-12,8.15953370845054e-16,1.4271227635095175e-12,2.5823057619775166e-24,6.356098526480368e-20,8.676862289346836e-21,2.205003775369212e-24,3.0549442851895615e-26,5.663262647813173e-20,1.1367105368969347e-19,3.508081594228323e-29,4.994906160527467e-33,2.8296020111388583e-41,2.257952842286467e-38,1.4098929096986915e-23,1.748082464021241e-21,3.138226935739337e-37,3.933070279390356e-41,8.215772617711278e-48,2.5881909741186048e-42,1.0777142592313164e-57,2.9093143510767427e-64,1.3557534248909868e-53,3.6478415043512376e-57,8.112019976078354e-64,2.0638664628253557e-73,4.700420400783466e-76,2.5548448200445165e-69,2.723710743224609e-68,3.9563990555662576e-59,9.635603487720553e-66,1.2717734118124862e-61,8.377638671458091e-64,8.837977864937928e-67,5.131369422016963e-26,4.459083069519047e-70,4.835618921889052e-70,1.5656099812898295e-61,5.7474644509030036e-70,9.247483282466596e-62,2.1079345087632802e-66,1.2496973824501347e-72,2.0404495097797026e-25,2.588612596463705e-57,1.1974762100183996e-51,1.0604593975157146e-43,2.088440041742168e-61,1.165211751549378e-53,5.54313713955031e-58,8.696108134819061e-45,6.796841451353906e-58
1.4463329337148762e-11,0.11224537200021324,0.0,0.0,0.0,0.0,0.32999999999127877,0.6699999999931785,8.719859131397761e-12,6.820278049719239e-12,1.3838489657501462e-15,1.9009644723325677e-12,4.379778119131836e-24,1.1148246662100514e-19,1.812247564718997e-20,4.718736771431236e-24,6.680643932485304e-26,9.70136516157183e-20,1.9335909569783225e-19,8.753775101853311e-29,1.4537071376122757e-32,8.236581995608867e-41,7.519976204351845e-38,2.937802410542256e-23,3.6479038892799435e-21,8.13738711597358e-37,1.181337070871653e-40,2.394336092102967e-47,7.543055470672408e-42,4.5285035328419414e-57,1.5009710419449662e-63,4.634018138815693e-53,1.3990080564094768e-56,3.3389054485448087e-63,1.0393155781588768e-72,2.0227826637431554e-75,1.285816062391553e-68,1.3708338374359904e-67,1.841880727439798e-58,4.6312787726688885e-65,6.481132591110494e-61,4.6175693615766834e-63,4.870996263545981e-66,8.72748187373571e-26,2.457752612371172e-69,2.1091586684993685e-69,7.454056136664591e-61,3.019850805921875e-69,4.4023151204481284e-61,1.1056899601826652e-65,6.573147182490927e-72,4.230282764366018e-25,1.024559391866678e-56,5.0119202249174336e-51,3.895774836180752e-43,8.817374719324344e-61,4.876853243965407e-53,2.580508406554663e-57,2.6943518403154303e-44,2.624851577342208e-57
