Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6)
1.0509870781465895e-11,0.11224537200015515,0.0,0.0,0.0,0.0,0.3299999999936627,0.6699999999950449,6.336590171975675e-12,4.954414264453376e-12,7.567028462989338e-16,1.382932610368597e-12
1.321245087508685e-11,0.11224537200019488,0.0,0.0,0.0,0.0,0.32999999999203306,0.6699999999937691,7.965819885220136e-12,6.229725503116305e-12,1.155732536276023e-15,1.7372501146401036e-12
1.5915030968707805e-11,0.11224537200023453,0.0,0.0,0.0,0.0,0.3299999999904034,0.6699999999924928,9.594962057022144e-12,7.50559846212351e-12,1.6423036579095772e-15,2.0910058985565416e-12
2.1320191155949716e-11,0.11224537200031362,0.0,0.0,0.0,0.0,0.32999999998714413,0.6699999999899381,1.2852982346244954e-11,1.005905617961496e-11,2.879500249337748e-15,2.7968056668793353e-12
2.6725351343191626e-11,0.1122453720003924,0.0,0.0,0.0,0.0,0.32999999998388485,0.6699999999873807,1.6110654959845086e-11,1.2614784408007855e-11,4.46437241947684e-15,3.5003349242567054e-12
3.753567171767545e-11,0.11224537200054913,0.0,0.0,0.0,0.0,0.32999999997736634,0.6699999999822585,2.2624982251140805e-11,1.7733019097347217e-11,8.652052531870878e-15,4.900615206325453e-12
4.834599209215927e-11,0.11224537200070464,0.0,0.0,0.0,0.0,0.32999999997084783,0.6699999999771256,2.9137978272991824e-11,2.2860252547091828e-11,1.4171001911973353e-14,6.291896727811963e-12
5.915631246664308e-11,0.11224537200085903,0.0,0.0,0.0,0.0,0.3299999999643293,0.6699999999719826,3.5649679734837894e-11,2.799642945219473e-11,2.098451111941855e-14,7.674234793762581e-12
6.99666328411269e-11,0.1122453720010123,0.0,0.0,0.0,0.0,0.3299999999578108,0.6699999999668295,4.216012341749586e-11,3.314149297918325e-11,2.905579933673304e-14,9.047686237649346e-12
9.158727359009454e-11,0.11224537200131544,0.0,0.0,0.0,0.0,0.3299999999447738,0.6699999999564931,5.51773681058332e-11,4.3458071074781485e-11,4.884105221299406e-14,1.1768138083264704e-11
9.999999999999999e-11,0.11224537200161416,0.0,0.0,0.0,0.0,0.329999999939701,0.6699999999524604,6.024119449197986e-11,4.748176980218003e-11,5.780447661861336e-14,1.2817229166418427e-11
1.1320791433906219e-10,0.11224537200161416,0.0,0.0,0.0,0.0,0.3299999999317368,0.6699999999461171,6.81899896779138e-11,5.3809537046888304e-11,7.324942062593613e-14,1.4453702051651426e-11
1.3482855508802982e-10,0.1122453720019085,0.0,0.0,0.0,0.0,0.32999999991869977,0.6699999999357025,8.119826500814789e-11,6.419542285129592e-11,1.0200403016031393e-13,1.710484618701227e-11
1.780698365859651e-10,0.11224537200248445,0.0,0.0,0.0,0.0,0.3299999998926257,0.6699999999147597,1.0720272337324699e-10,8.50686833480156e-11,1.7160554240409592e-13,2.2305645567635484e-11
2.1698698993410684e-10,0.11224537200298866,0.0,0.0,0.0,0.0,0.329999999869159,0.6699999998957851,1.3059421097005101e-10,1.039679191841581e-10,2.4677183268223876e-13,2.687306361857514e-11
2.559041432822486e-10,0.11224537200347995,0.0,0.0,0.0,0.0,0.32999999984569234,0.6699999998766953,1.5397506469050397e-10,1.2297192961036278e-10,3.3257199689119667e-13,3.1335707077032385e-11
2.9482129663039036e-10,0.11224537200395865,0.0,0.0,0.0,0.0,0.32999999982222566,0.6699999998574935,1.773463516570445e-10,1.4207829961700161e-10,4.2793891256754055e-13,3.569599095261048e-11
3.3373844997853213e-10,0.11224537200442519,0.0,0.0,0.0,0.0,0.329999999798759,0.6699999998381833,2.007090294893735e-10,1.6128466986820744e-10,5.31914959986384e-13,3.995627458115244e-11
3.726556033266739e-10,0.1122453720048799,0.0,0.0,0.0,0.0,0.3299999997752923,0.6699999998187676,2.2406395898387917e-10,1.8058873465782947e-10,6.436393427363237e-13,4.411886366878606e-11
4.504899100229574e-10,0.11224537200575509,0.0,0.0,0.0,0.0,0.32999999972835903,0.6699999997796315,2.707536309363896e-10,2.194809705546778e-10,8.872751371713867e-13,5.215993551888323e-11
5.283242167192409e-10,0.11224537200658688,0.0,0.0,0.0,0.0,0.32999999968142574,0.6699999997401087,3.174206779815511e-10,2.587375876346028e-10,1.1535358287277984e-12,5.983662617567614e-11
6.061585234155244e-10,0.11224537200737755,0.0,0.0,0.0,0.0,0.32999999963449245,0.6699999997002196,3.6406931226261406e-10,2.9834200171206906e-10,1.438209273997383e-12,6.716551982454244e-11
6.83992830111808e-10,0.11224537200812927,0.0,0.0,0.0,0.0,0.32999999958755916,0.6699999996599836,4.107030417430359e-10,3.3827836846174445e-10,1.7377875093758384e-12,7.416246079066739e-11
7.618271368080915e-10,0.11224537200884416,0.0,0.0,0.0,0.0,0.32999999954062587,0.6699999996194189,4.573247253870823e-10,3.7853155293085095e-10,2.0494115704606916e-12,8.084258402669208e-11
8.39661443504375e-10,0.11224537200952396,0.0,0.0,0.0,0.0,0.3299999994936926,0.6699999995785421,5.039366532828039e-10,4.190871021661987e-10,2.370791369073793e-12,8.722034248567896e-11
9.174957502006586e-10,0.11224537201017049,0.0,0.0,0.0,0.0,0.3299999994467593,0.6699999995373686,5.505406801069533e-10,4.5993121984269066e-10,2.700072228343783e-12,9.330953249260645e-11
9.953300568969421e-10,0.11224537201078538,0.0,0.0,0.0,0.0,0.329999999399826,0.6699999994959134,5.971383181010734e-10,5.01050747094171e-10,3.035741906617628e-12,9.912331291352014e-11
9.999999999999999e-10,0.1122453720113702,0.0,0.0,0.0,0.0,0.3299999993970101,0.6699999994934175,5.999339321217628e-10,5.035263385672902e-10,3.0560568219455564e-12,9.94636503764184e-11
1.0731643635932257e-09,0.1122453720113702,0.0,0.0,0.0,0.0,0.3299999993528927,0.6699999994541902,6.437307832916428e-10,5.424331356001738e-10,3.3765843773149633e-12,1.0467423206878407e-10
1.1509986702895092e-09,0.11224537201192639,0.0,0.0,0.0,0.0,0.3299999993059594,0.669999999412212,6.903190402142856e-10,5.84066406924792e-10,3.721635104716664e-12,1.0997426839421032e-10
1.2288329769857927e-09,0.11224537201245532,0.0,0.0,0.0,0.0,0.3299999992590261,0.6699999993699908,7.369038730453033e-10,6.259391161262807e-10,4.070109912433467e-12,1.150348668314558e-10
1.3066672836820763e-09,0.11224537201295826,0.0,0.0,0.0,0.0,0.32999999921209283,0.6699999993275382,7.834859454416872e-10,6.68040336813099e-10,4.421345143391762e-12,1.1986695377198015e-10
1.3845015903783598e-09,0.11224537201343644,0.0,0.0,0.0,0.0,0.32999999916515954,0.6699999992848653,8.300658053394922e-10,7.103596540676563e-10,4.774792861461524e-12,1.244809441332977e-10
1.4623358970746434e-09,0.11224537201389113,0.0,0.0,0.0,0.0,0.32999999911822625,0.6699999992419827,8.766438671969008e-10,7.528871376519718e-10,5.130038608390346e-12,1.2888676815331953e-10
1.540170203770927e-09,0.11224537201432333,0.0,0.0,0.0,0.0,0.32999999907129296,0.6699999991988999,9.232204420462333e-10,7.956132984119933e-10,5.486771351793347e-12,1.3309391498603354e-10
1.6180045104672105e-09,0.11224537201473411,0.0,0.0,0.0,0.0,0.32999999902435967,0.6699999991556261,9.697958073134858e-10,8.385290623186934e-10,5.844713665614382e-12,1.3711145866040713e-10
1.695838817163494e-09,0.11224537201512447,0.0,0.0,0.0,0.0,0.3299999989774264,0.6699999991121705,1.0163702284387432e-09,8.816257748217758e-10,6.203600109713032e-12,1.4094805372668088e-10
1.7736731238597775e-09,0.11224537201549536,0.0,0.0,0.0,0.0,0.3299999989304931,0.6699999990685415,1.0629439062425539e-09,9.248951998694341e-10,6.56322986349056e-12,1.4461193623661027e-10
