Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075),C2H3O(404),S(413)
4.437444553347858e-13,0.11224537200000659,0.0,0.0,0.0,0.0,0.32999999999973245,0.669999999999791,2.675718076282002e-13,2.0899292609233648e-13,1.6571776040832846e-18,5.858053814843369e-14,5.221852198609824e-27,1.110811656804299e-22,9.785040902785003e-25,2.201962179947367e-28,3.0095429212843463e-30,1.1030032668843896e-22,2.280569411707946e-22,2.4488205291579623e-34,2.344919922949739e-39,1.307282813227723e-47,7.498530728530286e-46,1.615805767973091e-27,1.9889650476101805e-25,1.9728627418479433e-42,1.695730539807908e-47,3.402367815202659e-54,1.0706406907433498e-48,1.6228974737007797e-66,2.0260359817782552e-74,4.2658039065421104e-61,8.824360898159466e-66,2.2498777364282346e-73,1.9896657664276005e-84,3.99895915617261e-86,3.973869619159666e-80,4.225511322819022e-79,6.095510075606531e-69,3.28403318128014e-76,1.7075462733287048e-72,1.0243867468160881e-75,1.1072265231470465e-78,1.0301173312593958e-28,5.451071453593326e-82,2.896728782984947e-79,2.032195285469426e-71,6.741397011365822e-81,1.2015701391201533e-71,6.274297787264228e-78,3.6809148385543567e-84,2.3853840596109224e-29,1.4562833933756377e-66,2.1917468459596067e-60,2.383263274799717e-51,1.915037489596165e-70,2.132791171452501e-62,8.542366728005742e-68
8.878744401702968e-13,0.11224537200001315,0.0,0.0,0.0,0.0,0.32999999999946467,0.6699999999995818,5.35372772018609e-13,4.1818813010745717e-13,6.628471954968983e-18,1.17191268126129e-13,2.0934414376415228e-26,4.485703486215641e-22,7.85015057148842e-24,1.7775588654619703e-27,2.4100473489897724e-29,4.423020452295571e-22,9.128586508342702e-22,3.930169565954451e-33,7.527801706779865e-38,4.232785178860665e-46,4.859572938466986e-44,1.2918998132162454e-26,1.5910228744632e-24,3.1599466565448016e-41,5.4323226417030145e-46,1.1665387352219146e-52,3.671446401667431e-47,2.0801318191252606e-64,5.247891992431331e-72,2.7331202312747544e-59,1.1307721115425406e-63,5.553006626506015e-71,1.0199333875411831e-81,1.1391077517769007e-83,2.0075671414039072e-77,2.1377363461484167e-76,1.5661130966226627e-66,1.4689653722803224e-73,8.768851711385775e-70,1.0491335819882562e-72,1.1130959833054094e-75,4.123166857740534e-28,5.583504537860734e-79,5.2745811772334945e-77,5.209707680079751e-69,3.4489427042758955e-78,3.080023175493186e-69,5.613357129802111e-75,3.246551745249541e-81,1.909102084666909e-28,2.8026186815632957e-64,2.8155690612327247e-58,1.5307442938079025e-49,2.512646797964118e-68,2.739821566578618e-60,2.194727549484866e-65
1e-12,0.11224537200002631,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.029808558870905e-13,4.710096272677129e-13,9.135114444605106e-18,1.3198036062644426e-13,2.886310212435092e-26,6.225028106698813e-22,1.479075593339612e-23,3.378462343882816e-27,4.5407757489592707e-29,6.106908891425564e-22,1.258737649206441e-21,1.1377009088778737e-32,3.7007559135676905e-37,2.088267127297888e-45,4.372056836979895e-43,2.4304562225156912e-26,2.9947439225784055e-24,9.146387046475635e-41,2.670125891513995e-45,5.898552665148621e-52,1.857194052416272e-46,3.5439532278123595e-63,1.7723332261941387e-70,2.4479170261802126e-58,1.9267556784197068e-62,1.7202885668541075e-69,6.681117518311122e-80,3.9997978395057046e-82,1.276157241866646e-75,1.3598578991880603e-74,5.202476503318699e-65,7.675788377977136e-72,5.7420508114559715e-68,1.357651461558434e-70,1.4337238623070006e-73,5.685267017717926e-28,7.225921896446224e-77,1.1432094845689119e-75,1.7297764648507205e-67,2.250535030260478e-76,1.0224610587952478e-67,5.817690554661537e-73,3.339063297950834e-79,3.587782629004563e-28,6.252927088690136e-63,4.7994905950783026e-57,1.371522653721338e-48,4.326896188358738e-67,4.670331771022454e-59,7.290324213797892e-64
1.7761344098413189e-12,0.11224537200002631,0.0,0.0,0.0,0.0,0.32999999999892904,0.6699999999991634,1.0709647870573108e-12,8.366406358234407e-13,2.6486122478203596e-17,2.3435062836249107e-13,8.374556956002276e-26,1.826465305832888e-21,6.283370577183877e-23,1.4459934564170657e-26,1.9289702146777572e-28,1.7762803960558244e-21,3.652916038913589e-21,6.292411758936104e-32,2.4106677782847884e-36,1.361333735857295e-44,3.127168240027896e-42,1.0311556732914951e-25,1.2711317101035071e-23,5.058459601636612e-40,1.7392507949278827e-44,3.865360730605873e-51,1.2171333156534516e-45,2.66353684477041e-62,1.3677184439754537e-69,1.7500557773265304e-57,1.4481058809400167e-61,1.3243765982221405e-68,5.22218904707822e-79,3.0897952622080786e-81,9.970768264335163e-75,1.0624835503384958e-73,4.013001318777705e-64,5.979086396336516e-71,4.488161139883286e-67,1.068270928726628e-69,1.1280928232862764e-72,1.6498142223143714e-27,5.685734523218196e-76,8.691411521863554e-75,1.3342692411265746e-66,1.759002808650118e-75,7.886748665712494e-67,4.569925400764833e-72,2.622737102053882e-78,1.5207628590714203e-27,4.759578417818274e-62,3.6072679355117056e-56,9.805635223210905e-48,3.25384641879571e-66,3.5101914173673294e-58,5.623483902759066e-63
3.552654349183363e-12,0.11224537200005259,0.0,0.0,0.0,0.0,0.32999999999785784,0.669999999998326,2.142109352030419e-12,1.6737937737020757e-12,1.0567161113286607e-16,4.684212142530972e-13,3.3431037119603213e-25,7.558924104668712e-21,5.019026356355559e-22,1.1943331136073538e-25,1.5434960953615784e-27,7.158058961919813e-21,1.4616380087322756e-20,1.0053496926629556e-30,7.703614662596393e-35,4.359725431745698e-43,2.0034478098415506e-40,8.206949691935897e-25,1.0136395029705395e-22,8.095094406293287e-39,5.56673190574878e-43,1.2568939499098678e-49,3.9591275197000337e-44,3.4077990969053323e-60,3.6203505260413354e-67,1.1201781607125942e-55,1.8538165004962288e-59,2.980460759400425e-66,2.6707216957333404e-76,8.152539524897834e-79,4.806124690034889e-72,5.123225506133039e-71,1.0260090760637538e-61,2.165854540141569e-68,2.2891732358147346e-64,1.0785220415863536e-66,1.1376648000108178e-69,6.600415016772969e-27,5.740486968126709e-73,1.3446419990400784e-72,3.414689716913619e-64,8.926236674768196e-73,2.0175932753680366e-64,3.311080799591612e-69,1.8924874783218523e-75,1.2032337750255032e-26,7.257585830113528e-60,4.6113458039957224e-54,6.267400544089423e-46,4.1819600269775227e-64,4.487171780655799e-56,1.4376218119401602e-60
5.329174288525407e-12,0.11224537200007886,0.0,0.0,0.0,0.0,0.32999999999678664,0.6699999999974886,3.2132146408535494e-12,2.5111947740122876e-12,2.2413813851495433e-16,7.02243929574428e-13,7.092189151762609e-25,1.643226697548278e-20,1.4334818073409035e-21,3.476338500899476e-25,4.582464510430416e-27,1.528742134462008e-20,3.106472512870671e-20,3.696945759872803e-30,3.514537558234049e-34,1.9898243528109648e-42,1.10049600336899e-39,2.339649911596311e-24,2.892852519630801e-22,3.062627351008762e-38,2.596940648364941e-42,5.753674191870006e-49,1.812504623536553e-43,2.25052877647951e-59,2.2139666103767314e-66,6.264122138141673e-55,1.2139521064559878e-58,2.1711786757997343e-65,2.2784764871452694e-75,6.1743978391757955e-78,4.025695145226805e-71,4.291484280340522e-70,7.699433997790485e-61,1.7138067079014766e-67,1.9422595086614114e-63,1.0198160796212763e-65,1.0755705919817202e-68,1.4026726531419482e-26,5.4280406395946e-72,9.111463705922005e-72,2.587830172798035e-63,7.629010520416893e-72,1.5288799894479078e-63,2.947453329992994e-68,1.671222304297556e-74,3.417828621089227e-26,4.8388823967011915e-59,3.011116690603502e-53,3.49307219959809e-45,2.747887420417212e-63,2.930018649776613e-55,1.078800240304752e-59
7.105694227867451e-12,0.11224537200010505,0.0,0.0,0.0,0.0,0.32999999999571544,0.6699999999966507,4.284280841575526e-12,3.3488433730198932e-12,3.8169746217593563e-16,9.35819038058473e-13,1.2078753218784719e-24,2.8609925537167976e-20,3.0202507173987787e-21,7.449497183503921e-25,9.985066807792557e-27,2.619797000500356e-20,5.2999481130093413e-20,9.367842273970818e-30,1.046810205159057e-33,5.92826244818642e-42,3.782361613422806e-39,4.921519793403973e-24,6.091216819898371e-22,7.972024783421321e-38,7.907760697402939e-42,1.7173615763601827e-48,5.410244904899548e-43,9.867133904745904e-59,1.3567351839656093e-65,2.1927138678250057e-54,4.814393819469668e-58,9.360806151830521e-65,1.2368332286453347e-74,3.1222235978790236e-77,2.024293510808714e-70,2.1580050644488374e-69,3.5667951275856236e-60,8.235709995514178e-67,9.874917128005623e-63,5.6468870280443995e-65,5.956039807204909e-68,2.3928854181410104e-26,3.0056016745384167e-71,4.143454750741026e-71,1.243699837407336e-62,3.99466354443522e-71,7.347129252724506e-63,1.552013256549801e-67,8.888439899252956e-74,7.165630494034456e-26,2.184802344126671e-58,1.261968496458616e-52,1.3162218954435962e-44,1.3040392044132987e-62,1.2279750330742322e-54,4.997478332806524e-59
1e-11,0.11224537200015733,0.0,0.0,0.0,0.0,0.32999999999397023,0.6699999999952854,6.029196507697262e-12,4.713954500755578e-12,7.034792872581562e-16,1.3159452515648776e-12,2.2263159874260193e-24,5.434595042459515e-20,7.061436118033702e-21,1.783548065494072e-24,2.463597236850424e-26,4.8707325250388335e-20,9.79315285790694e-20,2.717260231913148e-29,3.7063665767137895e-33,2.0995403696401756e-41,1.6132697268474925e-38,1.1480767981989042e-23,1.4229393436384736e-21,2.4155184001578828e-37,2.9052292313066555e-41,6.093812013460282e-48,1.9198481832120418e-42,7.240678049637195e-58,1.862639901739818e-64,9.654576602905544e-54,2.513512743630365e-57,5.47442060264009e-64,1.3139904375332482e-73,3.054867442470386e-76,1.6524635038733046e-69,1.7616743935016204e-68,2.6132929555284343e-59,6.311153186628658e-66,8.1972292317876e-62,5.276781191976689e-64,5.5667297306615395e-67,4.421001531133674e-26,2.8086186554978292e-70,3.223692535342331e-70,1.0267859466350822e-61,3.68474744310609e-70,6.065003657456612e-62,1.3473513746677048e-66,7.976441775363238e-73,1.6636155232802119e-25,1.7273928297614077e-57,8.116383811371095e-52,7.386473034748938e-44,1.3767647087172188e-61,7.897708271983361e-54,3.661395486669687e-58
1.065873410655154e-11,0.11224537200015733,0.0,0.0,0.0,0.0,0.329999999993573,0.6699999999949745,6.42632208544683e-12,5.0247208530038794e-12,7.879841043541831e-16,1.4023889539473728e-12,2.4937795277130913e-24,6.122418824143893e-20,8.233277091841162e-21,2.08767376347125e-24,2.8983103227692094e-26,5.464995610141934e-20,1.0975000316710453e-19,3.2707890363463374e-29,4.575986846006577e-33,2.5922318124804174e-41,2.0325348557437793e-38,1.338098208442774e-23,1.6588435616592313e-21,2.9255444490800344e-37,3.602747971639403e-41,7.525457183230552e-48,2.3709003715258906e-42,9.531971090975846e-58,2.52265739832389e-64,1.2202946748296265e-53,3.226263198510511e-57,7.090260816070458e-64,1.7625182870126432e-73,4.083267308795689e-76,2.1877877664616026e-69,2.3323823609994512e-68,3.438688893971605e-59,8.326213964206406e-66,1.0862611122652794e-61,7.034528938650948e-64,7.421131539988737e-67,4.9544188190204355e-26,3.7441977294549183e-70,4.2583008594543965e-70,1.3606270690591203e-61,4.910090549822333e-70,8.036881071379021e-62,1.7896146046878984e-66,1.0613058969135046e-72,1.9374128494845808e-25,2.284077583698048e-57,1.0592107395102976e-51,9.546252544065348e-44,1.847183153707811e-61,1.030672567949417e-53,4.817820033913558e-58
1.4211773985235629e-11,0.11224537200020954,0.0,0.0,0.0,0.0,0.32999999999143054,0.6699999999932972,8.568221137539782e-12,6.701506654906538e-12,1.3364781956287337e-15,1.8680505179668942e-12,4.229840017157411e-24,1.073359654884396e-19,1.719657360842952e-20,4.466150221419227e-24,6.338117329596538e-26,9.360619995792139e-20,1.8668869978464733e-19,8.161866323881668e-29,1.3318135491665474e-32,7.545809768543112e-41,6.769373079663505e-38,2.788404382528896e-23,3.4618394499065386e-21,7.585911261135545e-37,1.0821223036906545e-40,2.1932542464849543e-47,6.91009396863826e-42,4.005311892966127e-57,1.3011149276256983e-63,4.1710197290611647e-53,1.2373269671174347e-56,2.9195189671684856e-63,8.875714021899387e-73,1.7573229686732972e-75,1.101312837034436e-68,1.1741266285909601e-67,1.6008879402230273e-58,4.003462389817356e-65,5.535871705485267e-61,3.877502952950346e-63,4.090346017241463e-66,8.426518449588625e-26,2.0638432398465922e-69,1.857277717136092e-69,6.478133465799561e-61,2.57997599206479e-69,3.826024226797709e-61,9.390378496856978e-66,5.584186843907635e-72,4.017304361870333e-25,9.044080910492045e-57,4.4332969074929214e-51,3.507038441793986e-43,7.799044282526627e-61,4.31382752411958e-53,2.2428853101934386e-57
