Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276)
3.5578708267358144e-13,0.11224537200000528,0.0,0.0,0.0,0.0,0.32999999999978546,0.6699999999998324,2.145349840109329e-13,1.675654829477998e-13,1.065473620027706e-18,4.6970566173369255e-14,3.353657805233313e-27,7.128330650102105e-23,5.037629228425597e-25,1.1330919548402582e-28,1.5512194690450897e-30,7.088144749370514e-23,1.4660686998068316e-22,1.0107343595504343e-34,7.759696406431415e-40,4.307839095846287e-48,1.9804931907369948e-46,8.330593065495025e-28,1.0253505042034059e-25,8.153188480712852e-43,5.618814091039464e-48,1.091093844275893e-54,3.434299053273321e-49,3.457138275471063e-67,3.4518365856235082e-75,1.1333072639531976e-61,1.8796945058483223e-66,3.872007380797472e-74,2.4059352960709242e-85,6.508341521632955e-87,1.7477318960632564e-87,1.8571033605573744e-86
7.11883276626636e-13,0.11224537200001056,0.0,0.0,0.0,0.0,0.32999999999957075,0.6699999999996646,4.292542279446918e-13,3.352898585868787e-13,4.262321364643093e-18,9.396863022708325e-14,1.345423443177742e-26,2.873589102405346e-22,4.04461715690836e-24,9.132191410464403e-28,1.2422221618815287e-29,2.8412986475434423e-22,5.868283905626613e-22,1.6234768504581933e-33,2.493151953876715e-38,1.3988957102747817e-46,1.2874469935802238e-44,6.66239756372714e-27,8.203421998450384e-25,1.3059064293790916e-41,1.8000105389012277e-46,3.8000198409426393e-53,1.195815930679933e-47,4.431406179221883e-65,8.926038336018327e-73,7.261208697088259e-60,2.4086987392239466e-64,9.625048443163916e-72,1.2334295803795288e-82,1.8935347324090723e-84,1.015469108252281e-84,1.0809321550986962e-83
1e-12,0.11224537200002109,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995289,6.029805611159657e-13,4.710114708214788e-13,9.429925330775409e-18,1.3197851701234714e-13,2.9797049896810845e-26,6.428566899758495e-22,1.551251070289808e-23,3.539595680948391e-27,4.76196277124419e-29,6.304685185803881e-22,1.2994011255655022e-21,1.1488178086269491e-32,3.3802688484303173e-37,1.906398730534717e-45,3.4341005968861463e-43,2.5491310233491998e-26,3.1408001278286438e-24,9.234774491074742e-41,2.4386321854520802e-45,5.364346900331173e-52,1.688856569761707e-46,2.3221685389086743e-63,9.433630834847136e-71,1.9241988471722852e-58,1.262259381584772e-62,9.46472625235674e-70,2.5626511150800875e-80,2.1155330776083967e-82,2.2613974630569563e-82,2.4093131899052684e-81
1.4240756645327451e-12,0.11224537200002109,0.0,0.0,0.0,0.0,0.3299999999991413,0.6699999999993291,8.586863366220049e-13,6.707785382306754e-13,1.7036061692182498e-17,1.879248286618339e-13,5.385185049125213e-26,1.1661097501108047e-21,3.2391970247508355e-23,7.405328858223234e-27,9.942628164151931e-29,1.1402403674859631e-21,2.3482286722145414e-21,2.600791745791478e-32,7.98868322816304e-37,4.5065030804319214e-45,8.299215618151357e-43,5.320536847825456e-26,6.5562552472273045e-24,2.0905183458966313e-40,5.763085160055194e-45,1.2700746391014083e-51,3.998654212828748e-46,5.674916132946297e-63,2.3187501358076976e-70,4.649527931089787e-58,3.084710972473026e-62,2.325407711136019e-69,6.31643287144868e-80,5.2014909675847334e-82,5.574975596848331e-82,5.939643224023432e-81
2.8484604403449637e-12,0.11224537200004216,0.0,0.0,0.0,0.0,0.32999999999828245,0.6699999999986579,1.7175251352643831e-12,1.3419154746964593e-12,6.800557216409589e-17,3.7567764312379264e-13,2.1512223484983916e-25,4.7952189254034215e-21,2.589047842349617e-22,6.079839478461384e-26,7.955823496169652e-28,4.588433487404648e-21,9.395648918932692e-21,4.157988361116722e-31,2.5545231391893913e-35,1.4449157678360384e-43,5.323439372253848e-41,4.239069302972385e-25,5.23168279980693e-23,3.3455256592489454e-39,1.844589686165219e-43,4.1499052427662957e-50,1.307068048219e-44,7.262308079772458e-61,6.100045519142935e-68,2.9761692218687263e-56,3.949066116325303e-60,5.347163205706396e-67,3.231475198277874e-77,1.3820079000117023e-79,2.961461874608738e-79,3.1565775947123754e-78
4.272845216157182e-12,0.11224537200006324,0.0,0.0,0.0,0.0,0.3299999999974236,0.6699999999979864,2.576338612865999e-12,2.0132118521723543e-12,1.4429934039280815e-16,5.632710113451113e-13,4.565582673890784e-25,1.0380818258134933e-20,7.396877018209834e-22,1.7638513279644603e-25,2.3620056720184194e-27,9.790049746414777e-21,1.9968478885277754e-20,1.5294062499362157e-30,1.1656801293440674e-34,6.596884525947955e-43,2.925010796112605e-40,1.2092115878044872e-24,1.4936612574622293e-22,1.2657262810001653e-38,8.605263464684947e-43,1.9016848160779804e-49,5.990150845248697e-44,4.796382380639637e-60,3.732937527661282e-67,1.6643145019945863e-55,2.58602818721159e-59,3.915353619776872e-66,2.755775939368764e-76,1.0476672972677742e-78,2.5368167998405905e-78,2.704093051405504e-77
5.6972299919694e-12,0.11224537200008428,0.0,0.0,0.0,0.0,0.3299999999965647,0.669999999997315,3.435126866722704e-12,2.6846675346064704e-12,2.4581997034291475e-16,7.507050693765272e-13,7.778516343813496e-25,1.8007465357654218e-20,1.5588903240587528e-21,3.768918875487733e-25,5.1467745786895275e-27,1.6762474006566047e-20,3.4067507882108053e-20,3.876292738280021e-30,3.472655850769097e-34,1.9659026058812895e-42,1.0055450666763364e-39,2.545005171834548e-24,3.146169164928718e-22,3.2947112486615283e-38,2.620343479221204e-42,5.680168950830089e-49,1.7893121222904909e-43,2.1030215461728503e-59,2.278472848613171e-66,5.8258787185912224e-55,1.0255977791460194e-58,1.6957515415053257e-65,1.5027811221996938e-75,5.300179991188407e-78,1.3872133152452517e-77,1.478728901977822e-76
8.545999543593837e-12,0.11224537200012624,0.0,0.0,0.0,0.0,0.3299999999948469,0.6699999999959714,5.1526444762017855e-12,4.027952356874564e-12,5.077664702843091e-16,1.1251997157575737e-12,1.6069068838299445e-24,3.8312007082924324e-20,4.251401866941292e-21,1.0513776839694335e-24,1.4939424618058644e-26,3.491697099012129e-20,7.054378487809092e-20,1.3539020396757845e-29,1.518500199209723e-33,8.599568781190477e-42,5.405435949533072e-39,6.925850758597941e-24,8.573073119662606e-22,1.2090973357811747e-37,1.1938327235463333e-41,2.4913041671413463e-48,7.848419249302302e-43,2.0317711900312714e-58,4.199093158644781e-65,3.242290002593534e-54,6.872932179764742e-58,1.2942533508929567e-64,2.1788124293477012e-74,6.935548664303252e-77,2.0188241495974088e-76,2.152086583760183e-75
1e-11,0.1122453720001682,0.0,0.0,0.0,0.0,0.3299999999939702,0.6699999999952854,6.029223073420851e-12,4.713784866594987e-12,6.769106233900486e-16,1.316114891318094e-12,2.142265478390921e-24,5.1837365321041103e-20,6.373102156218716e-21,1.5939998645113051e-24,2.29973479218546e-26,4.674826008132173e-20,9.416181784205605e-20,2.2553980602029066e-29,2.783437162784637e-33,1.5765282015491116e-41,1.0812526555806771e-38,1.037114744206007e-23,1.2846356294934962e-21,2.061424488350506e-37,2.232252717840822e-41,4.571610455088094e-48,1.440243749023124e-42,4.767267428432394e-58,1.13977424287968e-64,6.596591858308246e-54,1.5114499027223884e-57,2.9999629976310604e-64,5.801270849390867e-74,1.6579527145861984e-76,5.392888000802833e-76,5.749069847590688e-75
1.1394769095218273e-11,0.1122453720001682,0.0,0.0,0.0,0.0,0.3299999999931291,0.6699999999946271,6.870070131807661e-12,5.371821871777377e-12,8.616774784433442e-16,1.4991096502558925e-12,2.727081994783868e-24,6.681995346769955e-20,8.883083994398463e-21,2.2405018556784262e-24,3.267031408588931e-26,5.972682485029375e-20,1.1999369999607256e-19,3.379493307304678e-29,4.4205522107784e-33,2.5039738829265845e-41,1.8007179609055998e-38,1.4444148251558825e-23,1.7900387956213585e-21,3.135213362843723e-37,3.585830560478927e-41,7.264943659240475e-48,2.288787281028808e-42,8.538221007450428e-58,2.158775122941013e-64,1.108243235070408e-53,2.6359159081325713e-57,5.3549244505038994e-64,1.0919249083350648e-73,2.987920788799516e-76,1.016294829487957e-75,1.0834314928245827e-74
1.424353864684271e-11,0.11224537200021001,0.0,0.0,0.0,0.0,0.32999999999141133,0.6699999999932822,8.587397907401182e-12,6.716316936281047e-12,1.3134792326462938e-15,1.872394014523295e-12,4.157136873305516e-24,1.0467523591652332e-19,1.6148197806093363e-20,4.153851472614599e-24,6.129244184868334e-26,9.17821512710079e-20,1.8334920135571925e-19,7.162179746924723e-29,1.07236942316183e-32,6.075292848178862e-41,4.927388762269116e-38,2.6207936748003577e-23,3.251782639666851e-21,6.854871058152672e-37,8.9470479958292e-41,1.7646817268172094e-47,5.5597250819223106e-42,2.9172623020959446e-57,9.168071755376664e-64,3.1078127032646724e-53,8.210732067634595e-57,1.7852327647429818e-63,4.519099231680723e-73,1.190146888266794e-75,4.211826128989501e-75,4.4901091749985365e-74
1.9941077750091582e-11,0.11224537200029347,0.0,0.0,0.0,0.0,0.32999999998797575,0.6699999999905901,1.2021757967220822e-11,9.407216879095161e-12,2.512602560401571e-15,2.6170528660198406e-12,7.952734576171547e-24,2.127497207654817e-19,4.2467053259338914e-20,1.1505057026715472e-23,1.676939499315384e-25,1.7885239603876267e-19,3.5268596977813187e-19,2.614473897831065e-28,5.528485333739244e-32,3.1330643497227528e-40,3.669568959794013e-37,6.857307308472381e-23,8.53605156974868e-21,2.6363678212333795e-36,4.9082747957748784e-40,9.121654347577476e-47,2.874015181254175e-41,3.95362851903911e-56,2.0300338100233393e-62,2.481836964141383e-52,9.784960540220352e-56,2.768263809756678e-62,1.5456712657396142e-71,2.4601548395611387e-74,1.458281097406912e-73,1.5548009791249749e-72
3.133615595658933e-11,0.11224537200045939,0.0,0.0,0.0,0.0,0.32999999998110463,0.6699999999851972,1.888932725523175e-11,1.4796574535996083e-11,6.061769354071944e-15,4.098812546138851e-12,1.9187245405634474e-23,5.783422366829627e-19,1.6271884705756135e-19,4.918413966541928e-23,6.658693118781062e-25,4.485439894705516e-19,8.610212490751061e-19,1.643372674040393e-27,5.923994217886007e-31,3.3582926953344796e-39,6.962442646237361e-36,2.597454125542284e-22,3.257399568625347e-20,1.7396931138989327e-35,5.5835620143572945e-39,9.800134663393905e-46,3.087995933531753e-40,1.322788350179955e-54,1.2026068871179193e-60,5.0411088263928676e-51,3.6623377059900405e-54,1.4152671264823145e-60,1.757699435826324e-69,1.4577143332618743e-72,1.6802974646196021e-71,1.7916518395236422e-70
4.273123416308708e-11,0.112245372000624,0.0,0.0,0.0,0.0,0.3299999999742335,0.6699999999797928,2.5755392626704314e-11,2.0195970866586575e-11,1.1114938033693521e-14,5.570533216547399e-12,3.518277577653202e-23,1.1710482218646916e-18,4.008785954000279e-19,1.3128627431018952e-22,1.6668292099184898e-24,8.514424569573267e-19,1.5960391382582737e-18,5.321398312571649e-27,2.4604352388773857e-30,1.3949539686582363e-38,3.614853350802007e-35,6.340519511683103e-22,7.998930785177238e-20,5.73495305397874e-35,2.3618383539137645e-38,4.073700351359817e-45,1.2836392893211654e-39,8.487267809924064e-54,9.917788537134837e-60,2.66299466896621e-50,2.3548708373738078e-53,9.800959348054204e-60,1.5519505176145461e-68,1.1090686770920405e-71,1.4882495006706626e-70,1.5868952172733575e-69
