Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75)
2.6518803412482197e-13,0.11224537200000398,0.0,0.0,0.0,0.0,0.3299999999998401,0.6699999999998753,1.5990513805009474e-13,1.2489467461644556e-13,5.920129197900857e-19,3.5011055244562134e-14,1.8597863738793553e-27,3.952970919690509e-23,2.0815054076702826e-25,4.6840019525213294e-29,6.423408085522734e-31,3.93212829151066e-23,8.144759518332792e-23,3.1123136991367e-35,1.7808208381940935e-40,3.42953278277796e-47
5.306064661941485e-13,0.11224537200000786,0.0,0.0,0.0,0.0,0.32999999999968005,0.6699999999997502,3.1994801932067347e-13,2.4990525416891383e-13,2.368621268963482e-18,7.004513296529408e-14,7.469403924721319e-27,1.5906687144644085e-22,1.673245628091957e-24,3.7687495600442067e-28,5.1439005494837665e-30,1.5739142002532089e-22,3.260104422886265e-22,5.005603686384705e-34,5.7293382592028756e-39,2.20693616285207e-45
1e-12,0.11224537200001576,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995292,6.029813430955257e-13,4.710065715003182e-13,8.647844329941683e-18,1.3198341649394052e-13,2.732131965461568e-26,5.87188563091629e-22,1.205202709726155e-23,2.737092905459228e-27,3.7001362253473976e-29,5.7512069655137455e-22,1.1912672505394802e-21,7.154318876734373e-33,1.6312798525758202e-37,1.2542450706167078e-43
1.0614433303328018e-12,0.11224537200001576,0.0,0.0,0.0,0.0,0.32999999999935997,0.6699999999995002,6.400302343891201e-13,4.999486005216003e-13,9.469790839602404e-18,1.4009110043291752e-13,2.991992344457619e-26,6.4322943418993745e-22,1.3410603328790795e-23,3.0460440108354307e-27,4.1171484767033096e-29,6.298012067816002e-22,1.3045288446245246e-21,8.025291850419872e-33,1.8373137317186373e-37,1.415536127401333e-43
2.123117058610108e-12,0.1122453720000315,0.0,0.0,0.0,0.0,0.3299999999987198,0.669999999999,1.2801805153154797e-12,1.0001239857598998e-12,3.7823226377079534e-17,2.800943399303605e-13,1.1961721378060155e-25,2.6272599569700572e-21,1.0726044402133138e-22,2.4850397492045815e-26,3.2944622079483342e-28,2.519858956070876e-21,5.219464062157096e-21,1.2839078522012904e-31,5.8791629741799025e-36,9.059368193670094e-42
3.1847907868874144e-12,0.1122453720000472,0.0,0.0,0.0,0.0,0.32999999999807966,0.6699999999984998,1.9203166875949082e-12,1.5003880071089676e-12,8.028716002524977e-17,4.200089404116432e-13,2.5398223879848523e-25,5.6622470978367676e-21,3.0653103297783575e-22,7.184294457285575e-26,9.7809857196697e-28,5.355314898873279e-21,1.1092625065553106e-20,4.723690114505274e-31,2.683348139233328e-35,4.976174946114618e-41
4.246464515164721e-12,0.11224537200006288,0.0,0.0,0.0,0.0,0.3299999999974395,0.6699999999979994,2.560438791674636e-12,2.000740608182536e-12,1.3682110997096752e-16,5.598349582625181e-13,4.328868505848933e-25,9.783341144238997e-21,6.461674502343872e-22,1.5303758539201526e-25,2.131273895012789e-27,9.136328945096995e-21,1.8924339003745594e-20,1.1974662013009406e-30,7.995308435043522e-35,1.7103859397368246e-40
6.369811971719334e-12,0.11224537200009421,0.0,0.0,0.0,0.0,0.32999999999615914,0.6699999999969983,3.840650107645265e-12,3.0016535267478535e-12,2.8278535524665216e-16,8.392792707245044e-13,8.94831677032925e-25,2.0683199149728977e-20,1.7628787554178548e-21,4.247976939807402e-25,6.1864710527198254e-27,1.8918019639838297e-20,3.918538471354922e-20,4.1838109089635945e-30,3.4971088718314207e-34,9.193030816725465e-40
8.493159428273947e-12,0.11224537200012555,0.0,0.0,0.0,0.0,0.3299999999948788,0.6699999999959968,5.120810024147612e-12,4.002891716666458e-12,4.801554632455845e-16,1.118398301142873e-12,1.5195052334805336e-24,3.5867599745464356e-20,3.6846063665260774e-21,9.014204272198076e-25,1.3529029004196763e-26,3.217819154590806e-20,6.6651442617836e-20,1.0445896497441064e-29,1.0182636930352512e-33,3.062344456978447e-39
1e-11,0.112245372000188,0.0,0.0,0.0,0.0,0.3299999999939702,0.669999999995286,6.0292459639822144e-12,4.7136392277537025e-12,6.540186184916772e-16,1.316260534951306e-12,2.0697992896131267e-24,4.977820816172346e-20,5.8712510384280914e-21,1.4631465174439287e-24,2.2134332179278794e-26,4.389931895234891e-20,9.092958954793174e-20,1.99976132701592e-29,2.4392273122342343e-33,9.666482135808828e-39
1.2739854341383173e-11,0.112245372000188,0.0,0.0,0.0,0.0,0.32999999999231805,0.6699999999939928,7.680962729857856e-12,6.006433847218313e-12,1.0420425597783186e-15,1.6755705761404068e-12,3.29796708449948e-24,8.173981392982381e-20,1.1597511714901058e-20,2.959897942837084e-24,4.5001788046764103e-26,7.012724903727452e-20,1.4525579620647942e-19,4.8229956337215224e-29,7.036255515022496e-33,3.2487225567591215e-38
1.69865492544924e-11,0.11224537200025028,0.0,0.0,0.0,0.0,0.3299999999897573,0.6699999999919871,1.0240896782709745e-11,8.011378502823037e-12,1.8226069185841588e-15,2.23134027976231e-12,5.7686665769928644e-24,1.4948686030709325e-19,2.6304500826970058e-20,6.954410707254499e-24,1.0468632733260685e-25,1.2314833503163852e-19,2.550785965584105e-19,1.395275347817741e-28,2.554717153000749e-32,1.4563174615705622e-37
