Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211)
7.870165743664441e-13,0.11224537200001167,0.0,0.0,0.0,0.0,0.32999999999952545,0.6699999999996293,4.745579079314298e-13,3.7067999059312127e-13,5.208898102030198e-18,1.0388312446224475e-13,1.6446623152473863e-26,3.5174234656115736e-22,5.4663361653339936e-24,1.2356840447954997e-27,1.6785090533433945e-29,3.473779455065087e-22,7.17239559415494e-22,2.425775101359498e-33,4.1184492216229457e-38,2.31320372762342e-46,2.3538221338457635e-44,9.00031297209426e-27,1.108300658563755e-24,1.9507921398524918e-41,2.9726863964354158e-46,6.327391354729322e-53,1.991261629773928e-47,8.94444125640865e-65,1.9947744217557132e-72,1.3257345680427227e-59,4.861891292358134e-64,2.13428612983636e-71,3.04272761409785e-82,4.280487542311475e-84,2.466988718681607e-84,2.62647055383737e-83,1.2777046383938587e-84,1.1235642753070732e-91,7.419420446291192e-82,9.120030634389437e-77,2.9874337870684337e-78,3.239628787336474e-28,4.8536112348893166e-83,4.882634348902105e-77
1e-12,0.11224537200002332,0.0,0.0,0.0,0.0,0.329999999999397,0.669999999999529,6.029805600877233e-13,4.710114790019447e-13,9.430953389221464e-18,1.3197850883159316e-13,2.980030428520344e-26,6.432650297676833e-22,1.5826729474215605e-23,3.615604054830726e-27,4.858576721874428e-29,6.30625881338702e-22,1.2995954749416746e-21,1.2278723686712262e-32,3.86918087864711e-37,2.1829464361868385e-45,4.2727795806317815e-43,2.600397754467701e-26,3.2041830367461948e-24,9.870530564085776e-41,2.7914046962966354e-45,6.158599246414871e-52,1.939011507751374e-46,3.1635996437875967e-63,1.4182540866819181e-70,2.3930033225662988e-58,1.7197219087581971e-62,1.402634831132439e-69,4.236898989540526e-80,3.192815202652571e-82,3.561625496324847e-82,3.7949036071594297e-81,3.034168541908436e-82,4.378664707856539e-89,5.218788057743413e-80,1.289736047437223e-74,2.2002215031843166e-76,5.86978569102468e-28,6.864393017904189e-81,3.417850116425722e-75
1.5743748841103813e-12,0.11224537200002332,0.0,0.0,0.0,0.0,0.32999999999905066,0.6699999999992584,9.493114810502294e-13,7.415859936901935e-13,2.0817015516236277e-17,2.0774629730235327e-13,6.58125856645772e-26,1.429445019521378e-21,4.3766695640246214e-23,1.0033785544257353e-26,1.3434600856814941e-28,1.3944904864560715e-21,2.870096139471533e-21,3.885021010647952e-32,1.319294367112496e-36,7.4461024337568e-45,1.516085520446011e-42,7.185955451869246e-26,8.856370264445033e-24,3.122852509381055e-40,9.517604654036168e-45,2.1060769457036183e-51,6.631143960298695e-46,1.1453998530080724e-62,5.189214390351863e-70,8.488943127856737e-58,6.226361741007168e-62,5.127710680278934e-69,1.5580935248279357e-79,1.1687780532780437e-81,1.3100107009893613e-81,1.3958189909525254e-80,1.118227389297834e-81,1.6156771645835524e-88,1.9092757309026863e-79,4.743308427790273e-74,8.053225782029526e-76,1.2962807423838897e-27,2.524543374253264e-80,1.2503452122259756e-74
3.1490915035982558e-12,0.11224537200004661,0.0,0.0,0.0,0.0,0.32999999999810115,0.6699999999985163,1.898787585187168e-12,1.4835930035256395e-12,8.307937984592982e-17,4.152776329495361e-13,2.628231302980139e-25,5.894283389491304e-21,3.4972340519367676e-22,8.259132056111615e-26,1.074996452645072e-27,5.614964272797893e-21,1.1483881626901357e-20,6.209380368349019e-31,4.2174846312828805e-35,2.3861507197476347e-43,9.719305673199465e-41,5.722742132971498e-25,7.065068385135344e-23,4.9975709915992995e-39,3.046278198203829e-43,6.865695190777824e-50,2.1625390022874332e-44,1.465697736185778e-60,1.3688148087427143e-67,5.433711777277363e-56,7.970921101626015e-60,1.168065695527784e-66,7.970185011524462e-77,3.0950557955758514e-79,6.580687296807155e-79,7.01455361234762e-78,1.011078417549629e-78,2.154869517483393e-85,4.885190991747083e-77,2.4275753730254257e-71,2.2064654996361186e-73,5.18602536050168e-27,1.2920835146937216e-77,3.199078265626661e-72
4.72380812308613e-12,0.1122453720000699,0.0,0.0,0.0,0.0,0.3299999999971516,0.669999999997774,2.848232779038158e-12,2.2257948330594004e-12,1.7625592323464935e-16,6.22614142505091e-13,5.576945965045757e-25,1.278311065305379e-20,9.990197454279426e-22,2.3994904118163933e-25,3.1915516575225015e-27,1.1985238586844668e-20,2.440680664215335e-20,2.2836963491912475e-30,1.92433749634437e-34,1.0892581489895678e-42,5.339665621515708e-40,1.6320135870049637e-24,2.0167652814065594e-22,1.8907453474406822e-38,1.421126749498274e-42,3.144640642264717e-49,9.905736333818906e-44,9.680007817980524e-60,8.373074089719523e-67,3.038591959512384e-55,5.219701103527354e-59,8.533650082477776e-66,6.796720057415482e-76,2.345225354248711e-78,5.567974963475257e-78,5.93535059608848e-77,9.198662782366481e-78,2.062188854638157e-84,2.9692881453209454e-76,1.617009222276609e-70,1.2803530550457086e-72,1.1020951896009561e-26,8.606623253368954e-77,2.3982157935873513e-71
6.298524742574004e-12,0.11224537200009314,0.0,0.0,0.0,0.0,0.3299999999962021,0.6699999999970315,3.797647193857689e-12,2.9681912985219935e-12,3.0021525604429036e-16,8.297560097369562e-13,9.500110615115702e-25,2.220999789339496e-20,2.105188346093547e-21,5.133499948676037e-25,6.954326651368032e-27,2.0528766576141606e-20,4.1639937302568756e-20,5.7874862795194374e-30,5.732285088974221e-34,3.2456726326451245e-42,1.8354544720088284e-39,3.434064727679659e-24,4.247372102098797e-22,4.92163369481313e-38,4.327387373125447e-42,9.38967044960063e-49,2.9579422786047414e-43,4.244229487995296e-59,5.120077806211949e-66,1.0636447283530659e-54,2.070083422694955e-58,3.688574134039929e-65,3.7063044167689824e-75,1.1861953888762774e-77,3.0172055409148832e-77,3.216367048590726e-76,5.455689884041617e-77,1.2603668558418246e-83,1.7495885626399253e-75,1.0813678278717907e-69,8.567380123398964e-72,1.880113363305255e-26,5.755641437236636e-76,1.1657060186175963e-70
9.447957981549752e-12,0.11224537200013952,0.0,0.0,0.0,0.0,0.329999999994303,0.6699999999955459,5.69640419196724e-12,4.453440458674298e-12,6.199738539134818e-16,1.24358349996057e-12,1.962058148709079e-24,4.737240705549126e-20,5.740201244446881e-21,1.4348895068824924e-24,2.0186068849495697e-26,4.2788683823506274e-20,8.622529046126102e-20,2.0211225728563197e-29,2.5062364737146572e-33,1.4195318774081112e-41,9.865167465483269e-39,9.341656601492719e-24,1.1570887320317189e-21,1.8061370291690745e-37,1.971555196646997e-41,4.116544712047121e-48,1.296881317708247e-42,4.100322550872858e-58,9.474041480675793e-65,5.919482444430115e-54,1.3872346512876633e-57,2.8057964394262187e-64,5.3733898194693865e-74,1.5517665571910738e-76,4.3338991103619547e-76,4.620128108176881e-75,9.058249354583071e-76,2.1827162917854928e-82,2.9529698839707337e-74,2.3606791458154715e-68,1.6793989583397472e-70,3.892723257174351e-26,1.2564896909369801e-74,1.3200505160374086e-69
1e-11,0.11224537200018585,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952856,6.0292124147992985e-12,4.713852913086573e-12,6.875704271325928e-16,1.316046842583285e-12,2.1760098070349736e-24,5.2841204224585014e-20,6.6468877884681215e-21,1.6691909894115144e-24,2.3610180135143195e-26,4.7533576543668265e-20,9.567387736956157e-20,2.4367760765720431e-29,3.1392371242512685e-33,1.7781523158755447e-41,1.2814145510515896e-38,1.0812494853164985e-23,1.339637587696279e-21,2.1974710710406794e-37,2.4896689908798394e-41,5.158362362619663e-48,1.6251127677489255e-42,5.718476143480649e-58,1.417017816681121e-64,7.74482307445965e-54,1.8776619814817585e-57,3.886149564328056e-64,7.955182117509472e-74,2.1837765614610497e-76,6.387562143937215e-76,6.809528603883779e-75,1.3946275680382775e-75,3.418074979263374e-82,4.357317776706833e-74,3.5958413204797333e-68,2.4529196641055072e-70,4.319190644931063e-26,1.9139169675497092e-74,1.9220038028170605e-69
1.25973912205255e-11,0.11224537200018585,0.0,0.0,0.0,0.0,0.3299999999924039,0.6699999999940596,7.595049086876435e-12,5.939403840476116e-12,1.0518483571976387e-15,1.6566967450061557e-12,3.329015706146438e-24,8.280878586294862e-20,1.1991926767694797e-20,3.0629221512717707e-24,4.414377368206778e-26,7.323383641826027e-20,1.4666964805825905e-19,5.044315022170821e-29,7.295236104293708e-33,4.1328076349437825e-41,3.2860443722124605e-38,1.9475685393450163e-23,2.415442574468693e-21,4.683327097955806e-37,5.921798067851554e-41,1.200116802068978e-47,3.7810040436997146e-42,1.723056641047615e-57,4.8777212930941284e-64,2.023319806283908e-53,5.320315260497391e-57,1.1584257033357961e-63,2.6927945994391123e-73,6.681909937402435e-76,2.1442237102602247e-75,2.2859383692678204e-74,5.053968212666803e-75,1.2732868268141772e-81,1.4637566144739095e-73,1.277148290590681e-67,8.070704799747257e-70,6.620756519293251e-26,6.7977461706484786e-74,6.31955265564809e-69
1.574682445950125e-11,0.11224537200023209,0.0,0.0,0.0,0.0,0.32999999999050483,0.6699999999925723,9.493574736103322e-12,7.42613123529537e-12,1.6029812649330384e-15,2.0690459518156227e-12,5.0734937968854274e-24,1.3000469648337957e-19,2.1796128762028038e-20,5.6879183850621014e-24,8.281734594301462e-26,1.1260345800379051e-19,2.2411289803691146e-19,1.068910118760931e-28,1.7695509058628652e-32,1.0026094603887318e-40,8.990845953026735e-38,3.5324926109372276e-23,4.386906453114796e-21,1.0239638016519739e-36,1.4775491393166826e-40,2.914471120669211e-47,9.182394195114757e-42,5.887053730461539e-57,2.0754527153618885e-63,5.673901636190263e-53,1.6572406835166867e-56,3.854029589596928e-63,1.1144214451740947e-72,2.6618643753264804e-75,8.794003164640731e-75,9.375290542321305e-74,2.232154862596496e-74,5.775993525082502e-81,5.929048737441861e-73,5.753744643022198e-67,3.5629802700263714e-69,1.0115366756101536e-25,3.06248848648394e-73,2.386269508571806e-68
