Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0
2.1233561871440299e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999999,0.6699999999999999,9.999999999999992e-17,9.999999999999992e-17
5.945397324003284e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999997,2.799999999999997e-16,2.799999999999997e-16
1.358947959772179e-15,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999994,6.399999999999987e-16,6.399999999999987e-16
2.8877644145158806e-15,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999987,0.6699999999999987,1.359999999999994e-15,1.359999999999994e-15
5.945397324003284e-15,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999724,0.6699999999999973,2.799999999999976e-15,2.799999999999976e-15
1.206066314297809e-14,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999435,0.6699999999999944,5.679999999999902e-15,5.679999999999902e-15
2.4291194780927703e-14,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999886,0.6699999999999886,1.1439999999999605e-14,1.1439999999999605e-14
4.875225805682693e-14,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999997703,0.6699999999999771,2.2959999999998404e-14,2.2959999999998404e-14
9.767438460862538e-14,0.11224537200000001,0.0,0.0,0.0,0.0,0.329999999999954,0.669999999999954,4.5999999999993607e-14,4.5999999999993607e-14
1.955186377122223e-13,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999079,0.6699999999999079,9.20799999999744e-14,9.20799999999744e-14
3.912071439194161e-13,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999998158,0.6699999999998157,1.842399999998976e-13,1.842399999998976e-13
7.825841563338037e-13,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999996315,0.6699999999996314,3.685599999995903e-13,3.685599999995903e-13
1e-12,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999952906,0.6699999999995291,4.709525448688058e-13,4.709525448688058e-13
1.5653381811625788e-12,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999992628,0.6699999999992629,7.371999999983611e-13,7.371999999983611e-13
3.130846230820129e-12,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999852553,0.6699999999985256,1.4744799999934443e-12,1.4744799999934443e-12
6.2618623301352304e-12,0.11224537200000001,0.0,0.0,0.0,0.0,0.329999999997051,0.669999999997051,2.9490399999737755e-12,2.9490399999737755e-12
1e-11,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999952905,0.6699999999952905,4.709525448622379e-12,4.709525448622379e-12
1.2523894528765432e-11,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999410184,0.6699999999941019,5.898159999895101e-12,5.898159999895101e-12
2.5047958926025837e-11,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999882036,0.6699999999882036,1.1796399999580389e-11,1.1796399999580389e-11
5.0096087720546643e-11,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999997640717,0.6699999999764071,2.3592879998321468e-11,2.3592879998321468e-11
9.999999999999999e-11,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999529048,0.6699999999529048,4.7095254480260144e-11,4.7095254480260144e-11
1.0019234530958826e-10,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999528142,0.6699999999528142,4.7185839993285126e-11,4.7185839993285126e-11
2.003848604876715e-10,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999056283,0.6699999999056283,9.43717599731346e-11,9.43717599731346e-11
4.0076989084383794e-10,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999981125644,0.6699999998112565,1.887435998924915e-10,1.887435998924915e-10
8.015399515561708e-10,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999962251275,0.6699999996225128,3.774872795695912e-10,3.774872795695912e-10
9.999999999999999e-10,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999952904746,0.6699999995290475,4.709525441187005e-10,4.709525441187005e-10
1.6030800729808366e-09,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999992450254,0.6699999992450254,7.54974638275368e-10,7.54974638275368e-10
3.2061603158301683e-09,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999984900507,0.6699999984900507,1.5099493530775016e-09,1.5099493530775016e-09
6.412320801528831e-09,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999698010124,0.6699999969801013,3.0198987721182433e-09,3.0198987721182433e-09
9.999999999999999e-09,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999529047463,0.6699999952904747,4.709525373156147e-09,4.709525373156147e-09
