Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434)
3.8884198706212734e-13,0.1122453720000058,0.0,0.0,0.0,0.0,0.32999999999976554,0.669999999999817,2.3446655338779084e-13,1.831340674365638e-13,1.2725838815305494e-18,5.1333758101133103e-14,4.007491425883742e-27,8.520051883951856e-23,6.579611380573163e-25,1.4800741616440903e-28,2.024984975169992e-30,8.46755804717377e-23,1.7511428370477688e-22,1.4428176373649945e-34,1.2106285240899967e-39,6.732994057835312e-48,3.383517800919203e-46,1.0873806800804775e-27,1.338423840082417e-25,1.1632117730811636e-42,8.761106452822997e-48,1.725193607957106e-54,5.429425039953054e-49,6.438600337495655e-67,7.030654330091662e-75,1.9312757853686662e-61,3.500796583739337e-66,7.858680198262052e-74,5.352033712191854e-85,1.3520392937498002e-86,3.911710598555007e-87,4.1577552552871856e-86,1.4014701850762294e-87,6.856197976489593e-95,2.6041206616236884e-84,1.5421298212746563e-79,1.0037529155734359e-80,7.90982643810364e-29,8.205828976429479e-86
7.780218038263069e-13,0.11224537200001154,0.0,0.0,0.0,0.0,0.3299999999995309,0.6699999999996336,4.691342696326389e-13,3.66443141250151e-13,5.0905849226601825e-18,1.0269621723349474e-13,1.6072581309082243e-26,3.4368667951044767e-22,5.2809273276522156e-24,1.1935990657823563e-27,1.6216138996548496e-29,3.394703447891093e-22,7.009380917659911e-22,2.316707092577326e-33,3.88831639621999e-38,2.1837009064322e-46,2.1966270148705276e-44,8.695469489671046e-27,1.0707516911116086e-24,1.863128155330213e-41,2.806652950254769e-46,5.968610756038826e-53,1.8783382954734765e-47,8.252967183968037e-65,1.8192024329635774e-72,1.2373833421211913e-59,4.4860159898005665e-64,1.948247782586427e-71,2.7437044481440274e-82,3.898856686401801e-84,2.222098630308853e-84,2.3657052846610877e-83,1.1425284555147287e-84,9.956970147196436e-92,6.766716139923825e-82,8.22034595806156e-77,2.722717558268928e-78,3.1660006586234256e-28,4.374798228352648e-83
1e-12,0.11224537200002305,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.029805502456625e-13,4.71011540459244e-13,9.440796795460491e-18,1.319784473722839e-13,2.983146425241883e-26,6.4392595959470965e-22,1.583357195556408e-23,3.6168026078001e-27,4.8606580488006535e-29,6.312813441405393e-22,1.3009502759061755e-21,1.2237754565313617e-32,3.83026945301972e-37,2.1609160946750395e-45,4.192319601287606e-43,2.601547333515807e-26,3.205581573796866e-24,9.837553099438093e-41,2.763321343547213e-45,6.094913078289123e-52,1.9189501217353946e-46,3.0730103665792153e-63,1.3624193808775622e-70,2.3480502802257604e-58,1.670467904857642e-62,1.3497007129908257e-69,4.0264433835088096e-80,3.065921180813932e-82,3.384232491109474e-82,3.605859160284843e-81,2.8572710241295333e-82,4.093247150512445e-89,5.014860236170602e-80,1.2255231612066835e-74,2.112436527849406e-76,5.875905195405994e-28,6.5226256972334405e-81
1.5563814373546661e-12,0.11224537200002305,0.0,0.0,0.0,0.0,0.32999999999906154,0.6699999999992668,9.384620852599357e-13,7.331089773097861e-13,2.0344467409542242e-17,2.0537344550453947e-13,6.431767596313205e-26,1.3964663670899614e-21,4.2283447155813214e-23,9.690486838731476e-27,1.2979221360067616e-28,1.3626965283958813e-21,2.8048621339023974e-21,3.7104551161073435e-32,1.2456126182149422e-36,7.029847172054764e-45,1.4149660430827655e-42,6.942752371059242e-26,8.556466206207818e-24,2.9825200935840597e-40,8.986021430960031e-45,1.9875609239596347e-51,6.257939209303319e-46,1.0568557118471185e-62,4.731683397161309e-70,7.92321891831964e-58,5.745003103836384e-62,4.683851302706177e-69,1.404982826207354e-79,1.0652833533265773e-81,1.1811009650715851e-81,1.258453720969049e-80,9.9902947641508e-82,1.4327886853189035e-88,1.7414845645812145e-79,4.27665476655566e-74,7.338948845715702e-76,1.2668196543197842e-27,2.2761730968042688e-80
3.1131007044113842e-12,0.11224537200004607,0.0,0.0,0.0,0.0,0.32999999999812285,0.6699999999985332,1.8770873769675724e-12,1.4666312252793155e-12,8.119571965220265e-17,4.1053731994993867e-13,2.568622234415241e-25,5.756409150436162e-21,3.378823848250317e-22,7.974095662582346e-26,1.0385588318480682e-27,5.486546942584428e-21,1.1222847966610535e-20,5.930569485512992e-31,3.9820720708124894e-35,2.252896526072439e-43,9.071625623656126e-41,5.529358122586473e-25,6.826058396200262e-23,4.772997667696683e-39,2.876137807080804e-43,6.480987447720666e-50,2.041354643680847e-44,1.352403655214079e-60,1.2477283299780665e-67,5.07160384479064e-56,7.354702655505706e-60,1.0681403029270482e-66,7.187078143927611e-77,2.822024114201195e-79,5.938567772677445e-79,6.330069578427328e-78,9.031210034183386e-79,1.9142665065443943e-85,4.4562505054745744e-77,2.1892825700331505e-71,2.0098437944605666e-73,5.068159840909009e-27,1.1652510216268834e-77
4.669819971468102e-12,0.1122453720000691,0.0,0.0,0.0,0.0,0.32999999999718416,0.6699999999977994,2.8156824564934855e-12,2.200343871385389e-12,1.7226296278141518e-16,6.155107900108365e-13,5.450575306815531e-25,1.2481424245687316e-20,9.652101710791347e-22,2.3162898424850374e-25,3.0833729916294204e-27,1.1710552175065631e-20,2.3852002609807923e-20,2.1811841466951568e-30,1.8169449935064109e-34,1.0284459827183419e-42,4.983912500092397e-40,1.5769130211878501e-24,1.9485769927982342e-22,1.8057825575090763e-38,1.3417545592556185e-42,2.9685986558311705e-49,9.351158172820302e-44,8.931791269239911e-60,7.632756442218012e-67,2.836098738731573e-55,4.816177118231725e-59,7.805686621497431e-66,6.128931884615011e-76,2.1384469506794516e-78,5.025516069560719e-78,5.357078166531996e-77,8.214878914537934e-78,1.8321400164787055e-84,2.7086153846250926e-76,1.458355089331437e-70,1.166064367285e-72,1.0770471579687419e-26,7.762174750563456e-77
6.2265392385248204e-12,0.11224537200009205,0.0,0.0,0.0,0.0,0.32999999999624546,0.6699999999970653,3.754247450667759e-12,2.934246738080002e-12,2.934192361217072e-16,8.202940332337417e-13,9.285016950908441e-25,2.1681737465755006e-20,2.0339709319746496e-21,4.954767851404877e-25,6.718609377647104e-27,2.0057374737481255e-20,4.0693356091015873e-20,5.527756926226643e-30,5.412433309647842e-34,3.0645103346158605e-42,1.713188345573949e-39,3.318215691410069e-24,4.103838898642057e-22,4.700476197681427e-38,4.085697133075514e-42,8.864349056647018e-49,2.792444794044514e-43,3.916178929134089e-59,4.666357812538215e-66,9.927634371973695e-55,1.9100505230989317e-58,3.3747113429553823e-65,3.342163645441164e-75,1.0816346253591467e-77,2.723566724616525e-77,2.9033344985703513e-76,4.873250042979123e-77,1.1201916747741985e-83,1.5960138278541182e-75,9.752825584356948e-70,7.802704655385339e-72,1.837382565921355e-26,5.190994658972859e-76
9.339977772638257e-12,0.1122453720001379,0.0,0.0,0.0,0.0,0.3299999999943681,0.6699999999955967,5.6313072218837766e-12,4.402498357431813e-12,6.059571457714237e-16,1.2294146190453773e-12,1.9176931529961333e-24,4.623185664838776e-20,5.546135520992278e-21,1.3846048201878388e-24,1.9501872025611963e-26,4.180307472549409e-20,8.426502714746048e-20,1.930455074608499e-29,2.3664308090377887e-33,1.3403252561557166e-41,9.208182478638981e-39,9.02693391597227e-24,1.1180200581381842e-21,1.7249780230725038e-37,1.8614423350630703e-41,3.8864218283586916e-48,1.2243794099505985e-42,3.783407457703577e-58,8.630372326849918e-65,5.525013084794312e-54,1.2799920840827148e-57,2.568059972963652e-64,4.845482047022806e-74,1.4150239269677946e-76,3.91273266312748e-76,4.171131778873352e-75,8.094838036172878e-76,1.9413701256733003e-82,2.693848758962954e-74,2.1292059645617787e-68,1.5293022011688454e-70,3.804249281392692e-26,1.1332859329828883e-74
1e-11,0.11224537200018372,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952853,6.029213692578123e-12,4.713844763531886e-12,6.862925051008734e-16,1.316054992406542e-12,2.1719644585402297e-24,5.272241250012177e-20,6.615500396526137e-21,1.6606113020885196e-24,2.3543032382541556e-26,4.743983737203557e-20,9.549284990079504e-20,2.416490278919775e-29,3.099795326455706e-33,1.7558016735859234e-41,1.259163008000084e-38,1.0761873931671535e-23,1.3333309616223413e-21,2.182808878147768e-37,2.461923385883877e-41,5.093322624015787e-48,1.6046206058429047e-42,5.623130731664692e-58,1.3910763522078977e-64,7.619859686441819e-54,1.8371568234696517e-57,3.786888536399625e-64,7.719286125429778e-74,2.125195067163821e-76,6.201581766262044e-76,6.611257165239833e-75,1.349304985032633e-75,3.3002075100710896e-82,4.27490682056813e-74,3.505268571829488e-68,2.3980267414689282e-70,4.311026579816004e-26,1.8657086802420063e-74
1.2453416306751693e-11,0.11224537200018372,0.0,0.0,0.0,0.0,0.3299999999924907,0.6699999999941273,7.508257404414032e-12,5.871448013221836e-12,1.0280961917593434e-15,1.6378371454253966e-12,3.2538344097960677e-24,8.079351667602662e-20,1.1586723515288714e-20,2.954995243753549e-24,4.264756262848087e-26,7.154203323785899e-20,1.433349975475158e-19,4.818099605312066e-29,6.88836886919963e-33,3.902262458708822e-41,3.067243566709318e-38,1.8820322457004755e-23,2.333947700473477e-21,4.472883694272755e-37,5.591063644030302e-41,1.1330618491931834e-47,3.5697359571937713e-42,1.5898859517645915e-57,4.4425951987320936e-64,1.8884887347842528e-53,4.9090218930533165e-57,1.0605349097908247e-63,2.4282535292347026e-73,6.093425000242218e-76,1.9362630429390794e-75,2.0642272510593425e-74,4.516919673763893e-75,1.132938692986188e-81,1.335336136534202e-73,1.1519758652522672e-67,7.348014475537758e-70,6.470277870274369e-26,6.13150200543199e-74
