Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212)
1e-12,0.1122453720000241,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.029806045935422e-13,4.710112007255312e-13,9.386441553962616e-18,1.3197878711711253e-13,2.9659399064624123e-26,6.402056629609946e-22,1.5730515472116787e-23,3.594379072513479e-27,4.829093067876424e-29,6.276433714472885e-22,1.2934580676114836e-21,1.2297740338175423e-32,3.9417618053082986e-37,2.2240929887357857e-45,4.4589392851841956e-43,2.584550867778241e-26,3.1846929490603673e-24,9.885956346541348e-41,2.8438062364399606e-45,6.278630092316787e-52,1.9768295000004908e-46,3.394944136836138e-63,1.570718536472498e-70,2.496962274792819e-58,1.8456451052619314e-62,1.5457970612210877e-69,5.4796236178381e-80,3.539728961227175e-82,4.068793239163754e-82,4.335399014430918e-81,3.5568372496718093e-82,5.240965331252412e-89,5.774635987217916e-80,1.4733956541323632e-74,2.4405808720245215e-76,5.842066147121586e-28,7.841907511653935e-81,1.0714043100331141e-75,1.538073317782239e-67,1.8469674078701802e-76,9.09174044803239e-68
1.6271618134788478e-12,0.1122453720000241,0.0,0.0,0.0,0.0,0.32999999999901886,0.6699999999992335,9.811400537121277e-13,7.66455002769751e-13,2.2234543124330755e-17,2.1470727793188248e-13,7.029700985936219e-26,1.5284823000974355e-21,4.831721476539614e-23,1.1087955100105737e-26,1.483173460163841e-28,1.4898931905775882e-21,3.065799095298116e-21,4.4327791876473036e-32,1.5557800270214078e-36,8.782213743495288e-45,1.8481115425210503e-42,7.932012592078092e-26,9.776412488323833e-24,3.5632050785729312e-40,1.1223792091131137e-44,2.4867289621904687e-51,7.82982653730717e-46,1.4426923931595735e-62,6.76268653115315e-70,1.0346349181623349e-57,7.843148789541658e-62,6.648148772762917e-69,2.3741203388039703e-79,1.5248958994221067e-81,1.763239618915855e-81,1.8787842776235157e-80,1.5452433119362678e-81,2.2802825967161808e-88,2.4858836842605297e-79,6.384294081626017e-74,1.0512518553165633e-75,1.3846640401492833e-27,3.397937754959785e-80,4.580070616137011e-75,6.620765942420724e-67,8.002046097828959e-76,3.913606925431625e-67
3.2546768203185554e-12,0.1122453720000482,0.0,0.0,0.0,0.0,0.3299999999980375,0.6699999999984666,1.962448824921739e-12,1.533354135174702e-12,8.87294322287238e-17,4.2918338918676383e-13,2.8070304170707083e-25,6.3087119416963776e-21,3.8604824586177458e-22,9.135084567560102e-26,1.1867892935829865e-27,6.000381936121967e-21,1.2266990111234199e-20,7.08417837692308e-31,4.973000790869782e-35,2.8138259020344244e-43,1.1845709855037988e-40,6.3158884535096805e-25,7.798233834700501e-23,5.702263807292614e-39,3.592365513531628e-43,8.100788123231238e-50,2.551601012495225e-44,1.8459484924894418e-60,1.7855348669845434e-67,6.622593127143339e-56,1.0040667632547646e-59,1.5095340805281243e-66,1.2143238507800053e-76,4.03393694197893e-79,8.834072021388384e-79,9.41662731992845e-78,1.3978892562326898e-78,3.025917023810941e-85,6.3589738766755704e-77,3.2651196082785318e-71,2.884163333089608e-73,5.539622190627532e-27,1.7378708119948794e-77,7.123267082611113e-73,1.694499277926193e-64,4.0638527946428385e-73,1.0012733027457242e-64
4.8821918271582625e-12,0.11224537200007224,0.0,0.0,0.0,0.0,0.3299999999970561,0.6699999999976994,2.9437245924370296e-12,2.3004613506926422e-12,1.8823215967462116e-16,6.434514104992691e-13,5.95597614980021e-25,1.3690466152798667e-20,1.1027337081227134e-21,2.655284586241048e-25,3.5234501682162074e-27,1.2809769933293423e-20,2.6071240177651306e-20,2.6053289476781864e-30,2.2689864598768083e-34,1.2844262516827344e-42,6.5076069148590014e-40,1.8010039242817822e-24,2.22592259909035e-22,2.157351419829303e-38,1.6758817394566174e-42,3.709765257349636e-49,1.1686038394083143e-43,1.2190984678317876e-59,1.0920606476940714e-66,3.7034216520155244e-55,6.575050756961522e-59,1.1019846663255312e-65,1.0360076533367622e-75,3.056217558536258e-78,7.470952994745838e-78,7.96397925629527e-77,1.2724643430575444e-77,2.894780085525874e-84,3.8648946009389277e-76,2.1745836184325554e-70,1.674418589630746e-72,1.1772393704626073e-26,1.1574356661686263e-76,4.828204670727537e-72,1.2841985311572123e-63,3.473878491178204e-72,7.587564887494269e-64
6.50970683399797e-12,0.11224537200009627,0.0,0.0,0.0,0.0,0.3299999999960747,0.669999999996932,3.924967501079898e-12,3.0677764464683363e-12,3.2059775444324104e-16,8.575115447229335e-13,1.0145218141277817e-24,2.3799607535143352e-20,2.3236467281290828e-21,5.683201081904376e-25,7.677520589052834e-27,2.1943934826532462e-20,4.447972612435511e-20,6.602366346125565e-30,6.758745174837157e-34,3.8270715020003086e-42,2.2368456371209585e-39,3.789340915731997e-24,4.687617790043076e-22,5.615606653848514e-38,5.103121924425021e-42,1.107593167643934e-48,3.4891859164717423e-43,5.345059974840646e-59,6.682148664466861e-66,1.2963632915248808e-54,2.607598719872792e-58,4.759962984668727e-65,5.623929741409999e-75,1.5457050650391176e-77,4.047060176706361e-77,4.314247006972414e-76,7.542345139057428e-77,1.7673029455804105e-83,2.277218598227346e-75,1.4541829246631328e-69,1.1203912127683363e-71,2.0083059526176173e-26,7.739978956899387e-76,2.19592154242795e-71,6.171882488793921e-63,1.8192427011126065e-71,3.6463248145199065e-63
9.764736847677385e-12,0.1122453720001442,0.0,0.0,0.0,0.0,0.32999999999411195,0.6699999999953964,5.887376647357286e-12,4.602893891766788e-12,6.620088681414138e-16,1.2851445433859304e-12,2.0951056908657558e-24,5.0807177190939997e-20,6.335461448219665e-21,1.5896326899579337e-24,2.22852203134726e-26,4.5748208573361966e-20,9.210620367173965e-20,2.3055718449489237e-29,2.9548804491778e-33,1.673716340384993e-41,1.2021919410395526e-38,1.0306703199235811e-23,1.2769109203813354e-21,2.0608064858046493e-37,2.3249754827807474e-41,4.8551664134665877e-48,1.5295906474625798e-42,5.163652811799622e-58,1.2381686481437242e-64,7.214607685909358e-54,1.7474381756098625e-57,3.616643584041573e-64,8.014547378006428e-74,2.0219031296216358e-76,5.810532070550826e-76,6.194343613111811e-75,1.2506835233341764e-75,3.054303988780424e-82,3.843162130375029e-74,3.1740511422887632e-68,2.1970711481603885e-70,4.158145807180113e-26,1.6894147646657555e-74,2.2573958185203635e-70,6.752294548158823e-62,2.2366576633558716e-70,3.988778414141393e-62
1e-11,0.11224537200019208,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952855,6.029208664064346e-12,4.713876825403741e-12,6.913215842071422e-16,1.3160229294781886e-12,2.1878843480855445e-24,5.318805473634738e-20,6.7373132591103514e-21,1.6938404666492273e-24,2.3799872880484676e-26,4.780825081172617e-20,9.620496985021886e-20,2.4943615389048126e-29,3.250071095164518e-33,1.8409585024721233e-41,1.343580711251157e-38,1.0958371421072052e-23,1.3578084583271353e-21,2.2382833318675463e-37,2.5663275520519747e-41,5.3411152317200216e-48,1.6826928698333284e-42,5.959569433009299e-58,1.4766067431344993e-64,8.089039765735587e-54,1.989262787676426e-57,4.1599963036103715e-64,9.517846063331255e-74,2.343480569280252e-76,6.879913935258102e-76,7.334414223649905e-75,1.511940204981278e-75,3.7220752648910125e-82,4.553614200968899e-74,3.817917065698024e-68,2.5912047802400408e-70,4.343142702188157e-26,2.0321189982034197e-74,2.6197311108215465e-70,7.942122440264284e-62,2.6743676185899938e-70,4.691564694495456e-62
1.3019766861356799e-11,0.11224537200019208,0.0,0.0,0.0,0.0,0.3299999999921492,0.6699999999938602,7.849666153692725e-12,6.138774104642366e-12,1.1230733852916475e-15,1.7120147493378926e-12,3.554460496918296e-24,8.888191518567095e-20,1.3234750235141325e-20,3.395210649303637e-24,4.8734221339066e-26,7.831486400917232e-20,1.5667385722822428e-19,5.753990086321098e-29,8.600858060271152e-33,4.872633861492619e-41,4.0043049411667457e-38,2.1485031146466533e-23,2.6653669243121205e-21,5.343678120118599e-37,6.983328279561009e-41,1.41532990461768e-47,4.459072550349936e-42,2.169814997615152e-57,6.377913525378294e-64,2.4659976626816076e-53,6.70175485110355e-57,1.4921259452033795e-63,4.036145428168851e-73,8.704999436314816e-76,2.8730154700492223e-75,3.062922144700792e-74,6.975904153562677e-75,1.7797299494936147e-81,1.9049192233645762e-73,1.716944529922753e-67,1.0564216200209343e-69,7.072193904830881e-26,9.138611765803041e-74,9.844807849797366e-70,3.2149206257849576e-61,1.1754556394301412e-69,1.898945149776182e-61
1.6274796875036215e-11,0.1122453720002398,0.0,0.0,0.0,0.0,0.3299999999901864,0.6699999999923228,9.811828428211247e-12,7.675470217003334e-12,1.711383160420439e-15,2.1380690288647807e-12,5.416618760498306e-24,1.3964335042211222e-19,2.405369014366437e-20,6.308546159129859e-24,9.142927295264177e-26,1.2044025855069564e-19,2.3940060931976064e-19,1.2192394910608367e-28,2.0861718525291185e-32,1.182042090008954e-40,1.0955677561725734e-37,3.896467129724003e-23,4.840435876650934e-21,1.1683411543043701e-36,1.742409433751325e-40,3.4368612035287014e-47,1.0828318644479689e-41,7.413242693931834e-57,2.7155528394359336e-63,6.91526870265902e-53,2.087545811158416e-56,4.960782640168958e-63,1.6682011302224424e-72,3.467937064269065e-75,1.1779327415346555e-74,1.2558045049517581e-73,3.0798142427453596e-74,8.065669490101146e-81,7.715634138731992e-73,7.734438709440114e-67,4.664140864621518e-69,1.0805093933693169e-25,4.1167360277853935e-73,3.4793504273934786e-69,1.2013345718306824e-60,4.795168010411163e-69,7.095134901597553e-61
2.2784856902395043e-11,0.112245372000335,0.0,0.0,0.0,0.0,0.3299999999862609,0.6699999999892455,1.3735769662648167e-11,1.0751352260062249e-11,3.271351918335929e-15,2.9876876870048145e-12,1.035445309365083e-23,2.8556242931558187e-19,6.322048155640508e-20,1.7569735233491094e-23,2.501438524558072e-25,2.3510689717238064e-19,4.605249993828562e-19,4.448296969024022e-28,1.074942833775792e-31,6.0924372630610455e-40,8.154352085328648e-37,1.0182045384089897e-22,1.2695893097412987e-20,4.493320555109012e-36,9.558518450707483e-40,1.7750074357978097e-46,5.592736726128541e-41,1.0043344890975429e-55,6.057570144139044e-62,5.522188626022359e-52,2.487692786840421e-55,7.585706943657703e-62,5.7275559039015665e-71,7.160373839124942e-74,3.667523620105097e-73,3.9103485995294163e-72,1.5364904582694694e-72,4.722652573877697e-79,1.4622473978627945e-71,2.282512309032998e-65,8.993818599257004e-68,2.0779262466475135e-25,1.2149032357820564e-71,5.2978298181614135e-68,2.607969187439456e-59,1.6828123238404263e-67,1.539068132193235e-59
