Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223)
4.2760285657578107e-13,0.11224537200000634,0.0,0.0,0.0,0.0,0.3299999999997422,0.6699999999997986,2.5783870347297303e-13,2.0139026016162883e-13,1.5388462501451144e-18,5.6449981632880706e-14,4.8481484963188095e-27,1.0311339628157176e-22,8.754028799108637e-25,1.9697062296614147e-28,2.6929215326645597e-30,1.0241486565928862e-22,2.117668512127165e-22,2.111075110301558e-34,1.9479563899492505e-39,1.0852789147459929e-47,5.998356044735032e-46,1.4458833032156735e-27,1.779768892815577e-25,1.7010920551800785e-42,1.4089495423595362e-47,2.812742165515817e-54,8.851231294121974e-49,1.2521259468596254e-66,1.5046379800361148e-74,3.415446299277057e-61,6.808281303228521e-66,1.6750487760754225e-73,1.425460276421354e-84,2.9508409207829224e-86,9.373061310857545e-87,9.965553325544394e-86,3.4940673945035216e-87,3.7394310493221617e-94,5.581828926681739e-84,3.65245140148655e-79,2.1657949884260727e-80,9.565374127302332e-29,1.9435602240018423e-85,2.186589873168323e-79,1.5108782381928832e-71,4.830097930423333e-81,8.933357613999156e-72,6.870476229963777e-87,1.8672356650168694e-85,2.1342322144792443e-29,1.0955742978891977e-66,1.1534794599837886e-78
8.555772186742171e-13,0.11224537200001268,0.0,0.0,0.0,0.0,0.32999999999948415,0.669999999999597,5.158983438498378e-13,4.0297471452107294e-13,6.15531731804992e-18,1.1292978255000524e-13,1.9438394851348127e-26,4.1626253314630276e-22,7.023865808871459e-24,1.5895955765685092e-27,2.1564972794790707e-29,4.106541383482681e-22,8.47651992786904e-22,3.3885490258807355e-33,6.254268447473829e-38,3.515553861937508e-46,3.889198623232954e-44,1.1560963091922347e-26,1.4237258106925687e-24,2.724651793341911e-41,4.513614470466962e-46,9.667259726756413e-53,3.0424992759790783e-47,1.6049115765433815e-64,3.895899158690312e-72,2.188295332854218e-59,8.724286923480966e-64,4.1396155070052606e-71,7.307231442834975e-82,8.43356807562146e-84,5.270686715755085e-84,5.612139729803345e-83,2.8811797549307456e-84,6.159741946055969e-91,1.4485627078880149e-81,1.939430892316772e-76,5.862501329662042e-78,3.8286540630139183e-28,1.0321629193423132e-82,4.004778683568233e-77,3.873291125310448e-69,2.471319931573381e-78,2.289938938877472e-69,7.255839136902324e-84,9.854001569321901e-83,1.7084539645411344e-28,2.1226066789958026e-64,5.977227153299476e-76
1e-12,0.11224537200002535,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.029807241163372e-13,4.710104525783562e-13,9.26690275298442e-18,1.3197953528877857e-13,2.928027672033869e-26,6.318313203679389e-22,1.5325534688721912e-23,3.5019361559017936e-27,4.7049423102548176e-29,6.195922229194306e-22,1.2769510967658812e-21,1.1971616682599931e-32,3.899583079975708e-37,2.2004762026235133e-45,4.547256976743443e-43,2.5181407895863645e-26,3.1028581602424678e-24,9.62425322713598e-41,2.8135182774785946e-45,6.215669951090486e-52,1.957035081612681e-46,3.600888475896664e-63,1.744343855904692e-70,2.5461289841022698e-58,1.957665811740094e-62,1.7041314745604677e-69,6.373712757487417e-80,3.9374887976788243e-82,4.733845505967373e-82,5.044212075190577e-81,4.304898658328624e-82,1.6132872258396458e-88,6.405608144497956e-80,1.7144942922241098e-74,2.7175085165976328e-76,5.767518220049632e-28,9.125146775129755e-81,1.1518362827761815e-75,1.7059982062010297e-67,2.1475603823816578e-76,1.0084187830523786e-67,1.2724244754739803e-81,8.68133440193893e-81,3.717075621617996e-28,6.29773460289564e-63,5.302729763872873e-74
1.711525942871089e-12,0.11224537200002535,0.0,0.0,0.0,0.0,0.329999999998968,0.6699999999991938,1.0320084173776216e-12,8.062012876097033e-13,2.4596712496930082e-17,2.2583171812648034e-13,7.776815524043771e-26,1.6938714166284958e-21,5.622526479303792e-23,1.2923440999596747e-26,1.7260335141857488e-28,1.6489649178741396e-21,3.391973719431741e-21,5.425771068460773e-32,2.0030328388937523e-36,1.1309531679380994e-44,2.5034085363183272e-42,9.228508601702326e-26,1.137541888266603e-23,4.361643486599372e-40,1.44511273205499e-44,3.20755777788897e-51,1.0099791399405287e-45,2.055065168667151e-62,1.0146242520386197e-69,1.4012006603163206e-57,1.1172655548931925e-61,9.895909150388066e-69,3.741500064008677e-79,2.2920770932099207e-81,2.779635374125802e-81,2.9618977151262232e-80,2.5371843273883614e-81,9.531102461040931e-88,3.7250377502416285e-79,1.0065722559724945e-73,1.5816997214319417e-75,1.5319696448232756e-27,5.3573380873963796e-80,6.629271010077539e-75,9.920093656475283e-67,1.260616552511868e-75,5.863765075078503e-67,7.505515256560903e-81,5.096608208566149e-80,1.361292726845067e-27,3.6278964293024213e-62,3.1133144044256147e-73
3.423423391264833e-12,0.11224537200005068,0.0,0.0,0.0,0.0,0.3299999999979358,0.6699999999983871,2.064191905478021e-12,1.612884854756925e-12,9.814319140905474e-17,4.5140516075527674e-13,3.1048622209288282e-25,7.00202619849156e-21,4.491658564293958e-22,1.0662581038359594e-25,1.381115367069346e-27,6.6432792469297795e-21,1.357219513537912e-20,8.669819863299993e-31,6.401676619758464e-35,3.622621021319646e-43,1.6041512898385139e-40,7.346372933904223e-25,9.072229743845518e-23,6.979993754530301e-39,4.625312084334672e-43,1.0437849215492544e-49,3.2878008628264533e-44,2.629384671168083e-60,2.6820524348277287e-67,8.96887620560995e-56,1.4302939858980607e-59,2.2355836291870842e-66,1.9135771597775365e-76,6.054212307906222e-79,1.386967734247993e-78,1.4784584712270962e-77,2.2966001534213704e-78,1.324766871705742e-84,9.525163689278296e-77,5.1423568992955456e-71,4.348901764269749e-73,6.128951117220954e-27,2.7370415538144467e-77,1.0277975400149447e-72,2.5388354356238345e-64,6.399265042756444e-73,1.5001319069134544e-64,7.645807458553317e-78,2.5960698195191456e-77,1.0775493259326375e-26,5.55985541167306e-60,1.645897079019698e-70
5.135320839658577e-12,0.11224537200007596,0.0,0.0,0.0,0.0,0.32999999999690355,0.66999999999758,3.0963389037869418e-12,2.4197986066075994e-12,2.0818402099883682e-16,6.767484111244098e-13,6.587267976338231e-25,1.5210133344010902e-20,1.2829323570158312e-21,3.101705405268301e-25,4.100378423093602e-27,1.4185511926894716e-20,2.884536525947917e-20,3.1882790801259736e-30,2.9206834787677344e-34,1.653493450502285e-42,8.81204929784703e-40,2.094547688090846e-24,2.5893312347978274e-22,2.640753465529542e-38,2.1577605577041924e-42,4.7789178322441636e-49,1.50542127070517e-43,1.7364746664277193e-59,1.6398513200259127e-66,5.015474195148327e-55,9.366144703222917e-59,1.63003853462557e-65,1.6325531357413315e-75,4.585881240216159e-78,1.1720683192027373e-77,1.2494371424623052e-76,2.0921253736065233e-77,9.97696342426441e-84,5.788837841056286e-76,3.424060339428223e-70,2.5267333110908163e-72,1.3024799495718854e-26,1.8224802234007765e-76,6.965175459497149e-72,1.9240740816631598e-63,5.469696324013535e-72,1.1367725099214666e-63,4.57272219026068e-77,1.2943272420866598e-76,3.061588651747267e-26,3.7102022986035066e-59,1.16901493431249e-69
6.847218288052321e-12,0.11224537200010125,0.0,0.0,0.0,0.0,0.3299999999958713,0.6699999999967727,4.128449580686773e-12,3.226942307137468e-12,3.545506455017442e-16,9.018617052561682e-13,1.1219563202458964e-24,2.6464532103476398e-20,2.7031839414117587e-21,6.643236517290066e-25,8.934623040266163e-27,2.4305750922094826e-20,4.921285332487678e-20,8.079236942750535e-30,8.699596520797411e-34,4.9264521605346044e-42,3.028786181861813e-39,4.406383153566529e-24,5.452470029844911e-22,6.873895193663505e-38,6.570451491684451e-42,1.4265766743961746e-48,4.494129788993177e-43,7.613390196955891e-59,1.00440290059586e-65,1.7556362300377855e-54,3.7145106876429696e-58,7.033357898143858e-65,8.862135741040634e-75,2.319114678796101e-77,6.345883360161067e-77,6.764944628907503e-76,1.2389308342898554e-76,7.731998364256947e-83,3.4106160498167144e-75,2.2895823829788201e-69,1.6906170077939993e-71,2.221960905029798e-26,1.2186463167571208e-75,3.167561210384952e-71,9.247068086802372e-63,2.864197441864157e-71,5.462879210044406e-63,4.2710796294008356e-76,1.2962391550152137e-75,6.4202036809517e-26,1.675992867274554e-58,7.321082497444732e-69
1e-11,0.11224537200015164,0.0,0.0,0.0,0.0,0.32999999999397023,0.6699999999952855,6.029201964207657e-12,4.7139196105957e-12,6.980221817862638e-16,1.3159801428756072e-12,2.2090415736445733e-24,5.382141058672892e-20,6.91143020575185e-21,1.7418356491000456e-24,2.423224693919754e-26,4.830250707649192e-20,9.715579608400768e-20,2.61141468907698e-29,3.484578783406561e-33,1.9738512613920038e-41,1.479314089823633e-38,1.1239243832603581e-23,1.3928168284239087e-21,2.329261680242231e-37,2.7378885078003355e-41,5.727899087868888e-48,1.8045580287441723e-42,6.569672080931792e-58,1.647803639156616e-64,8.868525719266904e-54,2.2456629721717454e-57,4.79535124531035e-64,1.119910818284411e-73,2.693430501190751e-76,8.072827933133915e-76,8.606191651842364e-75,1.8143651996855593e-75,2.0756892744119888e-81,5.091012772972976e-74,4.406154571351315e-68,2.9291038228199266e-70,4.386021296547696e-26,2.345215001399459e-74,2.9042466932218046e-70,9.01346044067322e-62,3.1302301394472334e-70,5.324249473896565e-62,1.358114084708631e-74,3.5846231080899554e-74,1.629331880683969e-25,1.5634267888192586e-57,1.3336445457292977e-67
1.0271013184839809e-11,0.11224537200015164,0.0,0.0,0.0,0.0,0.3299999999938068,0.6699999999951576,6.192586209647758e-12,4.841768652459952e-12,7.320184917921999e-16,1.3515493315124275e-12,2.316641901064405e-24,5.657410539184056e-20,7.369521380860995e-21,1.8601872636861155e-24,2.593409060403568e-26,5.0689449752981176e-20,1.019081234948839e-19,2.821057246732327e-29,3.80312491826267e-33,2.154320070676946e-41,1.6276854640346564e-38,1.1982393171491536e-23,1.4850499783222303e-21,2.5225630987144206e-37,2.993480780835721e-41,6.252164459865988e-48,1.969731173238483e-42,7.35487530955203e-58,1.865065361635204e-64,9.770542838670767e-54,2.4892071619152008e-57,5.334460677468079e-64,1.26289747332275e-73,3.033212675547214e-76,9.104580101564751e-76,9.706115181663083e-75,2.050477327932832e-75,2.3608655913036074e-81,5.755135821633405e-74,4.996248150265745e-68,3.317315925637549e-70,4.6005187354128787e-26,2.6592976663349826e-74,3.2556761390127106e-70,1.011654010610805e-61,3.520913830501994e-70,5.975824466162225e-62,1.546517730115382e-74,4.07763915610239e-74,1.7365108624924805e-25,1.7533185733284487e-57,1.511392079979907e-67
1.3694808081627298e-11,0.112245372000202,0.0,0.0,0.0,0.0,0.3299999999917423,0.6699999999935415,8.256590659356836e-12,6.457438643918877e-12,1.2416802896706431e-15,1.8003932838224465e-12,3.9297861374645125e-24,9.909190250803286e-20,1.5393524564793415e-20,3.976724832870309e-24,5.671359205008341e-26,8.680136013375791e-20,1.733483705789113e-19,7.039989532322551e-29,1.1069243797410104e-32,6.271388539628376e-41,5.421248890511324e-38,2.4973286446760761e-23,3.099443429216295e-21,6.540997322021085e-37,8.991241031641902e-41,1.8223322758897693e-47,5.74141827259977e-42,3.0905385322568124e-57,9.613721074758113e-64,3.3396216452684877e-53,9.546553435715505e-57,2.1983818517543236e-63,6.359831767198963e-73,1.3056130990165436e-75,4.497396142238916e-75,4.794732508859324e-74,1.1431193183161679e-74,1.4970713322656273e-80,2.852388402468916e-73,2.7020223562662335e-67,1.5964344330346972e-69,7.82459419483898e-26,1.4381805448438902e-73,1.419893458547807e-69,4.816663431236002e-61,1.8501905945214382e-69,2.844876088994717e-61,9.602172250623559e-74,2.2411909125345472e-73,3.6019036390452853e-25,6.94878208034375e-57,8.770627259728856e-67
