Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64)
8.637647470304986e-13,0.11224537200001282,0.0,0.0,0.0,0.0,0.3299999999994792,0.6699999999995933,5.208352232136137e-13,4.068313910739182e-13,6.2736093124668845e-18,1.1401010361270178e-13,1.9812404166324608e-26,4.243365916174343e-22,7.227557888942605e-24,1.6359176737103004e-27,2.2190015781878603e-29,4.1856551985087463e-22,8.639536305186104e-22,3.520191509445359e-33,6.55942491297489e-38,3.68739526609062e-46,4.1183736736098545e-44,1.1895757558148272e-26,1.4649685886874987e-24,2.830452700624629e-41,4.733753296133057e-46,1.014565640656636e-52,3.1930817020679575e-47,1.7155495499874136e-64,4.208561043914466e-72,2.31698485914416e-59,9.325743493334382e-64,4.464296914889418e-71,7.961156382583952e-82,9.11115872058195e-84,5.746928688967444e-84,6.119319985442604e-83,3.1612955206242684e-84,6.817377477585461e-91,1.5633902707695572e-81,2.1136365042173318e-76,6.330929126795158e-78,3.9022822521745306e-28,1.1248764289243596e-82,4.298671084538444e-77,4.1799284286136264e-69,2.692381273184558e-78,2.4712222911502704e-69,7.982787183658189e-84,1.0738491336395989e-82,1.757921222582754e-28,2.2798538409448698e-64,2.3219459436833354e-58,1.2976123747448353e-49
1e-12,0.1122453720000256,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995291,6.029807542194105e-13,4.710102640680069e-13,9.236795663285282e-18,1.319797238052997e-13,2.9184973023553565e-26,6.297064179096916e-22,1.5209091972720186e-23,3.475122638300832e-27,4.669200795835969e-29,6.175603340886928e-22,1.2727911932877392e-21,1.1851267535767932e-32,3.864389869178857e-37,2.1806288637114502e-45,4.525906979957364e-43,2.4990432189125974e-26,3.0793145812088005e-24,9.527544694461255e-41,2.7881422247663297e-45,6.1598646978391695e-52,1.9394675031535608e-46,3.607740417806779e-63,1.7638994751997007e-70,2.5341301169359615e-58,1.9614023603280916e-62,1.719104823041168e-69,6.493515435890548e-80,3.9786392549816043e-82,4.822877356554331e-82,5.139114550921323e-81,4.418422585112367e-82,1.6667898871722344e-88,6.469399195778024e-80,1.746842371783624e-74,2.7465041169704813e-76,5.748732040903513e-28,9.29732040097984e-81,1.1567110402991097e-75,1.7229612150452175e-67,2.187776640930302e-76,1.0184422683210395e-67,1.3082665936383065e-81,8.844786044662783e-81,3.6889023391280856e-28,6.325156268711246e-63,4.8858952291014225e-57,1.419857881686149e-48
1.7279045547414273e-12,0.1122453720000256,0.0,0.0,0.0,0.0,0.3299999999989581,0.6699999999991861,1.0418840840657504e-12,8.139177931568759e-13,2.5069091594729717e-17,2.279913514865267e-13,7.926258077998288e-26,1.7269967939774454e-21,5.785440503795349e-23,1.3301989338715e-26,1.7760607987990622e-28,1.680789039554957e-21,3.457209085150533e-21,5.636418216892013e-32,2.1007114744735594e-36,1.1861548247033677e-44,2.6507368784139633e-42,9.495524011501223e-26,1.1704760457159048e-23,4.53100874620615e-40,1.5155934917335832e-44,3.3651182382465074e-51,1.0595974039848541e-45,2.1967269209331755e-62,1.096354587550935e-69,1.4836015529638256e-57,1.1942895185950418e-61,1.0665749568963293e-68,4.0762984904228163e-79,2.474968811625394e-81,3.0284438615496613e-81,3.2270433350526033e-80,2.7857133497236347e-81,1.053601810978794e-87,4.020006105451827e-79,1.0967284475215931e-73,1.7082806155656008e-75,1.5614307815318214e-27,5.837185473349058e-80,7.107336847242003e-75,1.0705404451902415e-66,1.3733206927786166e-75,6.327938969581905e-67,8.255679135873207e-81,5.552869451510182e-80,1.400612874871015e-27,3.890232231943168e-62,2.9750603992725367e-56,8.312840446107472e-48
3.4561841701632846e-12,0.11224537200005116,0.0,0.0,0.0,0.0,0.329999999997916,0.6699999999983717,2.0839444451394106e-12,1.6283254448553257e-12,1.0002550778326118e-16,4.557189920021369e-13,3.1644290418706544e-25,7.141067105181449e-21,4.621673956229268e-22,1.0977952873847925e-25,1.4211449608777923e-27,6.7719364348727305e-21,1.3833239662555547e-20,9.006154983753323e-31,6.713665440682379e-35,3.799251950436764e-43,1.6984698890688385e-40,7.558560809943285e-25,9.334596846294388e-23,7.251025901798334e-39,4.850893463928387e-43,1.0948426399367267e-49,3.44863986594836e-44,2.8106142293785184e-60,2.8996059230764233e-67,9.496298236474441e-56,1.5288958285697218e-59,2.407147846131701e-66,2.0847792242535597e-76,6.535473751638168e-79,1.5099492852589257e-78,1.6095580886808405e-77,2.521778417122617e-78,1.461980593388524e-84,1.0278679046533838e-76,5.60180179083826e-71,4.6989237542178097e-73,6.24681703010722e-27,2.9815840525107037e-77,1.1012976634685016e-72,2.7398013051990217e-64,6.970793675626234e-73,1.6188655857194228e-64,8.40825071935899e-78,2.8278922857358003e-77,1.1085459199150449e-26,5.954137786238184e-60,3.8034826173596743e-54,5.313706474479728e-46
5.184463785585142e-12,0.11224537200007671,0.0,0.0,0.0,0.0,0.3299999999968739,0.669999999997557,3.1259676196261542e-12,2.442967700978917e-12,2.1217315268749743e-16,6.83212020391026e-13,6.713516968686043e-25,1.5515143832755678e-20,1.3200492751807905e-21,3.1939286501169163e-25,4.219220847018798e-27,1.4460881768358386e-20,2.940020033915068e-20,3.311925050280633e-30,3.062993670224665e-34,1.7340895793900242e-42,9.330051067267235e-40,2.1549846394838688e-24,2.6641662763697057e-22,2.743292602521436e-38,2.2629961817087782e-42,5.012468053841906e-49,1.5789977074974374e-43,1.8561566172720681e-59,1.7734303728228315e-66,5.310410567897097e-55,1.0011825200342806e-58,1.754724754618472e-65,1.7786071776997677e-75,4.950233908787902e-78,1.2758108883503827e-77,1.3600320298572626e-76,2.297563443201466e-77,1.1006014189681398e-83,6.246692988477637e-76,3.729823310219032e-70,2.730504984465901e-72,1.3275281058160236e-26,1.985225274072358e-76,7.463057188139186e-72,2.0763741748696296e-63,5.958087818206231e-72,1.2267436115736564e-63,5.028742532734502e-77,1.4099169504504056e-76,3.149456412245709e-26,3.9724115491586285e-59,2.4836504425418644e-53,2.9616121227389805e-45
6.912743401006999e-12,0.11224537200010222,0.0,0.0,0.0,0.0,0.3299999999958318,0.6699999999967419,4.16795378075818e-12,3.2578443186719026e-12,3.6133861573806223e-16,9.104706795069146e-13,1.1434400293701793e-24,2.6999781258207767e-20,2.7813563860615998e-21,6.841664236336046e-25,9.193575432424963e-27,2.4778579687037792e-20,5.0159499974969916e-20,8.392475103561895e-30,9.123404678974194e-34,5.166523793702336e-42,3.2067960350108706e-39,4.533411252695951e-24,5.609962096830245e-22,7.140802755271863e-38,6.890895523066885e-42,1.4962510933428042e-48,4.713637637293469e-43,8.138107966540373e-59,1.0861480655208276e-65,1.8588760579687945e-54,3.970578922693268e-58,7.569814390036061e-65,9.654948851920951e-75,2.5033254128438457e-77,6.906891346890348e-77,7.363020865771578e-76,1.3603532241835865e-76,8.529703175078522e-83,3.680329719896005e-75,2.4940075576817915e-69,1.8269429765224378e-71,2.2646919882342265e-26,1.3274534251953571e-75,3.3939403288560364e-71,9.97900547175186e-63,3.1198922896947997e-71,5.895231840021108e-63,4.6966382863327667e-76,1.4118700370972172e-75,6.604086384279055e-26,1.794217189258853e-58,1.040927802680723e-52,1.1159896589840515e-44
1e-11,0.1122453720001531,0.0,0.0,0.0,0.0,0.32999999999397023,0.6699999999952854,6.029200565250195e-12,4.7139285565972875e-12,6.994212916786506e-16,1.3159711965789274e-12,2.213470442269396e-24,5.3956038614185143e-20,6.95002300604629e-21,1.7525614228553858e-24,2.4336950476916568e-26,4.8406333588177517e-20,9.735470338578881e-20,2.6385732662786845e-29,3.5411190779348935e-33,2.0058929825691935e-41,1.5131598862190232e-38,1.1301385508251529e-23,1.4005667494907818e-21,2.351494847791532e-37,2.7806669583610694e-41,5.82117722724999e-48,1.8339476422312903e-42,6.740297716719795e-58,1.7032885269946513e-64,9.06748872749433e-54,2.312710586384765e-57,4.9640777988148166e-64,1.1678215543848264e-73,2.7842030328297864e-76,8.408583758032053e-76,8.96415210367358e-75,1.9045668201510911e-75,2.1840565519771295e-81,5.253138366230021e-74,4.583931324728698e-68,3.025017126231158e-70,4.39499062948803e-26,2.4398388282961054e-74,2.985193693338278e-70,9.326978919134946e-62,3.266703219599917e-70,5.509393959240935e-62,1.4238299037371389e-74,3.723907280248424e-74,1.63815365731489e-25,1.605136212443795e-57,7.526184398730172e-52,7.009208449232618e-44
1.0369302631850714e-11,0.1122453720001531,0.0,0.0,0.0,0.0,0.3299999999937475,0.6699999999951112,6.251839769156356e-12,4.888146833948954e-12,7.460133330907168e-16,1.3644386997616333e-12,2.3609371176672686e-24,5.773364101105842e-20,7.582487547615818e-21,1.9161519474974097e-24,2.668572523661183e-26,5.167896254357427e-20,1.0386856531496438e-19,2.9303827892261095e-29,3.988339817750319e-33,2.2592633374643638e-41,1.723321616018721e-38,1.2327301843765025e-23,1.5279035607421692e-21,2.620510460080051e-37,3.139472612449992e-41,6.55727215133195e-48,2.065859472392933e-42,7.861750747576773e-58,2.017031163998899e-64,1.0345089112702326e-53,2.66080437511009e-57,5.739382216106437e-64,1.3758714093862873e-73,3.274072664634006e-76,9.908127603546864e-76,1.0562779920248596e-74,2.2506328225333904e-75,2.603925852489519e-81,6.210087638117425e-74,5.442081017607522e-68,3.585238867553895e-70,4.68899361393367e-26,2.8965969041244494e-74,3.4882570524726424e-70,1.0917271015230372e-61,3.835138925778396e-70,6.44874950596551e-62,1.7003226063358253e-74,4.4406106040963286e-74,1.7860787993088848e-25,1.8766726781668786e-57,8.737245682443125e-52,8.094432721133094e-44
1.3825861862694429e-11,0.1122453720002039,0.0,0.0,0.0,0.0,0.32999999999166324,0.6699999999934795,8.335591073625821e-12,6.5193091665197354e-12,1.265386923191574e-15,1.8175468743776119e-12,4.0048221648798074e-24,1.0114670420497497e-19,1.5838096368288968e-20,4.0970912207287134e-24,5.835726817493471e-26,8.850129228778394e-20,1.7668339416067546e-19,7.312713983712874e-29,1.1608196959626196e-32,6.576803509370607e-41,5.739717288346199e-38,2.5691167676829364e-23,3.188806402676727e-21,6.794971013735819e-37,9.429739324119126e-41,1.9112161331674639e-47,6.021466796671174e-42,3.3035188887140527e-57,1.0398673852683267e-63,3.5360023486870465e-53,1.0204654100286145e-56,2.3647478194993554e-63,6.92872597273172e-73,1.4092312440359606e-75,4.893418702901191e-75,5.216948832304313e-74,1.2545821897370326e-74,1.6507343376305923e-80,3.077826280330823e-73,2.9430066728937094e-67,1.7256535568120578e-69,7.975074929531317e-26,1.5664473819317153e-73,1.5213477886107171e-69,5.197894913639056e-61,2.0152703671043155e-69,3.0700091828324146e-61,1.0556496373981143e-73,2.4405240759850493e-73,3.7044110593736963e-25,7.435910886268754e-57,3.6570428272560784e-51,2.9737607645043965e-43
1.7282421093538145e-11,0.11224537200025457,0.0,0.0,0.0,0.0,0.32999999998957896,0.6699999999918467,1.0419199213799818e-11,8.15139111424557e-12,1.9279396467000347e-15,2.269735403456459e-12,6.101939352847427e-24,1.5913538220417722e-19,2.878210299333318e-20,7.620778341334952e-24,1.094825774741022e-25,1.3615801497446873e-19,2.699780658732202e-19,1.5493954919773639e-28,2.8154242291119004e-32,1.5953326788220609e-40,1.5702704042147013e-37,4.6581863183268734e-23,5.790157819313252e-21,1.4856469131046233e-36,2.352807141983159e-40,4.640407755944674e-47,1.4620430536893915e-41,1.128639539769685e-56,4.43258208719372e-63,9.915789165314657e-53,3.178662015002877e-56,7.851802810775601e-63,2.863689744800513e-72,5.614554889657133e-75,2.0051418586173023e-74,2.137728770458294e-73,5.534932632457444e-74,8.574533014071512e-80,1.246520523018172e-72,1.3255454771323545e-66,7.61987362951492e-69,1.2184560450412166e-25,7.055364178444274e-73,5.378019260665921e-69,1.9422972309258553e-60,8.220021647913733e-69,1.1470426673399532e-60,5.5952209424533795e-73,1.2801687434549448e-72,6.683770261704099e-25,2.6024045562245627e-56,1.2085565458037029e-50,8.839817638569045e-43
