Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14)
2.2965957433175046e-13,0.11224537200000342,0.0,0.0,0.0,0.0,0.3299999999998615,0.6699999999998918,1.3848198034065821e-13,1.0816153241683177e-13,4.440341271087752e-19,3.032089195808998e-14,1.3932712030334264e-27,1.3501931601011557e-25,1.350194452957195e-25,1.2928560394889965e-31,4.172129793907691e-31
4.595186791364216e-13,0.11224537200000681,0.0,0.0,0.0,0.0,0.3299999999997229,0.6699999999997835,2.770833869650114e-13,2.164225834300417e-13,1.7766614585063257e-18,6.066258019752007e-14,5.599360219417545e-27,1.0861671315484542e-24,1.0861692125089013e-24,2.080960447243533e-30,3.3410675885020996e-30
9.192368887457637e-13,0.11224537200001361,0.0,0.0,0.0,0.0,0.3299999999994457,0.669999999999567,5.542835382182521e-13,4.329613278551272e-13,7.10390554183721e-18,1.213293142773986e-13,2.2438245532826235e-26,8.709196747094064e-24,8.709230126221621e-24,3.3379127558119017e-29,2.674176251139921e-29
1e-12,0.11224537200002722,0.0,0.0,0.0,0.0,0.329999999999397,0.669999999999529,6.029810169631314e-13,4.710086121348921e-13,8.972783392308114e-18,1.3198137762572534e-13,2.834993620048501e-26,1.406518738430541e-23,1.4065264757439463e-23,7.737313406752185e-29,4.3189010540971404e-29
1.838673307964448e-12,0.11224537200002722,0.0,0.0,0.0,0.0,0.3299999999988913,0.6699999999991338,1.1086732191856382e-12,8.661053496234478e-13,2.837988577723144e-17,2.4259624951774174e-13,8.97390665956798e-26,6.968372801972478e-23,6.968426224250713e-23,5.342227823395221e-28,2.139831725990795e-28
2.758109727183133e-12,0.11224537200004082,0.0,0.0,0.0,0.0,0.3299999999983369,0.6699999999987005,1.6630523049909727e-12,1.2993158676536119e-12,6.025095824807033e-17,3.6379668849497663e-13,1.9057936763946093e-25,1.991753200035322e-22,1.9917728577565974e-22,1.96577212748732e-27,6.352996562081366e-28
4.596982565620502e-12,0.11224537200006797,0.0,0.0,0.0,0.0,0.32999999999722807,0.6699999999978338,2.771768305923434e-12,2.166002595833818e-12,1.661633207283849e-16,6.059318743245057e-13,5.257526411921229e-25,9.136288153971631e-22,9.136439143700546e-22,1.5098972891780135e-26,2.975961274354127e-27
6.2037702778835254e-12,0.11224537200009171,0.0,0.0,0.0,0.0,0.3299999999962592,0.6699999999970763,3.740520750743399e-12,2.9235060751296025e-12,2.906235642072255e-16,8.173053011804965e-13,9.196530378235316e-25,2.001559270685012e-21,2.001599312269906e-21,4.004158489424947e-26,6.693078039814929e-27
7.81055799014655e-12,0.11224537200011542,0.0,0.0,0.0,0.0,0.3299999999952903,0.6699999999963184,4.70923899486668e-12,3.681226607398078e-12,4.492838494359262e-16,1.0284616750596479e-12,1.4218159762173802e-24,3.74016078555805e-21,3.740249919735007e-21,8.913417695801486e-26,1.2744218072310965e-26
9.417345702409573e-12,0.1122453720001391,0.0,0.0,0.0,0.0,0.3299999999943214,0.6699999999955604,5.677925629191898e-12,4.43914840521552e-12,6.395532101167853e-16,1.2394167833859782e-12,2.0240395775847105e-24,6.197415196150679e-21,6.197584805387386e-21,1.6960923670769384e-25,2.149720881610605e-26
1e-11,0.11224537200018632,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952854,6.0291854727193684e-12,4.714023972376806e-12,7.144175599487215e-16,1.3158759251543188e-12,2.260996217675552e-24,7.249495773913668e-21,7.249702892413873e-21,2.0711850020700335e-25,2.533115873655055e-26
1.2630921126935619e-11,0.11224537200018632,0.0,0.0,0.0,0.0,0.32999999999238366,0.6699999999940436,7.615227631837153e-12,5.955447636499957e-12,1.0913559723076593e-15,1.6608713643803483e-12,3.454077914179905e-24,1.3067296197867787e-20,1.3067727875741018e-20,4.316778732319703e-25,4.701674525851671e-26
1.5844496551461667e-11,0.1122453720002335,0.0,0.0,0.0,0.0,0.32999999999044594,0.669999999992526,9.55241356664133e-12,7.472491489203501e-12,1.6592229195887978e-15,2.0815813239413054e-12,5.2515252667455016e-24,2.3578460274130585e-20,2.3579366546034205e-20,9.062719036227803e-25,8.755465011855925e-26
1.9058071975987714e-11,0.11224537200028055,0.0,0.0,0.0,0.0,0.3299999999885082,0.6699999999910076,1.1489476708497532e-11,8.99032771733362e-12,2.349878119714418e-15,2.5014989080604243e-12,7.437667125848484e-24,3.876906362069543e-20,3.877076705688623e-20,1.7034361908068565e-24,1.4755701369183982e-25
2.5485222825039806e-11,0.11224537200037435,0.0,0.0,0.0,0.0,0.3299999999846327,0.6699999999879677,1.5363233532307275e-11,1.2028413182754665e-11,4.100629092403375e-15,3.338921067091117e-12,1.2979439925233102e-23,8.843242547377763e-20,8.843751484859737e-20,5.089374819734003e-24,3.486285973539617e-25
3.19123736740919e-11,0.11224537200046775,0.0,0.0,0.0,0.0,0.3299999999807572,0.6699999999849242,1.923650448404456e-11,1.506969989661663e-11,6.337221671193601e-15,4.173141977618642e-12,2.005917713867431e-23,1.6849811241868965e-19,1.6850997423654816e-19,1.1861817858527282e-23,6.783479233713546e-25
4.4766675372196086e-11,0.11224537200065328,0.0,0.0,0.0,0.0,0.32999999997300616,0.6699999999788261,2.698163013825473e-11,2.1161822491980704e-11,1.2226527724426383e-14,5.832034630845954e-12,3.8701477894479605e-23,4.568050283143758e-19,4.568508773710543e-19,4.5849056678447493e-23,1.8889119853899704e-24
5.7620977070300276e-11,0.11224537200083716,0.0,0.0,0.0,0.0,0.32999999996525514,0.6699999999727135,3.4724910278061113e-11,2.7266612228160158e-11,1.9961140042592378e-14,7.478260143007033e-12,6.318522024949495e-23,9.529922950968556e-19,9.531133136503282e-19,1.2101855347279733e-22,4.0044671651654046e-24
7.047527876840447e-11,0.11224537200101946,0.0,0.0,0.0,0.0,0.3299999999575041,0.6699999999665865,4.2466405190314835e-11,3.3383976738599896e-11,2.9480719572574235e-14,9.111910880655945e-12,9.331939685625459e-23,1.7092605654849207e-18,1.7095211429400961e-18,2.6057745517525936e-22,7.270129135510469e-24
