Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075),C2H3O(404)
4.397646040419991e-13,0.11224537200000652,0.0,0.0,0.0,0.0,0.32999999999973484,0.6699999999997929,2.65172026716296e-13,2.0711842026914653e-13,1.6275951803058829e-18,5.805523348737536e-14,5.128424581390788e-27,1.0908886331312498e-22,9.523708336731489e-25,2.1430853252984353e-28,2.9292914246862354e-30,1.0832888742174092e-22,2.2398441535557197e-22,2.362034456536608e-34,2.2415263947768228e-39,1.2494485976461764e-47,7.102426046439419e-46,1.5727379034022322e-27,1.9359425709371078e-25,1.9030327968118197e-42,1.621039411314857e-47,3.2485709435393547e-54,1.022250518545125e-48,1.5237131729678908e-66,1.885002721089275e-74,4.041336645379126e-61,8.285042366228389e-66,2.0941472607199378e-73,1.8347107460646122e-84,3.714165491165232e-86,3.664805840555687e-80,3.896775998815739e-79,5.671372878770458e-69,3.032113547463072e-76,7.253626050308133e-84,5.0107505783958275e-79,2.7204222956105456e-80,1.0117223504492498e-28,2.666365482437181e-85,2.7053495642546615e-79,1.890883490227548e-71,6.216487063341944e-81,1.1180181231176255e-71,5.741034346756791e-78,3.3688983245785184e-84,2.3217268880948196e-29,1.3589601828679697e-66,2.0576955665026803e-60,2.2577487306044985e-51,1.7972432873865086e-70,2.002353754349904e-62
8.799112798511937e-13,0.11224537200001306,0.0,0.0,0.0,0.0,0.32999999999946944,0.6699999999995856,5.305711843286312e-13,4.144371202619107e-13,6.510186610329078e-18,1.1614057203657477e-13,2.056041397604453e-26,4.404905172360331e-22,7.64071804680945e-24,1.7299032622118077e-27,2.3457820496237476e-29,4.34389476967271e-22,8.965569597072603e-22,3.7910018043439355e-33,7.196109652301427e-38,4.045964480303642e-46,4.603393616534013e-44,1.2574804298064858e-26,1.5486207156764582e-24,3.048100133580658e-41,5.193048319267756e-46,1.1144584353409935e-52,3.5075124566079788e-47,1.953007064326361e-64,4.882211904721981e-72,2.589303938528479e-59,1.0616630783078358e-63,5.170293038280441e-71,9.405042891186508e-82,1.0588335797653355e-83,1.8517231039665252e-77,1.9717620667682546e-76,1.4571866281636188e-66,1.3576684540251077e-73,2.0501295154963345e-81,2.7668021796397575e-76,7.379342492459081e-78,4.049538649596117e-28,1.4724946194032218e-82,4.933077742442445e-77,4.847450311917641e-69,3.180462079069543e-78,2.865858656658689e-69,5.141523327199097e-75,2.974067128014293e-81,1.8582496261307081e-28,2.6195879868587697e-64,2.6434469939890478e-58,1.450173108292616e-49,2.3585966390894356e-68,2.572350731983827e-60
1e-12,0.11224537200002607,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995291,6.029808201571437e-13,4.71009851085355e-13,9.170849145247257e-18,1.3198013680147325e-13,2.89762199683119e-26,6.250385708482786e-22,1.494159574501355e-23,3.413363177202442e-27,4.5870848874905224e-29,6.13106160358703e-22,1.2636772505112557e-21,1.1554112767845932e-32,3.765221592278165e-37,2.124663312754753e-45,4.438965842057734e-43,2.455183273203456e-26,3.025235788951663e-24,9.28873201099751e-41,2.716623238965918e-45,6.001709965787611e-52,1.88967424033156e-46,3.580179357233571e-63,1.7777195709472693e-70,2.4853922053242378e-58,1.946440311549484e-62,1.7277970671117814e-69,6.650523902954633e-80,4.0113153240766273e-82,1.2709562667664377e-75,1.3543080769178229e-74,5.2196975307186275e-65,7.666400129616071e-72,9.187168332207323e-80,2.08856557301837e-74,2.8014852866524004e-76,5.707573834955114e-28,1.1116106760675514e-80,1.15273013836313e-75,1.7354959534101826e-67,2.2403755221140854e-76,1.0258449733461675e-67,5.762602607123106e-73,3.3076689116172015e-79,3.624229394839229e-28,6.30458234349376e-63,4.848558894632966e-57,1.392529966294306e-48,4.370891428668523e-67,4.718153282269074e-59
1.7602046314695829e-12,0.11224537200002607,0.0,0.0,0.0,0.0,0.32999999999893864,0.6699999999991709,1.0613597624229229e-12,8.291355096282484e-13,2.6013796420528934e-17,2.322502577571916e-13,8.225128764280667e-26,1.793293881679157e-21,6.115876779156665e-23,1.407026769482455e-26,1.877533500591081e-28,1.744446808062326e-21,3.587680246211694e-21,6.069738702169494e-32,2.3045028234117047e-36,1.3013302940028205e-44,2.962509717515083e-42,1.0037071460090886e-25,1.2372738337156358e-23,4.879416808051638e-40,1.6626436148743407e-44,3.6939763464888515e-51,1.1631608258564845e-45,2.500767416368034e-62,1.272225997941995e-69,1.6579693308486855e-57,1.3596034204019115e-61,1.233807356886402e-68,4.815535045867611e-79,2.8734099152897063e-81,9.199344165421673e-75,9.802743905855623e-74,3.733980198830982e-64,5.5338007366867885e-71,6.604743058243569e-79,1.513478558004239e-73,2.006875222011535e-75,1.6203530703240276e-27,8.055290407265285e-80,8.137643488316257e-75,1.2414946265734151e-66,1.6221420752961128e-75,7.338392136218e-67,4.1916465246447614e-72,2.405812929491858e-78,1.4803514156890586e-27,4.455655471273849e-62,3.386827747059265e-56,9.28973211255993e-48,3.054712425843713e-66,3.295736408358634e-58
3.520791334706361e-12,0.11224537200005211,0.0,0.0,0.0,0.0,0.32999999999787705,0.6699999999983411,2.1228981549071944e-12,1.6587759886306176e-12,1.0378971632633579e-16,4.642259209385982e-13,3.283549750135879e-25,7.419517203181839e-21,4.885369234634514e-22,1.1618353216371709e-25,1.5023388071362289e-27,7.029326527723706e-21,1.4355332149091232e-20,9.697994008672123e-31,7.364551462893081e-35,4.1677570816037114e-43,1.898049914504672e-40,7.9888678934129275e-25,9.866702507256234e-23,7.808576241464283e-39,5.3215428657780806e-43,1.2013833713686179e-49,3.7842597614136555e-44,3.1995716825158355e-60,3.366645890362165e-67,1.0612368361632068e-55,1.7405210707799504e-59,2.7792475894441974e-66,2.4627853040777194e-76,7.583548424372106e-79,4.436531332111163e-72,4.729231676531449e-71,9.546991962810863e-62,2.00771595779264e-68,2.6197843557597727e-76,8.179697016912609e-71,5.626342598348833e-73,6.482548980256698e-27,4.353683045357847e-77,1.2596042901906447e-72,3.1772788379377106e-64,8.23240161997754e-73,1.8773307446868833e-64,3.041793202674943e-69,1.738640795400847e-75,1.171390920360798e-26,6.802413013380513e-60,4.329665585091005e-54,5.937817923751924e-46,3.9263220053023114e-64,4.213211706577934e-56
5.281378037943139e-12,0.11224537200007817,0.0,0.0,0.0,0.0,0.32999999999681545,0.6699999999975113,3.1843979676265945e-12,2.4886599109203972e-12,2.201502076746102e-16,6.959581328402699e-13,6.965977443774971e-25,1.6126213922150927e-20,1.3953272549382843e-21,3.381252437436402e-25,4.460274228938248e-27,1.5011837150177442e-20,3.050988030397205e-20,3.56625861743886e-30,3.359882925667497e-34,1.9022336006981507e-42,1.0426132098383349e-39,2.2775410986401153e-24,2.815933500149525e-22,2.954229551701666e-38,2.482558000874311e-42,5.499783488123776e-49,1.7325196111125843e-43,2.113018760685884e-59,2.0589032310235503e-66,5.9345206134567565e-55,1.1397622733804201e-58,2.025051711450406e-65,2.1010859029538328e-75,5.743668933169056e-78,3.716536662570111e-71,3.961902874524929e-70,7.164353184325787e-61,1.589117707097418e-67,1.9994242868842317e-75,5.793916563785092e-70,3.3208235810847235e-72,1.3776244577190048e-26,3.0838544659188354e-76,8.535416833803487e-72,2.4079115198383728e-63,7.036141630026791e-72,1.4225961769491422e-63,2.708415986253706e-68,1.5356976882265946e-74,3.3275843248546414e-26,4.536363451128304e-59,2.827204737779433e-53,3.3094090428305556e-45,2.5799478483003724e-63,2.7511613414453252e-55
7.041964741179918e-12,0.11224537200010411,0.0,0.0,0.0,0.0,0.32999999999575386,0.6699999999966809,4.245859383646975e-12,3.3187870197862815e-12,3.7491201612155406e-16,9.274471501713752e-13,1.1863995059088501e-24,2.8072484879794724e-20,2.939896638631911e-21,7.244809855720149e-25,9.718819843539894e-27,2.5724690647880342e-20,5.205281394129659e-20,9.036778448816981e-30,1.0007545118669158e-33,5.667365230547088e-42,3.583455230323561e-39,4.790990849416294e-24,5.92934937266342e-22,7.68986756998356e-38,7.559464181861609e-42,1.6416248910364523e-48,5.171636413618548e-43,9.264256904090394e-59,1.261472527843795e-65,2.0773399978050834e-54,4.5201672804560634e-58,8.732504184478828e-65,1.1405425877076038e-74,2.904463894906432e-77,1.8690161701554247e-70,1.9924659451662203e-69,3.318938495545575e-60,7.638115029638307e-67,1.1040487089487485e-74,3.6754072351033795e-69,2.2010063235580905e-71,2.350154245059723e-26,1.9562634709106684e-75,3.881530001641048e-71,1.1572333379013361e-62,3.684286568134352e-71,6.836390245447585e-63,1.426424158198111e-67,8.169537897356703e-74,6.976816491141879e-26,2.0484479278205097e-58,1.1848986993946674e-52,1.247025804304813e-44,1.2243536652347355e-62,1.1530282120931941e-54
1e-11,0.11224537200015593,0.0,0.0,0.0,0.0,0.3299999999939702,0.6699999999952855,6.029197837630129e-12,4.713945997581718e-12,7.021492092195646e-16,1.3159537550192057e-12,2.2221056384564814e-24,5.42182408778221e-20,7.02500240910428e-21,1.7734115529718842e-24,2.4538722673404787e-26,4.860869382601165e-20,9.77424783122332e-20,2.691485341730363e-29,3.6520105667113146e-33,2.068736181100157e-41,1.5801483682877187e-38,1.1422109379240919e-23,1.4156232654741037e-21,2.3946124548587506e-37,2.8643346089018945e-41,6.004129931221554e-48,1.8915915368735214e-42,7.075946836382512e-58,1.809989277857873e-64,9.460578564284124e-54,2.4466774256731895e-57,5.303742980119021e-64,1.2649224311519528e-73,2.9650339696295777e-76,1.5896845376285186e-69,1.694742991310767e-68,2.5308712721269183e-59,6.09604440734791e-66,1.197609950609436e-73,5.599967598541601e-68,3.28406967284355e-70,4.412476630359263e-26,2.9806350651463463e-74,3.1449934014923475e-70,9.954521281806741e-62,3.54411763499401e-70,5.8799735058095485e-62,1.2910633519758643e-66,7.64648860724784e-73,1.6552899731566075e-25,1.6871584226883034e-57,7.921284326845679e-52,7.263189904571355e-44,1.3494876899606341e-61,7.708222844509905e-54
1.0563138147653473e-11,0.11224537200015593,0.0,0.0,0.0,0.0,0.3299999999936306,0.6699999999950197,6.368692665460273e-12,4.9796111862546835e-12,7.739961176508632e-16,1.3898552173280226e-12,2.4495058635836703e-24,6.005870129233994e-20,8.014384150157748e-21,2.029899381421857e-24,2.821029694073855e-26,5.365921959407407e-20,1.0778950532511441e-19,3.1552489817286274e-29,4.3747218387289174e-33,2.4781914497623284e-41,1.9256773690316106e-38,1.3026627086279302e-23,1.614804142915904e-21,2.8220011446706067e-37,3.4440670567670805e-41,7.193837235536583e-48,2.266418458729906e-42,8.949600471975828e-58,2.3445697333331972e-64,1.1560874391138775e-53,3.029095713356528e-57,6.616515930752857e-64,1.6253083664795567e-73,3.798556470131921e-76,2.020285051480354e-69,2.1538042088461966e-68,3.1997800923965344e-59,7.724308124806403e-66,1.537460158204752e-73,7.2655358289834225e-68,4.258045643752148e-70,4.865943656587692e-26,3.8671496496907455e-74,3.989202206215961e-70,1.2660345451341816e-61,4.528697694528923e-70,7.478220706833951e-62,1.645261713126595e-66,9.758555408077081e-73,1.886534341950677e-25,2.1418721111897573e-57,9.945387438967203e-52,9.04454345949951e-44,1.734342777150209e-61,9.677882909169032e-54
1.4084311554127031e-11,0.1122453720002077,0.0,0.0,0.0,0.0,0.32999999999150736,0.6699999999933575,8.491386257091578e-12,6.64132750789418e-12,1.3127858307302432e-15,1.8513710998981112e-12,4.154848962684118e-24,1.052687751433056e-19,1.6739660109860267e-20,4.3418126885706816e-24,6.169120180599762e-26,9.190372030913523e-20,1.8335355912769825e-19,7.873653245857668e-29,1.2732500714707556e-32,7.213933534452634e-41,6.413550048916306e-38,2.7146610748350927e-23,3.3700123422473985e-21,7.3174280121911326e-37,1.0344612743523484e-40,2.0966535217054195e-47,6.605730284640121e-42,3.760612278371984e-57,1.2090862957154403e-63,3.9515589795930025e-53,1.1617104549859892e-56,2.7250051605941465e-63,8.184786941392627e-73,1.6348526924988185e-75,1.0171024283551913e-68,1.0843463594963326e-67,1.4896756824172835e-58,3.714783969835909e-65,7.907528963468005e-73,3.914419389689969e-67,2.0538826195362797e-69,8.276037058866317e-26,2.083493222278682e-73,1.7398791718531432e-69,6.027777395193929e-61,2.379622667495657e-69,3.560080113759025e-61,8.634448843099464e-66,5.135500277256823e-72,3.9121209128133973e-25,8.482857006199191e-57,4.162649040370545e-51,3.3227542107472187e-43,7.322740255535126e-61,4.050683883257104e-53
