Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34)
2.515794588170683e-13,0.11224537200000376,0.0,0.0,0.0,0.0,0.3299999999998483,0.6699999999998816,1.5169936254655406e-13,1.1848531195108393e-13,5.328228598697979e-19,3.321458323651436e-14,1.673152313076107e-27,3.5566986397156085e-23,1.7764033685378465e-25,3.998247345164477e-29,5.484403914879031e-31,3.538911061856415e-23,7.330274563914181e-23,2.519744179556988e-35
5.033774923159933e-13,0.11224537200000748,0.0,0.0,0.0,0.0,0.3299999999996965,0.669999999999763,3.0352945738060455e-13,2.3708022089194634e-13,2.1318489996680984e-18,6.645136761062113e-14,6.721358098243654e-27,1.43082164026987e-22,1.4283547525011057e-24,3.216176713695191e-28,4.3919423964117224e-30,1.4165192577666912e-22,2.934086774337161e-22,4.0536959856434685e-34
1e-12,0.11224537200001496,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995291,6.02981555890376e-13,4.710052394044613e-13,8.435020853989309e-18,1.3198474863340529e-13,2.664761256905882e-26,5.722565584126902e-22,1.1310924159613135e-23,2.5666155272272644e-27,3.47269168443282e-29,5.609307663402225e-22,1.1618752123078975e-21,6.415891750423336e-33
1.0069735593138434e-12,0.11224537200001496,0.0,0.0,0.0,0.0,0.32999999999939283,0.6699999999995258,6.071864538527162e-13,4.74290007948675e-13,8.523529816252102e-18,1.3290496653035545e-13,2.6927416475053717e-26,5.782830132127128e-22,1.1449694921846733e-23,2.598139724107275e-27,3.515287970409265e-29,5.668182680512199e-22,1.174070195014736e-21,6.50029133377816e-33
2.0141656933095435e-12,0.11224537200002983,0.0,0.0,0.0,0.0,0.3299999999987855,0.6699999999990512,1.2144877087566776e-12,9.487894105542514e-13,3.4046632195020645e-17,2.6573233326336307e-13,1.0766804290111917e-25,2.3595600128907847e-21,9.158943529558728e-23,2.1175861294643284e-26,2.8128690823062605e-28,2.2678505275526007e-21,4.697471558806161e-21,1.0401038987246344e-31
3.0213578273052436e-12,0.11224537200004474,0.0,0.0,0.0,0.0,0.32999999999817814,0.6699999999985766,1.821776260269497e-12,1.4233685934731443e-12,7.227479657290864e-17,3.9847991706827213e-13,2.2862740108571557e-25,5.081823612209486e-21,2.617619401905384e-22,6.118700897644101e-26,8.35118223030933e-28,4.819719001720116e-21,9.98323079664949e-21,3.8269354261136017e-31
4.028549961300944e-12,0.11224537200005962,0.0,0.0,0.0,0.0,0.3299999999975708,0.6699999999981019,2.429052142945978e-12,1.8980275085556287e-12,1.2317343860164781e-16,5.311477660943689e-13,3.896960119388461e-25,8.77510330534791e-21,5.518214263176115e-22,1.3027676514919329e-25,1.819721671570501e-27,8.222560242915349e-21,1.7031627272447115e-20,9.701866470652738e-31
6.042934229292344e-12,0.11224537200008936,0.0,0.0,0.0,0.0,0.32999999999635615,0.6699999999971522,3.6435742821377545e-12,2.8475323159784146e-12,2.546006445730153e-16,7.962964807496165e-13,8.056287524362533e-25,1.8533411244767883e-20,1.505598552981126e-21,3.6134105353316684e-25,5.282134315877106e-27,1.7025846958117013e-20,3.526608783925552e-20,3.389998095434534e-30
8.057318497283745e-12,0.11224537200011905,0.0,0.0,0.0,0.0,0.3299999999951415,0.6699999999962022,4.85805011918846e-12,3.797329927440523e-12,4.3233578305271767e-16,1.0611523817447907e-12,1.3681523805636693e-24,3.2110768694327323e-20,3.1470684059143507e-21,7.66259894534762e-25,1.1551375925754078e-26,2.8959597131325005e-20,5.9984712353846e-20,8.46450074640393e-30
1e-11,0.11224537200017835,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952857,6.029248671677064e-12,4.713622088296321e-12,6.513105874297057e-16,1.3162776749720433e-12,2.0612268344072586e-24,4.955166176063776e-20,5.828068224500343e-21,1.4521529978347473e-24,2.2123307345112095e-26,4.371601142293563e-20,9.054990303313861e-20,1.9823779098716816e-29
