Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209)
3.977820511872329e-13,0.11224537200000592,0.0,0.0,0.0,0.0,0.32999999999976015,0.6699999999998127,2.398572633996341e-13,1.8734478285407877e-13,1.3317553863951912e-18,5.25138118468001e-14,4.194319263550628e-27,8.917934419988427e-23,7.044825651961842e-25,1.5847924401503064e-28,2.1678927421455737e-30,8.861727093046055e-23,1.8325928195065064e-22,1.5803660814085833e-34,1.3565360002258195e-39,7.547761376173747e-48,3.8803059184683576e-46,1.1640885171764614e-27,1.4328551257224688e-25,1.2739334253740476e-42,9.815647029598086e-48,1.9394216762445592e-54,6.103462063514301e-49,7.548994893144967e-67,8.434282055260977e-75,2.2134826609322694e-61,4.104599007526141e-66,9.418641681416267e-74,7.437146335073493e-85,1.6298025902619186e-86,4.821907523177544e-87,5.125576898387117e-86,1.743525109847184e-87,8.700534238939578e-95,3.1252340144239744e-84,1.8955293735720746e-79,1.2065565707964183e-80,8.277725865263069e-29,1.0086373063979178e-85,1.2620774660867059e-79,8.473452767528681e-72
7.959096992912228e-13,0.1122453720000118,0.0,0.0,0.0,0.0,0.32999999999952007,0.6699999999996252,4.7992025494411e-13,3.7486896967146553e-13,5.327208825189171e-18,1.050566106670565e-13,1.6820662718449914e-26,3.5980014593440625e-22,5.653865338851245e-24,1.2782594084498131e-27,1.73605445471824e-29,3.5528598457225505e-22,7.335410467825752e-22,2.5373518296423912e-33,4.356566777577194e-38,2.4472116326988688e-46,2.5183468506900976e-44,9.308629505619388e-27,1.1462779098587863e-24,2.0404713438376294e-41,3.1444777061373435e-46,6.6988799076643545e-53,2.1081857093132596e-47,9.676119954715148e-65,2.182770852864733e-72,1.4181943436726332e-59,5.259740675385018e-64,2.333283519012684e-71,3.812536464648101e-82,4.689556300717621e-84,2.732393078359253e-84,2.9090845462691258e-83,1.4253150473414907e-84,1.2644118764590836e-91,8.118249576107197e-82,1.0094533765727482e-76,3.2710548269751423e-78,3.3132569230554633e-28,5.3722434830925805e-83,2.3380949333561484e-77,2.172227730547039e-69
1e-12,0.11224537200002357,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.02980572482256e-13,4.710114015447353e-13,9.418557173525814e-18,1.319785862913369e-13,2.9761063227251396e-26,6.424208586545255e-22,1.580717816142479e-23,3.611447349198584e-27,4.852593280170064e-29,6.297973286436821e-22,1.2978874737176746e-21,1.2302509629580354e-32,3.900913174375863e-37,2.2009211944752606e-45,4.344450704203881e-43,2.597166207250354e-26,3.2002162654236497e-24,9.889696680200675e-41,2.814309742684221e-45,6.210742936674395e-52,1.955438280667034e-46,3.2478379030163416e-63,1.4718874738188997e-70,2.4330378730704696e-58,1.7656022876788213e-62,1.4532525019797798e-69,5.032116933962838e-80,3.3147758472071435e-82,3.735804877826283e-82,3.9805260291690626e-81,3.2106419354560174e-82,4.6665051877862945e-89,5.414509254502553e-80,1.352797476602205e-74,2.2846536399622037e-76,5.86207123901763e-28,7.200032264642892e-81,1.0185954185042704e-75,1.442088970436168e-67
1.5921649954992025e-12,0.11224537200002357,0.0,0.0,0.0,0.0,0.32999999999903995,0.6699999999992501,9.600382676692995e-13,7.499672487349232e-13,2.1289544025250526e-17,2.100923012450433e-13,6.730744432640353e-26,1.4624406856364027e-21,4.526686547140915e-23,1.038115772560585e-26,1.3895184687687157e-28,1.4262879421711363e-21,2.935330302727342e-21,4.0635970869860536e-32,1.3955303758333756e-36,7.876806715008724e-45,1.6219115684041103e-42,7.431920514880057e-26,9.159688091643556e-24,3.2664108153149976e-40,1.0067622361161257e-44,2.2287451789130947e-51,7.01742662100287e-46,1.2390640453883603e-62,5.679214482523475e-70,9.080974358687218e-58,6.735860668798558e-62,5.602143312116647e-69,1.952210976996288e-79,1.2796482263753095e-81,1.4495907615133726e-81,1.5445556898586766e-80,1.2484916822109273e-81,1.8169614396898413e-88,2.088907813463993e-79,5.248630249351577e-74,8.818633285861027e-76,1.3257418360847455e-27,2.7934944769108194e-80,3.9061955132199373e-75,5.56326196848636e-67
3.184675587915162e-12,0.11224537200004715,0.0,0.0,0.0,0.0,0.32999999999807966,0.6699999999984997,1.9202425485671933e-12,1.5003632381517492e-12,8.496288417433727e-17,4.199642445740696e-13,2.6878356575101533e-25,6.032292946264145e-21,3.616990614910582e-22,8.547664686312992e-26,1.1118504806434764e-27,5.743409423133837e-21,1.174491654710512e-20,6.494585837171764e-31,4.461049406739007e-35,2.524022493455253e-43,1.0397091130805954e-40,5.918308390090812e-25,7.306787964814137e-23,5.2273064662697476e-39,3.2223186309492447e-43,7.263796814416972e-50,2.2879430002908883e-44,1.5854709182041422e-60,1.498540005927495e-67,5.8126575693228575e-56,8.623162584054339e-60,1.2747464757052267e-66,9.985425853026263e-77,3.387451245903599e-79,7.275314885200493e-79,7.755012993151557e-78,1.129069040350334e-78,2.4191846673235517e-85,5.344362183372258e-77,2.685551098252506e-71,2.4172723136980627e-73,5.303890925649053e-27,1.4293923903490146e-77,6.083973321549239e-73,1.4237224092989507e-64
4.777186180331121e-12,0.11224537200007069,0.0,0.0,0.0,0.0,0.3299999999971194,0.6699999999977488,2.8804152212267765e-12,2.250958468615305e-12,1.8024843953510973e-16,6.296369403176971e-13,5.703302893312518e-25,1.3085182666669774e-20,1.0332130695728421e-21,2.4837294543338285e-25,3.300966545725954e-27,1.2260004278577606e-20,2.4961614274272823e-20,2.3885580495593647e-30,2.035447526530703e-34,1.1521765302368236e-42,5.7119492629859174e-40,1.687733652586823e-24,2.0857247954484698e-22,1.977661092526149e-38,1.5032513372047668e-42,3.3268030472082252e-49,1.0479597390200974e-43,1.047087331045734e-59,9.166166020563022e-67,3.250500891248231e-55,5.646814153989601e-59,9.310606624415295e-66,8.51915972801566e-76,2.5666590909085236e-78,6.154690646189789e-78,6.5608039287442115e-77,1.0274042884023731e-77,2.314873261029196e-84,3.2483277679038053e-76,1.7887592886870856e-70,1.402909369823899e-72,1.1271432356649104e-26,9.520776139649637e-77,4.124178836563118e-72,1.07896240870094e-63
6.369696772747081e-12,0.1122453720000942,0.0,0.0,0.0,0.0,0.3299999999961591,0.6699999999969979,3.840556421376358e-12,3.0017527500638797e-12,3.0701034204246513e-16,8.391105785360401e-13,9.715175155313118e-25,2.2739069150099963e-20,2.17721285071158e-21,5.314496354558523e-25,7.192737520553956e-27,2.1000325125029284e-20,4.258652610162313e-20,6.053164797842868e-30,6.063205247898459e-34,3.4331068523487494e-42,1.9634002859114915e-39,3.551211911584673e-24,4.392525253625639e-22,5.147874617760114e-38,4.577458640407483e-42,9.933237828193753e-49,3.129188500254917e-43,4.590933101205286e-59,5.606258347979631e-66,1.1378218777381821e-54,2.239471384969384e-58,4.023476867456209e-65,4.62461470793742e-75,1.2981645518015847e-77,3.334763326486802e-77,3.554899451085618e-76,6.0922275645014754e-77,1.4142768909190688e-83,1.913981872706613e-75,1.1962080917085896e-69,9.387363413247657e-72,1.9228441937877768e-26,6.366887526386025e-76,1.8758121876388567e-71,5.185423049799374e-63
9.554717957579e-12,0.11224537200014106,0.0,0.0,0.0,0.0,0.32999999999423857,0.6699999999954955,5.760765376372484e-12,4.503807884567143e-12,6.339880244911757e-16,1.2575912680121971e-12,2.0064151775915552e-24,4.851516061459663e-20,5.9364607100279556e-21,1.4858260750147803e-24,2.0878083631669636e-26,4.377474592353837e-20,8.818557447372219e-20,2.113864752131611e-29,2.6508773785605756e-33,1.5014788907694688e-41,1.0552658361560473e-38,9.659886258577127e-24,1.1965967840516652e-21,1.88916144855759e-37,2.0854863341250515e-41,4.3546501144590194e-48,1.3718983605104994e-42,4.435190131661039e-58,1.0378538546758226e-64,6.332293519845574e-54,1.5007462070704427e-57,3.0593642904697436e-64,6.590508716267441e-74,1.69819408039706e-76,4.789298202956715e-76,5.10562056269047e-75,1.0110699210224207e-75,2.4475261055428836e-82,3.2303357222050582e-74,2.6112411332670163e-68,1.8403753445296753e-70,3.98119733748418e-26,1.3898536820439843e-74,1.9284903289874648e-70,5.672922232674751e-62
1e-11,0.11224537200018796,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952854,6.029211151076452e-12,4.713860971282515e-12,6.888342919265281e-16,1.3160387841218009e-12,2.1800106563941693e-24,5.295835764397873e-20,6.677623109499486e-21,1.6775807595845845e-24,2.3675253490964781e-26,4.762619768370534e-20,9.585286182979231e-20,2.4564936732877088e-29,3.1773945524359696e-33,1.799775052512212e-41,1.3028929457931198e-38,1.0862071028515001e-23,1.3458135033888076e-21,2.2115806329730648e-37,2.5162862316155195e-41,5.2212821110357804e-48,1.6449369653100304e-42,5.8058358873821596e-58,1.4400064120389728e-64,7.864616061439609e-54,1.916530480533877e-57,3.981519996551858e-64,9.078321261302673e-74,2.2397853218190526e-76,6.56317376723628e-76,6.996745334638421e-75,1.43705964460331e-75,3.528324453956585e-82,4.431461939132567e-74,3.678531928307026e-68,2.5035617449494616e-70,4.32726267916207e-26,1.9579298900400112e-74,2.5496191451987363e-70,7.682842959392761e-62
1.2739739142410919e-11,0.11224537200018796,0.0,0.0,0.0,0.0,0.32999999999231805,0.6699999999939923,7.680859714796148e-12,6.006593424301356e-12,1.0755952377687961e-15,1.6753415281937715e-12,3.404180360894967e-24,8.482864354409232e-20,1.2401700304389303e-20,3.172274765135103e-24,4.565708020726647e-26,7.49265831078553e-20,1.5000434183046151e-19,5.275702543322956e-29,7.716169054524069e-33,4.371325423924404e-41,3.5150017406199287e-38,2.013831473922087e-23,2.4978510785340946e-21,4.898607324695614e-37,6.264000862463093e-41,1.2694958037902901e-47,3.9995949083400755e-42,1.8637390320745736e-57,5.344305917777498e-64,2.164420033659505e-53,5.755650978827668e-57,1.2628080173003012e-63,3.319016533271084e-73,7.312045421973022e-76,2.3690373345796928e-75,2.525617382596574e-74,5.640582043214571e-75,1.427219075024593e-81,1.601216585614194e-73,1.4126362372371707e-67,8.845933561646086e-70,6.771235409791161e-26,7.5188960248494e-74,8.410406610402606e-70,2.700939615304553e-61
