Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249)
3.4064019754123225e-13,0.11224537200000505,0.0,0.0,0.0,0.0,0.3299999999997946,0.6699999999998395,2.054016526544744e-13,1.6043146463528313e-13,9.767070696018748e-19,4.4971164393135706e-14,3.0734805714842665e-27,6.532313602146252e-23,4.420021633391316e-25,9.941657750064323e-29,1.3614151426558154e-30,6.497057026875096e-23,1.3438944712267328e-22,8.490472932109951e-35,6.240806728660768e-40,3.461358974527122e-48,1.5234690434678057e-46,7.311607909098971e-28,8.999163944304204e-26,6.850947715900957e-43,4.5203654695060904e-48,8.714486932279958e-55,2.7431891025272248e-49,2.5495269682116148e-67,2.436502402594054e-75,8.72936343609054e-62,1.3862063770956755e-66,2.7375125348371313e-74,1.62645064468753e-85
6.815763466007454e-13,0.1122453720000101,0.0,0.0,0.0,0.0,0.32999999999958907,0.669999999999679,4.109798074805556e-13,3.2101451486660134e-13,3.907311215555991e-18,8.996919859389687e-14,1.2332065094128922e-26,2.6325320887227515e-22,3.549345113579777e-24,8.010266604962221e-28,1.090226600062636e-29,2.604196641759367e-22,5.379245543743404e-22,1.3640108341854595e-33,2.0055047313599228e-38,1.1247443320652255e-46,9.910254734789088e-45,5.847730054368518e-27,7.200083200661725e-25,1.0973256309132719e-41,1.4481188992376478e-46,3.0455021701387154e-53,9.583582001247459e-48,3.2680390762763595e-65,6.298662349367474e-73,5.592994690855206e-60,1.7763301568366445e-64,6.813390903604039e-72,8.33828570259212e-83
1e-12,0.1122453720000202,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.0298061508353e-13,4.710111321037466e-13,9.375950706456597e-18,1.319788557411782e-13,2.962618957840081e-26,6.388999421473069e-22,1.5167638929726117e-23,3.458620484943759e-27,4.656048794576676e-29,6.267872403916017e-22,1.2919204925803062e-21,1.093246671505948e-32,3.1081656031601067e-37,1.7525947307956964e-45,3.0372331882678763e-43,2.4926850365939445e-26,3.071135783830946e-24,8.788035207494738e-41,2.242332374348915e-45,4.924801731896703e-52,1.5504347777344504e-46,1.9718173155890526e-63,7.67013319217752e-71,1.7022409343062752e-58,1.0717973233852616e-62,7.740961966006558e-70,1.998547016080844e-80
1.3634486447197716e-12,0.1122453720000202,0.0,0.0,0.0,0.0,0.3299999999991779,0.6699999999993578,8.22130268582751e-13,6.422172176612034e-13,1.561785387605794e-17,1.7992866346534712e-13,4.9365697112856945e-26,1.067662989881811e-21,2.8428755358598717e-23,6.491997130804934e-27,8.726076978955403e-29,1.0449590615593403e-21,2.152531188236034e-21,2.1853898853783667e-32,6.426916478268433e-37,3.624627455037937e-45,6.390814456657727e-43,4.670375150271332e-26,5.754711834625484e-24,1.7566208382454122e-40,4.636441509138661e-45,1.0198355167461197e-51,3.210713510646199e-46,4.185147511793095e-63,1.635292757964772e-70,3.5813397096938324e-58,2.2748713809445085e-62,1.6498725180842847e-69,4.270170552974558e-80
2.727193240957824e-12,0.1122453720000404,0.0,0.0,0.0,0.0,0.32999999999835555,0.6699999999987152,1.6444078826669883e-12,1.2847689129607604e-12,6.235010831635311e-17,3.5970129870441424e-13,1.9722604129675397e-25,4.385488436983661e-21,2.2725415752660554e-22,5.324398803054526e-26,6.982382871608184e-28,4.203981698675247e-21,8.612584157629748e-21,3.4942861373317677e-31,2.055366309957154e-35,1.1624383163433693e-43,4.1003383316414177e-41,3.721737032301192e-25,4.5926098248415164e-23,2.8111859649745463e-39,1.483988957690781e-43,3.335781491754199e-50,1.0506274226788747e-44,5.355959173183465e-61,4.297360197638154e-68,2.2924327952535853e-56,2.912320047813522e-60,3.808548946339712e-67,2.1847209639347016e-77
4.0909378371958765e-12,0.11224537200006054,0.0,0.0,0.0,0.0,0.3299999999975332,0.6699999999980724,2.466662274393774e-12,1.927466778450885e-12,1.3230768086182674e-16,5.39327758958398e-13,4.186076984440522e-25,9.486852792471909e-21,6.492986508512693e-22,1.5437964527930488e-25,2.073002564678093e-27,8.968271346171516e-21,1.830417027858247e-20,1.2853415436136792e-30,9.379423000560063e-35,5.307544646117821e-43,2.2530937811303508e-40,1.061751157922314e-24,1.3112913790476204e-22,1.0635687278489539e-38,6.923019050165781e-43,1.5289568617749488e-49,4.816004227869069e-44,3.5373623671815347e-60,2.6302168548249986e-67,1.2819621188947554e-55,1.907122743758069e-59,2.7913470354019465e-66,1.8631333256927818e-76
5.454682433433929e-12,0.11224537200008068,0.0,0.0,0.0,0.0,0.32999999999671087,0.6699999999974293,3.2888935292099666e-12,2.570310694709437e-12,2.254050366706462e-16,7.188081636484234e-13,7.13239902236417e-25,1.644601576664908e-20,1.3684604867439125e-21,3.297042392320348e-25,4.51704540106527e-27,1.5353095540831133e-20,3.12279823913952e-20,3.257838415245046e-30,2.79430118195317e-34,1.581749678890608e-42,7.745909168960843e-40,2.2348590718027273e-24,2.762201719624389e-22,2.7684944125250627e-38,2.1080942300824035e-42,4.5675436312123215e-49,1.4388014827356173e-43,1.551001463638666e-59,1.6042031078578376e-66,4.4874743034914305e-55,7.563505214016788e-59,1.209946600908897e-65,1.016014359138797e-75
8.182171625910035e-12,0.11224537200012089,0.0,0.0,0.0,0.0,0.32999999999506624,0.6699999999961431,4.933302001757285e-12,3.856340929368031e-12,4.656433036848697e-16,1.0774265596290918e-12,1.4735828342131188e-24,3.4953771792047427e-20,3.732343808266447e-21,9.189953314483608e-25,1.3111549304770915e-26,3.1973182799994444e-20,6.46635900773063e-20,1.1379625978309607e-29,1.2219414630409102e-33,6.919642873964568e-42,4.164189718704453e-39,6.082790118806346e-24,7.527547062376338e-22,1.0159879722551442e-37,9.604530063341182e-42,2.0036877614912943e-48,6.312188522789521e-43,1.4984701374859223e-58,2.9515883606760023e-65,2.4974322438629477e-54,5.0686146084462555e-58,9.247689314820479e-65,1.4730950200939278e-74
1e-11,0.11224537200016105,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952856,6.029227361434048e-12,4.713757438258376e-12,6.726221443395567e-16,1.3161423205595384e-12,2.1286900083379144e-24,5.1423275026453315e-20,6.253483754062649e-21,1.5609607793055136e-24,2.2708730159355377e-26,4.6429640422431854e-20,9.355191424866384e-20,2.1737931381109558e-29,2.6236618324778008e-33,1.4859871378366988e-41,9.932532052455394e-39,1.0178431314488348e-23,1.2606100777225704e-21,1.9969557053638126e-37,2.112468641702337e-41,4.3081277064302085e-48,1.3572277898287231e-42,4.3126949131819564e-58,1.004455282162724e-64,6.078857227567792e-54,1.3528515237838857e-57,2.6272794007648058e-64,4.907340554615121e-74
1.090966081838614e-11,0.11224537200016105,0.0,0.0,0.0,0.0,0.3299999999934216,0.6699999999948563,6.577626096895169e-12,5.142907254154807e-12,7.902688178090086e-16,1.435508847838543e-12,2.5010592959349554e-24,6.090625895158324e-20,7.799048101130006e-21,1.9570404635895213e-24,2.8673067117559675e-26,5.467858058361353e-20,1.0999099242771337e-19,2.840629857490889e-29,3.557379250076214e-33,2.0149253184358318e-41,1.3872821133007924e-38,1.2687678569759374e-23,1.5718752882268148e-21,2.634481964661342e-37,2.8848488622847987e-41,5.843679861373674e-48,1.8410041348109728e-42,6.297166138164475e-58,1.5165218441091976e-64,8.53646236949757e-54,1.9439253940609395e-57,3.829602102647384e-64,7.382627813331771e-74
