Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491)
4.1082753591156783e-13,0.11224537200000609,0.0,0.0,0.0,0.0,0.32999999999975227,0.6699999999998065,2.477234713571308e-13,1.934891412806726e-13,1.420510373081754e-18,5.4235750102442657e-14,4.4745735536661806e-27,9.514955340932517e-23,7.762246054510502e-25,1.7463115280661134e-28,2.388255184925992e-30,9.453021183507912e-23,1.9547679752637127e-22,1.7984362964052474e-34,1.5943585695293783e-39,8.876355732119477e-48,4.713228196268554e-46,1.2823660925527699e-27,1.5784632233734656e-25,1.4494523004434152e-42,1.1534280100671794e-47,2.2897358345305024e-54,7.205671535309808e-49,9.462025117359976e-67,1.092129387853691e-74,2.6863450232120326e-61,5.144826882714189e-66,1.2178983586733989e-73,9.943332130033701e-85,2.1245359346311805e-86,6.488180951864669e-87,6.897482016106852e-86,2.3776179137976548e-87,1.2017036156321555e-94,4.048884922764884e-84,2.5404484103461967e-79,1.566681103663079e-80,8.829575070467301e-29,1.3518204381664647e-85,1.6132134484929776e-79,1.0969426162657617e-71,3.3694966189884437e-81,6.485908101140812e-72,2.1239794749755097e-96
8.220120027839624e-13,0.1122453720000122,0.0,0.0,0.0,0.0,0.32999999999950436,0.6699999999996129,4.95659327790421e-13,3.871641336978442e-13,5.682126528245825e-18,1.0850087428396399e-13,1.79427668350239e-26,3.839861028627366e-22,6.228941115026929e-24,1.4088759455851214e-27,1.9125206550686174e-29,3.7901268352503707e-22,7.82445625020044e-22,2.8871341146965588e-33,5.119725256228445e-38,2.876774826808186e-46,3.057570497461697e-44,1.0254033184103395e-26,1.2627320927277813e-24,2.3216002577273874e-41,3.695045861978609e-46,7.8910819517137155e-53,2.4834314476964305e-47,1.2128040623751689e-64,2.8271125706550674e-72,1.7211586808628965e-59,6.592708296813429e-64,3.013917928651659e-71,5.0972506618501364e-82,6.094454393701912e-84,3.6639002826183192e-84,3.901024836135649e-83,1.9512482305902976e-84,1.7275150280506965e-91,1.0512963706936513e-81,1.3511141636826708e-76,4.244296022162106e-78,3.5341413714817223e-28,7.190573468719524e-83,2.973357529377623e-77,2.812143324705919e-69,1.7241556928908909e-78,1.6625873354832043e-69,6.107167060523624e-93
1e-12,0.11224537200002437,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995289,6.029806241538484e-13,4.710110783413652e-13,9.366878618692318e-18,1.3197890950528424e-13,2.959747127186046e-26,6.38845320824828e-22,1.567367586890574e-23,3.581524879769515e-27,4.811659305908584e-29,6.263284322693024e-22,1.2907582258263857e-21,1.2268805381833835e-32,3.950346273510814e-37,2.228988730604827e-45,4.5005018471647955e-43,2.5752120109415087e-26,3.1731915441480675e-24,9.862743552579134e-41,2.8500136687464325e-45,6.293499110266021e-52,1.9815184646199416e-46,3.456244414125938e-63,1.6149448210559143e-70,2.5201511829621484e-58,1.8789826137609953e-62,1.586805351781133e-69,5.68886127903621e-80,3.640510684581038e-82,4.2244819584464364e-82,4.501324352103214e-81,3.723493512994648e-82,5.285826577574404e-89,5.935494560353359e-80,1.5298042587499873e-74,2.5105473354560452e-76,5.8298728993370105e-28,8.142139064662829e-81,1.0939618742183412e-75,1.5808796554350477e-67,1.917352043871928e-76,9.344739975241582e-68,3.7325647845402104e-90
1.6443809365287515e-12,0.11224537200002437,0.0,0.0,0.0,0.0,0.3299999999990085,0.6699999999992253,9.91522540136e-13,7.7456734932343e-13,2.2707014133764238e-17,2.169778901129843e-13,7.179171738643968e-26,1.5615278843802989e-21,4.986703228149027e-23,1.144729997053943e-26,1.5307589976376452e-28,1.5217009084296188e-21,3.1310337212542427e-21,4.6233849159392987e-32,1.639850306191859e-36,9.257237711420681e-45,1.968699544975793e-42,8.186080116398505e-26,1.0089745861078621e-23,3.716441026517152e-40,1.1830353864049774e-44,2.622138541927295e-51,8.256240093281662e-46,1.5530020535582199e-62,7.359277572515359e-70,1.1020888417315138e-57,8.44289950245368e-62,7.222500015377946e-69,2.6100058123989012e-79,1.659983501067647e-81,1.9385988397009579e-81,2.065651563595426e-80,1.713324474775309e-81,2.435988862653839e-88,2.704352469909351e-79,7.019333857038199e-74,1.1445978002917728e-75,1.4141251503942587e-27,3.7359303101085095e-80,4.946853297616077e-75,7.20242612523295e-67,8.796439365688928e-76,4.2574162357331046e-67,1.7223689394317526e-89
3.2891188040183297e-12,0.11224537200004868,0.0,0.0,0.0,0.0,0.3299999999980167,0.6699999999984503,1.9832151135191105e-12,1.5495864939714587e-12,9.061247931002052e-17,4.3371920140121406e-13,2.866620914882817e-25,6.447118467517132e-21,3.984188780108576e-22,9.433907483537535e-26,1.2248652196271372e-27,6.128908699991056e-21,1.252802872828379e-20,7.388564383715823e-31,5.241567463980914e-35,2.9658596626960223e-43,1.2617908765049842e-40,6.517854670787031e-25,8.04790156289295e-23,5.947485643752357e-39,3.786503090826576e-43,8.53997681815394e-50,2.689949252159966e-44,1.987075340723544e-60,1.9436424944196745e-67,7.054348083917851e-56,1.0808442011949373e-59,1.6382343134652612e-66,1.3349556137559351e-76,4.389879740162258e-79,9.704431851945172e-79,1.0344424406825508e-77,1.5501622601169585e-78,3.164108604578962e-85,6.917280390711054e-77,3.589092008770605e-71,3.1416499102021147e-73,5.657487889508522e-27,1.9103069341971827e-77,7.688507541743531e-73,1.8433552134026327e-64,4.466888072746963e-73,1.0892233492903423e-64,4.474509096468682e-86
4.933856671507908e-12,0.11224537200007301,0.0,0.0,0.0,0.0,0.32999999999702495,0.669999999997675,2.9748739857009517e-12,2.3248181424548825e-12,1.922233731076641e-16,6.502480018793012e-13,6.082292761574789e-25,1.399366929651178e-20,1.1380527420492194e-21,2.742582264285751e-25,3.636492600790058e-27,1.3084768184150279e-20,2.662605837205859e-20,2.717237653906624e-30,2.3914973535434297e-34,1.3538040938454682e-42,6.931730229878059e-40,1.858540524741576e-24,2.297144144265406e-22,2.250125988078e-38,1.7664487227781673e-42,3.9107012171395595e-49,1.2319047400757099e-43,1.312298233217832e-59,1.1887066656441522e-66,3.944861358986774e-55,7.07781843833711e-59,1.1956399074371642e-65,1.138921566883887e-75,3.325743159811959e-78,8.205731433988297e-78,8.747279032577675e-77,1.4113064831079462e-77,3.017611193640534e-84,4.204162279051954e-76,2.3902394166293022e-70,1.8241927909163021e-72,1.2022874588962852e-26,1.2722202216144091e-76,5.211097632085306e-72,1.3970086306832073e-63,3.818324504262728e-72,8.254020959370821e-64,4.713148655853776e-85
6.578594538997486e-12,0.11224537200009725,0.0,0.0,0.0,0.0,0.3299999999960332,0.6699999999968993,3.966499306122094e-12,3.1002620854186855e-12,3.2739010108153206e-16,8.665645009005068e-13,1.0360197200751514e-24,2.433105709633066e-20,2.3980386355980487e-21,5.870870533463745e-25,7.923835476148398e-27,2.2415982367919776e-20,4.5426337185925533e-20,6.885887904447526e-30,7.123608735495749e-34,4.033740202100648e-42,2.382602465182209e-39,3.9102940428072324e-24,4.8375218585475585e-22,5.857097723968021e-38,5.37890019141754e-42,1.1675462996772304e-48,3.678064690491245e-43,5.753677188807336e-59,7.275023096485789e-66,1.3808773243923926e-54,2.8069901163321158e-58,5.163366641307658e-65,6.182577164477386e-75,1.6819842903104153e-77,4.4446195687709925e-77,4.738069060665843e-76,8.363694970789848e-77,1.8381206580237933e-83,2.4770868385669556e-75,1.5983744619816025e-69,1.2205970259242065e-71,2.0510368802783396e-26,8.507450144676827e-76,2.370015409331899e-71,6.714039823885072e-63,1.999592238845606e-71,3.9665917301064705e-63,3.0696837392331845e-84
9.868070273976642e-12,0.11224537200014569,0.0,0.0,0.0,0.0,0.32999999999404966,0.6699999999953474,5.9496716640105136e-12,4.651647564874293e-12,6.760155964777952e-16,1.2986998890362118e-12,2.1394393461686144e-24,5.19563922320932e-20,6.538155022264234e-21,1.6424921008661233e-24,2.3000175847329923e-26,4.6735599260834634e-20,9.406654841451748e-20,2.404536113049773e-29,3.114348878426769e-33,1.764067045360369e-41,1.2805070064206697e-38,1.0635212143584786e-23,1.3177073603324918e-21,2.149427083248062e-37,2.450618339814474e-41,5.1177537770047783e-48,1.612321501254553e-42,5.558382997831e-58,1.3486349880421212e-64,7.684944199056657e-54,1.8810555055442953e-57,3.921708573959375e-64,8.810625404800775e-74,2.2001096284360058e-76,6.380389033588262e-76,6.801862562374544e-75,1.3863222901984125e-75,3.1659795004945115e-82,4.180349472665609e-74,3.488600919110385e-68,2.393875134496577e-70,4.246620194403257e-26,1.8568369972536475e-74,2.436267108816334e-70,7.345417131652757e-62,2.4583221383328332e-70,4.339107011134856e-62,5.8159910915546686e-83
1e-11,0.11224537200019406,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952853,6.0292074399648e-12,4.713884626840405e-12,6.925458220098171e-16,1.3160151277844956e-12,2.191759755527733e-24,5.330074018870563e-20,6.7663494522135564e-21,1.7017336973068544e-24,2.3859740881711023e-26,4.7897759652684516e-20,9.63782185552679e-20,2.512577631913114e-29,3.2846993771747656e-33,1.8605810690575557e-41,1.36282083657144e-38,1.1005226237224518e-23,1.3636438170830026e-21,2.2509443403166546e-37,2.5898490780687925e-41,5.3982084031465085e-48,1.7006812245164526e-42,6.025532405928989e-58,1.4899849929593962e-64,8.193880545040942e-54,2.0230972621771812e-57,4.242856112596099e-64,9.710009370160488e-74,2.3908916334433807e-76,7.019449790015804e-76,7.483168204631479e-75,1.5437462256951162e-75,3.5409028656326837e-82,4.60102957654919e-74,3.873496635513235e-68,2.627798516071825e-70,4.3509563141120707e-26,2.0617017281184912e-74,2.6493962756830954e-70,8.050132405250533e-62,2.7199823570205014e-70,4.755351185138687e-62,6.574212519023521e-83
1.3157546008955799e-11,0.11224537200019406,0.0,0.0,0.0,0.0,0.32999999999206614,0.6699999999937949,7.932721871934312e-12,6.2038119907067506e-12,1.1468047678590555e-15,1.730056305126003e-12,3.629576338808697e-24,9.091522877676458e-20,1.3657926839241547e-20,3.50877162401612e-24,5.029769211577439e-26,8.001037758819762e-20,1.6000867792732866e-19,6.000888228432524e-29,9.064922706182235e-33,5.135599531178857e-41,4.265110061155298e-38,2.2168954365854648e-23,2.7504540906207173e-21,5.5734686260752956e-37,7.360707723953222e-41,1.4918362502122755e-47,4.700120819812426e-42,2.3356768054651287e-57,6.948061002284937e-64,2.6267599132294476e-53,7.21419859555005e-57,1.6176124576274738e-63,4.4370308230049355e-73,9.47179228944983e-76,3.1541504787242116e-75,3.362648843784568e-74,7.731666487300133e-75,1.8389201875036275e-81,2.0720169864703222e-73,1.8870073310332427e-67,1.1512534233337569e-69,7.222673504386229e-26,1.004379080657341e-73,1.0624918819400335e-69,3.4973122099510184e-61,1.2919217031714454e-69,2.0657199522566714e-61,3.7084152470280177e-82
