Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114)
2.717368729398664e-13,0.11224537200000405,0.0,0.0,0.0,0.0,0.32999999999983615,0.6699999999998721,1.6385399270984215e-13,1.2797905166744125e-13,6.216072599077908e-19,3.587556243755897e-14,1.9531150374517694e-27,4.151166955961228e-23,2.2400112102720066e-25,5.040278162260289e-29,6.911135193183323e-31,4.1287371766598253e-23,8.552002548568606e-23,3.432078144699352e-35,2.012296379404365e-40,1.1098650235052993e-48,3.860042351576347e-47
5.437098335191246e-13,0.11224537200000809,0.0,0.0,0.0,0.0,0.32999999999967217,0.669999999999744,3.2784910028534636e-13,2.5607705771677497e-13,2.4870018862716937e-18,7.177452872237884e-14,7.84343701828096e-27,1.6706401573561127e-22,1.800453766628079e-24,4.055903376672162e-28,5.534474158817328e-30,1.652611887867054e-22,3.423113689811474e-22,5.519208539673113e-34,6.473232449656009e-39,3.6201242954141273e-47,2.5188652743638384e-45
1e-12,0.11224537200001614,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029812495739622e-13,4.710071570368075e-13,8.74137846064061e-18,1.3198283093828193e-13,2.761740826190527e-26,5.937686828524824e-22,1.2394017086639256e-23,2.815886538574226e-27,3.8051001543641847e-29,5.813583780806759e-22,1.2041875499687834e-21,7.511157630279657e-33,1.7516441405665486e-37,9.864409523633444e-46,1.3688803967173682e-43
1.0876557546776407e-12,0.11224537200001614,0.0,0.0,0.0,0.0,0.32999999999934415,0.6699999999994878,6.558355908541524e-13,5.122963660595212e-13,9.942877285155477e-18,1.435491642855417e-13,3.141609273871944e-26,6.757409066000842e-22,1.4429096638545122e-23,3.27891718882167e-27,4.429759846111548e-29,6.612928492267615e-22,1.3697585235135762e-21,8.848063828177346e-33,2.0757088239075646e-37,1.1689870271458191e-45,1.6270106886334205e-43
2.1755475969946733e-12,0.11224537200003223,0.0,0.0,0.0,0.0,0.3299999999986882,0.6699999999989752,1.3117937174259067e-12,1.0248281069783108e-12,3.9711172296346806e-17,2.8700530812842243e-13,1.2559079818175311e-25,2.76141484868725e-21,1.1539908997187016e-22,2.676261443015949e-26,3.544605352866853e-28,2.645864553917588e-21,5.4804631443113064e-21,1.4154440121693764e-31,6.641556183985142e-36,3.7535389108354853e-44,1.0449387234450727e-41
3.263439439311706e-12,0.1122453720000483,0.0,0.0,0.0,0.0,0.3299999999980322,0.6699999999984625,1.9677370330661134e-12,1.537452911426975e-12,8.42923399026068e-17,4.303683853907266e-13,2.6665665216980443e-25,5.953328742219631e-21,3.2978040428333553e-22,7.739107028477861e-26,1.0523635987073533e-27,5.623116801679746e-21,1.1647330289362181e-20,5.20750528394698e-31,3.0312546434586165e-35,1.7143131983972523e-43,5.743065552643617e-41
4.351331281628738e-12,0.11224537200006438,0.0,0.0,0.0,0.0,0.3299999999973762,0.6699999999979497,2.623665581280818e-12,2.0501707187416597e-12,1.4364283685995818e-16,5.73638456735755e-13,4.544758156234967e-25,1.0289291130791059e-20,6.951608357952533e-22,1.6489353224488507e-25,2.2930962389558655e-27,9.593221632900715e-21,1.987071192416524e-20,1.3200882438365496e-30,9.03177719526947e-35,5.1100498506697314e-43,1.9747310707157245e-40
6.527114966262803e-12,0.1122453720000965,0.0,0.0,0.0,0.0,0.3299999999960643,0.669999999996924,3.9354881539234335e-12,3.0758244173766896e-12,2.9687197082908933e-16,8.599605082573214e-13,9.394153016331748e-25,2.1763076965243907e-20,1.8964735793067184e-21,4.578754319139516e-25,6.656188911980185e-27,1.9864128732710083e-20,4.114507969533935e-20,4.6120945454131666e-30,3.950347630338862e-34,2.2361383413800354e-42,1.0618691473700105e-39
8.702898650896868e-12,0.11224537200012859,0.0,0.0,0.0,0.0,0.3299999999947523,0.6699999999958975,5.247256781033572e-12,4.1018196173528204e-12,5.040533310005883e-16,1.1459410472126334e-12,1.5951442031970207e-24,3.77564109908971e-20,3.96371021969886e-21,9.71917695342377e-25,1.455623227173239e-26,3.3787536323981893e-20,6.998490506682081e-20,1.1514925417297541e-29,1.1502113474078447e-33,6.51269401059002e-42,3.538131871063992e-39
1e-11,0.1122453720001606,0.0,0.0,0.0,0.0,0.32999999999397023,0.6699999999952856,6.02924505197543e-12,4.713644275045168e-12,6.549308464022705e-16,1.3162554875027226e-12,2.0726870086688236e-24,4.9713840942614183e-20,5.755876104634257e-21,1.425400327694252e-24,2.1574706403754186e-26,4.395047239255472e-20,9.103555929331316e-20,1.8480614055419973e-29,2.021658846661783e-33,1.1448628755068969e-41,6.759990069677966e-39
1.0878682335530933e-11,0.1122453720001606,0.0,0.0,0.0,0.0,0.3299999999934404,0.669999999994871,6.558967897304525e-12,5.12818030702162e-12,7.687524560409121e-16,1.4315560844446305e-12,2.432949473752263e-24,5.884235951466199e-20,7.207497983040908e-21,1.7950010779463697e-24,2.7309048085242186e-26,5.1625484584038766e-20,1.0693292494514904e-19,2.440910215859308e-29,2.790774932720198e-33,1.5805157517652016e-41,9.683397934493594e-39
1.5230249704799063e-11,0.11224537200022454,0.0,0.0,0.0,0.0,0.3299999999908164,0.6699999999928166,9.182215917743884e-12,7.182018377170537e-12,1.4723823684608449e-15,2.0016694312246884e-12,4.6601021082390844e-24,1.1829183253158732e-19,1.8968602755112676e-20,4.9233243820051065e-24,7.471828942862935e-26,9.929864959531509e-20,2.0567872787741407e-19,8.916496885815679e-29,1.4397313007276687e-32,8.157164572424999e-41,7.217045314194011e-38
2.3933384443335324e-11,0.11224537200035178,0.0,0.0,0.0,0.0,0.3299999999855685,0.6699999999887023,1.442803018867892e-11,1.1294118420841549e-11,3.561480653595617e-15,3.1374720746813084e-12,1.127281306930422e-23,3.152790581438921e-19,7.280097297491005e-20,2.06498944083628e-23,2.9670081534545516e-25,2.4238459668012914e-19,5.02051556015891e-19,5.613723978387553e-28,1.5452405568341144e-31,8.758670668361514e-40,1.3717002645827283e-36
3.2636519181871584e-11,0.1122453720004783,0.0,0.0,0.0,0.0,0.3299999999803206,0.6699999999845814,1.9672949127078188e-11,1.5412101031638605e-11,6.545990539421354e-15,4.267391955011105e-12,2.072000992144228e-23,6.290547609712201e-19,1.795880910694824e-19,5.442341322006333e-23,7.427407089585093e-25,4.492377267908628e-19,9.305013431437007e-19,1.819756046618513e-27,6.423779344144401e-31,3.6415838870289535e-39,7.127474233194639e-36
