Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116)
3.0236087953947364e-13,0.1122453720000045,0.0,0.0,0.0,0.0,0.32999999999981766,0.6699999999998577,1.8231981419083918e-13,1.4240242922622682e-13,7.69572418242458e-19,3.991815427452197e-14,2.4198523251986386e-27,5.142709698704531e-23,3.088559291706405e-25,6.947612956137046e-29,9.520946438562847e-31,5.11807899286924e-23,1.0588222893888753e-22,5.265823636990318e-35,3.4355111782223664e-40,1.900131218646839e-48,7.353716632957494e-47,5.113898265560322e-28,6.293949595134185e-26,4.252753484713005e-43,2.4907078930842223e-48,4.700158082535369e-55
6.049844531532649e-13,0.11224537200000897,0.0,0.0,0.0,0.0,0.3299999999996352,0.6699999999997152,3.647964907806716e-13,2.849381924967556e-13,3.078852651382461e-18,7.986137608731482e-14,9.713666321369495e-27,2.0709473086495798e-22,2.4813706675556152e-24,5.593913153439207e-28,7.62441893896761e-30,2.051139857901022e-22,4.238164181840596e-22,8.464021940206818e-34,1.1046000193394199e-38,6.186168109924626e-47,4.789532180231915e-45,4.09050140242898e-27,5.036056310195623e-25,6.811704797972156e-42,7.979105312945305e-47,1.6592126420549405e-53
1e-12,0.11224537200001795,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995291,6.02980888797832e-13,4.710094165362349e-13,9.102200165875207e-18,1.319805713648761e-13,2.875961375468823e-26,6.192852897345375e-22,1.38373520493754e-23,3.1490825245155293e-27,4.2476587857499303e-29,6.082351747236811e-22,1.2540505470419447e-21,9.147497928066406e-33,2.349442435729957e-37,1.3239530742585176e-45,2.0337517694224542e-43,2.2747466163018894e-26,2.8023008765435735e-24,7.353345724198579e-41,1.6950302669828325e-45,3.704249433662458e-52
1.210231600380847e-12,0.11224537200001795,0.0,0.0,0.0,0.0,0.32999999999927027,0.66999999999943,7.297452341017519e-13,5.700385598874472e-13,1.230789168290587e-17,1.597189779193273e-13,3.889607557660647e-26,8.386576196207066e-22,1.9881129715476667e-23,4.527344549244388e-27,6.102529386913737e-29,8.227806865989855e-22,1.6959102434359025e-21,1.3565431994241703e-32,3.5410534091182334e-37,1.995651936566118e-45,3.0906463206432182e-43,3.267690714623599e-26,4.025691662329177e-24,1.09043504652758e-40,2.5546782672628094e-45,5.587386438460371e-52
2.420725894836012e-12,0.11224537200003584,0.0,0.0,0.0,0.0,0.32999999999854035,0.6699999999988597,1.4596243415585735e-12,1.1403545743985505e-12,4.914757296432345e-17,3.1931889807713553e-13,1.5544910046025442e-25,3.435052927224906e-21,1.5897609794803904e-22,3.7031978270246513e-26,4.883106689130567e-28,3.3080792864141028e-21,6.785485136629683e-21,2.1697109424017257e-31,1.1328130834726284e-35,6.40448656459976e-44,1.9838780762841196e-41,2.605158984071008e-25,3.213689678068327e-23,1.7450757721998684e-39,8.176830461024644e-44,1.8332405213817989e-50
3.6312201892911765e-12,0.11224537200005376,0.0,0.0,0.0,0.0,0.32999999999781043,0.6699999999982893,2.1894851298820262e-12,1.7107857850312369e-12,1.043087436568125e-16,4.788036183361358e-13,3.300000374003423e-25,7.416906314544244e-21,4.5428445549666005e-22,1.0721541596680004e-25,1.4497508225308868e-27,7.054072342967317e-21,1.4420932374328575e-20,7.982068830854907e-31,5.169999634017034e-35,2.9247133079833307e-43,1.0902441664880467e-40,7.434054945656783e-25,9.17733888337396e-23,6.602245441174592e-39,3.814617687769995e-43,8.4081312335644425e-50
4.841714483746341e-12,0.11224537200007166,0.0,0.0,0.0,0.0,0.3299999999970805,0.6699999999977188,2.919327658927693e-12,2.281332108238004e-12,1.7773148654336762e-16,6.381732222431132e-13,5.623592143999879e-25,1.2836236390803089e-20,9.575660548265986e-22,2.286799671972321e-25,3.1589954909686334e-27,1.207145452451433e-20,2.4602736679805106e-20,2.0233507838414732e-30,1.5403727531505785e-34,8.717343967356436e-43,3.7484939953765866e-40,1.565153413932005e-24,1.933478188489772e-22,1.718585332441153e-38,1.1615733177006861e-42,2.512890647670367e-49
7.26270307265667e-12,0.11224537200010734,0.0,0.0,0.0,0.0,0.3299999999956207,0.6699999999965771,4.3789700485199666e-12,3.4226946578848222e-12,3.6725066581845367e-16,9.566425179550127e-13,1.1621640271102147e-24,2.7209266906516953e-20,2.6121738385182407e-21,6.360787873037795e-25,9.169605921530615e-27,2.5123131616921787e-20,5.094399166006079e-20,7.068722828785586e-30,6.7369760858072254e-34,3.8142874261261455e-42,2.0154772750868173e-39,4.261692862214211e-24,5.270449922020199e-22,6.30693813783311e-38,5.2921831517690733e-42,1.1029463876259195e-48
9.683691661566999e-12,0.11224537200014303,0.0,0.0,0.0,0.0,0.32999999999416085,0.669999999995435,5.8385457866291165e-12,4.564479824363227e-12,6.234292565198916e-16,1.2746891829367102e-12,1.9729837084754126e-24,4.7298084386843603e-20,5.459267093207358e-21,1.3521515982415565e-24,2.0052687458960828e-26,4.293850270057126e-20,8.665313107766087e-20,1.7647560202552213e-29,1.9615128431304475e-33,1.1108288192659598e-41,6.715144885803014e-39,8.89230905015029e-24,1.1008043477771606e-21,1.6354125446978918e-37,1.589583992492255e-41,3.217766307586889e-48
1e-11,0.11224537200017863,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952858,6.029237836831413e-12,4.713690374173195e-12,6.621456196098194e-16,1.3162093868577776e-12,2.095525861783017e-24,5.040047300584996e-20,5.950911027338765e-21,1.4776602819093447e-24,2.1968359489744058e-26,4.5648334596591894e-20,9.206020745428911e-20,1.970783060998597e-29,2.2412814482924937e-33,1.2693080744993027e-41,7.843442909051357e-39,9.690800851533281e-24,1.1998311437339886e-21,1.8357848060318933e-37,1.8253443049477567e-41,3.67772353093975e-48
