Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63)
1e-12,0.11224537200001536,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995292,6.02981444977469e-13,4.710059336853681e-13,8.545948686256713e-18,1.3198405432977077e-13,2.69987621132977e-26,5.800328746588045e-22,1.1691159998337954e-23,2.654037235161456e-27,3.5893835670199625e-29,5.683263482578351e-22,1.1771939089588393e-21,6.78895326825803e-33,1.5115407858203216e-37
1.0345669849422945e-12,0.11224537200001536,0.0,0.0,0.0,0.0,0.3299999999993762,0.6699999999995129,6.238245402086569e-13,4.872881596372965e-13,8.996675270031997e-18,1.365453741821458e-13,2.8423697867062364e-26,6.10743249708891e-22,1.2417250684164119e-23,2.819069656926137e-27,3.812257613258485e-29,5.983096787308817e-22,1.2392993997617117e-21,7.242653315712852e-33,1.6161482369721324e-37
2.0693585340228445e-12,0.1122453720000307,0.0,0.0,0.0,0.0,0.32999999999875224,0.6699999999990254,1.2477665510501725e-12,9.747944457373433e-13,3.593504837080145e-17,2.7300802814967263e-13,1.1364296652148493e-25,2.49330658460698e-21,9.932214226964048e-23,2.2987757947501434e-26,3.050496580338836e-28,2.3938542726767512e-21,4.958466850746735e-21,1.1587791407331115e-31,5.171825497769728e-36
3.104150083103394e-12,0.11224537200004599,0.0,0.0,0.0,0.0,0.3299999999981283,0.6699999999985378,1.8716951557562318e-12,1.4623849402120608e-12,7.628131804619017e-17,4.0938647098244316e-13,2.4130583724712244e-25,5.3717403539842145e-21,2.8385320703967535e-22,6.644047950537451e-26,9.056675516830994e-28,5.087515609518046e-21,1.0537925188204493e-20,4.2634301025047125e-31,2.360558836643921e-35
4.1389416321839435e-12,0.11224537200006127,0.0,0.0,0.0,0.0,0.32999999999750435,0.66999999999805,2.4956103917896524e-12,1.950059590847477e-12,1.299979894467955e-16,5.456807548939528e-13,4.11293617566085e-25,9.278601251261566e-21,5.983770909962198e-22,1.4149631803395016e-25,1.973447736714718e-27,8.679441767215512e-21,1.797797735520522e-20,1.080811454368448e-30,7.033651178074451e-35
6.208524730345043e-12,0.11224537200009183,0.0,0.0,0.0,0.0,0.3299999999962564,0.6699999999970744,3.743409604201235e-12,2.925606239632015e-12,2.6869494656033574e-16,8.180719687229177e-13,8.50236260609202e-25,1.9606614909888933e-20,1.6325582489544422e-21,3.926131578370342e-25,5.72835231295757e-27,1.7971925584178234e-20,3.722572049393187e-20,3.776354065573852e-30,3.076572760393042e-34
8.278107828506142e-12,0.11224537200012236,0.0,0.0,0.0,0.0,0.32999999999500845,0.6699999999960984,4.991159964926377e-12,3.901461927357056e-12,4.562496838084261e-16,1.09015413345585e-12,1.4438415061398407e-24,3.398565830564393e-20,3.412332107187657e-21,8.32854404085762e-25,1.2527190345678189e-26,3.056887820801717e-20,6.33180444869462e-20,9.42882222157509e-30,8.958339288637096e-34
1e-11,0.11224537200018325,0.0,0.0,0.0,0.0,0.3299999999939702,0.6699999999952861,6.029247320486813e-12,4.713630647333714e-12,6.526619445481394e-16,1.3162691156532518e-12,2.0655046466257296e-24,4.966590198465762e-20,5.8507156753473405e-21,1.458005942261721e-24,2.2132718438516127e-26,4.3807574838480626e-20,9.073955902019987e-20,1.9924707676443973e-29,2.4314722166848512e-33
1.241727402482834e-11,0.11224537200018325,0.0,0.0,0.0,0.0,0.32999999999251256,0.6699999999941452,7.486501803868053e-12,5.854185923944645e-12,9.902603690665689e-16,1.6333058084173195e-12,3.1340645108107793e-24,7.737501708593355e-20,1.0741456986901738e-20,2.7323652206831194e-24,4.1669436942855513e-26,6.66196136013778e-20,1.3799040220618527e-19,4.3537648177169415e-29,6.190780463430225e-33
1.655644022115054e-11,0.11224537200024401,0.0,0.0,0.0,0.0,0.32999999999001667,0.6699999999921904,9.981635737084043e-12,7.80824258366368e-12,1.7322001222967654e-15,2.175124776243132e-12,5.4825010220473324e-24,1.413842415476433e-19,2.4364686743348816e-20,6.415337941773523e-24,9.69345322207846e-26,1.1698802671451688e-19,2.4231875144881633e-19,1.2596077223303445e-28,2.247866805299925e-32
2.4834772613794938e-11,0.11224537200036493,0.0,0.0,0.0,0.0,0.32999999998502494,0.6699999999882761,1.4971288845228667e-11,1.1720355329043545e-11,3.830898153217489e-15,3.2547631531770977e-12,1.2125623603726293e-23,3.4183076788007393e-19,8.080315146847207e-20,2.3023443161100316e-23,3.3001802108554897e-25,2.6092390204614557e-19,5.404517549049086e-19,6.360387845091266e-28,1.7633827662304967e-31
4.139143739908374e-11,0.1122453720006048,0.0,0.0,0.0,0.0,0.3299999999750414,0.6699999999804296,2.4948209327456333e-11,1.956047366321951e-11,1.0414206131767921e-14,5.398146531395247e-12,3.296463406523126e-23,1.0967634208550767e-18,3.7434703748181603e-19,1.246211140891678e-22,1.5691778272203757e-24,7.219445173878466e-19,1.4953454334944312e-18,5.1879125439992055e-27,2.617532838846902e-30
5.794810218437253e-11,0.11224537200084189,0.0,0.0,0.0,0.0,0.3299999999650579,0.6699999999725585,3.492204308021029e-11,2.7421643454942118e-11,2.0084399762289818e-14,7.520477740980209e-12,6.357538952213944e-23,2.4062903696810718e-18,9.907793471066792e-19,3.6611156532690135e-22,4.212479823941519e-24,1.4142795185018902e-18,2.9293292014807586e-18,1.8256587569466442e-26,1.185058774036068e-29
7.450476696966132e-11,0.11224537200107637,0.0,0.0,0.0,0.0,0.3299999999550744,0.6699999999646641,4.489291809417624e-11,3.530366869716768e-11,3.271337888443725e-14,9.621952787109149e-12,1.0355238026600321e-22,4.381944945650011e-18,2.0409333739388123e-18,8.247004892923486e-22,8.779189438616049e-24,2.3385084988244524e-18,4.843588747113379e-18,4.6403766489597863e-26,3.632783866577342e-29
9.106143175495011e-11,0.11224537200130817,0.0,0.0,0.0,0.0,0.3299999999450909,0.6699999999567458,5.486096165542275e-11,4.32063473686973e-11,4.817374875203967e-14,1.1702773689110656e-11,1.5249232962458514e-22,7.13447419165988e-18,3.6348643831199025e-18,1.5931550364126055e-21,1.5805451193027243e-23,3.49521130289387e-18,7.239309748207524e-18,9.815025596233871e-26,8.974930487022826e-29
9.999999999999999e-11,0.1122453720017641,0.0,0.0,0.0,0.0,0.32999999993970097,0.6699999999524613,6.024134464145793e-11,4.748134446522443e-11,5.765831108065238e-14,1.2817641549705368e-11,1.825158687127298e-22,8.97737536642727e-18,4.755157263983097e-18,2.1733681547136918e-21,2.0795805154623917e-23,4.216506514728045e-18,8.733212859262755e-18,1.3951670507880957e-25,1.3827441128453502e-28
1.241747613255277e-10,0.1122453720017641,0.0,0.0,0.0,0.0,0.32999999992512385,0.6699999999408403,7.478899814640281e-11,5.907292444875319e-11,8.714455573955083e-14,1.5803193604869934e-11,2.7585525986752433e-22,1.5356013595373797e-17,8.837469753289576e-18,4.474976043323311e-21,3.9221932844566813e-23,6.508136687963804e-18,1.3479425209860514e-17,3.135882307391055e-25,3.704080124125546e-28
1.5728809089610528e-10,0.11224537200220983,0.0,0.0,0.0,0.0,0.3299999999051568,0.6699999999248444,9.470708517100577e-11,7.501978325815398e-11,1.3606340798969013e-13,1.9823328910647784e-11,4.307093992025726e-22,2.7881960770898383e-17,1.7404456151078823e-17,9.978143667626157e-21,7.875419490589282e-23,1.0457563904525871e-17,2.1658889708745574e-17,7.626921893473928e-25,1.0886651646152949e-27
1.9040142046668287e-10,0.11224537200264577,0.0,0.0,0.0,0.0,0.3299999998851898,0.669999999908761,1.146161280214509e-10,9.104527754269281e-11,1.9402424265530508e-13,2.376482584560357e-11,6.141865444987425e-22,4.5499690511045486e-17,3.0118012001945547e-17,1.9312501682071846e-20,1.3891572461176475e-22,1.534814470709446e-17,3.1787207530803156e-17,1.574449800757949e-24,2.6334914834632722e-27
2.2351475003726046e-10,0.11224537200307212,0.0,0.0,0.0,0.0,0.32999999986522277,0.6699999998925923,1.3451693089449566e-10,1.0714781259702924e-10,2.6022217965456017e-13,2.7629279100520804e-11,8.237387935017442e-22,6.890877988896931e-17,4.76729162874013e-17,3.391234414053516e-20,2.2417559637994366e-22,2.1184372095278966e-17,4.3873554491195605e-17,2.908063697362462e-24,5.607734276764181e-27
2.5662807960783807e-10,0.11224537200348914,0.0,0.0,0.0,0.0,0.32999999984525574,0.6699999998763405,1.54410191377985e-10,1.2332587292289e-10,3.339590396271374e-13,3.141820415984499e-11,1.05715601229697e-21,9.871623434195494e-17,7.067182194745691e-17,5.538988407350048e-20,3.3888103344650575e-22,2.797050699467032e-17,5.792662836011387e-17,4.947227409730633e-24,1.0867998213922312e-26
2.897414091784157e-10,0.112245372003897,0.0,0.0,0.0,0.0,0.3299999998252887,0.6699999998600075,1.7429652210617686e-10,1.3957800741732998e-10,4.1462166993481906e-13,3.5133052113275706e-11,1.3124972248006619e-21,1.3545532132961437e-16,9.964400355863076e-17,8.550838547442282e-20,4.872939061123811e-22,3.5710624142452085e-17,7.395474291402482e-17,7.896182454153983e-24,1.9586998597238867e-26
