Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435)
3.7969148207212243e-13,0.11224537200000564,0.0,0.0,0.0,0.0,0.32999999999977114,0.6699999999998212,2.2894894964221874e-13,1.7882424435646182e-13,1.2134111332721528e-18,5.012591828308206e-14,3.820671034663676e-27,8.122277289698241e-23,6.1251295485216105e-25,1.3777868122723568e-28,1.8853631326605212e-30,8.073411191080217e-23,1.6696929542871718e-22,1.3115343150416324e-34,1.0745695596589599e-39,5.973498181336938e-48,2.9310963707143336e-46,1.0124339129494598e-27,1.2461617325138496e-25,1.0575227822694287e-42,7.777635717250796e-48,1.5259805277201694e-54,4.802628099078692e-49,5.4500067641182806e-67,5.810043232572228e-75,1.674136311937282e-61,2.9632691314319375e-66,6.500652861391205e-74,4.319578924814986e-85,1.1115692148782047e-86,3.141539010962186e-87,3.33887916121234e-86,5.045233694879701e-88,2.4076446001450168e-95,1.803476755926831e-104,2.062815216330291e-99,2.333736095262352e-102
7.597128437985212e-13,0.1122453720000113,0.0,0.0,0.0,0.0,0.329999999999542,0.6699999999996422,4.580943866146437e-13,3.5781901138764707e-13,4.853951080330085e-18,1.0028022752466802e-13,1.5324491209491805e-26,3.2758184217296127e-22,4.9165698757934475e-24,1.1109222735901272e-27,1.5098046782507434e-29,3.2365647891429464e-22,6.683352165400612e-22,2.1060973164894548e-33,3.451638766712276e-38,1.9380028425588463e-46,1.903556835863979e-44,8.096364758916632e-27,9.969586725816147e-25,1.693845710161633e-41,2.4915954492941467e-46,5.288566042705758e-53,1.6643024987809832e-47,6.985820081407914e-65,1.503100762561925e-72,1.0726329644338514e-59,3.797216767727397e-64,1.6127797135225259e-71,2.2144363550613848e-82,3.2128931396921423e-84,1.7892634013774684e-84,1.9048228078860466e-83,5.74746267098887e-85,4.9090780873401175e-92,7.372747711931852e-101,8.411962531500156e-96,9.799519376179125e-99
1e-12,0.1122453720000225,0.0,0.0,0.0,0.0,0.3299999999993971,0.669999999999529,6.029805385840289e-13,4.710116130925494e-13,9.452460057872687e-18,1.3197837473660457e-13,2.986838509730029e-26,6.446732089670141e-22,1.5808534289992385e-23,3.610199385526855e-27,4.8529322583155186e-29,6.320485898813397e-22,1.302549965678762e-21,1.2105100228456953e-32,3.7320064451921477e-37,2.105310179650133e-45,4.007491620042647e-43,2.597502009504057e-26,3.2005529812016777e-24,9.73083537043313e-41,2.6924115716730287e-45,5.934716127593504e-52,1.868491451364996e-46,2.876029988766492e-63,1.2458457062385831e-70,2.2447618293958584e-58,1.5633716015328616e-62,1.2385099208539343e-69,3.600200239484645e-80,2.801199401749325e-82,3.0249404075796e-82,3.2229760550310095e-81,1.9395271395048396e-82,2.735535079964521e-89,8.252177384688531e-98,9.369411537091416e-93,1.1079879274520387e-95
1.5197555672513188e-12,0.1122453720000225,0.0,0.0,0.0,0.0,0.3299999999990837,0.6699999999992842,9.163779972503824e-13,7.158540168140935e-13,1.9399311483126806e-17,2.005433731551697e-13,6.132770209617685e-26,1.3305609019419442e-21,3.9368508248135675e-23,9.01628605935515e-27,1.208431823515535e-28,1.2991192694190658e-21,2.674394603189645e-21,3.373354476379277e-32,1.1057950570630474e-36,6.240021021847999e-45,1.2264186173723508e-42,6.464762662473043e-26,7.967059972146497e-24,2.711532726714021e-40,7.977312617458706e-45,1.7627915329092735e-51,5.550152174560319e-46,8.945948300292451e-63,3.9081719078206596e-70,6.868299683254474e-58,4.86290229872779e-62,3.882595955891789e-69,1.1339750246450692e-79,8.790865332416461e-82,9.529365554594192e-82,1.0153264595852948e-80,6.122408858031186e-82,8.642043313666532e-89,2.608618557185483e-97,2.9617816490684188e-92,3.502512742514505e-95
3.0398410141569137e-12,0.11224537200004503,0.0,0.0,0.0,0.0,0.3299999999981671,0.6699999999985679,1.832916284392778e-12,1.4321057475011952e-12,7.74279243080229e-17,4.008879386261318e-13,2.449389753517631e-25,5.481073015552153e-21,3.1461060483770475e-22,7.414652709143227e-26,9.669522460479574e-28,5.229797056112077e-21,1.070078448470269e-20,5.392133668219332e-31,3.5353320424265766e-35,2.0000301482620684e-43,7.863849802123645e-41,5.149241242410299e-25,6.356295661993499e-23,4.33933717371959e-39,2.553286470252931e-43,5.751136617007956e-50,1.81145041695015e-44,1.1447847248393276e-60,1.0299001526718942e-67,4.396370782645005e-56,6.225465066942059e-60,8.874282863033581e-67,5.800935193653607e-77,2.3305702971450744e-79,4.8004467397653255e-79,5.116867450244026e-78,6.168695366538336e-79,1.2924464696867728e-85,7.878601436488072e-94,8.859253011242041e-89,1.0556627230373455e-91
4.559926461062509e-12,0.1122453720000675,0.0,0.0,0.0,0.0,0.3299999999972505,0.6699999999978513,2.749425756024732e-12,2.1485390325512202e-12,1.642756883696206e-16,6.010509437769149e-13,5.197792181231973e-25,1.1879226521168937e-20,8.987604372150433e-22,2.153044508087713e-25,2.870782026115032e-27,1.1161420947378286e-20,2.2742405512962538e-20,1.983209248105754e-30,1.6131433733302251e-34,9.130443331260385e-43,4.320498766002699e-40,1.4686002371617118e-24,1.8145508254442412e-22,1.6417157346150803e-38,1.1911411027543379e-42,2.634594969104122e-49,8.298965128449943e-44,7.56062965583797e-60,6.300856541152522e-67,2.4585034501119228e-55,4.076707492046701e-59,6.488620671746071e-66,4.946902935538539e-76,1.766223083318476e-78,4.063785217853157e-78,4.3318588457568505e-77,5.833753286829503e-78,1.2844782319438035e-84,8.630454750324986e-93,9.687607439991554e-88,1.1551720822538173e-90
6.0800119079681036e-12,0.1122453720000899,0.0,0.0,0.0,0.0,0.3299999999963339,0.6699999999971346,3.6659065302781645e-12,2.8651537066435506e-12,2.7982435011070335e-16,8.010325539267424e-13,8.854740907889702e-25,2.0627687636101017e-20,1.893995690248996e-21,4.604181838201412e-25,6.255381345196479e-27,1.911509911307401e-20,3.8800216785884416e-20,5.0261487486561825e-30,4.805431758899046e-34,2.7207161463986292e-42,1.4851803973969062e-39,3.0904750101395724e-24,3.8217098127142984e-22,4.2734112001704097e-38,3.6270752570569857e-42,7.867608712364726e-49,2.4784327427061803e-43,3.315000333148418e-59,3.850369080551187e-66,8.60588812046928e-55,1.616785282036899e-58,2.8066410213006664e-65,2.6976075672291793e-75,8.934077393099717e-78,2.2028778273161892e-77,2.348258927647726e-76,3.4113194336324004e-77,7.767156072659429e-84,5.639338300986091e-92,6.291077391901414e-87,7.505208610068824e-90
9.120182801779293e-12,0.11224537200013468,0.0,0.0,0.0,0.0,0.3299999999945007,0.6699999999957006,5.4988010923469595e-12,4.298808251563477e-12,5.77915995556635e-16,1.2005705635023356e-12,1.8289388866995688e-24,4.3957470539919806e-20,5.164689941183996e-21,1.2860144169630909e-24,1.8157297217480927e-26,3.9833237171436327e-20,8.03445635867436e-20,1.755345452548879e-29,2.1011058691513025e-33,1.1900087935130866e-41,7.982968062141218e-39,8.408181328219611e-24,1.041222002685352e-21,1.5682561434454375e-37,1.6524962793406688e-41,3.449759384479655e-48,1.0868062197470475e-42,3.2026321997380775e-58,7.114271454268612e-65,4.7894321838927606e-54,1.0834664864279499e-57,2.1375014157163082e-64,3.9110390643745735e-74,1.1688546568927357e-76,3.1657232777661444e-76,3.374765115138065e-75,5.4256272832380726e-76,1.2892037320551484e-82,1.070646725801252e-90,1.1501856042665649e-85,1.3729812942685281e-88
1e-11,0.11224537200017945,0.0,0.0,0.0,0.0,0.3299999999939702,0.6699999999952855,6.029216292190426e-12,4.713828177492049e-12,6.836926025882448e-16,1.3160715789930017e-12,2.16373429155783e-24,5.247957992947947e-20,6.5505761897973694e-21,1.642827795282748e-24,2.3401747874479677e-26,4.724882491918096e-20,9.512437391520759e-20,2.3740695000095547e-29,3.0168486857588032e-33,1.708797741040464e-41,1.2123040125332188e-38,1.0657187174097298e-23,1.3202868016408956e-21,2.151677491171521e-37,2.4028589895216064e-41,4.956537813841209e-48,1.5615235820048226e-42,5.411306605760002e-58,1.3309102760821873e-64,7.354161650434607e-54,1.7513743834550194e-57,3.5774041899278675e-64,7.21257899466834e-74,2.0009775250268044e-76,5.802087926474055e-76,6.185359955908986e-75,1.0596540948537474e-75,2.5789831725340234e-82,2.2623295941330215e-90,2.4190541680326062e-85,2.8884634976112393e-88
1.2160353695590483e-11,0.11224537200017945,0.0,0.0,0.0,0.0,0.3299999999926675,0.6699999999942658,7.331591098242147e-12,5.733128457532649e-12,9.805757526419238e-16,1.599442890105451e-12,3.103421101920253e-24,7.677696397653191e-20,1.079024678340717e-20,2.743467439424929e-24,3.970722508783946e-26,6.816130266892152e-20,1.366658283418513e-19,4.3811889629323684e-29,6.1161945413338674e-33,3.4647286598086223e-41,2.659192626610338e-38,1.7531755275279534e-23,2.1737431043666377e-21,4.066507080743173e-37,4.963473818506524e-41,1.0058183052773566e-47,3.1688347613032683e-42,1.3458374725076399e-57,3.6608780352767475e-64,1.6370641879246382e-53,4.1553122729848134e-57,8.831770135736461e-64,1.9599888040790857e-73,5.033935572519122e-76,1.5672851595649766e-75,1.6708539469562327e-74,3.0338575777924836e-75,7.534476626792754e-82,6.898864149858698e-90,7.351860078098662e-85,8.780361971995248e-88
