Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12)
1.5046207981540625e-09,0.11224537199953327,0.0,0.0,0.0,0.0,0.3299999992913949,0.6699999992872366,7.044469550635272e-10,7.086049928153153e-10,4.1580377517880065e-12
1.6400058217307824e-09,0.11224537199947869,0.0,0.0,0.0,0.0,0.32999999922763495,0.6699999992229907,7.677207894035506e-10,7.723649139914727e-10,4.644124587922072e-12
1.7753908453075023e-09,0.11224537199942387,0.0,0.0,0.0,0.0,0.329999999163875,0.6699999991587424,8.309924807183581e-10,8.361248351490759e-10,5.132354430717877e-12
1.910775868884222e-09,0.11224537199936889,0.0,0.0,0.0,0.0,0.32999999910011507,0.6699999990944929,8.942626773306766e-10,8.998847562881126e-10,5.6220789574360076e-12
2.0953554790570776e-09,0.11224537199929378,0.0,0.0,0.0,0.0,0.32999999901318683,0.6699999990068954,9.80521664863611e-10,9.868129930570303e-10,6.2913281934193745e-12
2.279935089229933e-09,0.11224537199921854,0.0,0.0,0.0,0.0,0.3299999989262586,0.6699999989192968,1.066779481060463e-09,1.073741229791382e-09,6.961748730919268e-12
2.4645146994027885e-09,0.11224537199914315,0.0,0.0,0.0,0.0,0.32999999883933034,0.6699999988316973,1.1530365728237405e-09,1.160669466491135e-09,7.63289366739449e-12
2.649094309575644e-09,0.1122453719990678,0.0,0.0,0.0,0.0,0.3299999987524021,0.6699999987440974,1.2392932020189173e-09,1.247597703156258e-09,8.304501137340919e-12
2.8336739197484993e-09,0.11224537199899237,0.0,0.0,0.0,0.0,0.32999999866547386,0.6699999986564974,1.3255495471971826e-09,1.334525939786719e-09,8.976392589536544e-12
3.0182535299213548e-09,0.11224537199891696,0.0,0.0,0.0,0.0,0.3299999985785456,0.669999998568897,1.411805723047801e-09,1.4214541763824862e-09,9.648453334685678e-12
3.20283314009421e-09,0.1122453719988415,0.0,0.0,0.0,0.0,0.3299999984916174,0.6699999984812967,1.4980618038595694e-09,1.5083824129435283e-09,1.0320609083959057e-11
3.571992360439921e-09,0.11224537199869061,0.0,0.0,0.0,0.0,0.3299999983177609,0.6699999983060958,1.6705738108602473e-09,1.6822388859613088e-09,1.1665075101061687e-11
