Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407)
3.655364790847511e-13,0.11224537200000541,0.0,0.0,0.0,0.0,0.3299999999997796,0.669999999999828,2.2041371328518003e-13,1.721573554712837e-13,1.124649613219083e-18,4.8257482079954984e-14,3.540456075213552e-27,7.525823544837198e-23,5.4641023445891455e-25,1.2290407272489093e-28,1.6822664369083785e-30,7.482233695988068e-23,1.5475183223921102e-22,1.126355929565433e-34,8.884370190583054e-40,4.934995787023989e-48,2.3311002472156463e-46,9.034098273549424e-28,1.1119515056250072e-25,9.084258532997033e-43,6.432017496112978e-48,1.2544710533823637e-54,3.948353594460689e-49,4.1773298459161966e-67,4.286054693170776e-75,1.3328785628872638e-61,2.271280288786211e-66,4.8027655003164245e-74,3.0686358491788704e-85,8.131181799060262e-87,2.213740801825775e-87,2.35249731988302e-86,3.42265815222694e-88,1.5794695802240804e-95
7.313905398194456e-13,0.11224537200001086,0.0,0.0,0.0,0.0,0.329999999999559,0.6699999999996556,4.41016675749981e-13,3.444783324103615e-13,4.498981148889597e-18,9.654284078814017e-14,1.4202341837536798e-26,3.034412265171748e-22,4.386580380425989e-24,9.90727883034646e-28,1.3471647063526897e-29,2.9993910090876996e-22,6.194310575613324e-22,1.808998550535725e-33,2.854190290339696e-38,1.6019295026008645e-46,1.514744081487984e-44,7.224814354987746e-27,8.896115454347887e-25,1.4550364573801038e-41,2.060522764065814e-46,4.359964614802601e-53,1.3720432845231102e-47,5.354534992274774e-65,1.108531211125447e-72,8.539873808161969e-60,2.910486370365531e-64,1.1929201517778857e-71,1.573157669501753e-82,2.359175672086712e-84,1.2661788698875901e-84,1.3478680697744407e-83,3.915571897926705e-85,3.245580909845941e-92
1e-12,0.1122453720000217,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029805426684069e-13,4.710115868366265e-13,9.44837526004163e-18,1.319784009933952e-13,2.9855454393902834e-26,6.442540113210331e-22,1.5671791329501651e-23,3.5772911984901e-27,4.8108954203181725e-29,6.317386140452549e-22,1.3019651788278886e-21,1.178265713580771e-32,3.5377131273330337e-37,1.9954180472550304e-45,3.6795660118445854e-43,2.5751792416910813e-26,3.1729629716635158e-24,9.471538259004303e-41,2.552222865032178e-45,5.6192594643577496e-52,1.769137467450303e-46,2.5510988933026616e-63,1.06452940847182e-70,2.0614496298826645e-58,1.3867170717967026e-62,1.064019696063589e-69,2.9673300135081537e-80,2.3899807607511907e-82,2.491501380745085e-82,2.65453002826299e-81,1.5385761653174113e-82,2.1173409579709484e-89
1.4630986612888344e-12,0.1122453720000217,0.0,0.0,0.0,0.0,0.3299999999991178,0.6699999999993109,8.822158678005474e-13,6.891624319108647e-13,1.7981424637843395e-17,1.930714112025028e-13,5.684235003407854e-26,1.2318354922066874e-21,3.512816520168807e-23,8.036679962836177e-27,1.0782572872125792e-28,1.2037806793042686e-21,2.478694537615288e-21,2.897783684350185e-32,9.14486129712377e-37,5.159455103175358e-45,9.762205459754009e-43,5.769340285921235e-26,7.109596432107157e-24,2.329246344181904e-40,6.597160292096061e-45,1.4555512700290052e-51,4.582687114863527e-46,6.857029524558046e-63,2.88072959159002e-70,5.468278719284629e-58,3.727321143204546e-62,2.877886189266661e-69,8.056061005453065e-80,6.469775936685932e-82,6.765168048533815e-82,7.207859395852702e-81,4.184422167418649e-82,5.762166938023255e-89
2.926514904227612e-12,0.11224537200004332,0.0,0.0,0.0,0.0,0.32999999999823537,0.6699999999986213,1.7645874266948381e-12,1.378699065610471e-12,7.177501451167522e-17,3.8596011181268765e-13,2.2705043729708875e-25,5.0691251840055e-21,2.8075395127540485e-22,6.602626276035307e-26,8.627915986033935e-28,4.8448894058586476e-21,9.917699094017091e-21,4.632453187338806e-31,2.9240117527663893e-35,1.6540285455487409e-43,6.260900356611883e-41,4.59611060163003e-25,5.672807599986393e-23,3.72756354486874e-39,2.11154838876344e-43,4.752909070869057e-50,1.4970106828856598e-44,8.774936629157018e-61,7.583766655748422e-68,3.500240618161949e-56,4.7717231935731284e-60,6.601238942083548e-67,4.121332464486808e-77,1.7173916733413264e-79,3.418250126072424e-79,3.643504814522339e-78,4.228770158627427e-79,8.699730359801428e-86
4.38993114716639e-12,0.11224537200006499,0.0,0.0,0.0,0.0,0.32999999999735297,0.6699999999979316,2.646932266271575e-12,2.0684039863474456e-12,1.5229130895708734e-16,5.786805198642902e-13,4.818510505758202e-25,1.0978940609916976e-20,8.020819001584542e-22,1.916227241680506e-25,2.5615418604321545e-27,1.0338343091630509e-20,2.1078037960712563e-20,1.703874541015714e-30,1.3342513795390269e-34,7.55131029196624e-43,3.439986914272681e-40,1.3109711031314246e-24,1.619534260580296e-22,1.4102630716874737e-38,9.850655627754335e-43,2.1777140362522907e-49,6.859692625629185e-44,5.795368869190837e-60,4.640409920730995e-67,1.9573800593264155e-55,3.124738251111199e-59,4.830751906365903e-66,3.5146136042187164e-76,1.3017496275599511e-78,2.895275666296185e-78,3.0862227757155147e-77,4.001123102585197e-78,8.658502924035447e-85
5.853347390105167e-12,0.1122453720000866,0.0,0.0,0.0,0.0,0.32999999999647056,0.6699999999972416,3.529250492001692e-12,2.758277046590002e-12,2.5942472843877773e-16,7.712327828878501e-13,8.209099707210614e-25,1.9052944323211807e-20,1.6903347693481154e-21,4.095838619032016e-25,5.5815575604413e-27,1.770298743884256e-20,3.5960567043589295e-20,4.318374416576277e-30,3.974757353086173e-34,2.250257904368327e-42,1.182548464514028e-39,2.7590087974009166e-24,3.411168819281788e-22,3.670940565696116e-38,2.9995693299427e-42,6.504054101345882e-49,2.048863491168446e-43,2.5410268137403085e-59,2.8337262716085053e-66,6.851737640911561e-55,1.239244626471235e-58,2.0911104456957424e-65,1.916579258600078e-75,6.58518459336986e-78,1.5700405773967906e-77,1.673634859743789e-76,2.3405118284267783e-77,5.2412549834885225e-84
8.780179875982723e-12,0.1122453720001297,0.0,0.0,0.0,0.0,0.3299999999947057,0.6699999999958611,5.293824807937027e-12,4.138417323057506e-12,5.358344513551183e-16,1.155943139987927e-12,1.695745306929776e-24,4.0563098361082565e-20,4.6096540267050856e-21,1.1431693500915994e-24,1.6201439241008093e-26,3.688201882867235e-20,7.446402979284172e-20,1.5082495529674152e-29,1.7379942771078957e-33,9.842995438288967e-42,6.356674329128359e-39,7.507470628108987e-24,9.294576260158226e-22,1.3471644356068728e-37,1.3666069236759588e-41,2.8523288215408946e-48,8.98583329705179e-43,2.4549193494947438e-58,5.227892974093756e-65,3.8132062154001464e-54,8.304648892796953e-58,1.5945863053883392e-64,2.7787310881691183e-74,8.616371585047142e-77,2.257431597517018e-76,2.406467743610317e-75,3.7243393378968656e-76,8.711822881480956e-83
1e-11,0.11224537200017279,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952856,6.029220309592552e-12,4.7138025275836165e-12,6.796747552505181e-16,1.31609722974705e-12,2.1510155244684585e-24,5.2100807106579384e-20,6.447002489987116e-21,1.6143656351007485e-24,2.3169119524874448e-26,4.695271932651567e-20,9.455439099504235e-20,2.305237666338069e-29,2.881509137513816e-33,1.6321036058958586e-41,1.136054093209444e-38,1.0490234654463217e-23,1.299479894270172e-21,2.0998692410312755e-37,2.3046469913525224e-41,4.73334494177242e-48,1.491201758938741e-42,5.043373912500331e-58,1.2223383409250691e-64,6.915633856291155e-54,1.6114780448596938e-57,3.238923959995419e-64,6.3841078146823626e-74,1.7997418373105436e-76,5.148090796684176e-76,5.488136662113454e-75,9.200682449713554e-76,2.2188003734857124e-82
1.1707012361860279e-11,0.11224537200017279,0.0,0.0,0.0,0.0,0.32999999999294083,0.66999999999448,7.058302125395967e-12,5.519174684768527e-12,9.092538106785238e-16,1.5400363915264263e-12,2.8776711986457532e-24,7.07879782540489e-20,9.631230180269103e-21,2.4371859128186626e-24,3.543011684672455e-26,6.309757701808261e-20,1.2666241219140175e-19,3.7646383303493653e-29,5.059393181680312e-33,2.865935340500589e-41,2.117545493324929e-38,1.5655736491714455e-23,1.9405758113345335e-21,3.493219817143755e-37,4.1047761429545e-41,8.31713655506443e-48,2.6202933902050142e-42,1.031637095584935e-57,2.688708836008548e-64,1.3033855171674435e-53,3.1850058539860014e-57,6.593831850053059e-64,1.3925627091301522e-73,3.7115294657622863e-76,1.1183816795975477e-75,1.192274061037832e-74,2.083663001320258e-75,5.0986892940518354e-82
1.4633844847737836e-11,0.11224537200021578,0.0,0.0,0.0,0.0,0.32999999999117596,0.6699999999930982,8.822676211607102e-12,6.900592226009899e-12,1.385915658716703e-15,1.9234694417574596e-12,4.386418160779315e-24,1.1095470939998205e-19,1.7507488802562578e-20,4.520443911368619e-24,6.647000942911473e-26,9.697660178902976e-20,1.9353962575194413e-19,7.978158292568754e-29,1.2273115072794608e-32,6.95329149574905e-41,5.794183830737762e-38,2.840369357869366e-23,3.525042675871264e-21,7.637611509733535e-37,1.024186501849241e-40,2.0201399083871625e-47,6.36459763863365e-42,3.524784201096575e-57,1.1424340525728548e-63,3.6550388313299252e-53,9.921104306992243e-57,2.1970606753221985e-63,5.763290654693756e-73,1.4784244929695052e-75,4.58982983093133e-75,4.8931290668349965e-74,9.159751375501937e-75,2.3087199600224978e-81
2.0487509819492946e-11,0.11224537200030149,0.0,0.0,0.0,0.0,0.3299999999876463,0.669999999990332,1.2351112860634251e-11,9.665442671256899e-12,2.6507923871003644e-15,2.688320112707039e-12,8.39015424927652e-24,2.257840010885623e-19,4.6036613055117783e-20,1.2533975724101885e-23,1.8185911487566233e-25,1.8903845202654597e-19,3.72291116148353e-19,2.9120347803704805e-28,6.326636130098259e-32,3.5854618140752904e-40,4.314616114656302e-37,7.429994670287258e-23,9.251907731406469e-21,2.937396320020658e-36,5.618578703280148e-40,1.0440337143356934e-46,3.2895147266442645e-41,4.776798380347196e-56,2.5333103883576763e-62,2.918819800889975e-52,1.1823173060314946e-55,3.3973375457529117e-62,1.97107881188356e-71,3.0553058168746465e-74,1.4426373036143686e-73,1.5381293892429342e-72,4.8754026607045855e-73,1.4587437912521304e-79
3.219483976300317e-11,0.11224537200047185,0.0,0.0,0.0,0.0,0.3299999999805869,0.6699999999847905,1.940677356420399e-11,1.5203118025063815e-11,6.393231520095388e-15,4.2100467256949896e-12,2.0236464832037515e-23,6.150768845484712e-19,1.76352039712876e-19,5.369365387887302e-23,7.221116672322248e-25,4.744101285880988e-19,9.088999456366804e-19,1.8299624209748826e-27,6.7775897783784845e-31,3.842240381325757e-39,8.184209037851273e-36,2.81281406259186e-22,3.5293110939356733e-20,1.93831931447967e-35,6.391533481832669e-39,1.1213373438428914e-45,3.5333127462002745e-40,1.5980629037519095e-54,1.5038724811270577e-60,5.928603261877958e-51,4.425124805532617e-54,1.7293613707214722e-60,2.2410853732211078e-69,1.810061914080345e-72,1.3662884641139366e-71,1.456836820651579e-70,9.065794204517499e-71,3.117515603438136e-77
4.390216970651339e-11,0.11224537200064087,0.0,0.0,0.0,0.0,0.32999999997352747,0.669999999979237,2.6460850540033394e-11,2.0751384173944125e-11,1.1719484635129657e-14,5.721182188892594e-12,3.709644553644047e-23,1.247351942345839e-18,4.343795983755881e-19,1.4351705945075599e-22,1.8076094125247537e-24,9.010580982279623e-19,1.6848172051819554e-18,5.924619232008108e-27,2.8145738148187188e-30,1.5957496002924384e-38,4.248676110500586e-35,6.863166689741494e-22,8.66416499084056e-20,6.389692438748204e-35,2.703595602983472e-38,4.6604067470884596e-45,1.4685157982297012e-39,1.0253128211596711e-53,1.241169812269943e-59,3.131792592074071e-50,2.845320050420971e-53,1.1962194792345018e-59,1.9786540501827484e-68,1.3771151279319232e-71,1.146892900895942e-70,1.2229156500123318e-69,8.766799670271962e-70,3.0762628878571315e-76
6.731682959353384e-11,0.1122453720009749,0.0,0.0,0.0,0.0,0.32999999995940865,0.6699999999680939,4.056450256650643e-11,3.187930069663093e-11,2.6873919815238402e-14,8.712067825049832e-12,8.506756707046818e-23,3.4561158555914666e-18,1.5495442380074435e-18,6.0890759069772725e-22,6.605137830082151e-24,2.222411412337435e-18,3.956552739130396e-18,3.334842287979244e-26,2.5480280051499535e-29,1.4448196485253657e-37,6.308774129747196e-34,2.3939002891852964e-21,3.0661138276894467e-19,3.693879245766615e-34,2.520837848227977e-37,4.22361522581149e-44,1.3309180977559363e-38,2.6573062615077088e-52,6.65079344108544e-58,4.798258029067254e-49,7.301813999633176e-52,3.609762434527535e-58,1.5381114476286413e-66,6.284826870461771e-70,6.984337529197753e-69,7.447513507262862e-68,9.324213928001951e-68,3.475621899304141e-74
8.820011222488006e-11,0.11224537200126831,0.0,0.0,0.0,0.0,0.3299999999468162,0.6699999999581155,5.313851436520439e-11,4.183918643098359e-11,4.5273154363896676e-14,1.1344588269071375e-11,1.4331045705946196e-22,6.645577664568587e-18,3.3764234857566138e-18,1.4760278943917966e-21,1.4598491532197703e-23,3.9598376836548064e-18,6.794173064613295e-18,9.148428357783878e-26,8.565666142454745e-29,4.85722168453222e-37,2.5288860617679686e-33,5.134443678861754e-21,6.643427671468891e-19,1.0260810035350867e-33,8.568440483029362e-37,1.4203099504088223e-43,4.4756262725204075e-38,1.3514826461556097e-51,4.7277852926784324e-57,1.9414839161817956e-48,3.42609733213659e-51,1.7531772817891692e-57,1.042530781781409e-65,3.927415562202975e-69,4.554737544590588e-68,4.856808623777825e-67,6.571439475483317e-67,2.464555181230667e-73
9.999999999999999e-11,0.11224537200155751,0.0,0.0,0.0,0.0,0.32999999993970097,0.6699999999524612,6.024141788736625e-11,4.748131914939529e-11,5.758400991059072e-14,1.2817666885282544e-11,1.822806634540434e-22,9.061374691471904e-18,4.861838686493675e-18,2.2566539268288207e-21,2.1190802328575998e-23,5.196241493645084e-18,8.73697385845093e-18,1.483014324446569e-25,1.5573866328326382e-28,8.8314408496799e-37,5.139641135644546e-33,7.322971256804563e-21,9.533342386431312e-19,1.6755812172615423e-33,1.5687535286285978e-36,2.5827755387174e-43,8.138776742866952e-38,3.045797973127531e-51,1.2426206317662262e-56,3.9714449496793614e-48,7.807625257722337e-51,4.0912368643577005e-57,2.781345208960803e-65,9.277976940823953e-69,1.139004294492218e-67,1.2145487968533837e-66,1.854482579422729e-66,7.016522240988097e-73
1.0908339485622629e-10,0.11224537200155751,0.0,0.0,0.0,0.0,0.3299999999342238,0.6699999999481004,6.570819565951924e-11,5.183163982423928e-11,6.800244079991927e-14,1.394453992344988e-11,2.152604187242501e-22,1.1222842139506288e-17,6.228182155254655e-18,3.0005386564084987e-21,2.728645943706645e-23,6.273280655164601e-18,1.0399470155759382e-17,2.0382753561689175e-25,2.2743326647349314e-28,1.2897132056061523e-36,7.906001625741797e-33,9.322468732310597e-21,1.2185187719798515e-18,2.3125135075318174e-33,2.2988578029268545e-36,3.7720481900079e-43,1.1886406207157924e-37,4.881676446559066e-51,2.1009804057267817e-56,6.12631812642828e-48,1.258632547302828e-50,6.654126395041363e-57,4.728125760996924e-65,1.5111666500685278e-68,1.8942054359166195e-67,2.0198419101942555e-66,3.2083842269322567e-66,1.2171152882283152e-72
1.2996667748757252e-10,0.11224537200184276,0.0,0.0,0.0,0.0,0.32999999992163137,0.6699999999380489,7.82737717929862e-11,6.185627660855126e-11,9.483620423801763e-14,1.651230705647192e-11,3.0020337953146845e-22,1.7383938374068885e-17,1.0303414828164668e-17,5.414473348982933e-21,4.5703999131950244e-23,9.203155219724107e-18,1.4774656870165956e-17,3.9413493026747927e-25,5.078477203783496e-28,2.8799259220293277e-36,2.0162868838386624e-32,1.5186564256671832e-20,2.004657586651428e-18,4.518274199941339e-33,5.180096152581988e-36,8.424178233054464e-43,2.6546223009844107e-37,1.4661656242489615e-50,8.156283817043109e-56,1.5747821748573615e-47,3.656737343423524e-50,1.9793511934040145e-56,1.7906014066336142e-64,5.361980926855495e-68,6.876008265832033e-67,7.332084035729302e-66,1.2582159387063917e-65,4.797269486472581e-72
