Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17)
2.8438248444557184e-13,0.11224537200000423,0.0,0.0,0.0,0.0,0.3299999999998286,0.6699999999998661,1.7147911068294732e-13,1.339349040758749e-13,6.807945628067698e-19,3.7544887169396786e-14,2.1397924575700766e-27,4.5476740577798746e-23,2.568529419932109e-25,5.778572724775797e-29,7.921584467497965e-31,4.5271930204133323e-23,9.366489670932806e-23,4.118671344004976e-35,2.5272714600001165e-40,1.3956056697718942e-48,5.079833870257302e-47,4.255076150539549e-28,5.236848560412557e-26
5.690120431608618e-13,0.11224537200000845,0.0,0.0,0.0,0.0,0.32999999999965696,0.6699999999997321,3.4310584269983707e-13,2.6799467644333285e-13,2.723752105356083e-18,7.511388908027042e-14,8.591517264950961e-27,1.8306750594288322e-22,2.0641311106109213e-24,4.651100659116839e-28,6.343645274536297e-30,1.8141991779775443e-22,3.749133073608014e-22,6.622039581625073e-34,8.128178466856631e-39,4.548468141875154e-47,3.312122774218834e-45,3.4037315721058844e-27,4.190369755868364e-25
1e-12,0.1122453720000169,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995291,6.029810853122109e-13,4.710081856361079e-13,8.905659622132685e-18,1.3198180230530651e-13,2.8137451390278384e-26,6.05356909057044e-22,1.3024599390547124e-23,2.961067135333977e-27,3.998210594089601e-29,5.949559931146553e-22,1.2268856294670114e-21,8.19761904519348e-33,1.992871111113823e-37,1.1226113703484478e-45,1.6271385587161575e-43,2.1415117050895436e-26,2.638005583699101e-24
1.1382711605914417e-12,0.1122453720000169,0.0,0.0,0.0,0.0,0.3299999999993137,0.6699999999994639,6.863552279878661e-13,5.361397353380953e-13,1.0888962202749099e-17,1.5022637790715795e-13,3.440825073273338e-26,7.40837367263573e-22,1.654097762256838e-23,3.7618293731155915e-27,5.07741221052436e-29,7.2762817611451495e-22,1.5002185611651009e-21,1.0615158962697305e-32,2.6061543143854445e-37,1.468179164109132e-45,2.138537132293719e-43,2.719359678447558e-26,3.3499033522814745e-24
2.2767893954526017e-12,0.11224537200003373,0.0,0.0,0.0,0.0,0.32999999999862717,0.6699999999989275,1.3728377337285804e-12,1.072531840147199e-12,4.3486363148635617e-17,3.003493652006844e-13,1.3753594381215746e-25,3.030310872211568e-21,1.322880551629315e-22,3.0731539058225055e-26,4.062838532912794e-28,2.9246530527821786e-21,6.002466743175463e-21,1.6981054422638092e-31,8.338658520056665e-36,4.713410946902836e-44,1.3732217976787166e-41,2.1684710170862187e-25,2.674580000087078e-23
3.4153076303137616e-12,0.11224537200005058,0.0,0.0,0.0,0.0,0.32999999999794066,0.6699999999983909,2.0593040246273327e-12,1.609025862403564e-12,9.23006999830538e-17,4.503704317056716e-13,2.9199944264324747e-25,6.5371651206544174e-21,3.7804856453404965e-22,8.89121855020824e-26,1.20622179081289e-27,6.23521834432439e-21,1.2756756268292901e-20,6.247473798822539e-31,3.805841609528041e-35,2.15264964196209e-43,7.547158744760003e-41,6.188693123660467e-25,7.63840718519359e-23
4.553825865174921e-12,0.1122453720000674,0.0,0.0,0.0,0.0,0.32999999999725416,0.6699999999978542,2.7457541505237047e-12,2.1456217325823314e-12,1.5728208180383807e-16,6.002896469463803e-13,4.976408142058642e-25,1.1304713984619277e-20,7.969187492274505e-22,1.895239270389727e-25,2.62835059213584e-27,1.0668229016160309e-20,2.1763490508945273e-20,1.583732363360209e-30,1.1339778613356733e-34,6.416574181114787e-43,2.595030416993184e-40,1.3031033112565537e-24,1.6093721401057265e-22
6.830862334897241e-12,0.112245372000101,0.0,0.0,0.0,0.0,0.32999999999588114,0.6699999999967806,4.118616618049564e-12,3.2190522882950113e-12,3.2503374762643413e-16,8.998892542276545e-13,1.0285468792254746e-24,2.3932426628962468e-20,2.1741398837446747e-21,5.266408953559805e-25,7.62932214075834e-27,2.2196078758894603e-20,4.5064559018199583e-20,5.5333196077472146e-30,4.959907341314609e-34,2.8078522516656454e-42,1.3954101233827983e-39,3.548829843823567e-24,4.387496064184776e-22
9.107898804619561e-12,0.11224537200013457,0.0,0.0,0.0,0.0,0.32999999999450813,0.6699999999957066,5.49142005289956e-12,4.2928567982807836e-12,5.518251766847987e-16,1.1991148949417297e-12,1.746347301966504e-24,4.155405535013131e-20,4.5441652880300964e-21,1.118560594221558e-24,1.6684327340136882e-26,3.7925144058211726e-20,7.665201679418725e-20,1.3815184391689724e-29,1.4441818984402807e-33,8.177808626590065e-42,4.649481002636663e-39,7.406099046518845e-24,9.164845841492158e-22
1e-11,0.11224537200016807,0.0,0.0,0.0,0.0,0.32999999999397023,0.6699999999952856,6.029242147864147e-12,4.713662853390037e-12,6.578341083842775e-16,1.3162369085481845e-12,2.0818774818244338e-24,4.999479199958976e-20,5.8404923548463534e-21,1.4476810932860968e-24,2.1748377404260602e-26,4.533079030640398e-20,9.144868628436985e-20,1.901976914331239e-29,2.1187621417708196e-33,1.1998850580905448e-41,7.238885862024258e-39,9.512605385297814e-24,1.1776397752485796e-21
