Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.575927328942814e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999999,1.5532583853274658e-16,1.2131395832445127e-16,8.378596411625172e-25,3.401188104609937e-17,4.241547151583596e-34,5.5626246813921e-29,8.07433368519283e-35,1.1201146098436374e-37,1.0296606297864308e-39,5.562616596872289e-29
7.21259652103988e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999957,0.6699999999999997,4.349123451770284e-16,3.3967910024713153e-16,5.060668821504995e-24,9.52332499902297e-17,4.404266266234459e-33,3.359836468967822e-28,1.5898796392912163e-33,1.3298041103245213e-36,1.556023125593642e-38,3.3598205580785006e-28
1.6485934905234011e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.329999999999999,0.6699999999999993,9.940853476069703e-16,7.764094518471263e-16,2.4364907198325425e-23,2.1767592012313388e-16,3.3976560695012877e-32,1.617633992834521e-27,2.4874239883348346e-32,1.3056224750087832e-35,1.673898632770556e-37,1.6176091067218556e-27
3.5032611673622273e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999979,0.6699999999999984,2.1124313090325876e-15,1.6498704260653514e-15,1.0640764570669104e-22,4.62560989367818e-16,2.0908220515927495e-31,7.064836698391908e-27,3.11445057291892e-31,1.1548390275828385e-34,1.53860115654234e-36,7.064525148324241e-27
7.21259652103988e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999957,0.6699999999999966,4.349123058148498e-15,3.396793458572333e-15,4.442284232813403e-22,9.523300437750992e-16,1.0862418891533845e-30,2.9496301791743484e-26,3.289079866920523e-30,9.707726606839144e-34,1.3163055553289353e-35,2.949301182926137e-26
1.4631267228395186e-14,0.11224537200000022,0.0,0.0,0.0,0.0,0.3299999999999912,0.6699999999999932,8.822505861452981e-15,6.890643859849134e-15,1.8147972092553523e-21,1.9318638162806028e-15,5.026194336737916e-30,1.2051951047787913e-25,3.0844951844374313e-29,7.960054445921138e-33,1.0883466776080562e-34,1.2048865829088625e-25
2.94686086431058e-14,0.11224537200000048,0.0,0.0,0.0,0.0,0.32999999999998225,0.6699999999999862,1.7769268688464268e-14,1.3878362007299787e-14,7.33553193774064e-21,3.890914016209672e-15,2.170035252100501e-29,4.873039271120346e-25,2.6878725803961173e-28,6.448043771224576e-32,8.850251012514245e-34,4.870350812795839e-25
5.914329147252702e-14,0.11224537200000088,0.0,0.0,0.0,0.0,0.3299999999999644,0.6699999999999722,3.566278322498943e-14,2.7853867680554948e-14,2.949449595866706e-20,7.808945036974427e-15,9.024102024043623e-29,1.9606001756605076e-24,2.2477557055462936e-27,5.192843791339937e-31,7.138042544734755e-33,1.9583519487843575e-24
1.1849265713136948e-13,0.11224537200000176,0.0,0.0,0.0,0.0,0.3299999999999286,0.6699999999999442,7.144976783519525e-14,5.580515653060602e-14,1.1827525090900376e-19,1.564472957200499e-14,3.6807236305640647e-28,7.872304825040618e-24,1.8391269840185054e-26,4.171589736395546e-30,5.733655089827341e-32,7.85390977897249e-24
2.3719138844905436e-13,0.11224537200000352,0.0,0.0,0.0,0.0,0.329999999999857,0.6699999999998882,1.4302355926137188e-13,1.1170884416587986e-13,4.736308760622809e-19,3.13151886950614e-14,1.4865543240131047e-27,3.1605766744095255e-23,1.4879068664147438e-25,3.34981754735051e-29,4.596220028830083e-31,3.145694587572707e-23
4.745888510844241e-13,0.11224537200000703,0.0,0.0,0.0,0.0,0.32999999999971386,0.6699999999997764,2.8617043139363577e-13,2.2352065854527372e-13,1.8950613424974922e-18,6.265166778499411e-14,5.973347920920697e-27,1.2710947821861608e-22,1.1967457766868574e-24,2.69384685753634e-28,3.68068097496785e-30,1.259124919898816e-22
9.493837763551637e-13,0.11224537200001407,0.0,0.0,0.0,0.0,0.3299999999994276,0.6699999999995528,5.724613364279121e-13,4.471620386861598e-13,7.577145881482447e-18,1.2530687439341048e-13,2.393468917883613e-26,5.13432595210585e-22,9.594876836747194e-24,2.1750147748207627e-27,2.946000204870619e-29,5.038358129801878e-22
1e-12,0.11224537200002813,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.029812030489153e-13,4.710074454169009e-13,8.786698526739717e-18,1.3198254375930468e-13,2.776087199181251e-26,5.976086770071104e-22,1.3175210982080563e-23,3.0030145791577663e-27,4.04550705050795e-29,5.844308656668284e-22
1.8989736268966428e-12,0.11224537200002813,0.0,0.0,0.0,0.0,0.329999999998855,0.6699999999991054,1.1450318187013543e-12,8.945157640930373e-13,3.026905833412306e-17,2.50546321727615e-13,9.57161083343378e-26,2.0926249405977396e-21,7.67640317269207e-23,1.770877359424151e-26,2.3573389331016884e-28,2.015845965537219e-21
2.848563477438122e-12,0.11224537200004217,0.0,0.0,0.0,0.0,0.3299999999982824,0.6699999999986579,1.7175910022308232e-12,1.3419404142447213e-12,6.42596379365013e-17,3.757148435593697e-13,2.032642213759062e-25,4.5035818866122325e-21,2.1940549727353834e-22,5.113930072506417e-26,6.998755716072486e-28,4.284134155131554e-21
3.798153327979601e-12,0.11224537200005623,0.0,0.0,0.0,0.0,0.3299999999977098,0.6699999999982105,2.290138915992887e-12,1.7894359487838898e-12,1.0951988309648263e-16,5.008124802458762e-13,3.464872218051011e-25,7.771457242782263e-21,4.625542657921969e-22,1.088275850167722e-25,1.5250294429378069e-27,7.308814839195856e-21
5.697333029062559e-12,0.11224537200008425,0.0,0.0,0.0,0.0,0.3299999999965646,0.6699999999973152,3.4352083836581166e-12,2.684593254079703e-12,2.2639991591017096e-16,7.508415156226161e-13,7.163761345446399e-25,1.6396118489464446e-20,1.2621441969606693e-21,3.0159703946217464e-25,4.426734724477716e-27,1.513373786343695e-20
7.596512730145516e-12,0.1122453720001123,0.0,0.0,0.0,0.0,0.3299999999954194,0.6699999999964197,4.580236648003609e-12,3.5800108916303967e-12,3.84482686987785e-16,1.0006102159569082e-12,1.2166950977692123e-24,2.83799955611898e-20,2.638373179127909e-21,6.391081514469036e-25,9.680737517452979e-27,2.5741135671438408e-20
1e-11,0.1122453720001682,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952857,6.029251263869932e-12,4.7136051351460384e-12,6.486278959900792e-16,1.3162947188583774e-12,2.0527345934952485e-24,4.930829877764587e-20,5.773785144015964e-21,1.4373706674484019e-24,2.2070203450090958e-26,4.3533481939366707e-20
1.1394872132311433e-11,0.1122453720001682,0.0,0.0,0.0,0.0,0.329999999993129,0.6699999999946274,6.870159063663137e-12,5.371699341006448e-12,8.347583285663279e-16,1.4992944331924738e-12,2.6418676006898044e-24,6.440628325212907e-20,8.307488718520925e-21,2.090785982412663e-24,3.220141683030173e-26,5.609732962048247e-20
1.519323153447735e-11,0.11224537200022396,0.0,0.0,0.0,0.0,0.3299999999908386,0.669999999992834,9.159905879675203e-12,7.164510763825011e-12,1.4606287262533253e-15,1.9968556649079393e-12,4.6228971623679184e-24,1.1735992977041805e-19,1.8848223864442917e-20,4.897809775022317e-24,7.490970125131836e-26,9.850851481489527e-20
2.2789950338809182e-11,0.1122453720003351,0.0,0.0,0.0,0.0,0.3299999999862579,0.6699999999892432,1.3738879466140906e-11,1.075350491543472e-11,3.2323924113371137e-15,2.988606785927459e-12,1.0231123861379235e-23,2.822526348519488e-19,6.254340793934879e-20,1.7491717299792387e-23,2.550363967903283e-25,2.1969970110028126e-19
3.798338794747285e-11,0.1122453720005556,0.0,0.0,0.0,0.0,0.3299999999770964,0.6699999999820463,2.289480344225204e-11,1.7944897568580628e-11,8.798976245575633e-15,4.958704531996335e-12,2.7851699117833867e-23,8.979699719296612e-19,2.9010340961256186e-19,9.388649403657761e-23,1.2126811275207945e-24,6.078333003963852e-19
5.317682555613651e-11,0.11224537200077382,0.0,0.0,0.0,0.0,0.3299999999679349,0.6699999999748291,3.2048103286343754e-11,2.5154055331592787e-11,1.6989441055447602e-14,6.9110369731067785e-12,5.377834679906749e-23,1.9592266572039775e-18,7.68507848014084e-19,2.7448241033616614e-22,3.255517796378064e-24,1.1906527579095893e-18
6.837026316480017e-11,0.11224537200098977,0.0,0.0,0.0,0.0,0.3299999999587734,0.6699999999675914,4.119887903506476e-11,3.23808264675417e-11,2.7703663625196364e-14,8.845755845715078e-12,8.769412010407167e-23,3.553101178897505e-18,1.5843993877279286e-18,6.160145559502687e-22,6.784907677424016e-24,1.9686085203952185e-18
8.356370077346384e-11,0.1122453720012035,0.0,0.0,0.0,0.0,0.3299999999496119,0.6699999999603342,5.0347230510903326e-11,3.9625054383057194e-11,4.084173523894769e-14,1.0763017742717784e-11,1.2928275124570142e-22,5.766334412347641e-18,2.8240931368667883e-18,1.186435268281109e-21,1.2215279093127133e-23,2.9421507004444384e-18
9.999999999999999e-11,0.1122453720016244,0.0,0.0,0.0,0.0,0.32999999993970097,0.669999999952461,6.024131157247006e-11,4.748136943427488e-11,5.768266931453257e-14,1.2817625317203802e-11,1.825929763478233e-22,8.945879096663751e-18,4.729823626142419e-18,2.1489952982784105e-21,2.0674286167518968e-23,4.216042334155891e-18
1.1395057599079117e-10,0.1122453720016244,0.0,0.0,0.0,0.0,0.3299999999312889,0.6699999999457606,6.863701042272153e-11,5.416530574737778e-11,7.403934494646942e-14,1.4545745413599746e-11,2.3437038309328686e-22,1.2354605271620748e-17,6.8771272394252175e-18,3.317334689057123e-21,3.0313667725328857e-23,5.477623804553919e-18
1.4433745120811849e-10,0.11224537200203666,0.0,0.0,0.0,0.0,0.32999999991296597,0.6699999999311106,8.691817987691787e-11,6.877357351940957e-11,1.158447792052137e-13,1.8260455887205673e-11,3.667066648631161e-22,2.2363904941344005e-17,1.3564327223030824e-17,7.372881537866927e-21,6.086883367080591e-23,8.800575075330874e-18
1.7472432642544582e-10,0.11224537200244056,0.0,0.0,0.0,0.0,0.329999999894643,0.6699999999163859,1.0519145897897309e-10,8.344857730557341e-11,1.655373113917304e-13,2.1908429553295534e-11,5.2401008775647705e-22,3.641953470124287e-17,2.3507885614329766e-17,1.4235579541555954e-20,1.0737013692085797e-22,1.2914624396953903e-17
2.0511120164277315e-10,0.1122453720028363,0.0,0.0,0.0,0.0,0.32999999987632006,0.6699999999015885,1.234574934583219e-10,9.818907434245883e-11,2.224706554065376e-13,2.5490909171578163e-11,7.042347894804039e-22,5.5082199986179944e-17,3.726568060157304e-17,2.4951716938893603e-20,1.732728013854927e-22,1.782327515094618e-17
2.3549807686010045e-10,0.11224537200322406,0.0,0.0,0.0,0.0,0.3299999998579971,0.66999999988672,1.4171684906614797e-10,1.1299388115709304e-10,2.860785726443534e-13,2.9009078211503193e-11,9.055883034905956e-22,7.884317847592492e-17,5.5326475229102165e-17,4.069877684790665e-20,2.619379857703394e-22,2.3529857011951546e-17
2.6588495207742776e-10,0.11224537200360403,0.0,0.0,0.0,0.0,0.32999999983967415,0.6699999998717823,1.599700271911313e-10,1.278618622678011e-10,3.5585924270639203e-13,3.246407215136377e-11,1.1264820834257123e-21,1.0813789985516953e-16,7.812344107639396e-17,6.276746486088316e-20,3.766609329734148e-22,3.0037561225766075e-17
3.1043484510042645e-10,0.11224537200414743,0.0,0.0,0.0,0.0,0.32999999981281103,0.6699999998497601,1.8672067331952911e-10,1.4977149202430257e-10,4.683098309743984e-13,3.7417570905057255e-11,1.4824496049757736e-21,1.6196925501544625e-16,1.2098211689844136e-16,1.0940137738513756e-19,5.989283834993295e-22,4.10333378922955e-17
3.5498473812342515e-10,0.11224537200467503,0.0,0.0,0.0,0.0,0.3299999997859479,0.6699999998275972,2.1346046665568739e-10,1.718109687155331e-10,5.916009578309745e-13,4.2241220978207e-11,1.8727335835141978e-21,2.2980128404876857e-16,1.7611613311789648e-16,1.7721145751391663e-19,8.948688459002428e-22,5.376773934617349e-17
3.9953463114642385e-10,0.11224537200518733,0.0,0.0,0.0,0.0,0.3299999997590848,0.6699999998052985,2.4019066824139485e-10,1.9397684389223333e-10,7.244704975338673e-13,4.693847080979772e-11,2.2933386747698867e-21,3.1272929258058296e-16,2.4461500190183496e-16,2.712261526440773e-19,1.2750558406613648e-21,6.82504238771359e-17
4.4408452416942255e-10,0.11224537200568493,0.0,0.0,0.0,0.0,0.32999999973222166,0.669999999782868,2.669123602202037e-10,2.1626579195705652e-10,8.658353775730555e-13,5.1512645987270576e-11,2.7408363395702094e-21,4.116932255324371e-16,3.2741364540353037e-16,3.968778591937895e-19,1.7499952912880043e-21,8.449068206000402e-17
4.886344171924212e-10,0.11224537200616816,0.0,0.0,0.0,0.0,0.32999999970535854,0.6699999997603102,2.9362651678109577e-10,2.386745562549576e-10,1.014720573577606e-12,5.596700315596992e-11,3.21214007242353e-21,5.275392657650053e-16,4.2535372312351716e-16,5.598994696762135e-19,2.3302266916224764e-21,1.0249759562637897e-16
