Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8)
3.8429397110841354e-13,0.11224537200000569,0.0,0.0,0.0,0.0,0.32999999999976826,0.6699999999998191,2.317241748766006e-13,1.8099198301516352e-13,1.242997664652007e-18,5.073343443520976e-14,3.9140802548672174e-27,8.321150935549543e-23,6.351013146573464e-25,1.42862312379012e-28,1.954758493717872e-30,8.270481812810509e-23,1.710417883059095e-22,1.376392849690974e-34,1.1413823762575224e-39,6.346418843153287e-48,3.1518913057428792e-46,1.0496845717146963e-27,1.2920184511296329e-25,1.1097382276600407e-42,8.260591209773278e-48,1.6237339929779556e-54,5.110196496250783e-49,5.929597813066553e-67,6.398531967375651e-75,1.7996455444185898e-61,3.2240366757744823e-66,7.155579101280034e-74,4.8143120798486383e-85,1.2273674302134343e-86,3.5101618894493913e-87,3.730806064927226e-86,1.251501734819255e-87,6.059852342260076e-95,2.3694915958292173e-84,1.385906228563994e-79,9.125482017238e-81,7.72587673770887e-29
7.689218205583636e-13,0.11224537200001139,0.0,0.0,0.0,0.0,0.32999999999953633,0.6699999999996379,4.636471891146678e-13,3.621567417018303e-13,4.972269258592804e-18,1.0149541798843242e-13,1.569853729104042e-26,3.3563316951179856e-22,5.097663411524863e-24,1.152009925964111e-27,1.5653765126255297e-29,3.315631875036589e-22,6.84636644062219e-22,2.210147824186336e-33,3.6660770265982404e-38,2.058651402724783e-46,2.0465943089916046e-44,8.394139469757538e-27,1.0336359795700573e-24,1.777479391780387e-41,2.6463115619784816e-46,5.622386710114007e-53,1.7693680050380607e-47,7.600545005915147e-65,1.6554938996103562e-72,1.1530472944605413e-59,4.131369979386396e-64,1.7745982779499443e-71,2.4680523512594677e-82,3.5434024008119147e-84,1.9965633200639645e-84,2.1255535267539788e-83,1.0187459506814182e-84,8.796647682204189e-92,6.158060600121196e-82,7.391285480685698e-77,2.476042154978092e-78,3.0923725369969256e-28
1e-12,0.11224537200002278,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029805430459942e-13,4.71011585354659e-13,9.447997459491465e-18,1.3197840247540154e-13,2.985425844069935e-26,6.44397517421664e-22,1.582755788179749e-23,3.615011817396215e-27,4.8587921365752095e-29,6.317577043492219e-22,1.301939484317272e-21,1.2179808782278572e-32,3.784452401165858e-37,2.1349850947565472e-45,4.103686633786945e-43,2.600590516883497e-26,3.204381901738441e-24,9.790930820814133e-41,2.7302571258934784e-45,6.0201338434091305e-52,1.8953957005765352e-46,2.97692395577701e-63,1.304813764792256e-70,2.2985227567204946e-58,1.6182261656243146e-62,1.2948616313941193e-69,3.813733004563598e-80,2.9350729139897597e-82,3.2049338302002026e-82,3.414786521719713e-81,2.6803991558525265e-82,3.81100056557523e-89,4.80430089283107e-80,1.1606317660407808e-74,2.0219741409965826e-76,5.880373780674016e-28
1.5381775194582635e-12,0.11224537200002278,0.0,0.0,0.0,0.0,0.3299999999990725,0.6699999999992755,9.27485777498479e-13,7.245328389825584e-13,1.9871899477195457e-17,2.0297280366257743e-13,6.28227148863694e-26,1.3635049262510179e-21,4.0817316776443593e-23,9.351305272515508e-27,1.2529106379681813e-28,1.3309061086740958e-21,2.7396282878458362e-21,3.539899554076318e-32,1.1744560041706337e-36,6.627875744796898e-45,1.318446091295434e-42,6.70234361192359e-26,8.260015707533532e-24,2.8454135727471754e-40,8.472662018856627e-45,1.8731487604468694e-51,5.89766000076635e-46,9.733118458132113e-63,4.3051487205308995e-70,7.383203903136924e-58,5.290831001416661e-62,4.2692442991714676e-69,1.2638377851067788e-79,9.688287211011576e-82,1.062267568690203e-81,1.1318267901513343e-80,8.899281053919122e-82,1.2666274905846657e-88,1.5850023364844683e-79,3.846511076092404e-74,6.673454120443835e-76,1.2373585719569598e-27
3.0766889172580633e-12,0.11224537200004553,0.0,0.0,0.0,0.0,0.3299999999981448,0.6699999999985505,1.8551333173759247e-12,1.4494711814591478e-12,7.931190176915916e-17,4.0574142099460453e-13,2.509008401795755e-25,5.618671812557588e-21,3.261775746483538e-22,7.692590476424416e-26,1.0025424340438595e-27,5.358157758000105e-21,1.09618155808426e-20,5.658153734780692e-31,3.7547191116185696e-35,2.124207385414309e-43,8.45336801071582e-41,5.338182229300837e-25,6.58978983319866e-23,4.553586509934823e-39,2.7118300379619867e-43,6.109519794236474e-50,1.9243414611040695e-44,1.2455065854662322e-60,1.1348853748542457e-67,4.725951169791604e-56,6.773286396494652e-60,9.746871037865442e-67,6.465159351585025e-77,2.567480730387794e-79,5.3460812581167816e-79,5.698495799648414e-78,8.042880329700213e-79,1.6951869469781055e-85,4.056185144001448e-77,1.9695787703954893e-71,1.82674739674494e-73,4.950294367387528e-27
4.6152003150578635e-12,0.11224537200006829,0.0,0.0,0.0,0.0,0.3299999999972171,0.6699999999978253,2.782751343329529e-12,2.1745955002946725e-12,1.6826955295996498e-16,6.083240558650911e-13,5.324190765104129e-25,1.2180127972234487e-20,9.31788847918966e-22,2.2341377537930157e-25,2.976444845940825e-27,1.143594597397856e-20,2.329720221901402e-20,2.08102169455469e-30,1.713227844156923e-34,9.69716111980654e-43,4.644315146072099e-40,1.5224393515248144e-24,1.8811690321868183e-22,1.7227727299155143e-38,1.2651033162701686e-42,2.7986070535762108e-49,8.815642210577252e-44,8.225820096793488e-60,6.942801914559357e-67,2.6428072856314672e-55,4.435442760857127e-59,7.124677170352333e-66,5.5133190653076874e-76,1.9456618157013195e-78,4.524898475847698e-78,4.823411416511339e-77,7.314768212047666e-78,1.6227185843054022e-84,2.4654862256468975e-76,1.3120697412690912e-70,1.0596571304250155e-72,1.0519991409313845e-26
6.153711712857664e-12,0.112245372000091,0.0,0.0,0.0,0.0,0.3299999999962894,0.6699999999970999,3.71033997781498e-12,2.899905624091037e-12,2.8662227127424194e-16,8.107208796706893e-13,9.06989382990503e-25,2.115429741698886e-20,1.9635701028022327e-21,4.778321189423817e-25,6.48561685493161e-27,1.9586151572174433e-20,3.974678255508781e-20,5.273977494270405e-30,5.103524500601091e-34,2.8895488307462175e-42,1.5964732212487435e-39,3.2036804013133562e-24,3.9619448419620605e-22,4.484402148492107e-38,3.852292158610702e-42,8.357065390556096e-49,2.6326304185935577e-43,3.606649910241262e-59,4.243606803584717e-66,9.251031183284405e-55,1.7590556470603105e-58,3.081018366009285e-65,3.0064727267035183e-75,9.841477031163852e-78,2.4525442935833727e-77,2.6144130550231616e-76,4.340058208926179e-77,9.925009244439728e-84,1.4527728955570354e-75,8.774662958996305e-70,7.090754232837895e-72,1.7946518020093135e-26
9.230734508457263e-12,0.11224537200013635,0.0,0.0,0.0,0.0,0.32999999999443397,0.6699999999956485,5.565448644681256e-12,4.350961413485962e-12,5.919378700223946e-16,1.2150789711495006e-12,1.8733200976670257e-24,4.509353547411107e-20,5.3542894695806675e-21,1.3349777952356955e-24,1.8825583598268767e-26,4.0817923990868004e-20,8.230478477302018e-20,1.8418625892549704e-29,2.2314057152042162e-33,1.2638280205898765e-41,8.581012885413155e-39,8.715760790768283e-24,1.0793960052961414e-21,1.6456844407691038e-37,1.7551041251917135e-41,3.6641906766220617e-48,1.1543640278059961e-42,3.4843840755153484e-58,7.8447020352052e-65,5.148468718163037e-54,1.1788060587178797e-57,2.3455070632483795e-64,4.358816509957448e-74,1.287529012846568e-76,3.523940305946847e-76,3.756650040869863e-75,7.211476579729759e-76,1.7211202572837813e-82,2.4521554466236004e-74,1.9157630780154623e-68,1.389575331043065e-70,3.715775411314989e-26
1e-11,0.11224537200018163,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952856,6.029214984877728e-12,4.713836519452195e-12,6.850000610143113e-16,1.316063236757941e-12,2.167873139500144e-24,5.260190023121769e-20,6.583413422570435e-21,1.6518283037128385e-24,2.3473621945918296e-26,4.73449358453974e-20,9.530970749575671e-20,2.3956004573627366e-29,3.0590164525813313e-33,1.7326932664530535e-41,1.2361285985294042e-38,1.0710131880334408e-23,1.3268840903845398e-21,2.167557157119948e-37,2.4330022637549567e-41,5.026076178106038e-48,1.583433159135445e-42,5.520691044311462e-58,1.3623236540063798e-64,7.489657191134668e-54,1.795047704675621e-57,3.683909607603281e-64,7.471340533284409e-74,2.064204432578881e-76,6.006118843571142e-76,6.402875913134774e-75,1.3008067904516765e-75,3.1742093120418115e-82,4.184598789636608e-74,3.4074287302488154e-68,2.3391226465160716e-70,4.3027672521366444e-26
1.2307757304056864e-11,0.11224537200018163,0.0,0.0,0.0,0.0,0.32999999999257856,0.6699999999941963,7.420450238532603e-12,5.8026990524589084e-12,1.00433867860225e-15,1.6187551905919825e-12,3.178636275970986e-24,7.878289054665952e-20,1.1186144795410838e-20,2.8485061583971637e-24,4.1168644828451094e-26,6.985118478310814e-20,1.4000039080186426e-19,4.597057259503861e-29,6.49540857460372e-33,3.6795998440979107e-41,2.858369579885043e-38,1.817231500404177e-23,2.253377424544821e-21,4.267277145914822e-37,5.271666571807281e-41,1.0683045780551095e-47,3.3657075586640926e-42,1.4642330869744018e-57,4.0374583340762035e-64,1.7597843902596633e-53,4.5209561348085997e-57,9.688717661384191e-64,2.1843780951405276e-73,5.544712065685804e-76,1.7442442105925848e-75,1.8595125911172756e-74,4.024263950630817e-75,1.0047632654001931e-81,1.2155505972129579e-73,1.0365474996728597e-67,6.67539001579254e-70,6.319799465445139e-26
