Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11)
2.4449128701558996e-13,0.11224537200000365,0.0,0.0,0.0,0.0,0.3299999999998526,0.6699999999998849,1.4742529549624188e-13,1.151469346556549e-13,5.032271153613776e-19,3.227886389598295e-14,1.5798483756681606e-27,3.358624541012737e-23,1.6300203848495973e-25,3.66924206106965e-29,5.0337789090947845e-31,3.342302727025073e-23,6.923032659522041e-23
4.891949904404028e-13,0.11224537200000727,0.0,0.0,0.0,0.0,0.32999999999970503,0.6699999999997697,2.949776690955279e-13,2.304001961656863e-13,2.013457149884404e-18,6.457948570030848e-14,6.347347816585418e-27,1.3509477263612419e-22,1.3108427564601874e-24,2.951136472451104e-28,4.031080027253549e-30,1.3378220106388907e-22,2.771078408557833e-22
9.786023972900285e-13,0.1122453720000145,0.0,0.0,0.0,0.0,0.32999999999940993,0.6699999999995392,5.900794002663786e-13,4.609255792829009e-13,8.05035365549431e-18,1.291618685946395e-13,2.5431079944838256e-26,5.458494390903777e-22,1.0508646282050465e-23,2.3834117931525055e-27,3.2264567847624625e-29,5.3532697796424955e-22,1.1088412369744625e-21
1e-12,0.112245372000029,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995291,6.02981413566433e-13,4.710061320938822e-13,8.577363685078596e-18,1.3198385591474014e-13,2.7098208413591213e-26,5.825793180502051e-22,1.2116707309088342e-23,2.7557558624502817e-27,3.720314172023146e-29,5.704466887295816e-22,1.1815857985987269e-21
1.95741721098928e-12,0.112245372000029,0.0,0.0,0.0,0.0,0.32999999999881974,0.669999999999078,1.180270830391071e-12,9.220517416575365e-13,3.215797126654553e-17,2.5825123577401797e-13,1.0169242864231287e-25,2.226025957860211e-21,8.406800598843605e-23,1.9415968933391754e-26,2.5817535470427764e-28,2.1418477464763588e-21,4.436478239072232e-21
2.9362320246885316e-12,0.11224537200004348,0.0,0.0,0.0,0.0,0.32999999999822954,0.6699999999986167,1.7704502601082514e-12,1.3832532559499308e-12,6.826757678114019e-17,3.872652485661569e-13,2.159468805686579e-25,4.79251321721296e-21,2.4027348241672046e-22,5.608614114350011e-26,7.665021964293849e-28,4.5519251491917726e-21,9.428542041690593e-21
3.915046838387783e-12,0.11224537200005798,0.0,0.0,0.0,0.0,0.32999999999763935,0.6699999999981555,2.3606177211432643e-12,1.8445300779635725e-12,1.163474177297111e-16,5.162039511671636e-13,3.680939211371476e-25,8.272881782203463e-21,5.065347322674797e-22,1.1938654030436497e-25,1.6702081603232027e-27,7.765684527681034e-21,1.6085289073567234e-20
5.872676465786286e-12,0.11224537200008686,0.0,0.0,0.0,0.0,0.3299999999964589,0.6699999999972327,3.540924651533637e-12,2.767260327604125e-12,2.405023408388923e-16,7.739047449579888e-13,7.610088289100425e-25,1.7463682315555933e-20,1.3820932840803101e-21,3.3100219187029008e-25,4.848143513058082e-27,1.6079784186341593e-20,3.3306487618369224e-20
7.830306093184789e-12,0.11224537200011575,0.0,0.0,0.0,0.0,0.32999999999527846,0.6699999999963097,4.7211878311415026e-12,3.690267143825776e-12,4.084135340831522e-16,1.0313289630817198e-12,1.2924371647511216e-24,3.024312791995036e-20,2.889011132881254e-21,7.016804755556891e-25,1.0602299672093672e-26,2.735034920443034e-20,5.665144803649637e-20
1e-11,0.11224537200017337,0.0,0.0,0.0,0.0,0.3299999999939701,0.669999999995286,6.0292500165746565e-12,4.7136135531910756e-12,6.499655261204258e-16,1.3162862103580963e-12,2.0569689519978316e-24,4.943486434383493e-20,5.802673188309884e-21,1.4454003951468304e-24,2.2103488776256255e-26,4.362464188973852e-20,9.036064897040654e-20
