Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70)
3.081206519336758e-13,0.11224537200000458,0.0,0.0,0.0,0.0,0.3299999999998142,0.6699999999998549,1.8579286970008794e-13,1.451151934347623e-13,7.991642262355228e-19,4.0678475156954025e-14,2.5132156528498284e-27,5.341125271774766e-23,3.268898124707261e-25,7.353062345080839e-29,1.0075478511319344e-30,5.31505544765415e-23,1.0995467951236729e-22,5.67951709127097e-35,3.7760167466380924e-40,2.0894299475415597e-48,8.316879935019077e-47,5.411655886091843e-28,6.660457663824818e-26,4.586178248102663e-43,2.73715081867834e-48,5.183498481044273e-55,1.6321106117704263e-49
6.165090020879717e-13,0.11224537200000916,0.0,0.0,0.0,0.0,0.32999999999962826,0.6699999999997097,3.7174556008056403e-13,2.903664474778709e-13,3.1972130187057945e-18,8.138230872616134e-14,1.0087720708811531e-26,2.1510943249862846e-22,2.6260452857831763e-24,5.920995800311568e-28,8.068489636939697e-30,2.1301316513846113e-22,4.401175071260892e-22,9.128194761401645e-34,1.2139745312945935e-38,6.800302589890205e-47,5.4192381856734465e-45,4.3285965118981435e-27,5.329255953133025e-25,7.345754812491107e-42,8.768595143539966e-47,1.826804808717031e-53,5.748352677740414e-48
1e-12,0.11224537200001827,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029808350300097e-13,4.710097534040115e-13,9.155975131470533e-18,1.319802344860684e-13,2.892984203992528e-26,6.231124279268155e-22,1.4074721096607445e-23,3.2041203078960857e-27,4.320518659192639e-29,6.118727105412079e-22,1.2614855998443792e-21,9.44115362795208e-33,2.4654978766511814e-37,1.3894994809048954e-45,2.1953826664259055e-43,2.3136489033694565e-26,2.850278578720189e-24,7.589356640440295e-41,1.778742857542028e-45,3.890504758298273e-52,1.2247374460996674e-46
1.2332857023965634e-12,0.11224537200001827,0.0,0.0,0.0,0.0,0.32999999999925633,0.6699999999994192,7.436461539792135e-13,5.808989052632792e-13,1.2780816424900936e-17,1.6276002518513676e-13,4.039190381791381e-26,8.713092979618214e-22,2.1039193255224744e-23,4.793067880308555e-27,6.457958409713094e-29,8.545074261237592e-22,1.761141220130588e-21,1.4629120056656718e-32,3.89146384916872e-37,2.193393784549962e-45,3.4979141005927187e-43,3.4577728701471216e-26,4.259973516484701e-24,1.175926531157807e-40,2.807448616690359e-45,6.1460528562510505e-52,1.93480274600718e-46
2.466839103013747e-12,0.11224537200003655,0.0,0.0,0.0,0.0,0.32999999999851254,0.669999999998838,1.4874282580774654e-12,1.1620835310913221e-12,5.1034230710568596e-17,3.253957439240855e-13,1.6141894876302869e-25,3.570324794367716e-21,1.6822809079626698e-22,3.9221304370631407e-26,5.167509923823688e-28,3.435961599379645e-21,7.04649459227262e-21,2.339724756259153e-31,1.2448499078471058e-35,7.038316160044155e-44,2.245584916579894e-41,2.7565110876815493e-25,3.40056551431433e-23,1.8818899974375967e-39,8.985870597969132e-44,2.0155123615921158e-50,6.347680054873562e-45
3.70039250363093e-12,0.1122453720000548,0.0,0.0,0.0,0.0,0.32999999999776874,0.6699999999982567,2.2311913420143954e-12,1.7433877787024887e-12,1.08310249317018e-16,4.879118369573653e-13,3.4266333236045126e-25,7.711173968617821e-21,4.807118479347882e-22,1.135792791504093e-25,1.5341870899858175e-27,7.327233499395553e-21,1.4975667243516385e-20,8.607363124020867e-31,5.681228485431218e-35,3.2140734235405967e-43,1.2340866447513715e-40,7.865639697661494e-25,9.710754259974478e-23,7.119859123188277e-39,4.192045709173451e-43,9.243131918305826e-50,2.911335351150803e-44
4.933945904248113e-12,0.11224537200007303,0.0,0.0,0.0,0.0,0.32999999999702495,0.6699999999976752,2.9749354691159986e-12,2.3248115596880603e-12,1.8454548104234502e-16,6.503083926929367e-13,5.8392438547949e-25,1.334889151450899e-20,1.0132522830339044e-21,2.423011239224565e-25,3.342980255627129e-27,1.2539637908661374e-20,2.5549172098632025e-20,2.1818204190314944e-30,1.6926677367022033e-34,9.579607897829499e-43,4.243092120780147e-40,1.6559589975841767e-24,2.0458109092209504e-22,1.8533209449032e-38,1.2765018559471165e-42,2.762248526949961e-49,8.700907751931005e-44
7.40105270548248e-12,0.1122453720001094,0.0,0.0,0.0,0.0,0.3299999999955373,0.6699999999965118,4.462379428400839e-12,3.487939385179091e-12,3.8131624197719327e-16,9.748212314341442e-13,1.206682075185489e-24,2.830738985986018e-20,2.7640008759371543e-21,6.741798724740352e-25,9.703650799521087e-27,2.6100017215895943e-20,5.290385719494997e-20,7.622157556888471e-30,7.402892535782022e-34,4.1914469366607785e-42,2.2814240223997617e-39,4.5086740635475014e-24,5.576443393326938e-22,6.80139063976262e-38,5.815798714670203e-42,1.2122874749707417e-48,3.81893233368568e-43
9.868159506716847e-12,0.11224537200014577,0.0,0.0,0.0,0.0,0.32999999999404966,0.669999999995348,5.949754199642714e-12,4.6515060440473934e-12,6.472832513572732e-16,1.2988952223645942e-12,2.048485162452787e-24,4.922494321490729e-20,5.776429706486105e-21,1.4335330070176108e-24,2.1220558282032128e-26,4.461212709802364e-20,8.998695010021825e-20,1.902886936737093e-29,2.1553636074160004e-33,1.220642925347955e-41,7.601225121449602e-39,9.407152868590424e-24,1.1646757054426664e-21,1.7636246412231675e-37,1.746858512345211e-41,3.536571860802316e-48,1.1141378905233256e-42
1e-11,0.11224537200018204,0.0,0.0,0.0,0.0,0.3299999999939702,0.6699999999952857,6.029236411233598e-12,4.713699465047837e-12,6.635713774782041e-16,1.3162002956835609e-12,2.1000391946026954e-24,5.053271617906796e-20,5.985657975081811e-21,1.4870362891267603e-24,2.2035141193594413e-26,4.5752841641722026e-20,9.226213141957649e-20,1.9917066835838388e-29,2.2776777167403202e-33,1.2899308232395456e-41,8.107353531268362e-39,9.74691056778926e-24,1.206815944724606e-21,1.8499241195971784e-37,1.8498453704626208e-41,3.737691869824614e-48,1.1775005807666079e-42
1.2335266307951213e-11,0.11224537200018204,0.0,0.0,0.0,0.0,0.329999999992562,0.6699999999941836,7.437055259409664e-12,5.815542292059242e-12,9.869700962944584e-16,1.622499608682279e-12,3.1236533677805397e-24,7.689098325791614e-20,1.0502903391816496e-20,2.652037226983622e-24,3.9811878214320237e-26,6.850446279890844e-20,1.3749675644241992e-19,4.033451566847942e-29,5.2293222895145515e-33,2.9620593821396394e-41,2.0802422528428014e-38,1.707625975238458e-23,2.1163517917872463e-21,3.8560352058700344e-37,4.3586284790200146e-41,8.59331018120177e-48,2.707276302472609e-42
1.7269479910419945e-11,0.11224537200025439,0.0,0.0,0.0,0.0,0.32999999998958673,0.6699999999918531,1.0411434420588325e-11,8.145049067048091e-12,1.889324859546449e-15,2.268274054942701e-12,5.9798514250443654e-24,1.5533143438788772e-19,2.763605154389972e-20,7.305572026240267e-24,1.0892529087124862e-25,1.332693216112991e-19,2.6447456825467233e-19,1.473120118218682e-28,2.6972564145079605e-32,1.5283846198464128e-40,1.5500813207450382e-37,4.473402059945086e-23,5.559800910920257e-21,1.4830513263643312e-36,2.3911520573332875e-40,4.445896476864469e-47,1.4007609657893818e-41
2.7137907115357412e-11,0.11224537200039846,0.0,0.0,0.0,0.0,0.32999999998363616,0.6699999999871858,1.6359322027525655e-11,1.2809742021683416e-11,4.564824001144663e-15,3.5541433541738338e-12,1.444879087416799e-23,4.176956663092458e-19,1.0602175558167228e-19,3.0904362384790877e-23,4.3252552667822625e-25,3.3310480565868305e-19,6.456122992713354e-19,9.270671715234943e-28,2.893687883908405e-31,1.6403052191371095e-39,2.944799508210368e-36,1.6990936963960823e-22,2.1253696012351447e-20,9.786824468981308e-36,2.7202491860943547e-39,4.784277127902384e-46,1.507490347749151e-40
3.700633432029488e-11,0.11224537200054151,0.0,0.0,0.0,0.0,0.3299999999776856,0.6699999999825097,2.2306068602942482e-11,1.7481983409412186e-11,8.381432146293497e-15,4.832463968400098e-12,2.652998793783159e-23,8.390114382511348e-19,2.6145239755578306e-19,8.19199165769663e-23,1.0827372575072789e-24,6.305031785829465e-19,1.1966494227784065e-18,3.004357837566684e-27,1.2026614484436565e-30,6.818159895970621e-39,1.5298256626209674e-35,4.1566423788071693e-22,5.22641303678582e-20,3.22635209477108e-35,1.1506894941990538e-38,1.9903210490652583e-45,6.271507791615568e-40
5.6743188730169815e-11,0.11224537200082475,0.0,0.0,0.0,0.0,0.32999999996578444,0.669999999973132,3.419629113639474e-11,2.6848876889418183e-11,1.9285342405594638e-14,7.366693735730671e-12,6.104598470751483e-23,2.2900254025848923e-18,9.352354939016278e-19,3.4233755026416495e-22,3.956622637000016e-24,1.5449979892676753e-18,2.8095875404516894e-18,1.6955056752524838e-26,1.0915342585658596e-29,6.189124254458103e-38,2.2774070953788213e-34,1.4588339582015799e-21,1.856936813881396e-19,1.8653271251008392e-34,1.0730026439727295e-37,1.8087288742526561e-44,5.6994992918925e-39
7.450635769905726e-11,0.1122453720010764,0.0,0.0,0.0,0.0,0.32999999995507345,0.669999999964663,4.489387700047239e-11,3.530445190982579e-11,3.27132476609372e-14,9.622128774886893e-12,1.035519648472108e-22,4.388714659045321e-18,2.0550252708218513e-18,8.29616557497116e-22,8.803324827683623e-24,2.7529285480792743e-18,4.8446448713687175e-18,4.7007939704556504e-26,3.718127370102035e-29,2.1083218514121318e-37,9.278399095272384e-34,3.1624139530688327e-21,4.0607115297261215e-19,5.229760055785612e-34,3.691859973738198e-37,6.163545485370028e-44,1.942219312729453e-38
9.22695266679447e-11,0.11224537200132496,0.0,0.0,0.0,0.0,0.32999999994436247,0.669999999956167,5.558821110508958e-11,4.37837872923849e-11,4.939270682128733e-14,1.1853802633775535e-11,1.5635095846410186e-22,7.388310909512058e-18,3.812034510798834e-18,1.6830923723193118e-21,1.6517934238203575e-23,4.356346407828722e-18,7.43398179249543e-18,1.0538282099962861e-25,9.936226792428429e-29,5.634414765952594e-37,2.9192895523675972e-33,5.787556581307199e-21,7.49631521185934e-19,1.1842278081803509e-33,9.95665272371786e-37,1.6475851120316625e-43,5.191808402036693e-38
9.999999999999999e-11,0.11224537200157061,0.0,0.0,0.0,0.0,0.32999999993970097,0.6699999999524612,6.024138032812628e-11,4.748131186589223e-11,5.762162122627602e-14,1.2817674171890799e-11,1.8239972461388814e-22,9.01450368972329e-18,4.815502112527987e-18,2.2090491338128263e-21,2.0970834879266702e-23,5.185782647944418e-18,8.734383596041979e-18,1.4358759266204675e-25,1.4561867041657737e-28,8.257522163232296e-37,4.590049271857895e-33,7.266557191698019e-21,9.448904745777302e-19,1.620702924950365e-33,1.4651588081908604e-36,2.4148343894763126e-43,7.609555688632457e-38
1.1003269563683215e-10,0.11224537200157061,0.0,0.0,0.0,0.0,0.32999999993365137,0.6699999999476444,6.627943861425568e-11,5.2286643297832185e-11,6.917840677290966e-14,1.4061955051597606e-11,2.189829670830771e-22,1.1415066532149819e-17,6.333775074212143e-18,3.0313764084251833e-21,2.774051703699211e-23,6.381267598657758e-18,1.0578979165642255e-17,2.0474507881994746e-25,2.2300868868226286e-28,1.2646180162024564e-36,7.485495476916063e-33,9.490351716398992e-21,1.2396635998718823e-18,2.3216312651314656e-33,2.2524808099071007e-36,3.698555300002564e-43,1.165480770916065e-37
