Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0205425349583116e-16,0.11224537199999998,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,1.8213569007102502e-16,1.422532265608572e-16,1.152056867784325e-24,3.988246466183132e-17,6.655075686883801e-34,7.648612837458779e-29,1.4855481820423653e-34,1.8059957774683666e-37,1.6601531499558445e-39,7.648597875045585e-29,1.5842822078244487e-28,4.74311419625978e-47,5.986223604854706e-55,2.4007195316899958e-64,1.8267336518198454e-65,1.3379179660378103e-36
8.457519097883273e-16,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999995,0.6699999999999997,5.099799284667244e-16,3.9830905766055354e-16,6.958417981570152e-24,1.1167087776221274e-16,6.788421930183169e-33,4.61978222002268e-28,2.876119611936984e-33,2.1440867154905923e-36,2.508823405922791e-38,4.619753331877713e-28,9.569064975828571e-28,1.700368071483526e-45,3.922685160326912e-53,2.7011891704552425e-62,3.7179230299223596e-63,1.5884823421503863e-35
1.9331472223733196e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999885,0.6699999999999992,1.1656683903295829e-15,9.104208130204993e-16,3.350173121759029e-23,2.552476107993763e-16,5.101525851319484e-32,2.2242565813608768e-27,4.3871633589932646e-32,2.1051035054378486e-35,2.698877659661803e-37,2.2242125850884075e-27,4.607093321204595e-27,5.212736791322766e-44,2.407641014468014e-51,2.957412200304318e-60,8.138357040629919e-61,1.5596259618116037e-34
4.107937847543304e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999975,0.6699999999999982,2.477045254341494e-15,1.934644696382117e-15,1.4631036973631747e-22,5.424007042197926e-16,3.050758243199588e-31,9.71425792698204e-27,5.341853391259606e-31,1.8620012290261244e-34,2.4807334044260535e-36,9.713722639232e-27,2.0120390868150688e-26,1.2801355600322747e-42,1.1873391234127118e-49,2.4026017455857554e-58,1.3244177682365589e-58,1.3794858433807024e-33
8.457519097883273e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.3299999999999949,0.6699999999999962,5.0997987435129025e-15,3.983093953668368e-15,6.10812879096855e-22,1.1167054004488682e-15,1.5471498119387243e-30,4.0558412542586324e-26,5.5073015078688914e-30,1.5652421220606616e-33,2.1223194154197486e-35,4.055289597476439e-26,8.39987041177418e-26,2.66009754340584e-41,4.953209796741827e-48,1.4802391420885371e-56,1.6351595117215856e-56,1.1595410907174772e-32
1.715668159856321e-14,0.11224537200000027,0.0,0.0,0.0,0.0,0.3299999999999897,0.669999999999992,1.034530476646857e-14,8.07999843046184e-15,2.495336300732004e-21,2.2653088304910915e-15,7.044072920431848e-30,1.6572281158353828e-25,5.079185335139565e-29,1.2834850721871208e-32,1.7547743365879613e-34,1.6567194376133016e-25,3.4316238369381527e-25,4.936508129044423e-40,1.8438594495212553e-46,7.22719124186436e-55,1.6001351830413675e-54,9.506528420050738e-32
3.4555006599923086e-14,0.11224537200000055,0.0,0.0,0.0,0.0,0.3299999999999792,0.6699999999999838,2.0836312991011372e-14,1.6273831232683868e-14,1.0086276553129046e-20,4.562491841160605e-15,3.013292193045376e-29,6.701123902472766e-25,4.382256237725598e-28,1.0397383495478455e-31,1.4269527011300123e-33,6.696735494408304e-25,1.3871193987700905e-24,8.55294038723313e-39,6.402049805756935e-45,2.969852514656634e-53,1.317642200635484e-52,7.6984514351517565e-31
6.935165660264284e-14,0.11224537200000102,0.0,0.0,0.0,0.0,0.3299999999999582,0.6699999999999674,4.1818314156063053e-14,3.266159222967808e-14,4.0554289210125105e-20,9.156762466830088e-15,1.246993856870941e-28,2.69638626531379e-24,3.644868064651271e-27,8.374206683427668e-31,1.1508880050632383e-32,2.6927364462554833e-24,5.577563601292496e-24,1.4261641284864345e-37,2.1375549462897906e-43,1.0912297758365328e-51,9.69715000707764e-51,6.1960766748774315e-30
1.3894495660808234e-13,0.11224537200000209,0.0,0.0,0.0,0.0,0.32999999999991625,0.6699999999999346,8.378225536155064e-14,6.543749577794597e-14,1.626233134329775e-19,1.8344922151411792e-14,5.073529101743892e-28,1.0828923869839406e-23,2.973800982691288e-26,6.728594365165184e-30,9.244541578139483e-32,1.079914613995307e-23,2.2368665081056836e-23,2.3302262842659343e-36,6.989698595963113e-42,3.756227497002535e-50,6.682159314447622e-49,4.971463368545551e-29
