Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075),C2H3O(404),S(413),CHO2(133)
4.4768892806558776e-13,0.11224537200000663,0.0,0.0,0.0,0.0,0.32999999999973006,0.6699999999997892,2.6995025562164755e-13,2.1085077029134959e-13,1.6867597555612122e-18,5.910117151493997e-14,5.315280867356947e-27,1.1307370443776984e-22,1.0048723823507304e-24,2.261372958006812e-28,3.090514175130015e-30,1.1227181455022682e-22,2.3212946916973874e-22,2.537173105904051e-34,2.4511241842494885e-39,1.3666965136890698e-47,7.909105197948197e-46,1.6592592129710617e-27,2.0424625344289934e-25,2.0439508684310724e-42,1.7724493701986728e-47,3.560494987584073e-54,1.120315412705979e-48,1.7266096846435908e-66,2.1748433807651595e-74,4.498432634599143e-61,9.388301103497203e-66,2.4141150520287092e-73,2.154613487726393e-84,4.2999091327735505e-86,4.302822027512783e-80,4.575409069350343e-79,6.543008127513231e-69,3.5517664190210765e-76,1.849187239767936e-72,1.119190308242199e-75,1.2091816633673109e-78,1.0485123128429816e-28,5.955563907446402e-82,3.0978398229306026e-79,2.1812833268309415e-71,7.300146334415265e-81,1.289719850837911e-71,6.846137797901061e-78,4.0154322090221065e-84,2.4496119062685735e-29,1.558635196118563e-66,2.331923475449399e-60,2.513346287915267e-51,2.0382531539468102e-70,2.2691971118553334e-62,9.169497226438312e-68,5.574530657180714e-52
8.957668126281917e-13,0.11224537200001332,0.0,0.0,0.0,0.0,0.3299999999994599,0.6699999999995782,5.401316753390555e-13,4.2190580222660983e-13,6.746755123283109e-18,1.182326175703717e-13,2.1308411716289307e-26,4.566520693556461e-22,8.06146182557039e-24,1.825651260339794e-27,2.4748890201819857e-29,4.5021500189252275e-22,9.29160359437211e-22,4.0718457034775195e-33,7.868501490379462e-38,4.424691156352769e-46,5.12508487465713e-44,1.3266267965910016e-26,1.6338044652974083e-24,3.2738083820475204e-41,5.678092691176954e-46,1.2200595455941026e-52,3.839630289197543e-47,2.2130597221147704e-64,5.633762157869507e-72,2.882165518915179e-59,1.2030361715530229e-63,5.956483465727857e-71,1.1044843681347049e-81,1.2238741865918687e-83,2.173412486006136e-77,2.3143640393958946e-76,1.6810364002353576e-66,1.5871210297598807e-73,9.495880624984499e-70,1.146161227373782e-72,1.2159046429459957e-75,4.196795072098946e-28,6.099894308634187e-79,5.6329540932097675e-77,5.591899036967376e-69,3.734724844679245e-78,3.3059721064009543e-69,6.11878134355834e-75,3.538401291627015e-81,1.960407785458756e-28,2.994791303296869e-64,2.995551007977635e-58,1.614245798734373e-49,2.6737574708778212e-68,2.9149612230819576e-60,2.3557783254852606e-65,3.5283164549686553e-50
1e-12,0.11224537200002654,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.02980893391841e-13,4.710093923113105e-13,9.097604707585701e-18,1.3198059559054037e-13,2.8744365420168935e-26,6.198370186230458e-22,1.4628659313581236e-23,3.3409098328890785e-27,4.4910078542997336e-29,6.081545776031373e-22,1.2535520503459834e-21,1.1180695934166491e-32,3.626045882865503e-37,2.0460788066643505e-45,4.288635382076481e-43,2.403887206943336e-26,2.961978330670286e-24,8.988594550823751e-41,2.6162363893195923e-45,5.778809598214689e-52,1.819351264391618e-46,3.4915251306423234e-63,1.75781849517466e-70,2.4012104090970323e-58,1.8982619029289065e-62,1.7040263665553356e-69,6.6750876491847034e-80,3.967592573759135e-82,1.2743761016356124e-75,1.3579673137751875e-74,5.15852789307172e-65,7.643661967009877e-72,5.7367769033587146e-68,1.3674553629743949e-70,1.444042029204931e-73,5.661849441801437e-28,7.278105883409138e-77,1.1282124569528637e-75,1.715167981069974e-67,2.2483603574670322e-76,1.0138230468041444e-67,5.840049766375913e-73,3.3516800104349835e-79,3.548629740305747e-28,6.171179502193282e-63,4.728478750643913e-57,1.3453431881220039e-48,4.263079460351465e-67,4.601230430562905e-59,7.228732893670932e-64,2.6681886803763052e-49
1.7919225817533996e-12,0.11224537200002654,0.0,0.0,0.0,0.0,0.32999999999891955,0.6699999999991559,1.0804844244313806e-12,8.440790720720025e-13,2.6958431178084118e-17,2.3643230163676283e-13,8.523980419025698e-26,1.859651799170468e-21,6.452363154578037e-23,1.4853245884906936e-26,1.9808682315706576e-28,1.8081170819793148e-21,3.718151971362189e-21,6.519093173271319e-32,2.5197133482975526e-36,1.4229671754988536e-44,3.297815581995395e-42,1.0588486247782861e-25,1.3052918682821145e-23,5.2407282312932175e-40,1.8179376445446464e-44,4.041439162605718e-51,1.2724864046981437e-45,2.833735844096889e-62,1.468499802596761e-69,1.845490302676945e-57,1.5406486600090011e-61,1.4197995463840056e-68,5.655062311368601e-79,3.318194234640971e-81,1.0791455002065352e-74,1.1499430280257623e-73,4.3073799968763786e-64,6.451135420668592e-71,4.860108208197912e-67,1.1669760213979836e-69,1.2322923286509776e-72,1.6792753793074273e-27,6.211083339641852e-76,9.271955420166845e-75,1.4321486348750414e-66,1.904676452926055e-75,8.465275358615992e-67,4.974556002429945e-72,2.854758694212498e-78,1.5615312747833558e-27,5.078203939254595e-62,3.8377691056354183e-56,1.0340289082712196e-47,3.462085782552943e-66,3.734488920298355e-58,6.035996249764805e-63,2.025935678120471e-48
3.5842341200038153e-12,0.11224537200005305,0.0,0.0,0.0,0.0,0.3299999999978388,0.6699999999983112,2.1611497562018838e-12,1.6886781642602345e-12,1.0755336799507042e-16,4.725791089913317e-13,3.402653460366198e-25,7.698450766189588e-21,5.153875136164966e-22,1.2271461635023908e-25,1.5850224743999324e-27,7.286816018093977e-21,1.4877429141920886e-20,1.041538813103151e-30,8.051867375200465e-35,4.556899678571975e-43,2.112674257143731e-40,8.426959565389063e-25,1.0408484360031793e-22,8.386774549618296e-39,5.818576931081042e-43,1.3139161683937246e-49,4.1384336018402504e-44,3.6255291379148746e-60,3.8881888689936824e-67,1.1812623738046308e-55,1.9722839091767753e-59,3.192243140698939e-66,2.892061553594618e-76,8.752985617076761e-79,5.199111493604803e-72,5.54215839620025e-71,1.1012433174820733e-61,2.3332378832820993e-68,2.478760600488291e-64,1.17801051984762e-66,1.242601587554672e-69,6.718281093769127e-27,6.270021169580764e-73,1.4337590055514478e-72,3.6651620091232094e-64,9.664682871647885e-73,2.1655713210825362e-64,3.598680787683799e-69,2.056790948664028e-75,1.2353532900349625e-26,7.734241676589611e-60,4.905873374795403e-54,6.608951839493821e-46,4.4492683227303786e-64,4.7737668870765205e-56,1.543035712106327e-60,1.0390266267925468e-46
5.3765456582542314e-12,0.11224537200007953,0.0,0.0,0.0,0.0,0.32999999999675805,0.6699999999974663,3.2417751155715425e-12,2.533529537835205e-12,2.281256764444836e-16,7.084736266760875e-13,7.218388651998588e-25,1.6738661150549435e-20,1.4719758752965546e-21,3.572364683889902e-25,4.7057505337690685e-27,1.556307567446906e-20,3.1619573142741664e-20,3.829979508538395e-30,3.673381989404671e-34,2.079789174650241e-42,1.1604806813908654e-39,2.402305557977092e-24,2.970453332288116e-22,3.172978024971904e-38,2.7144283272097642e-42,6.014469578191077e-49,1.8945161828805818e-43,2.394313826166688e-59,2.377660972781846e-66,6.605706562734776e-55,1.2915286962087604e-58,2.32494481702741e-65,2.467300927991541e-75,6.628924308321852e-78,4.3543832456615285e-71,4.6418863007008286e-70,8.263961034334955e-61,1.8457495453928273e-67,2.103093424632861e-63,1.1138578763574494e-65,1.1747502450468933e-68,1.4277208613939065e-26,5.928586083030195e-72,9.715149873224137e-72,2.777646915516274e-63,8.259985632895372e-72,1.6410099175813836e-63,3.202684399512154e-68,1.8159274153022903e-74,3.5088495980173133e-26,5.155618326157188e-59,3.2034153505854643e-53,3.6834033262432066e-45,2.923491359223947e-63,3.1171370689356553e-55,1.1578962186840535e-59,5.304713398463451e-46
7.168857196504647e-12,0.11224537200010598,0.0,0.0,0.0,0.0,0.3299999999956773,0.669999999996621,4.322360695615699e-12,3.3786329219772258e-12,3.8848208238510505e-16,9.441161255084677e-13,1.2293485542839518e-24,2.914808319711123e-20,3.10131858774137e-21,7.656241162161131e-25,1.0253701256423228e-26,2.6671396784710398e-20,5.39461550405591e-20,9.704846638190742e-30,1.0941131487779795e-33,6.196227954576592e-42,3.988488856545556e-39,5.053193640480798e-24,6.254515591210411e-22,8.259265174775085e-38,8.265511956701213e-42,1.7951560348294733e-48,5.654891585636333e-43,1.0497520868203102e-58,1.457321112210116e-65,2.312282175617902e-54,5.122051626673486e-58,1.0021817163418032e-64,1.3393300743308906e-74,3.352011174729836e-77,2.1893631820821416e-70,2.3339840583108575e-69,3.8282910887893814e-60,8.867944367042909e-67,1.0692527749473934e-62,6.167451740580553e-65,6.505077461118617e-68,2.4356166206536257e-26,3.2826772831883743e-71,4.417949239507434e-71,1.334923083939805e-62,4.324984043613272e-71,7.885960052192371e-63,1.686085420100781e-67,9.65587356970295e-74,7.356055617556201e-26,2.327549998342025e-58,1.3425521883795948e-52,1.3879295403887052e-44,1.3873605639804481e-62,1.306387551761835e-54,5.363851725590343e-59,1.7110336875585568e-45
1e-11,0.11224537200015874,0.0,0.0,0.0,0.0,0.3299999999939702,0.6699999999952855,6.029195199549448e-12,4.7139628642070385e-12,7.047875779484706e-16,1.315936887837562e-12,2.2304573687585423e-24,5.44714840361402e-20,7.097195427639887e-21,1.793499873719805e-24,2.4730911446280598e-26,4.880431903599567e-20,9.811746902498499e-20,2.742594798113268e-29,3.7600000253625e-33,2.1299351660128475e-41,1.6461286143123736e-38,1.1538339018690255e-23,1.4301199260094582e-21,2.4360029591274497e-37,2.945501914777713e-41,6.182304130320323e-48,1.9475762096534024e-42,7.403159574330647e-58,1.91471712240344e-64,9.846796862391027e-54,2.5801951056946146e-57,5.645490022340962e-64,1.3633201931985351e-73,3.144164096315251e-76,1.715767010548363e-69,1.8291651593921024e-68,2.6957657242043557e-59,6.526877889191324e-66,8.520942689078551e-62,5.527251496764993e-64,5.830912296779861e-67,4.4293862148795794e-26,2.941934497702064e-70,3.30149180890398e-70,1.0580454827512431e-61,3.826446259466062e-70,6.249592556517892e-62,1.404335646038506e-66,8.310235091786712e-73,1.6717862454093445e-25,1.767058369328864e-57,8.309652438921806e-52,7.50722821467979e-44,1.4033521909712108e-61,8.085766745746118e-54,3.7769371591778904e-58,6.443039031789483e-45
1.0753480273005479e-11,0.11224537200015874,0.0,0.0,0.0,0.0,0.3299999999935158,0.6699999999949299,6.483439091336303e-12,5.06943030467804e-12,8.019698486551426e-16,1.4148104893045498e-12,2.5380461395018437e-24,6.23916221040828e-20,8.454108975993786e-21,2.1460431980363082e-24,2.9762838894666945e-26,5.564109293649499e-20,1.1171051934282705e-19,3.388400004169704e-29,4.782699013569862e-33,2.709359625860931e-41,2.1432698471082238e-38,1.3738425674209084e-23,1.703270849030088e-21,3.0309530491673155e-37,3.765736288169882e-41,7.86607584018475e-48,2.478022020931654e-42,1.0140913770824608e-57,2.7107801862451484e-64,1.2868361145567352e-53,3.4324310972464504e-57,7.588497671691761e-64,1.908571115418273e-73,4.383699005386709e-76,2.3658249860263684e-69,2.5221919471850564e-68,3.6907426859914964e-59,8.962833862768227e-66,1.1761767214539153e-61,7.682659868375956e-64,8.104822840796873e-67,5.0428940744282993e-26,4.089172710578241e-70,4.5403137516075355e-70,1.460423093502432e-61,5.315979157082154e-70,8.626266624781232e-62,1.943676876923103e-66,1.15249128327574e-72,1.9887193215730155e-25,2.432928993357358e-57,1.1268302192254698e-51,1.0066161677239804e-43,1.9651695481390868e-61,1.0964697036077063e-53,5.170950461630443e-58,8.294034498507458e-45
1.433810334950631e-11,0.11224537200021142,0.0,0.0,0.0,0.0,0.3299999999913543,0.6699999999932377,8.644372794689571e-12,6.761152174602079e-12,1.3601658931522199e-15,1.884580335391446e-12,4.304816358384159e-24,1.0940720826487977e-19,1.7657524333660704e-20,4.591794315446415e-24,6.50862970018425e-26,9.530951291862025e-20,1.9002387875475678e-19,8.455240558089769e-29,1.391961277273634e-32,7.886666344737646e-41,7.138103748430901e-38,2.8627868324615854e-23,3.554472434660149e-21,7.859230971808543e-37,1.1310770710038434e-40,2.292474085585714e-47,7.222139327047696e-42,4.2611756537542837e-57,1.3983445335058448e-63,4.398458646480507e-53,1.3163952198737872e-56,3.1240450538462694e-63,9.611166356688082e-73,1.8865515072120434e-75,1.1908094631342822e-68,1.2695429305163944e-67,1.718218860632411e-58,4.308733368037065e-65,5.994031619322585e-61,4.234635687493544e-63,4.467054896700793e-66,8.57700005515551e-26,2.2539314765463355e-69,1.9803157015022487e-69,6.953262402264924e-61,2.793192771119492e-69,4.106593774099343e-61,1.0197019720830317e-65,6.062906073048015e-72,4.1233612668916386e-25,9.631417569546451e-57,4.716277131967779e-51,3.698005796050071e-43,8.297061684479114e-61,4.589179700581444e-53,2.4072624124978268e-57,2.570606873505106e-44
