Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3219095165930774e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999999,0.6699999999999999,1.4000881888304e-16,1.0935092382741861e-16,6.807610053078871e-25,3.0657895736382364e-17,3.156187646980374e-34,5.415728629702758e-35,5.415728629702758e-35
6.501346646460617e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999957,0.6699999999999997,3.920246906668485e-16,3.0618260047958686e-16,4.1117939738337485e-24,8.584209429905558e-17,3.31266133729114e-33,1.0773174507972058e-33,1.0773174507972058e-33
1.4860220906195694e-15,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999907,0.6699999999999993,8.96056425411832e-16,6.99846008835155e-16,1.9796492561010313e-23,1.9621043637316957e-16,2.597700497902654e-32,1.7124014641580295e-32,1.7124014641580295e-32
3.157796942566585e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999981,0.6699999999999985,1.9041198596114236e-15,1.4871730457509959e-15,8.645626045049252e-23,4.1694690031668833e-16,1.6287460951773854e-31,2.1834810041346742e-31,2.1834810041346742e-31
6.501346646460616e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999961,0.6699999999999969,3.920246586850384e-15,3.0618280003997326e-15,3.609360000186012e-22,8.584189473866549e-16,8.603059960790402e-31,2.3440850468615114e-30,2.3440850468615114e-30
1.3188446054248678e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.329999999999992,0.6699999999999938,7.952499476697639e-15,6.211141432951295e-15,1.4745260619258507e-21,1.7413595182724298e-15,4.0269161322030225e-30,2.2244363416385186e-29,2.2244363416385186e-29
2.6562644869824805e-14,0.11224537200000041,0.0,0.0,0.0,0.0,0.329999999999984,0.6699999999999875,1.601700299795126e-14,1.2509782390957784e-14,5.960146660706935e-21,3.507226567140352e-15,1.750363825250052e-29,1.9524388079825944e-28,1.9524388079825944e-28
5.331104250097705e-14,0.1122453720000008,0.0,0.0,0.0,0.0,0.3299999999999678,0.669999999999975,3.2146001007349225e-14,2.510712067768018e-14,2.3964494956660746e-20,7.038904294165707e-15,7.305088668328152e-29,1.639260028552032e-27,1.639260028552032e-27
1.0680783776328155e-13,0.1122453720000016,0.0,0.0,0.0,0.0,0.32999999999993557,0.6699999999999497,6.440396089894108e-14,5.0302022726730655e-14,9.610038228967727e-20,1.4102034272606448e-14,2.9850833640703093e-28,1.3440646091933477e-26,1.3440646091933477e-26
2.1380142828789054e-13,0.11224537200000317,0.0,0.0,0.0,0.0,0.32999999999987106,0.6699999999998993,1.2891973621516154e-13,1.0069272866940228e-13,3.8483903084640244e-19,2.822739238490017e-14,1.2067428758635897e-27,1.0885666514664276e-25,1.0885666514664276e-25
4.2778860933710857e-13,0.11224537200000634,0.0,0.0,0.0,0.0,0.32999999999974206,0.6699999999997985,2.5795070931437866e-13,2.014777474702706e-13,1.5398489051547294e-18,5.647450169389406e-14,4.851430329781031e-27,8.760526901618478e-25,8.760526901618478e-25
8.557629714355445e-13,0.11224537200001268,0.0,0.0,0.0,0.0,0.329999999999484,0.6699999999995969,5.1601034805385e-13,4.030622090329971e-13,6.157322719560609e-18,1.129542963506182e-13,1.9445206910261807e-26,7.026109243823369e-24,7.026109243823369e-24
1e-12,0.11224537200002535,0.0,0.0,0.0,0.0,0.329999999999397,0.669999999999529,6.029807245006963e-13,4.710104440681086e-13,9.265244539791204e-18,1.3197954569247388e-13,2.92757417133802e-26,1.5317146032105452e-23,1.5317146032105452e-23
1.7117116956324164e-12,0.11224537200002535,0.0,0.0,0.0,0.0,0.32999999999896784,0.6699999999991937,1.032120417038899e-12,8.062887984087115e-13,2.4600726215918818e-17,2.258562194127089e-13,7.778274898699666e-26,5.622777702518688e-23,5.622777702518688e-23
2.5676604198292886e-12,0.11224537200003804,0.0,0.0,0.0,0.0,0.3299999999984517,0.6699999999987903,1.5482212988226193e-12,1.20957302445617e-12,5.223127461785353e-17,3.3870050580195947e-13,1.6520281869021497e-25,1.6072722333685724e-22,1.6072722333685724e-22
4.2795578682230324e-12,0.1122453720000633,0.0,0.0,0.0,0.0,0.32999999999741947,0.6699999999979835,2.5803864831386636e-12,2.016371786852541e-12,1.4407125063416557e-16,5.641587682746201e-13,4.5583587049493835e-25,7.374074089823913e-22,7.374074089823913e-22
5.8202655717774025e-12,0.11224537200008604,0.0,0.0,0.0,0.0,0.32999999999649043,0.669999999997257,3.5093057231532224e-12,2.7426765380169057e-12,2.561526935398173e-16,7.668853394888387e-13,8.105539121310067e-25,1.6581719139851228e-21,1.6581719139851228e-21
7.360973275331772e-12,0.1122453720001088,0.0,0.0,0.0,0.0,0.3299999999955614,0.6699999999965304,4.438193962645938e-12,3.4691778183086766e-12,3.992341029113308e-16,9.694153815718961e-13,1.2634044411099654e-24,3.1304607394298016e-21,3.1304607394298016e-21
8.901680978886141e-12,0.11224537200013149,0.0,0.0,0.0,0.0,0.32999999999463236,0.6699999999958035,5.367053038086634e-12,4.195864573223291e-12,5.714789366797143e-16,1.1717599490285618e-12,1.8085737594867474e-24,5.226731425084736e-21,5.226731425084736e-21
1e-11,0.1122453720001768,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952854,6.029192159150542e-12,4.713981249328497e-12,7.077313082112626e-16,1.3159186482034458e-12,2.2398304362634883e-24,7.070949798759682e-21,7.070949798759682e-21
1.198309638599488e-11,0.1122453720001768,0.0,0.0,0.0,0.0,0.3299999999927743,0.6699999999943493,7.224705023666599e-12,5.649660569852665e-12,9.821321781956752e-16,1.5760265971336465e-12,3.108357657841652e-24,1.1138408357618332e-20,1.1138408357618332e-20
1.506451179310362e-11,0.11224537200022205,0.0,0.0,0.0,0.0,0.3299999999909162,0.6699999999928944,9.082250205476384e-12,7.104140742186973e-12,1.4995860073040822e-15,1.9796090695206613e-12,4.7462260286966836e-24,2.0219200491345406e-20,2.0219200491345406e-20
1.8145927200212357e-11,0.11224537200026719,0.0,0.0,0.0,0.0,0.32999999998905816,0.6699999999914387,1.0939682153686988e-11,8.559350336675208e-12,2.1302693334821633e-15,2.3824621197397092e-12,6.742530019160328e-24,3.3387705939553297e-20,3.3387705939553297e-20
2.4308758014429835e-11,0.1122453720003572,0.0,0.0,0.0,0.0,0.329999999985342,0.6699999999885243,1.465420512755746e-11,1.1471991473007062e-11,3.732541541898034e-15,3.1859462727794276e-12,1.1814297559889767e-23,7.667531974644945e-20,7.667531974644945e-20
3.047158882864731e-11,0.1122453720004468,0.0,0.0,0.0,0.0,0.3299999999816259,0.6699999999856067,1.8368279804905316e-11,1.4387578908168908e-11,5.783083493826057e-15,3.9864841269319306e-12,1.8305093246340016e-23,1.4668339519151775e-19,1.4668339519151775e-19
4.279725045708227e-11,0.11224537200062494,0.0,0.0,0.0,0.0,0.3299999999741936,0.6699999999797613,2.579512118211034e-11,2.0227542614851563e-11,1.1192031833274653e-14,5.57877099870557e-12,3.542681781304859e-23,3.995780979368475e-19,3.995780979368475e-19
5.512291208551723e-11,0.11224537200080155,0.0,0.0,0.0,0.0,0.3299999999667613,0.6699999999739027,3.322025654314128e-11,2.6079167320743017e-11,1.8306812815087018e-14,7.15939687103992e-12,5.794847080776441e-23,8.35768620437327e-19,8.35768620437327e-19
6.744857371395218e-11,0.11224537200097667,0.0,0.0,0.0,0.0,0.32999999995932905,0.6699999999680306,4.064373940273032e-11,3.194237126737265e-11,2.7073865379262753e-14,8.72844350240468e-12,8.570050107796545e-23,1.5015820487717042e-18,1.5015820487717042e-18
7.977423534238714e-11,0.11224537200115035,0.0,0.0,0.0,0.0,0.32999999995189677,0.6699999999621455,4.806562317185794e-11,3.7817070568713975e-11,3.7439732368312815e-14,1.0285994778825423e-11,1.1851368638154624e-22,2.4431946263106122e-18,2.4431946263106122e-18
9.999999999999999e-11,0.11224537200149333,0.0,0.0,0.0,0.0,0.32999999993970086,0.6699999999524604,6.024120446755879e-11,4.7481850326948173e-11,5.778980775301435e-14,1.2817148641647319e-11,1.8293213031012616e-22,4.6931007687480445e-18,4.6931007687480445e-18
1.0442555859925705e-10,0.11224537200149333,0.0,0.0,0.0,0.0,0.3299999999370323,0.6699999999503367,6.290478207601361e-11,4.9600647496639253e-11,6.277910933858147e-14,1.3366919005723974e-11,1.9872586204465833e-22,5.316812302914118e-18,5.316812302914118e-18
1.2907688185612696e-10,0.11224537200183059,0.0,0.0,0.0,0.0,0.3299999999221678,0.6699999999384769,7.773813261199486e-11,6.142923565455345e-11,9.392524225958311e-14,1.6402832001693855e-11,2.973197158128182e-22,9.801695534047307e-18,9.801695534047307e-18
1.5372820511299687e-10,0.11224537200216228,0.0,0.0,0.0,0.0,0.3299999999073033,0.6699999999265674,9.256607047838954e-11,7.330214685525515e-11,1.304820906465266e-13,1.9394421953929103e-11,4.1304155478597555e-22,1.6239735136324133e-17,1.6239735136324133e-17
2.0303085162673668e-10,0.11224537200280933,0.0,0.0,0.0,0.0,0.3299999998775743,0.6699999999026032,1.222070359750248e-10,9.717834549175862e-11,2.1849901408861926e-13,2.5247225620430913e-11,6.916624031984325e-22,3.6122384426462695e-17,3.6122384426462695e-17
2.4513054049864783e-10,0.11224537200334518,0.0,0.0,0.0,0.0,0.3299999998521886,0.6699999998819914,1.4750342467973804e-10,1.1770071615622354e-10,3.077754942534646e-13,3.011054590318817e-11,9.742708530770187e-22,6.188444592174239e-17,6.188444592174239e-17
2.8723022937055897e-10,0.11224537200386629,0.0,0.0,0.0,0.0,0.3299999998268029,0.6699999998612479,1.7278827757131146e-10,1.3834364857507338e-10,4.0857841556919233e-13,3.48533044287072e-11,1.2933670308252026e-21,9.70156065249843e-17,9.70156065249843e-17
3.293299182424701e-10,0.112245372004373,0.0,0.0,0.0,0.0,0.3299999998014172,0.6699999998403762,1.9806284354226852e-10,1.591041376323862e-10,5.196578064833024e-13,3.9478506312879224e-11,1.6449940670803454e-21,1.4259486857245492e-16,1.4259486857245492e-16
