Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125)
4.234713311189067e-13,0.11224537200000628,0.0,0.0,0.0,0.0,0.32999999999974466,0.6699999999998006,2.5534746455953176e-13,1.9944432300333035e-13,1.5092627117836978e-18,5.59046503042804e-14,4.754725554363148e-27,1.0112206151220595e-22,8.502316742765244e-25,1.913013675045546e-28,2.6156160545315876e-30,1.0044362530329716e-22,2.076943343357011e-22,2.0305548974110897e-34,1.8555507931281446e-39,1.0336180229754753e-47,5.657546325054393e-46,1.4043937740781138e-27,1.728690766321404e-25,1.6362948405460936e-42,1.342185677245824e-47,2.6758445880389986e-54,8.420503443385235e-49,1.1698570033472714e-66,1.3921866833998059e-74,3.2221675411418466e-61,6.360943884756163e-66,1.550423557251515e-73,1.3061931989439e-84,2.724847837317265e-86,8.573061138483647e-87,9.114720906887652e-86,3.182426516312086e-87,3.3704464936197026e-94,5.16354110437661e-84,3.344533053269367e-79,2.0021671682689288e-80,9.381424350856287e-29,1.7797043880024044e-85,2.0311449146330588e-79,1.3979688749873773e-71,4.426048621514859e-81,8.265766960477507e-72,6.231111680428156e-87,1.7099934559403835e-85,2.0729112810124981e-29,1.016786866813896e-66
8.473105782509487e-13,0.11224537200001257,0.0,0.0,0.0,0.0,0.3299999999994891,0.669999999999601,5.10913760703856e-13,3.9908077993582473e-13,6.037023064864782e-18,1.1183901573524919e-13,1.906438266512849e-26,4.08190435593655e-22,6.822123610226004e-24,1.5437260574318867e-27,2.094591113322575e-29,4.0274315995881815e-22,8.313503731914246e-22,3.25941501763606e-33,5.957792107470455e-38,3.3486119357267195e-46,3.6686905714020726e-44,1.1229361579799206e-26,1.3828768544201316e-24,2.620866094016822e-41,4.299735091492149e-46,9.202724618361084e-53,2.896281066669423e-47,1.4994663496807093e-64,3.604723977141823e-72,2.064461322153215e-59,8.151061538846722e-64,3.832899643355729e-71,6.695865382630101e-82,7.794589462693522e-84,4.82573885062379e-84,5.138292554705902e-83,2.6211924382330117e-84,5.554525820307758e-91,1.3401804459510843e-81,1.7766061929590818e-76,5.420632711704937e-78,3.7550258803005797e-28,9.455065181721414e-83,3.725777498008482e-77,3.583842234608892e-69,2.2646374118495184e-78,2.1188169876642643e-69,6.5828496508440805e-84,9.027250669407897e-83,1.659457333884642e-28,1.9734159701134346e-64
1e-12,0.11224537200002513,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029806959978101e-13,4.71010628638656e-13,9.295025035576715e-18,1.319793592227146e-13,2.9369297529718284e-26,6.338118008752551e-22,1.5430292921687707e-23,3.526007717399296e-27,4.7370944737113685e-29,6.214890230470629e-22,1.2808360832905795e-21,1.2073352856812941e-32,3.925513291075971e-37,2.215087424893693e-45,4.554732584873132e-43,2.535325701181148e-26,3.1240412642114512e-24,9.70599616637739e-41,2.8322110954403335e-45,6.2565052838481864e-52,1.969888269229839e-46,3.5814604895765347e-63,1.7205671839895506e-70,2.5503685741695542e-58,1.9470920128784353e-62,1.6828592577456857e-69,6.23051660395391e-80,3.881737239978303e-82,4.6273853388594956e-82,4.930738731185735e-81,4.176381861626774e-82,1.5545586118816237e-88,6.318129594673685e-80,1.675850025987906e-74,2.6784618659580373e-76,5.78506302530634e-28,8.919462628659654e-81,1.1428150428038323e-75,1.6827288257853628e-67,2.099458051584845e-76,9.94667579486097e-68,1.2322186575497222e-81,8.48599789685099e-81,3.7424369212925625e-28,6.247542922563837e-63
1.6949890725150328e-12,0.11224537200002513,0.0,0.0,0.0,0.0,0.32999999999897794,0.6699999999992017,1.0220373224248087e-12,7.984102498009381e-13,2.4124315381561682e-17,2.2365118874534332e-13,7.627368122604417e-26,1.6607616812300737e-21,5.461168176509856e-23,1.2548663488462022e-26,1.6764849497715676e-28,1.6171440118652e-21,3.326738498744015e-21,5.219132837788239e-32,1.908130321876866e-36,1.0773222426360164e-44,2.3616428906849805e-42,8.964031026116016e-26,1.1049215283442884e-23,4.195504080373999e-40,1.3766359990189077e-44,3.054517870478535e-51,9.617847365458465e-46,1.9200516504186382e-62,9.387915322810489e-70,1.321908724060241e-57,1.0438568830923997e-61,9.168188286698677e-69,3.428488588561933e-79,2.119527074389885e-81,2.546998105170524e-81,2.7139867084589385e-80,2.30665100867879e-81,8.605085758831398e-88,3.446605170536378e-79,9.222870789658434e-74,1.462315916122346e-75,1.5025085133042061e-27,4.9087388602553364e-80,6.174926706962737e-75,9.178800399763142e-67,1.1552381541484007e-75,5.425606830201801e-67,6.81088601783885e-81,4.670041599574143e-80,1.3223434589222822e-27,3.378595232649541e-62
3.3903460610432014e-12,0.1122453720000502,0.0,0.0,0.0,0.0,0.32999999999795565,0.6699999999984028,2.044248488680584e-12,1.5972951838075737e-12,9.626073181180104e-17,4.4704953308024154e-13,3.0452910374858576e-25,6.863109634432311e-21,4.362880389266396e-22,1.0350463021857372e-25,1.341468801492522e-27,6.514647622995027e-21,1.3311151766851997e-20,8.339875002531604e-31,6.098545271543359e-35,3.4510076681110804e-43,1.5133893108432023e-40,7.136187998805066e-25,8.812351580700232e-23,6.714123640903278e-39,4.406144623502862e-43,9.941837049122906e-50,3.13155055388926e-44,2.456658743625791e-60,2.4816343935490065e-67,8.461352757810171e-56,1.336320085194416e-59,2.073233384252444e-66,1.753513519872801e-76,5.600050109466292e-79,1.2718874581640992e-78,1.3557820832274833e-77,2.0877272372439333e-78,1.198105604230322e-84,8.813837232949464e-77,4.712741724753793e-71,4.018940321317795e-73,6.0110852463094246e-27,2.5083761817158487e-77,9.579143200980288e-73,2.349132548175858e-64,5.864835143312616e-73,1.3880516425816803e-64,6.939656676192454e-78,2.3792885494027944e-77,1.0468405030545222e-26,5.184699935678874e-60
5.08570304957137e-12,0.11224537200007528,0.0,0.0,0.0,0.0,0.32999999999693336,0.6699999999976036,3.0664238620797506e-12,2.3964058825997957e-12,2.0419448130586326e-16,6.702221052187102e-13,6.461006325478776e-25,1.490547708007186e-20,1.24616798116818e-21,3.01045125657313e-25,3.982673120648699e-27,1.3910214914396584e-20,2.8290533490016156e-20,3.0669806254518005e-30,2.782411928957041e-34,1.57518566072833e-42,8.31357418135241e-40,2.0346789735172866e-24,2.5152043288115125e-22,2.54016722895954e-38,2.0555170458527455e-42,4.552021278227279e-49,1.4339411644129634e-43,1.6224081314149605e-59,1.517529570870471e-66,4.7316650185937226e-55,8.750769337044822e-59,1.5120190730505387e-65,1.4960009023317198e-75,4.2420330322924293e-78,1.074976209665861e-77,1.1459322749237516e-76,1.9015837368806044e-77,9.026667068796865e-84,5.356611190634609e-76,3.1381362054360826e-70,2.334671819622163e-72,1.277431806628868e-26,1.670294607894422e-76,6.491795227386547e-72,1.7803092762615455e-63,5.01299712337032e-72,1.0518428267624519e-63,4.150373657069113e-77,1.1862382915197598e-76,2.9745293041692184e-26,3.4606598354088094e-59
6.7810600380995385e-12,0.11224537200010025,0.0,0.0,0.0,0.0,0.32999999999591106,0.669999999996804,4.08856360620016e-12,3.1957421169198145e-12,3.477618175853079e-16,8.931691344166248e-13,1.1004699303875501e-24,2.5930027588068948e-20,2.6257527643302897e-21,6.446926633490511e-25,8.678148299919168e-27,2.383307526094508e-20,4.826621365149013e-20,7.771942039922143e-30,8.287811504073908e-34,4.6931939547259634e-42,2.8574847731175634e-39,4.2805450938001064e-24,5.296464845928097e-22,6.612070889312706e-38,6.259118383519723e-42,1.3588854056435667e-48,4.280870317190064e-43,7.113290849273342e-59,9.293116841778811e-66,1.65629132366815e-54,3.470460948873255e-58,6.525473283941903e-65,8.120898351512306e-75,2.1452679076976895e-77,5.820784257593227e-77,6.205151381855667e-76,1.1262935247152333e-76,6.995362018421305e-83,3.1559966262035546e-75,2.0984184467608286e-69,1.562124087800144e-71,2.1792298523369606e-26,1.1168976455997443e-75,2.952323491809805e-71,8.556149228950874e-63,2.62509061771371e-71,5.054751910760508e-63,3.8769086255155886e-76,1.188100701877716e-75,6.237998942715547e-26,1.5634668096690516e-58
1e-11,0.11224537200015017,0.0,0.0,0.0,0.0,0.32999999999397006,0.6699999999952855,6.029203387494507e-12,4.713910508465058e-12,6.965987399535535e-16,1.3159892453064943e-12,2.2045356825016042e-24,5.3684335588990625e-20,6.872068645259228e-21,1.7309008235445886e-24,2.4124870130103312e-26,4.819684723437123e-20,9.695341312770814e-20,2.5837729761355323e-29,3.427306347305087e-33,1.9413947547903299e-41,1.4452491385284507e-38,1.1175861533255045e-23,1.3849124150821935e-21,2.3065640870904516e-37,2.694477315019865e-41,5.633416033599817e-48,1.7747888004812354e-42,6.397381242313015e-58,1.59500191870658e-64,8.668042715685099e-54,2.1786301954691413e-57,4.6275382552498145e-64,1.0725059122047515e-73,2.602570757687311e-76,7.740012803187876e-76,8.251367268389517e-75,1.7258031163294061e-75,1.9693355979563867e-81,4.927992396380997e-74,4.229305527890774e-68,2.832732680417043e-70,4.3768952561354997e-26,2.251084983729371e-74,2.8227069083199488e-70,8.700569749874278e-62,2.995448630581095e-70,5.139473089870917e-62,1.2933127968146409e-74,3.4455811351675793e-74,1.6203332186183037e-25,1.521305913796071e-57
1.0171774015155875e-11,0.11224537200015017,0.0,0.0,0.0,0.0,0.3299999999938665,0.6699999999952044,6.132759979201218e-12,4.794943193380255e-12,7.180213211519754e-16,1.3385345675890015e-12,2.2723393623200644e-24,5.54165921606845e-20,7.15856919308707e-21,1.8048343792472634e-24,2.5189647089115556e-26,4.970035280522927e-20,9.994770070514309e-20,2.713803808377968e-29,3.623161381658635e-33,2.05235320548787e-41,1.5356518550061037e-38,1.1640696314423189e-23,1.4425994363192684e-21,2.4264810706625893e-37,2.851639726365132e-41,5.955730324859946e-48,1.8763357743779727e-42,6.871779387416198e-58,1.7250270201164774e-64,9.217671899451582e-54,2.3256636827972457e-57,4.9509658193624496e-64,1.157272456022303e-73,2.805899498559198e-76,8.35235797116428e-76,8.904170462921424e-75,1.8647392174024835e-75,2.136367786527408e-81,5.325632381925816e-74,4.5793159649858175e-68,3.06482024212892e-70,4.5120439532703885e-26,2.4373811702827337e-74,3.034540688546754e-70,9.36068078060725e-62,3.227065626439365e-70,5.529396210964075e-62,1.404030859693643e-74,3.738121964425039e-74,1.6873890985994744e-25,1.6358910811157377e-57
1.3562487992212212e-11,0.11224537200020002,0.0,0.0,0.0,0.0,0.3299999999918219,0.6699999999936039,8.176826678674346e-12,6.39497174332179e-12,1.217968806896104e-15,1.7830725000056857e-12,3.854734828274256e-24,9.704131113656579e-20,1.495314696803999e-20,3.85770012292034e-24,5.508564054199788e-26,8.510229374962069e-20,1.7001338676786487e-19,6.772429703024951e-29,1.0545564695871278e-32,5.974631511809631e-41,5.114773307527342e-38,2.4262054334203163e-23,3.0109180701908295e-21,6.291860207642537e-37,8.565209725399966e-41,1.7359731333987481e-47,5.469324881539999e-42,2.8875492097687845e-57,8.891410835533747e-64,3.150649465940729e-53,8.91933966095088e-57,2.040783351800521e-63,5.827941225327393e-73,1.2078192704128065e-75,4.1265958865071385e-75,4.399407533337455e-74,1.0396740678370387e-74,1.3551029063927445e-80,2.6395570833056478e-73,2.4766491774153048e-67,1.4746774934969033e-69,7.674113682837002e-26,1.3182229490812057e-73,1.3234356045109704e-69,4.456794673348626e-61,1.6958124234589843e-69,2.632355878949207e-61,8.718016043225931e-74,2.0547241612541508e-73,3.500307667434681e-25,6.484956474861716e-57
